lineage_id,row_type,version_order,item_type,item_label,source_id,locator,vn_ids,attributed_to,form_or_value,distortion_type,difference_vs_reference,verdict,original_in_corpus,prior_conflict_ids,cited_work_ids,status,scope,scale,confidence,notes
LIN-01,VERSION,10,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-023,pdf p.36 §2.4,EV-VN-S023-0174,без ссылки (абзац заканчивается [27] — обзор аварий при проходке стволов),C = γH/σ_S («коэффициент загрузки»),SIMPLIFICATION,утрачены множитель (a+b)/b (площадь поддержания) и коэффициент формы — определение не совпадает ни с одной нормативной редакцией (см. CF-024),,PARTIAL,CF-024;CF-006,,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,quote_check: EXACT
LIN-02,SUMMARY,0,parameter,Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит),VKM-SRC-012;VKM-SRC-025,,,"VKM-SRC-025 (Барях, Асанов, Паньков 2008) §6, рис.6.4, табл.6.1-6.2 — LAB",,RANGE_NARROWING;TERM_SHIFT,,"Числа 0,60–0,65 / 0,35–0,40 / 0,20–0,25 воспроизведены Лебедевой дословно, но: (1) безразмерный КОЭФФИЦИЕНТ (σ∞/σпр) назван «величиной длительной прочности» — риск прочтения как МПа; (2) опущено, что это лабораторные серии образцов; (3) не перенесён разброс табл.6.2 (сильвинит КрII, монолит-2: K_t∞=0,49–0,52 при h/d≥1). LAB ≠ MASSIF.",Y,,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-02,VERSION,1,parameter,Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит),VKM-SRC-025,pdf p.157 (рис.6.4); p.162 табл.6.1,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875,собственные испытания,"коэффициент длительной прочности (асимптота): КС 0,60–0,65; сильвинит 0,35–0,40; карналлит 0,20–0,25 (прямой метод); ускоренный 0,65/0,36/0,23",REFERENCE,,,Y,,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: NOT_FOUND
LIN-02,VERSION,2,parameter,Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит),VKM-SRC-025,pdf p.163 табл.6.2,EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,собственные испытания,"сильвинит КрII: монолит-1 K_t∞=0,36–0,50; монолит-2 K_t∞=0,49–0,62 (зависит от h/d)",REFERENCE,"внутривыборочный разброс шире, чем сводный интервал 0,35–0,40",,Y,,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: NOT_FOUND
LIN-02,VERSION,3,parameter,Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит),VKM-SRC-012,pdf p.27,EV-VN-S012-0069,[8] = Барях и др. 2008 (=VKM-SRC-025),"«величина длительной прочности: каменная соль 0,60–0,65, сильвинит 0,35–0,40, карналлит 0,20–0,25»",TERM_SHIFT;RANGE_NARROWING,коэффициент → «величина»; лабораторный статус и разброс монолитов опущены,,Y,,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: EXACT
LIN-03,SUMMARY,0,parameter,Прочность сильвинита при одноосном сжатии (10–36 МПа) и сводные диапазоны,VKM-SRC-012;VKM-SRC-025,,,"VKM-SRC-025 p.56 (ВКМ, продуктивные пласты) и p.30 (сводка по многим месторождениям)",,OMISSION_OF_CONDITIONS,,"Лебедева воспроизводит 10–36 МПа корректно, но без средних (26 МПа КрII, 23 МПа АБ) и коэффициента вариации >30 %. В самом VKM-SRC-025 существует второй, ИНОЙ диапазон 13–41 МПа (сводка литературы, не только ВКМ) — при цитировании «по Баряху 2008» легко спутать.",Y,CF-007,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-03,VERSION,1,parameter,Прочность сильвинита при одноосном сжатии (10–36 МПа) и сводные диапазоны,VKM-SRC-025,pdf p.56,EV-VN-S025-0292,собственная база испытаний,сильвинит продуктивных пластов 10–36 МПа; среднее 26 (КрII) и 23 (АБ); CV>30 %,REFERENCE,,,Y,CF-007,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: EXACT
LIN-03,VERSION,2,parameter,Прочность сильвинита при одноосном сжатии (10–36 МПа) и сводные диапазоны,VKM-SRC-025,pdf p.30,EV-VN-S025-0178,"[30,15,24,46,54,57,62,69,70] сводка",сильвинит и каменная соль 13–41 МПа; CV до 30 %,REFERENCE,литературная сводка по многим соляным месторождениям (не только ВКМ),,Y,CF-007,,FACT,GENERAL_METHOD,LAB,HIGH,quote_check: EXACT
LIN-03,VERSION,3,parameter,Прочность сильвинита при одноосном сжатии (10–36 МПа) и сводные диапазоны,VKM-SRC-012,pdf p.25,EV-VN-S012-0165,[8] Барях и др. 2008,прочность сильвинитовых пород продуктивных пластов 10–36 МПа,OMISSION_OF_CONDITIONS,опущены средние и вариация; статус LAB не указан,,Y,CF-007,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: EXACT
LIN-04,SUMMARY,0,parameter,"Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)",VKM-SRC-025;VKM-SRC-029,,,"VKM-SRC-025 (атрибутируемый источник) — значение 2,5 ГПа в тексте/OCR НЕ найдено",,ATTRIBUTION_UNVERIFIED,,"Атрибуция НЕ подтверждается локальной копией: в VKM-SRC-025 E при сжатии 1,0–38,0 ГПа (ср. 13,8) и 12–23 ГПа (сводка); 2,5 ГПа совпадает только с нижней границей модуля при РАСТЯЖЕНИИ (2,5–4,5 ГПа, p.31); близкое число 2,54 ГПа есть в табл. 4.2 (p.107) — это модуль деформации Dу серой перистой каменной соли (в той же строке E=12,93 ГПа), а не модуль упругости. ν=0,3 — нижняя граница литературной сводки 0,30–0,45 (§2.3, не только ВКМ). Вывод (перепроверка 26.09.2026, находка PRIMARY_SECONDARY-008): E1=2,5 ГПа у Бельтюкова — эффективный начальный модуль его модели с неподтверждённой ссылкой [94], не лабораторное свойство соли ВКМ; атрибуция к [94] — ATTRIBUTION_UNVERIFIED, область — UNSTATED.",Y,CF-007;CF-016,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-04,VERSION,1,parameter,"Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)",VKM-SRC-029,"pdf p.90, рис.3.1",EV-VN-S029-0155;EV-VN-S029-0156;EV-VN-S029-0158,"[94] = Барях, Асанов, Паньков 2008","трёхзвенная аппроксимация; E1=2,5 ГПа; ν=0,3",ATTRIBUTION_UNVERIFIED,"значение E1 не найдено в атрибутируемом источнике (grep текстового слоя и OCR VKM-SRC-025; ближайшее — E растяжения 2,5–4,5 ГПа и Dу=2,54 ГПа табл. 4.2)",,Y,CF-007;CF-016,,MODEL_CHOICE,UNSTATED,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,"quote_check: EXACT,FUZZY_81"
LIN-04,VERSION,2,parameter,"Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)",VKM-SRC-025,pdf p.61,EV-VN-S025-0312,,"E при сжатии 1,0–38,0 ГПа, ср. 13,8 ГПа (сильвиниты и каменная соль)",REFERENCE,,,Y,CF-007;CF-016,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: EXACT
LIN-04,VERSION,3,parameter,"Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)",VKM-SRC-025,pdf p.31,EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0185,,"E 12–23 ГПа (сводка); ν 0,30–0,45; E при чистом растяжении 2,5–4,5 ГПа",REFERENCE,"2,5 ГПа встречается только как нижняя граница модуля при растяжении",,Y,CF-007;CF-016,,FACT,GENERAL_METHOD,LAB,HIGH,quote_check: EXACT
LIN-04,VERSION,4,parameter,"Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)",VKM-SRC-025,"pdf p.107, табл. 4.2 (каменная соль, h/d=2, ребро 60 мм)",EV-VN-S025-0571,собственные испытания,"Dу=2,54 ГПа (модуль деформации); в той же строке E=12,93 ГПа",REFERENCE,"ближайшее к 2,5 ГПа число в первоисточнике — модуль деформации, а не модуль упругости (перепроверка 26.09.2026, PRIMARY_SECONDARY-008)",,Y,CF-007;CF-016,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: NOT_FOUND
LIN-05,SUMMARY,0,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],VKM-SRC-005;VKM-SRC-031;VKM-SRC-034;VKM-SRC-035;VKM-SRC-038;VKM-SRC-039,,,Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — НЕ в корпусе (EXT-SRC-009 только аннотация); идейный предшественник — Амусин–Линьков 1974,,CONTEXT_SHIFT;HIDDEN_DEPENDENCY;SIMPLIFICATION,,"Шесть статей одной школы (ГИ УрО РАН) используют метод, но формула напечатана только в VKM-SRC-038 (2009); остальные ссылаются словесно. Аннотация оригинала: метод основан на АПРИОРНОЙ информации о нарастании оседаний во времени — т.е. η(t) является ВХОДОМ калибровки, а не выходом модели (риск циркулярности при прогнозе оседаний и утечки при бенчмарке). В 035 метод используется статически (подбор модулей под заданное ηmax), в 031 — с допущением «80 % конечных оседаний». Многократное воспроизведение ≠ независимое подтверждение.",N,,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-05,VERSION,1,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],"EXT-SRC-009 (аннотация J. Min. Sci., предыдущий релиз)",abstract,,оригинал,модифицированный метод переменных модулей на основе априорной информации о нарастании оседаний дневной поверхности во времени,REFERENCE,полный текст отсутствует,,N,,,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,external capture of previous release (no merged record)
LIN-05,VERSION,2,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],VKM-SRC-038,pdf p.3,EV-VN-S038-0017;EV-VN-S038-0018,"[2,3] Амусин–Линьков 1974; Барях–Самоделкина 2005","E^p=E^0/[1+Ψ(t)], Ψ(t)=η(t)/(m·ε0_yy); η(t) — расчётные оседания в зоне полной подработки",NONE,единственная версия с формулой,,N,,,MODEL_CHOICE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,quote_check: NOT_FOUND
LIN-05,VERSION,3,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],VKM-SRC-005,pdf p.2,EV-VN-S005-0008,[6] = JMS 2005,промышленные пласты — материал с переменными модулями,SIMPLIFICATION,"без формулы и без указания, что η(t) задаётся априори",,N,,,MODEL_CHOICE,OTHER_POTASH_SITE,NOT_APPLICABLE,HIGH,quote_check: EXACT
LIN-05,VERSION,4,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],VKM-SRC-031,pdf p.2,EV-VN-S031-0011;EV-VN-S031-0012,[10] (ФТПРПИ 2005; рус. страницы 32-41 + DOI англ. версии),отработанный пласт — материал с переменным модулем деформации; допущение: при ~80 % конечных оседаний обрушенные породы формируют отпор,SIMPLIFICATION,"добавлено инженерное допущение 80 %, отсутствующее в других версиях",,N,,,ENGINEERING_ASSUMPTION,GENERAL_METHOD,NOT_APPLICABLE,HIGH,quote_check: EXACT
LIN-05,VERSION,5,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],VKM-SRC-035,pdf p.1,EV-VN-S035-0006,[1] ФТПРПИ 2005,"изотропный материал с переменными модулями, подобранными так, чтобы получить заданное ηmax в зоне полной подработки",CONTEXT_SHIFT,реологический (временной) метод используется как статическая калибровка под ηmax,,N,,,MODEL_CHOICE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,quote_check: NOT_FOUND
LIN-05,VERSION,6,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],VKM-SRC-039,pdf p.2,EV-VN-S039-0007,[3] ФТПРПИ 2005,«известный реологический подход» по прогнозным графикам нарастания оседаний,SIMPLIFICATION,только отсылка,,N,,,MODEL_CHOICE,GENERAL_METHOD,NOT_APPLICABLE,HIGH,quote_check: EXACT
LIN-05,VERSION,7,formula+model_choice,«Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)],VKM-SRC-034,pdf p.1,EV-VN-S034-0005,без явной ссылки на 2005,выработанное пространство — среда с пониженными свойствами; изменение модулей во времени определяется графиками нарастания оседаний,HIDDEN_DEPENDENCY,метод использован без ссылки на первоисточник,,N,,,MODEL_CHOICE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,quote_check: EXACT
LIN-06,SUMMARY,0,normative_criterion,Критерий безопасной подработки ВЗТ: от [m] (1992) к [V_m] (2014) и категориям опасности (2024),VKM-SRC-019;VKM-SRC-021;VKM-SRC-035;VKM-SRC-037,,,VKM-SRC-037 (1992) §8; редакции «Указаний» 2014/2022 не в корпусе,,CONTEXT_SHIFT;EDITION_DRIFT,,"Критерий сменил физический смысл: 1992 — суммарная мощность слоёв каменной соли без трещин разрыва m_c ≥ [m] ([m]=10 м без аномалий, 20 м при аномалиях); 2011 (035) — номограмма «ηmax, длина краевой части мульды, глубина»; 2014 — предельный прогиб слоёв V_m ≤ [V_m] совместно с C ≤ [C]; 2024 (021) — участковые [V_m]=3,8 м, [V_i]п=1,5 м и категории опасности. Смешивать критерии разных редакций нельзя.",PARTIAL,,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-06,VERSION,1,normative_criterion,Критерий безопасной подработки ВЗТ: от [m] (1992) к [V_m] (2014) и категориям опасности (2024),VKM-SRC-037,"pdf p.171, ф.(8.143)-(8.144)",EV-VN-S037-0939;EV-VN-S037-0940;EV-VN-S037-0943;EV-VN-S037-0944,собственный норматив,"m_c ≥ [m]; [m]=10 м (нет аномальных зон), 20 м (аномальные зоны)",REFERENCE,,,PARTIAL,,,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,"quote_check: FUZZY_85,NOT_FOUND"
LIN-06,VERSION,2,normative_criterion,Критерий безопасной подработки ВЗТ: от [m] (1992) к [V_m] (2014) и категориям опасности (2024),VKM-SRC-035,pdf p.3-4,EV-VN-S035-0012;EV-VN-S035-0017;EV-VN-S035-0020,собственная разработка (ГИ УрО РАН),"нарушение сплошности ВЗТ увязано с ηmax, длиной краевой части мульды и глубиной; номограмма",EDITION_DRIFT,переход к деформационному (по мульде) критерию,,PARTIAL,,,MODEL_CHOICE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,quote_check: NOT_FOUND
LIN-06,VERSION,3,normative_criterion,Критерий безопасной подработки ВЗТ: от [m] (1992) к [V_m] (2014) и категориям опасности (2024),VKM-SRC-019,"pdf p.2, усл.(2)",EV-VN-S019-0013,[3] «Указания» 2014,V_m ≤ [V_m] (максимальный прогиб слоёв ВЗТ),EDITION_DRIFT,критерий по прогибу вместо мощности ненарушенных слоёв,,PARTIAL,,,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,quote_check: NOT_FOUND
LIN-06,VERSION,4,normative_criterion,Критерий безопасной подработки ВЗТ: от [m] (1992) к [V_m] (2014) и категориям опасности (2024),VKM-SRC-021,pdf p.3,EV-VN-S021-0023;EV-VN-S021-0028;EV-VN-S021-0029,«Указания (мероприятия)» 2022 + собственная методика,"[V_m]=3,8 м, [V_i]п=1,5 м для участка; категории опасности 1–3",CONTEXT_SHIFT,"участковые (DERIVATION) значения, не общие нормы",,PARTIAL,,,DERIVATION,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,"quote_check: EXACT,FUZZY_81,NOT_FOUND"
LIN-07,SUMMARY,0,formula,Коэффициент формы (образца/целика) k_f: конкурирующие определения,VKM-SRC-014;VKM-SRC-025;VKM-SRC-031;VKM-SRC-037,,,VKM-SRC-025 p.66-73 (обзор + собственные зависимости); «Указания» 2004 [77] — не в корпусе,,CONTEXT_SHIFT;OMISSION_OF_CONDITIONS,,"Существует ≥6 несовместимых формул k_f (Церн, Баушингер, ВНИМИ [30], «Указания» 2004 [77], собственные по литотипам, графики k4 в VKM-SRC-037); все выведены для ОБРАЗЦОВ (d/h), но в нормативе применяются к ЦЕЛИКАМ (b/h) — переход LAB→MASSIF. В 031/032 k_f не раскрыт численно. Для WorldSpec k_f — MODEL_CHOICE с указанием редакции.",PARTIAL,,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-07,VERSION,1,formula,Коэффициент формы (образца/целика) k_f: конкурирующие определения,VKM-SRC-025,pdf p.67 ф.(3.1)-(3.4),EV-VN-S025-0341;EV-VN-S025-0342;EV-VN-S025-0343;EV-VN-S025-0344,Церн; Баушингер; ВНИМИ [30]; «Указания» [77] (ред. 2004),"√(2d/h); 0,875+0,25d/h; 0,754+0,496d/h; «Указания»: 0,65+0,70d/h (d/h≤0,5), √(2d/h) (d/h≥0,5)",REFERENCE,,,PARTIAL,,,FACT,GENERAL_METHOD,LAB,HIGH,quote_check: NOT_FOUND
LIN-07,VERSION,2,formula,Коэффициент формы (образца/целика) k_f: конкурирующие определения,VKM-SRC-025,"pdf p.70, 73",EV-VN-S025-0356;EV-VN-S025-0365;EV-VN-S025-0366;EV-VN-S025-0367,собственные испытания,"каменная соль 0,74+0,52d/h; сильвинит 0,76+0,48d/h; карналлит 0,51+0,98d/h (также 0,50+0,96d/h)",REFERENCE,внутри одного источника две версии для карналлита,,PARTIAL,,,FACT,VKM_REGIONAL,LAB,HIGH,quote_check: NOT_FOUND
LIN-07,VERSION,3,formula,Коэффициент формы (образца/целика) k_f: конкурирующие определения,VKM-SRC-037,"pdf p.167, рис.8.12",EV-VN-S037-0889,собственный норматив,k4 (коэффициент формы целика) по графикам от b/m и угла внутреннего трения,CONTEXT_SHIFT,"иная параметризация (через угол трения), не формула d/h",,PARTIAL,,,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,quote_check: NOT_FOUND
LIN-07,VERSION,4,formula,Коэффициент формы (образца/целика) k_f: конкурирующие определения,VKM-SRC-031,pdf p.1,EV-VN-S031-0005,[6-7],"k_f — «коэффициент формы, характеризующий зависимость несущей способности от b/h» (без формулы)",OMISSION_OF_CONDITIONS,какая из формул применена — не указано,,PARTIAL,,,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,quote_check: NOT_FOUND
LIN-07,VERSION,5,formula,Коэффициент формы (образца/целика) k_f: конкурирующие определения,VKM-SRC-014,pdf p.195 ф.(7.32),EV-VN-S014-1076,не указан,"K_ф междупластья = 0,85(1,0+1,06·2h/(a1+a2))",CONTEXT_SHIFT,коэффициент формы междупластья (другой объект),,PARTIAL,,,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,quote_check: NOT_FOUND
LIN-08,SUMMARY,0,parameter,"Размеры соляной линзы и калийной залежи ВКМ (8,2 тыс. км²; 206×56 км; 140×41 км; 3,7 тыс. км²)",VKM-SRC-011;VKM-SRC-014;VKM-SRC-023;VKM-SRC-025;VKM-SRC-037;VKM-SRC-040,,,VKM-SRC-011 (Кудряшов 2013) p.6,,EDITION_AMBIGUITY;VALUE_CHANGE,,"040 и 023 копируют формулировки Кудряшова 2013 дословно (040 при этом ссылается сразу на два издания [22,23]). Более ранние/учебные тексты дают другие значения калийной залежи: ширина 40 км и площадь ≈3,5 (1992), ≈4 (2008), ≈3,6 тыс. км² (2013 практикум) против 41 км и 3,7 тыс. км² у Кудряшова — различия определений контура (внешний контур основной части), а не измерений; не усреднять.",Y,,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-08,VERSION,1,parameter,"Размеры соляной линзы и калийной залежи ВКМ (8,2 тыс. км²; 206×56 км; 140×41 км; 3,7 тыс. км²)",VKM-SRC-011,pdf p.6,EV-VN-S011-0026;EV-VN-S011-0027;EV-VN-S011-0029,собственная сводка,"соляная линза ≈8,2 тыс. км², 206 км × до 56 км; калийная залежь 140 км × до 41 км, 3,7 тыс. км² (основная часть по внешнему контуру); запасы 96 млрд т карналлита, 113 млрд т сильвинита, 4,7 трлн т каменной соли",REFERENCE,,,Y,,,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,quote_check: EXACT
