id,repo,path,issue_type,severity,evidence,proposed_fix
RPR-011,PUBLIC,"*.png (31 files, 10.4 MB); artifacts/**/*.csv.gz (3 files, 2.2 MB)",LFS_POLICY_INCONSISTENT,LOW,"PNG figures are ordinary Git blobs with attr text=auto (safe only because Git auto-detects binary); elapsed_days_mismatches.csv.gz, group_manifest.csv.gz, temporal_membership.csv.gz are ordinary blobs while data/scenario_simulation_v2*/**/*.gz are LFS. 26 PNG and 18 gz are hash-pinned by the verifier.",Declare `*.png binary` and `artifacts/**/*.gz -text -diff`; do NOT migrate to LFS from the cloud (upload 403) and do not rewrite history; decide LFS migration on the workstation only for new files.
RPR-012,PUBLIC,docs/reset_2026_09/run_kit/localize_paths.sh,SCRIPT_MUTATES_TRACKED_FILES,MEDIUM,"Run on scratch with dummy PUB/RES/WORK/VENV: `sed -i` modified 8 tracked files (MATH_PROTOCOL.md, SWEEP_PROTOCOL.md, tools/grep_vocab.py, tools/merge_sweep.py, tools/render_page.py, workflows/{corpus_sweep,math_foundation_wave1,repo_audit}.js); its final self-check greps the whole run_kit and reports /home/user lines from preflight_public_pytest.txt/preflight_verify_canonical.json (false alarm). Policy DATA_AND_PATH_POLICY_RU §3 allows it as exception.","Write localized copies to $WORK/run/ (cp, then sed on the copies) instead of sed -i on tracked files; or make tools/workflows read PUB/RES/WORK/VENV from env; restrict self-check to the processed files."
RPR-013,PUBLIC,scripts/build_public_catalogues.py,BROKEN_BUILD_SCRIPT,MEDIUM,VKM_RESOURCES_ROOT=<private> python scripts/build_public_catalogues.py -> FileNotFoundError scripts/public_catalogue_map.json (never committed); PRIVATE 11_evidence_vnext/canonical does not exist; target evidence/ does not exist; MISSING sources are only recorded in the manifest and the script still exits 0 when no leakage is found.,"Commit scripts/public_catalogue_map.json (or accept --map), exit non-zero on any MISSING source, write the manifest only after all catalogues are OK, add a test with a tiny fixture."
RPR-014,PUBLIC,pyproject.toml; requirements/*.lock.txt; docs/reset_2026_09/run_kit/venv_research_freeze.txt,ENV_LOCK_INCOMPLETE,MEDIUM,"pyproject depends on numpy/pandas/PyYAML/pydantic (>=2.13,<3). bootstrap/modeling/gate_c_torch locks were captured on Windows 11/CPython 3.13 for the old Gate stack, have no hashes and do not pin pydantic/pydantic-core/annotated-types (modeling.lock `-e .` pulls them unpinned). The research venv freeze (numpy 2.5.3, pandas 3.0.6, pydantic 2.13.5) lives in docs/ and disagrees with the locks (numpy 2.5.2, pandas 3.0.5). schemas/worldspec_vnext.schema.json equality test depends on the pydantic version (verified identical with 2.13.5).","Add requirements/worldspec.in + worldspec.lock.txt (uv pip compile --generate-hashes, python 3.13, linux+win) pinning pydantic==2.13.5/pydantic-core==2.46.5; move Gate locks to legacy; reference one lock from README; CI installs from it."
RPR-015,BOTH,PUBLIC .python-version; PRIVATE (no pyproject/lock),PYTHON_VERSION_MISMATCH,LOW,"PUBLIC .python-version=3.13.13 (patch-pinned) while the cloud venv is 3.13.12; PRIVATE physical_evidence_v1 manifest.json records python 3.11.15; PRIVATE evidence pipeline has no lock (pymupdf, PyYAML, pytest; system tesseract 5.3.4 rus, ddjvu, poppler); only ogs/environment_freeze.txt (ogs 6.5.9, ogstools 0.8.2) exists.",Set .python-version to `3.13`; add PRIVATE requirements/evidence.lock.txt and a system-tools list (apt package versions) to README; record interpreter+lock hash in reproducibility receipts.
RPR-016,PUBLIC,README.md; README_FIRST.md; docs/CANONICAL_RESEARCH_STATE_RU.md; docs/REPOSITORY_CONSOLIDATION_2026-09-25_RU.md,WINDOWS_ONLY_INSTRUCTIONS,LOW,"Verification instructions exist only as PowerShell `$env:VKM_RESOURCES_ROOT = ""E:\Диплом\vkm-subsidence-forecasting_resourses""`; no bash equivalent; no LFS materialization step.","Give both forms with a placeholder (`<RESOURCES_ROOT>`), add `git lfs install --local && git lfs pull` to both repos' quick start."
RPR-017,PUBLIC,docs/reset_2026_09/run_kit/preflight_public_pytest.txt; preflight_verify_canonical.json; artifacts/environment/environment.json,COMMITTED_LOGS_ABSOLUTE_PATHS,LOW,"preflight_public_pytest.txt (335 KB) has 80 lines with <домашний каталог VM>/...; preflight_verify_canonical.json has resources_root=<домашний каталог VM>/...; environment.json embeds PowerShell stderr with C:\WINDOWS\... and Russian 'Отказано в доступе'; scripts/capture_environment.py overwrites tracked artifacts/environment/{pip_freeze.txt,environment.json}.",Keep such logs as receipts with redacted roots (replace with <PUB>/<RES>) or move them to PRIVATE; make capture_environment.py write to work/ unless --output is given.
RPR-018,PUBLIC,tests/ (old stack); .github/ (absent),RED_TEST_SUITE_NO_CI,MEDIUM,"Full pytest on scratch: 3 failed, 124 passed, 1 skipped, 60 errors in 159 s (missing retired SKRU1_ACTUAL_DATA_TABLES_v1 inputs). tests/world: 29 passed. No tracked-file mutation (tests write only to git-ignored work/tests). No CI workflow in PUBLIC.","In the reset move old-stack tests to legacy (or mark `legacy` + skip-if-missing); add minimal GitHub Actions: checkout with lfs, pytest tests/world, verifier with --allow-missing-external (LFS bandwidth: 17 objects)."
RPR-019,PUBLIC,scripts/generate_scenario_v2_1.py; scripts/generate_scenario_v2.py,DEFAULT_OUTPUT_OVERWRITES_FROZEN,MEDIUM,argparse `--output` default='data/scenario_simulation_v2_1' (frozen release directory); the erratum receipt documents the correct usage `--output work/scenario_v2_1_erratum/build01` (and uses Windows `.venv/Scripts/python.exe`). Running with defaults would rewrite a frozen tracked release. build_scenario_representation_v2_1.py already refuses non-empty output (FileExistsError). Not executed (regeneration out of scope).,Make --output required or default to work/…; refuse existing non-empty targets; in the reset these scripts go to legacy.
RPR-020,PUBLIC,"configs/{input_manifest.csv,reconstruction_parent_manifest.csv,gate_a1.yaml,reconstruction_research_v1.json,scenario_constraints_v1.json}; scripts/{prepare_gate_a0.py,reconstruct_musikhin_line1.py}",STALE_CONFIG_RETIRED_PATHS,LOW,Current-tree configs/scripts reference SKRU1_ACTUAL_DATA_TABLES_v1/** or inputs/bootstrap/** (gate_a1.yaml: 12 retired inputs; input_manifest.csv: 5; reconstruction_parent_manifest.csv: 7). configs/input_manifest.csv and gate_a1.yaml are themselves hash-pinned by the frozen chain.,Do not edit (pinned); move with the frozen chain to legacy in the reset; until then list them in docs as HISTORICAL.
RPR-021,PUBLIC,"artifacts/** receipts (acceptance_receipt.json, final_candidate_suite_v4.json, MUSIKHIN_LINE1_ACCEPTANCE_20260923.json, artifacts/inventory/*.csv, artifacts/verification/gate_a0_report.json, r2 reviewed_file_hashes.csv)",DANGLING_RECEIPT_REFERENCES,LOW,"Generic scan of 1514 (path, sha256) references in tracked JSON/CSV: 504 MATCH, 140 retired, 87 externalized, 764 missing (mostly internals of retired v3.x zips), 19 mismatches (R2 reviewed_file_hashes = snapshot of docs edited later; zip-internal README.md). Non-retired dangling examples: scenario_representation_v2/acceptance_receipt.json -> 15 files deleted in f9e811b; final_candidate_suite_v4.json -> artifacts/model_selection/t1_b6_expanded_v1/full_train_primary.joblib; MUSIKHIN_LINE1_ACCEPTANCE_20260923.json -> work/profile_line1/*.",Label these as HISTORICAL receipts (not verifiable in current tree) and move them to legacy in the reset; keep the canonical verifier limited to current manifests.
RPR-022,PUBLIC,.gitignore,IGNORE_GAPS_VENV,MEDIUM,"git check-ignore: .venv-ogs/ and .venv-research/ are NOT ignored (only .venv/ and venv/), INPUT_VERIFICATION.json not ignored. CLAUDE.md instructs `python3 -m venv .venv-ogs` in the repo root. Stale entries: inputs/holdout_candidates/t1_final_v3/*; nested /vkm-subsidence-forecasting_resourses/ layout contradicts docs/research/PHYSICAL_WORLD_EVIDENCE_STATE_RU.md (do not nest).","Add `.venv*/`, `INPUT_VERIFICATION.json`; move venv creation to work/ in CLAUDE.md; choose one resources layout (sibling + VKM_RESOURCES_ROOT)."
RPR-023,BOTH,"branches legacy (PUBLIC d54025d), claude/eloquent-goodall-ka7n0u (PRIVATE)",PROVENANCE_ANCHORED_ON_MUTABLE_BRANCHES,MEDIUM,"At audit start no tags existed in either repo; during the audit the coordinator created LOCAL annotated tags in PUBLIC (legacy/final, frozen/gate-b3, frozen/r1, frozen/r2, frozen/scenario-v2, frozen/scenario-v2.1, archive/v3.2-last; commit 2d8d43a says push blocked 403) - they exist only in this VM until pushed. PRIVATE still has no tags. PUBLIC 'legacy' = d54025d is a branch (mutable/deletable). PRIVATE OGS receipts of frozen cases 03,03b,05,07,08,09,10 hash ogs/tools/pw2d_generator.py versions 63db3d28…, 4475c96a…, aba806ec… that exist only in commits b1fbb69/03ab2e0/12da8a6, reachable only from remotes/origin/claude/eloquent-goodall-ka7n0u (not from main/HEAD). 15 receipt references mismatch the current generator (6eaab363…); ogs/historical_cases_frozen.json (V23, 249 files) does not include ogs/tools.",Push the PUBLIC tags from the workstation (git push origin --tags) and protect them; create PRIVATE tags `archive/eloquent-goodall-ka7n0u` (its head) and `pe-v1-pass4` -> 9b53896; optionally vendor historical generator versions under ogs/tools/history/<sha16>.py and add ogs/tools to ogs/historical_cases_frozen.json.
RPR-024,PRIVATE,"10_physics_evidence/physical_evidence_v1/{claims.jsonl, external_captures/, scripts/evidence_schema.py}",REBUILD_NOT_BYTE_STABLE_FROM_CLONE,MEDIUM,"Full rebuild on clean scratch worktree (extract_corpus_text 22 s, OCR 025/037 restored from work/ocr, OCR 001 re-run 13 s, then snapshot..build_manifest, validate, pytest 116 passed): claims.jsonl differs in 33 records EV-EXT-0001..0029, 0065..0068 (source EXT-SRC-004): locator_verification VERIFIED_QUOTE/VERIFIED_NUMBERS -> NO_EXTRACT, because capture work/text/EXT-SRC-004/all.txt (capture_sha256 73a64f1d…) is git-ignored and external_captures/ has no EXT-SRC-004/005. The 33 records are withdrawn duplicates of VKM-SRC-012 (no scientific effect), but claims.jsonl sha changes (fe324ea0… -> 69762492…).","Commit external_captures/EXT-SRC-004.txt (+005) as plain text with package_capture_sha256 (no LFS needed), or freeze locator_verification for withdrawn records; make merge_streams fail when a referenced capture is missing."
RPR-025,PRIVATE,"10_physics_evidence/physical_evidence_v1/{run_pipeline.sh, scripts/validate_physical_evidence.py, scripts/build_manifest.py}",SCRIPTS_MUTATE_TRACKED_TIMESTAMPS,MEDIUM,"After the scratch rebuild `git status`: M claims.jsonl, M manifest.json, M validation_report.json. manifest.json always changes (generated_utc, git_head_at_generation, python, n_files); the validator writes the tracked validation_report.json by default (check-only needs --report); run_pipeline step 0 runs `git lfs pull || true` and continues without LFS; text/OCR come from git-ignored work/text, work/ocr (tesseract 5 rus + ddjvu required).",Validator default --report -> work/…; move generated_utc/git_head/python from manifest.json into a separate receipt; fail hard when LFS objects are pointers; document system tools with versions.
RPR-026,PRIVATE,".github/workflows/{canonicalize_imported_sources,fetch_public_physical_sources,fetch_extra_geokniga_sources}.yml",STALE_MUTATING_WORKFLOWS,MEDIUM,"One-shot bootstrap workflows: trigger push to main that touches the workflow file itself; permissions contents: write; `git add -A`; `git push origin main`; checkout with lfs: true (~470 MB LFS bandwidth per run). canonicalize: source paths 01_primary_sources/main_repo/* no longer exist; its registry step, simulated on a copy, rewrites SOURCE_REGISTER.csv to CRLF with changed quoting (sha 0d63373f… -> 9d7a6849…), then regenerates 00_registry/GITHUB_BOOTSTRAP_HASHES.csv (since deleted). fetch_*: re-download and overwrite 00_registry/PUBLIC_FETCH_STATUS.csv / EXTRA_PUBLIC_FETCH_STATUS.csv. No validation workflow exists.",Delete the three workflows (history keeps them) or convert to workflow_dispatch + contents: read + PR instead of direct push; add a read-only CI: SOURCE_REGISTER sha check + validate_physical_evidence.py --report artifact.
RPR-027,PRIVATE,scripts/import_remaining_local_only.ps1; scripts/import_local_resources.ps1,POWERSHELL_ONLY_STALE_IMPORTER,MEDIUM,"PowerShell-only; hard-coded list with SHA-256 duplicates of the register, including VKM-SRC-013 zip whose register status is ORIGINAL_ARCHIVE_DELETED_AFTER_PDF_ASSEMBLY; runs `git pull --ff-only origin main`, `git add -A`, `git commit`, `git push origin main` (bypasses branch workflow); writes 00_registry/LOCAL_FILE_HASHES.csv. import_local_resources.ps1 only throws (retired stub).","Replace with a cross-platform scripts/import_sources.py driven by SOURCE_REGISTER rows with migration_status PENDING_*, copy-by-sha only, never commit/push; delete the stub."
RPR-028,PRIVATE,08_data_archives/main_repo_snapshots/** (12 files); 00_registry/intake/2026-09-25_curated_evidence/derived/Zhukov_GPR_VKM_ch4-5_pages117-147.pdf,DUPLICATE_UNREGISTERED_BINARIES,LOW,"52 LFS files but 40 unique OIDs: 12 snapshot files byte-identical to registered VKM-SRC-001..010, 023, 024 (~68 MB extra working tree; LFS store deduplicated). The Zhukov excerpt (d41ca378…) is marked DO_NOT_REGISTER in IMPORT_MANIFEST.csv yet committed to LFS; not in SOURCE_REGISTER.","After the verifier change (resolve by sha via register), `git rm -r 08_data_archives/main_repo_snapshots`; either register the excerpt as derived (source_class derived_excerpt, parent VKM-SRC-040) or remove it."
RPR-029,PRIVATE,00_registry/SOURCE_REGISTER.csv (LFS integrity),LFS_INTEGRITY_CHECK,LOW,"39/41 registered sources present, LFS-materialized, size and sha256 match; `git lfs fsck` OK. VKM-SRC-013 (ORIGINAL_ARCHIVE_DELETED_AFTER_PDF_ASSEMBLY) was never committed to any ref -> bytes unrecoverable from Git; VKM-SRC-022 (RETIRED) LFS object edcced26… is not in the local LFS store — 'Git history is enough' holds only while GitHub LFS keeps the object.","State explicitly in the register notes that 013 has no recovery path; if 022 must remain recoverable, never prune LFS on the server and keep an offline copy; no action needed for the 39 active sources."
RPR-030,PRIVATE,"10_physics_evidence/physical_evidence_v1/ogs/{run_all.sh, cases/*/run.sh, figures/receipt_stage*.json}",OGS_REGENERATION_PATH_INCOMPLETE,LOW,"run_all.sh re-runs only cases 00-11 (14 of 25 case dirs); 8 run.sh (cases 13-22) are committed without +x (100644); figure receipts reference 188 files under git-ignored work/ogs/runs/** (VTU), so figures cannot be regenerated without re-running OGS. Not executed (no solver runs in this phase).",Extend run_all.sh or add a case index; `git update-index --chmod=+x` for the 8 run.sh; document figure regeneration prerequisites in ogs/README.md.
RPR-031,PRIVATE,README.md (Local layout),LAYOUT_INSTRUCTIONS_CONFLICT,LOW,PRIVATE README recommends E:\Диплом\vkm-subsidence-forecasting_resourses\ (nested in the diploma dir); PUBLIC docs/research/PHYSICAL_WORLD_EVIDENCE_STATE_RU.md says not to nest it in E:\Диплом; PUBLIC .gitignore/verifier support nested and sibling layouts.,Pick one layout (sibling checkouts + VKM_RESOURCES_ROOT) and state it identically in both READMEs.
RPR-032,PRIVATE,"10_physics_evidence/physical_evidence_v1/review/**, extraction_protocol/**, 00_registry/cloud_checkpoint_2026-09-26/**",COMMITTED_LOGS_ABSOLUTE_PATHS,LOW,"222 lines with <домашний каталог VM>/... in committed review logs (disk_usage_before_cleanup.txt 188, disk_usage_after_cleanup.txt 28), protocols and the handoff copy. Acceptable as historical logs inside PRIVATE, but they must not be copied to PUBLIC (leakage guard lists $VKM_RESOURCES_ROOT/).",No change; keep leakage scan on any PRIVATE->PUBLIC export.
RPR-033,PUBLIC,tests/test_prepare_gate_a0.py; tests/test_*_protocol.py,TESTS_WRITE_INTO_REPO_WORK,LOW,"Tests create fixtures under ROOT/work/tests/* (git-ignored) instead of tmp_path; test_prepare_gate_a0.py uses CWD-relative Path('work'), so results depend on the invocation directory.",Use pytest tmp_path; moot if old-stack tests move to legacy.
RPR-034,PUBLIC,data/scenario_simulation_v2/** vs data/scenario_simulation_v2_1/**; artifacts/model_selection/t1_b0_b1_v1/frozen_candidate.joblib,DUPLICATE_AND_PICKLE_ARTIFACTS,LOW,"7 of 8 LFS .gz and several CSV (scenario_catalog.csv, evaluator/conditioning_log.csv) are byte-identical between v2 and v2_1 (storage deduplicated; semantic duplication). frozen_candidate.joblib is a pickle in LFS (code execution on load; sklearn/numpy-version dependent).",Keep only as frozen historical references in legacy; never load the joblib in the current pipeline.
RPR-035,PUBLIC,scripts/verify_canonical_repository.py (markdown link scan),VERIFIER_DEPENDS_ON_UNTRACKED_FILES,LOW,"Markdown link check enumerates `git ls-files --cached --others --exclude-standard`, so untracked local .md files (e.g. drafts) change the verdict; result JSON is written to work/repo_cleanup/canonical_verification.json with an absolute resources_root.",Check only tracked files (`--cached`) by default; add `--include-untracked` for local use.
RPR-036,PUBLIC,CLOUD_TO_LOCAL_HANDOFF_RU.md (§11 step 4),STALE_EXPECTED_OUTPUT,LOW,Handoff says `python -m pytest -q tests/world  # ожидается 10 passed`; current branch gives 29 passed (tests grew with d353c84/fb460de).,"State expectations as 'all passed, 0 failed' or regenerate the number from CI."
