path,kind,size_bytes,n_files,classification,reason_ru,reusable_parts,depends_on,referenced_by
requirements/bootstrap.in,requirements,174,1,MOVE_TO_LEGACY,"окружение Gate A0/реконструкции (opencv, nbclient, ipykernel)",,,artifacts/research/r2_adversarial_audit/source_inventory.csv
requirements/bootstrap.lock.txt,requirements,1099,1,MOVE_TO_LEGACY,lock 'validated on Windows 11 / CPython 3.13.13' для Gate A0; colorama/pywin-стек,,,artifacts/research/r2_adversarial_audit/source_inventory.csv
requirements/gate_c_torch.lock.txt,requirements,390,1,MOVE_TO_LEGACY,torch 2.13 CUDA 13.0 для Gate C1 (GRU/TCN) — план нейросетей снят,,,artifacts/research/r2_adversarial_audit/source_inventory.csv;configs/gate_c1.yaml
requirements/modeling.in,requirements,27,1,MOVE_TO_LEGACY,scikit-learn для Gate B0/B1,,,artifacts/research/r2_adversarial_audit/source_inventory.csv
requirements/modeling.lock.txt,requirements,277,1,MOVE_TO_LEGACY,lock Gate B0/B1 (Windows),,,artifacts/model_selection/frozen_candidate.json;artifacts/research/r2_adversarial_audit/source_inventory.csv
src/skru1/__init__.py,src_module,435,1,MOVE_TO_LEGACY,экспортирует data_contracts/splits старого T1-стека,,src/skru1/data_contracts.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v4.json;artifacts/research/r2_adversarial_audit/source_inventory.csv
src/skru1/adaptive_kalman.py,src_module,17811,1,MOVE_TO_LEGACY,Gate B2 adaptive Kalman на ManifestDataset старого T1; не используется новым WorldSpec,_scalar_update (скалярное обновление Калмана) — идея для будущего адаптера прогноза после observation layer,src/skru1/baselines.py;src/skru1/leakage.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/t1_b2_v1/development_candidate.json;artifacts/model_selection/t1_b2_v1/validation_report.json;artifacts/model_selection/t1_b3_v1/development_candidate.json;artifacts/model_selection/t1_b3_v1/validation_report.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/smoke_scenario_v2_1_interfaces.py;…(+9)
src/skru1/artifact_io.py,src_module,3576,1,REUSE_GENERIC,универсальные утилиты без привязки к T1; зависит только от ContractViolation/sha256_file,"resolve_repo_path (запрет абсолютных путей и выхода за корень), write_text/json/csv_atomic (атомарная запись через work/), snapshot_paths (content-hash snapshot дерева), artifact_inventory → перенести в vkm_world/core/io.py",src/skru1/data_contracts.py,artifacts/governance/final_candidate_suite_v4.json;artifacts/research/r2_adversarial_audit/source_inventory.csv
src/skru1/baselines.py,src_module,20221,1,MOVE_TO_LEGACY,B1 persistence/B3 robust trend/B5 fixed Kalman/ridge/extra-trees для T1 на retired-данных,"train_only_precision_weights; принцип 'identifiers только для causal lookup, не в X'",src/skru1/data_contracts.py;src/skru1/leakage.py;src/skru1/preprocessing.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/frozen_candidate.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/smoke_scenario_v2_1_interfaces.py;src/skru1/adaptive_kalman.py;src/skru1/evaluation.py;src/skru1/gate_b2.py;…(+4)
src/skru1/benchmark_metrics.py,src_module,17768,1,REUSE_GENERIC,почти независимый слой метрик (лишь sample_id_list_sha256 из splits); покрыт 4 проходящими тестами,"point_metrics, interval_score, weighted_interval_score, normal_crps, normal_nll, fit/apply_scaled_conformal, leave_one_cluster_out_jackknife, paired_cluster_sensitivity → будущий validation-пакет",src/skru1/splits.py,artifacts/governance/final_candidate_suite_v4.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;tests/test_benchmark_metrics.py
src/skru1/benchmarking.py,src_module,13654,1,MOVE_TO_LEGACY,"интерфейсы Gate B5/B6 (ModelSpec/PredictionBundle), нигде не импортируется",canonical_json_sha256; assert_structural_keys_not_in_x; assert_train_only_worker_job (идея),src/skru1/data_contracts.py;src/skru1/leakage.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v4.json;artifacts/research/r2_adversarial_audit/source_inventory.csv
src/skru1/data_contracts.py,src_module,11780,1,FROZEN_REFERENCE,в v2.1 hash-closure (вход manifest musikhin_line1); canonical bundle жёстко привязан к SKRU1_ACTUAL_DATA_TABLES_v1 через configs/gate_a1.yaml — источник 46 из 63 падений тестов,"sha256_file, _resolve_relative (path containment), ContractViolation, discover_project_root (идея маркер-файла)",configs/gate_a1.yaml,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/reconstruction/musikhin_line1_2011_2016_v1/manifest.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;configs/musikhin_line1_digitization_v1.json;scripts/run_gate_a1.py;scripts/run_gate_b0_b1.py;src/skru1/__init__.py;…(+21)
src/skru1/empirical_constraints_v2.py,src_module,10951,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,"checked_inputs (проверка хешей до преобразования), empty_destination (запрет перезаписи релиза)",artifacts/reconstruction/musikhin_line1_2011_2016_v1;artifacts/reconstruction/musikhin_profiles_2011_2016_v1;src/skru1/scenario_simulation.py,.gitattributes;artifacts/data_quality/scenario_representation_v2/independent_validation.json;artifacts/data_quality/scenario_representation_v2_1/acceptance_receipt.json;artifacts/data_quality/scenario_representation_v2_1/independent_origin_validation.json;artifacts/reconstruction/scenario_constraints_v2/manifest.json;artifacts/research/r2_adversarial_audit/reviewed_file_hashes.csv;artifacts/research/r2_adversarial_audit/source_inventory.csv;data/scenario_simulation_v2/manifest.json;…(+7)
src/skru1/evaluation.py,src_module,20000,1,MOVE_TO_LEGACY,фолды/ранжирование Gate B0/B1,"validate_fold_contracts, causal_feature_history (forward-only история до origin)",src/skru1/baselines.py;src/skru1/data_contracts.py;src/skru1/metrics.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/frozen_candidate.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/run_gate_b0_b1.py;src/skru1/gate_b2.py;src/skru1/gate_b3.py;tests/test_gate_b0_b1_models.py;…(+6)
src/skru1/gate_b2.py,src_module,54790,1,MOVE_TO_LEGACY,workflow Gate B2 (1345 строк),"find_test_loader_calls (AST-сканер запрещённых загрузчиков test), capture_protected_test_snapshot",configs/gate_b2.yaml;src/skru1/adaptive_kalman.py;src/skru1/baselines.py;src/skru1/data_contracts.py;src/skru1/evaluation.py;src/skru1/metrics.py;src/skru1/splits.py;src/skru1/transition_validation.py;…(+1),artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/t1_b2_v1/development_candidate.json;artifacts/model_selection/t1_b2_v1/validation_report.json;artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/run_gate_b2.py;tests/test_gate_b2_adaptive_kalman.py;tests/test_gate_b2_protocol.py
src/skru1/gate_b3.py,src_module,74687,1,FROZEN_REFERENCE,Gate B3 historical baseline @ ce8e57e; после ce8e57e дополнен приёмкой suite v4 successor,,artifacts/governance/final_candidate_suite_v3;artifacts/model_selection/t1_b2_v1;configs/gate_b3.yaml;src/skru1/adaptive_kalman.py;src/skru1/baselines.py;src/skru1/data_contracts.py;src/skru1/evaluation.py;src/skru1/imm_kalman.py;…(+4),artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/t1_b3_v1/development_candidate.json;artifacts/model_selection/t1_b3_v1/validation_report.json;artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/run_gate_b3.py;scripts/run_gate_b3_audit.py;src/skru1/gate_b3_audit.py;…(+2)
src/skru1/gate_b3_audit.py,src_module,6279,1,FROZEN_REFERENCE,Gate B3 historical baseline @ ce8e57e,,artifacts/model_selection/t1_b3_v1;src/skru1/data_contracts.py;src/skru1/gate_b3.py,artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/t1_b3_v1/audit_reconciliation.json;artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/run_gate_b3_audit.py;tests/test_gate_b3_protocol.py
src/skru1/gate_c1_models.py,src_module,11806,1,MOVE_TO_LEGACY,GRU/TCN адаптеры Gate C1 (torch); нейросетевой план снят,,src/skru1/data_contracts.py,artifacts/research/r2_adversarial_audit/source_inventory.csv;configs/gate_c1.yaml;scripts/smoke_scenario_v2_1_interfaces.py;tests/test_gate_c1_models.py
src/skru1/gate_c1_probabilistic.py,src_module,2143,1,MOVE_TO_LEGACY,Student-t NLL/CRPS для Gate C1,"student_t_quantiles, quantile_grid_crps (проверены против численного интегрирования CDF)",src/skru1/data_contracts.py,artifacts/research/r2_adversarial_audit/source_inventory.csv;configs/gate_c1.yaml;tests/test_gate_c1_models.py;tests/test_gate_c1_probabilistic.py
src/skru1/imm_kalman.py,src_module,23808,1,FROZEN_REFERENCE,"Gate B3 historical baseline @ ce8e57e (B7 two-regime IMM, байт-в-байт как в ce8e57e)","_normalize_log_weights, _stabilize_covariance — численные приёмы для будущего state-space прогноза",src/skru1/adaptive_kalman.py;src/skru1/baselines.py;src/skru1/leakage.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/t1_b3_v1/development_candidate.json;artifacts/model_selection/t1_b3_v1/validation_report.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/reports/IMM_V2_IMPROVEMENT_DESIGN_RU.md;docs/research/NEURAL_COMPARATORS_V2_1_RESEARCH_RU.md;scripts/smoke_scenario_v2_1_interfaces.py;…(+4)
src/skru1/leakage.py,src_module,9055,1,REUSE_GENERIC,"исполняемые leakage-guards; список полей специфичен для T1, механизм общий","forbidden_field_reason + FUTURE_NAME_PATTERN, FORBIDDEN_PREFIXES(true_/hidden_/generator_/private_), assert_t1_time_alignment, assert_disjoint_sample_sets, assert_positive_horizon, find_forbidden_split_api_usage → vkm_world/governance (сейчас там только PRIVATE→PUBLIC guard)",src/skru1/data_contracts.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/run_gate_a1.py;scripts/run_gate_b0_b1.py;src/skru1/adaptive_kalman.py;src/skru1/baselines.py;src/skru1/benchmarking.py;…(+11)
src/skru1/metrics.py,src_module,3702,1,MOVE_TO_LEGACY,тривиальные regression/classification метрики B0/B1; перекрыты benchmark_metrics,,,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;src/skru1/evaluation.py;src/skru1/gate_b2.py;src/skru1/gate_b3.py;src/skru1/transition_validation.py
src/skru1/model_selection.py,src_module,11577,1,REUSE_GENERIC,"код привязан к t1_v1, но протокол однократного доступа к test ценен для будущей валидации","claim_test_access/finalize_test_access (одноразовый ledger доступа), freeze_candidate (иммутабельная запись кандидата), RepeatedTestAccessError",configs/gate_b0_b1.yaml;src/skru1/data_contracts.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/frozen_candidate.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/run_gate_b0_b1.py;tests/test_gate_b0_b1_models.py;tests/test_gate_b0_b1_protocol.py
src/skru1/preprocessing.py,src_module,7125,1,MOVE_TO_LEGACY,TrainOnlyPreprocessor для ManifestDataset,идея fit-only-on-train,src/skru1/data_contracts.py;src/skru1/leakage.py;src/skru1/splits.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/frozen_candidate.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/run_gate_a1.py;src/skru1/baselines.py;tests/test_leakage_guards.py
src/skru1/reconstruction_data.py,src_module,27250,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d; ремонт синтетических таблиц v3.2,"known_source_available/select_features: 'дата доступности ≠ дата публикации', проверка известной будущей даты → тесты TemporalSupport.usable_at",SKRU1_ACTUAL_DATA_TABLES_v1;configs/input_manifest.csv;configs/reconstruction_parent_manifest.csv;configs/reconstruction_research_v1.json;configs/source_manifest.csv;configs/supplementary_source_manifest.csv;data/status,artifacts/reconstruction/musikhin_line1_2011_2016_v1/dataset_linkage.json;artifacts/reconstruction/musikhin_line1_2011_2016_v1/manifest.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;configs/musikhin_line1_digitization_v1.json;data/reconstruction_research_v1/manifest.json;docs/reports/MUSIKHIN_LINE1_ACCEPTANCE_20260923.json;docs/reports/MUSIKHIN_LINE1_ACCEPTANCE_20260923_RU.md;scripts/reconstruct_musikhin_line1.py;…(+2)
src/skru1/robust_imm.py,src_module,11887,1,MOVE_TO_LEGACY,Gate B4 Student-t robust IMM,_student_t_scalar_update_with_log_likelihood (bounded influence),src/skru1/imm_kalman.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;scripts/smoke_scenario_v2_1_interfaces.py;tests/test_gate_b4_robust_imm.py;tests/test_scenario_representation_v2_1.py
src/skru1/scenario_adapter_v2_1.py,src_module,8739,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d (source representation manifest),,data/target;src/skru1/scenario_boundary_v2_1.py;src/skru1/splits.py,artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;artifacts/splits/scenario_representation_v2_1/representation_manifest.json;scripts/build_scenario_representation_v2_1.py;scripts/finalize_scenario_representation_v2_1.py;scripts/smoke_scenario_v2_1_interfaces.py;src/skru1/scenario_preprocessing_v2_1.py;src/skru1/scenario_sequences_v2_1.py;…(+3)
src/skru1/scenario_boundary_v2_1.py,src_module,3810,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,sys.addaudithook file-boundary (запрет открытия evaluator payload внутри model worker) — идея для будущего validation harness,SKRU1_ACTUAL_DATA_TABLES_v1;artifacts/splits/t1_v1;artifacts/splits/t5_v1;data/scenario_simulation_v2_1,artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;artifacts/splits/scenario_representation_v2_1/representation_manifest.json;scripts/build_scenario_representation_v2_1.py;scripts/finalize_scenario_representation_v2_1.py;scripts/smoke_scenario_v2_1_interfaces.py;scripts/validate_scenario_representation_v2_1.py;src/skru1/scenario_adapter_v2_1.py;…(+5)
src/skru1/scenario_preprocessing_v2_1.py,src_module,5585,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,,src/skru1/scenario_adapter_v2_1.py;src/skru1/scenario_boundary_v2_1.py;src/skru1/scenario_sequences_v2_1.py;src/skru1/scenario_splits_v2_1.py;src/skru1/splits.py,artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;artifacts/splits/scenario_representation_v2_1/representation_manifest.json;scripts/build_scenario_representation_v2_1.py;tests/test_scenario_representation_v2_1.py
src/skru1/scenario_scorer_v2_1.py,src_module,1817,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,разделение scorer-side загрузки truth,src/skru1/scenario_boundary_v2_1.py,artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;artifacts/splits/scenario_representation_v2_1/representation_manifest.json;scripts/validate_scenario_representation_v2_1.py;tests/test_scenario_representation_v2_1.py
src/skru1/scenario_sequences_v2_1.py,src_module,3433,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,,src/skru1/scenario_adapter_v2_1.py,artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;artifacts/splits/scenario_representation_v2_1/representation_manifest.json;scripts/build_scenario_representation_v2_1.py;src/skru1/scenario_preprocessing_v2_1.py;tests/test_scenario_representation_v2_1.py
src/skru1/scenario_simulation.py,src_module,47320,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d; генератор v1 (latent/missingness/measurement error раздельно),verify_upstream/VerifiedUpstream; разделение latent state / missingness / measurement error (концептуально = World/Process/Observation),,.gitattributes;artifacts/data_quality/scenario_representation_v2/independent_validation.json;artifacts/data_quality/scenario_representation_v2_1/acceptance_receipt.json;artifacts/data_quality/scenario_representation_v2_1/independent_origin_validation.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;data/scenario_simulation_v2/manifest.json;data/scenario_simulation_v2_1/manifest.json;docs/reports/DATA_FOUNDATION_V2_RU.md;…(+7)
src/skru1/scenario_simulation_v2.py,src_module,47857,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,,src/skru1/empirical_constraints_v2.py;src/skru1/scenario_simulation.py,.gitattributes;artifacts/data_quality/scenario_representation_v2/blocker_receipt.json;artifacts/data_quality/scenario_representation_v2/independent_validation.json;artifacts/research/r2_adversarial_audit/reviewed_file_hashes.csv;artifacts/research/r2_adversarial_audit/source_inventory.csv;data/scenario_simulation_v2/manifest.json;docs/governance/SCENARIO_EXPERIMENT_V2_PROTOCOL.md;docs/reports/DATA_FOUNDATION_V2_RU.md;…(+5)
src/skru1/scenario_simulation_v2_1.py,src_module,50169,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,"exact_elapsed_days (календарная точность, урок V2-REP-001)",data/scenario_simulation_v2_1;src/skru1/empirical_constraints_v2.py;src/skru1/scenario_simulation.py,artifacts/data_quality/scenario_representation_v2_1/acceptance_receipt.json;artifacts/data_quality/scenario_representation_v2_1/independent_origin_validation.json;artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/reviewed_file_hashes.csv;artifacts/research/r2_adversarial_audit/source_inventory.csv;data/scenario_simulation_v2_1/manifest.json;docs/research/r2_adversarial_audit/03_CURRENT_DATA_CLAIMS_MATRIX.csv;scripts/generate_scenario_v2_1.py;…(+1)
src/skru1/scenario_splits_v2_1.py,src_module,8957,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,,src/skru1/scenario_adapter_v2_1.py;src/skru1/scenario_boundary_v2_1.py;src/skru1/splits.py,artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;artifacts/splits/scenario_representation_v2_1/representation_manifest.json;scripts/build_scenario_representation_v2_1.py;scripts/finalize_scenario_representation_v2_1.py;src/skru1/scenario_preprocessing_v2_1.py;tests/test_scenario_representation_v2_1.py
src/skru1/scenario_worker_v2_1.py,src_module,1276,1,FROZEN_REFERENCE,v2.1 hash-closure (pinned manifests a268cd78/96b88b61/0e5501cb); SHA проверяется из git-объектов legacy=d54025d,,src/skru1/scenario_adapter_v2_1.py;src/skru1/scenario_boundary_v2_1.py;src/skru1/splits.py,artifacts/repository_cleanup/canonical_cleanup_receipt.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;artifacts/splits/scenario_representation_v2_1/representation_manifest.json;scripts/smoke_scenario_v2_1_interfaces.py;tests/test_scenario_representation_v2_1.py
src/skru1/splits.py,src_module,22896,1,REUSE_GENERIC,ядро forward-only split-логики; загрузчики привязаны к canonical bundle retired-данных,"reject_random_train_test_split, reject_plain_kfold, validate_splitter_name, rolling_origin_assignments + _assert_rolling_origin_order, leave_one_group_out_assignments, sample_id_list_sha256, SealedTestError/_authorize_test_access",artifacts/splits/t1_v1;artifacts/splits/t5_v1;src/skru1/data_contracts.py;src/skru1/leakage.py,artifacts/data_quality/gate_a1_findings.csv;artifacts/data_quality/gate_a1_report.json;artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/frozen_candidate.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/reports/GATE_A1_DATA_QUALITY_RU.md;scripts/build_gate_a1_notebook.py;…(+27)
src/skru1/transition_validation.py,src_module,5941,1,MOVE_TO_LEGACY,origin-only transition proxy Gate B2,,src/skru1/metrics.py,artifacts/governance/final_candidate_suite_v3.json;artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/t1_b2_v1/development_candidate.json;artifacts/model_selection/t1_b2_v1/validation_report.json;artifacts/model_selection/t1_b3_v1/development_candidate.json;artifacts/model_selection/t1_b3_v1/validation_report.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;src/skru1/gate_b2.py;…(+2)
src/skru1/uncertainty.py,src_module,5897,1,REUSE_GENERIC,независимый модуль конформных интервалов,"finite_sample_conformal_quantile (ceil((n+1)(1-α))/n), calibrate/apply_scaled_conformal",,artifacts/governance/final_candidate_suite_v4.json;artifacts/model_selection/t1_b2_v1/development_candidate.json;artifacts/model_selection/t1_b2_v1/validation_report.json;artifacts/model_selection/t1_b3_v1/development_candidate.json;artifacts/model_selection/t1_b3_v1/validation_report.json;artifacts/research/r2_adversarial_audit/source_inventory.csv;src/skru1/gate_b2.py;src/skru1/gate_b3.py;…(+1)
src/vkm_world,src_package,87660,32,KEEP_CURRENT,"новый фундамент WorldSpec vNext: core(provenance/units/base), spatial, geology, mining, materials, physics, observations, chronology, evidence, governance, mathmeta, worldspec; без зависимостей от skru1",,,CLOUD_TO_LOCAL_HANDOFF_RU.md;docs/architecture/REPOSITORY_ARCHITECTURE_RU.md;docs/reset_2026_09/NIGHT_RUN_LEDGER_RU.md;docs/reset_2026_09/run_kit/MATH_PROTOCOL.md;docs/reset_2026_09/run_kit/workflows/math_foundation_wave1.js;docs/worldspec/WORLD_SPEC_VNEXT_RU.md
scripts/__init__.py,script,37,1,MOVE_TO_LEGACY,нужен только для импорта scripts.prepare_gate_a0 в тестах,,,artifacts/research/r2_adversarial_audit/source_inventory.csv
