claim_id,current_claim,claim_category,current_artifact,source_file,source_page_or_sheet_or_layer,source_figure_table_heading,exact_source_evidence,current_interpretation,independent_interpretation,units,sign_convention,temporal_scope,spatial_scope,measurement_method,datum_reference_system,digitization_required,digitization_uncertainty,evidence_tier,verification_status,impact_if_wrong,recommended_action
R2-C011,"Семь доноров — семь самостоятельных когорт масштаба (равные веса, по 18 миров)",donor_independence,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json; docs/reports/DATA_FOUNDATION_V2_RU.md,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,—,"Три пары (л.1,5,17) — один график, одни реперы, вложенные периоды; л.6 — один период",Семь donor cohorts; каждая latent world берёт одну,"Независимых единиц — 4 линии (и, вероятно, одна сеть/одна презентация). Пары 1-год/5-лет зависимы (вероятно вложенные периоды), совместная информация (отношение) отброшена",—,—,—,—,—,—,no,—,TIER_4,PARTIALLY_SUPPORTED,Переоценка разнообразия эмпирической базы; иллюзия 7 независимых подтверждений,Документировать зависимость; в v3 группировать по линии
R2-C012,Разность S(2011–2016) − S(2015–2016) не вычисляется (общий datum не доказан),cross_period,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,—,—,block_cross_period_subtraction,"Консервативно верно. R2: отношение 1-год/5-лет в общих слотах (при допущении общего datum) — л.1 медиана 0.20 (0.15–0.23), л.5 0.14 (0.11–0.27), л.17 0.15 (0.14–0.19): последние годовые приращения ≤ среднегодовых → стационарное или слабо затухающее оседание в 2015–2016",безразм.,—,2011–2016,л.1/5/17,нивелирование,не доказан,no,—,TIER_1 derived (AMBIGUOUS datum),SUPPORTED,Нет,Сохранить блок; отношение использовать только как AMBIGUOUS контекст
R2-C013,"Радарные серии p.15 — только modality comparison, не калибровка",modality,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15; p.10,p.10: 'Трансформация… наклон интерферограмм… уравненная карта смещений',p.10 описывает поправки за смещение и наклон карт вертикальных смещений,modality_comparison_only,"Согласен; дополнительно: радарные карты, вероятно, уравнены (смещение/наклон), возможно по наземным данным → согласие радар–нивелир частично построено обработкой",мм,—,—,—,радар,"относительный, уравненный",no,—,TIER_2,SUPPORTED_WITH_LIMITATIONS,Переоценка точности радара,Документировать
R2-C014,"Статистики радар−нивелир (RMS 5.8–41.8 мм; r 0.69–0.97) — контекст расхождения, не σ",modality_stats,artifacts/reconstruction/scenario_constraints_v2/modality_comparison.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,—,—,plotted_modality_disagreement_not_leveling_error,"Согласен (включает оцифровку, приближённые маркеры, обработку)",мм,—,—,—,—,—,yes,—,TIER_1 derived,SUPPORTED,—,Нет действий
R2-C015,"Карта p.14: СКРУ-1, 2016; легенда ±60 мм/год — шкала отображения; шаг изолиний 5 мм/год",map_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.14,Подпись 'Карта скоростей оседаний территории деятельности СКРУ-1… 2016г.',"Легенда −60…+60 мм/год; подпись изолиний; на изолинии в центре мульды подпись '−70'; масштабная линейка 0–1000 м; сетка панелей/блоков (номера 2…201; 1–5 ВП, 1 ЮВП, 1–3 ЮЗП)",reader_plausibility_reference_only; map_resolution_context_only,"Согласен с запретом калибровки. Не использовано: изолиния −70 мм/год (экстремум ≥70 мм/год, согласуется с 1-год. донором л.1 ≈70 мм), масштабная линейка и сетка панелей (геометрия, TRACK B)",мм/год,отрицательные = опускание,2016 (период мониторинга),"СКРУ-1, без геопривязки",радар (LOS→? не указано),относительный,no,—,TIER_1,SUPPORTED_WITH_LIMITATIONS,—,Добавить −70 мм/год как AMBIGUOUS контекст; геометрию панелей в TRACK B
R2-C016,"Врезка p.14 (временной ряд) — UNRESOLVED: объект, метод, агрегация, datum не указаны",temporal_trajectory,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.14 (нативный /Image153 1108×735),"Легенда 'Отметка', 'Сигма+', 'Сигма-', 'Полиномиальная (Отметка)'",Ось дат май 2011…август 2016 (шаг 3 мес); 0 → ≈−390 мм; кластеры измерений только ~апр/май–окт/ноя каждого года,prohibit_numeric_calibration; method unspecified,"Объект не установлен (согласен). Метод 'не указан' частично опровергается: заголовок слайда, легенда 'Отметка/Сигма' и сезонные кластеры указывают на радарный точечный ряд. Траектория почти линейна ≈70–75 мм/год с лёгким ускорением в 2015–2016; зимние пробелы ~5–6 мес/год",мм,negative-down,05.2011–~10.2016,точка не указана (СКРУ-1 слайд),вероятно PS/радар,относительно первой сцены,yes (для качественного описания),"±5 мм, ±0.5 мес",TIER_1 (объект UNKNOWN),PARTIALLY_SUPPORTED,Потерян единственный многолетний ряд района как качественная опора,Зарегистрировать как qualitative temporal evidence + evidence сезонной недоступности радара
R2-C017,p.12: конфликт заголовка СКРУ-1/2 и подписей 'Березники 2020–2021' → исключить,site_conflict,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.12,Рисунки 32–33 'территории Березников',"Подписи рисунков: Березники 2020–2021, 2021",REJECTED для СКРУ-1,Согласен. Следствие: заголовок слайда в этой презентации не является надёжной атрибуцией объекта (важно для p.15),мм/год,—,2020–2021,Березники,радар,—,no,—,TIER_1,SUPPORTED,—,Распространить вывод на p.15 (R2-C001)
R2-C018,p.13 надпись '1 см' исключена,precision,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.13,Врезка,'Средне отклонение 1 см в области максимальных оседаний',UNRESOLVED; exclude,Согласен: нет метода/периода/объекта,см,—,—,—,радар,—,no,—,TIER_1,SUPPORTED,—,Нет
R2-C019,SUP01 — материалы Мусихина (ПНИПУ); год публикации не установлен,source_metadata,configs/supplementary_source_manifest.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,"p.1, p.7, p.12, p.16",Титул; Sentinel 2021; список публикаций,Докладчик В.В. Мусихин; на p.7 снимки 2021 г.; на p.12 Березники 2020–2021; публикации до 2017 (план),Год не установлен,Сборная презентация (материалы ≥2011…2021); хостинг geokniga — файлообменник; для ВКР нужна первичная публикация графиков,—,—,≥2021,—,—,—,no,—,TIER_1/2 (непрорецензированный),SUPPORTED,Цитирование в ВКР слабое/неприемлемое,citation_admissibility=DISCOVERY_ONLY; искать исходную статью/отчёт
R2-C020,"BAB: критерий ускорения (RMS лин/кв >1.5; c<0, a<0; вторая/первая половина >1.5) — эвристика отбора, не закон",method,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/03-GR-24-2.pdf,PDF p.13 (печ. 51),Текст перед рис.8,"Отношение СКО 1.5; c<0, a<0; отношение половин >1.5",acceleration_and_false_acceleration_motivation,Подтверждено,—,negative-down (f(t)),2021 сезон,Березники,PS-InSAR,—,no,—,TIER_2,SUPPORTED,—,Нет
R2-C021,"BAB: весеннее кажущееся смещение отражателей на крышах 3–5 см (термическое расширение), не фиксируется наземными реперами",reflector_effect,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/03-GR-24-2.pdf,"PDF p.14 (печ. 52), рис.9; заключение p.15",Рис. 8–9,Замедление погружения на 3–5 см весной; эффект не фиксируется геодезическими реперами на грунте,reflector_contamination_stress_amplitude 30–50 мм,"Подтверждено (эффект = кажущийся подъём/замедление весной, ~апрель–июнь)",см,кажущийся подъём,весна 2021,"Березники, крыши",PS-InSAR,—,no,—,TIER_2,SUPPORTED,—,Нет
R2-C022,"Зимняя недоступность отражателя = месяцы 11–12 (reflector_missing_months=[11,12]); наблюдения в январе–апреле доступны",missingness_calendar,configs/scenario_simulation_v2_1.json:reflector_missing_months; src/skru1/scenario_simulation_v2.py:observation_arrays,inputs/sources/primary/03-GR-24-2.pdf; inputs/sources/primary/ВКР_Филатова_М_С.docx; inputs/sources/primary/Babayants-Disser.pdf; inputs/sources/supplementary/geokniga-02obrabotka.pdf; inputs/sources/primary/01006516068.pdf,SRC03 p.14; SRC01 §2.1; SRC04 §3.4 pp.64–69; SUP01 p.14 врезка; SRC05 p.15,—,"SRC03: нет данных за ноябрь–декабрь 2021 из-за снега. SRC01: устойчивый снежный покров с ноября до апреля. SRC04: сезоны TerraSAR-X 26.04–08.10.2021, 24.04–28.10.2022. SUP01: сцены только ~май–окт/ноя. SRC05: сезон съёмки = бесснежный",Мотив из одного случая 2021 г.; маска 11–12,"Реалистичная радарная недоступность ≈ ноябрь–апрель. В v2.1 6 из 29 кампаний (C004 фев, C008 апр, C011/C019/C023 янв, C015 мар) наблюдаются в условии reflector_seasonal вопреки источникам",месяцы,—,календарь 2018–2025,все точки,синтетический отражатель,—,no,—,TIER_1/2,CONTRADICTED,"Условие reflector_seasonal (128 сценариев) содержит зимние 'радарные' наблюдения, не подтверждённые документированными сезонами района",ERRATUM_CANDIDATE (документация: условие = чистый stress-test); V3: маска ноя–апр
R2-C023,"Термический эффект: старт day 75, подъём 90 дней, затем постоянен до 31.12, сброс 1 января; доля 0.5; амплитуда 30–50 мм",measurement_error_model,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,inputs/sources/primary/03-GR-24-2.pdf,p.14,—,Источник описывает весеннее замедление 3–5 см; обратного хода не наблюдали,source-motivated amplitude; waveform/timing/reset — допущения,"Верифицировано по causal_history (парно, одна latent world): средняя разница reflector−ordinary ≈ −15…−21 мм в кампаниях май–окт и ≈0 (−0.1…+0.1) в кампаниях янв–мар → для поражённых точек кажущийся скачок +30…50 мм между октябрём и январём, в период, для которого в документированных радарных наборах района наблюдений нет (снежный покров)",мм,positive-down (−amp = кажущийся подъём),ежегодно,50% точек,синтетика,—,no,—,TIER_4/PURE_STRESS,UNSUPPORTED,Доминирующий сигнал условия — артефакт календаря; ложные ускорения,Отчитывать reflector-страту отдельно как stress (R1 уже исключает из primary); V3 исправить
R2-C024,Семейство uniform мотивировано постоянной скоростью (SRC03 p.9),temporal_family,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,inputs/sources/primary/03-GR-24-2.pdf; inputs/sources/primary/01006516068.pdf; inputs/sources/supplementary/geokniga-02obrabotka.pdf,"SRC03 p.9, p.13; SRC05 p.16 рис.6б; SUP01 p.14",—,"SRC03: почти постоянная скорость в областях интенсивных оседаний. SRC05 рис.6б: реп.5 проф. линии XXVII ВКМКС, нивелирование+радар 06.2004–10.2008, ≈−18 см почти линейно. SUP01 врезка: ≈70–75 мм/год 2011–2016",BAB-UNIFORM-RATE (Березники),"Поддержано сильнее, чем заявлено: есть локальные (Соликамск/ВКМКС) многолетние почти линейные ряды, включая нивелирование","мм, мм/год",negative-down,2004–2008; 2011–2016,ВКМКС/Соликамск (точки не установлены),нивелирование; радар,относительный,yes (качественно),—,TIER_2,SUPPORTED,—,Зарегистрировать SRC05 рис.6б и врезку SUP01 как temporal evidence
R2-C025,"Скорости 200–320 мм/год (Березники) — внешний контекст, не СКРУ-1",rate_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/03-GR-24-2.pdf,"pp.7,9,15",—,До 320 мм/год у провала; в основном ≤200–250,external_scale_context_only,Подтверждено,мм/год,—,2020–2021,Березники,InSAR,—,no,—,TIER_2,SUPPORTED,—,Нет
R2-C026,SRC04 (диссертация Бабаянц) — только дублирующее подтверждение SRC03 (pp.72–74),source_role,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/Babayants-Disser.pdf,pp.72–74 (не перечитаны); §3.4 pp.64–70,Рис.3.16–3.18,"§3.4: СКРУ-2 (южнее Соликамска) 2021–2022: большая часть отвода без значимых оседаний; провал 20–40, местами 60–80 мм/год; профили 80–100 мм/год за 07.2020–07.2021; порог шумов ≈20–22 мм/год",duplicate_source_corroboration_only,"Раздел §3.4 — самостоятельные региональные данные (СКРУ-2, соседний рудник) не зарегистрированы",мм/год,negative-down,2020–2022,СКРУ-2,TerraSAR-X Std/Step; нивелирование,относительный,no,—,TIER_2,PARTIALLY_SUPPORTED,Потеряна региональная информация о масштабе скоростей и сезонности,Зарегистрировать §3.4 как regional context
R2-C027,SRC05: корреляция радар/нивелир 0.57–0.95; СКО 10.7 мм (Соликамск 2011),modality_stats,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/01006516068.pdf,"pp.12–13, рис.4",'Сводный график вертикальных смещений по профильной линии №5',"Текст: r 0.57–0.95; рисунок: СКО 10.7 мм, корреляция 0.95 (OCR-слой ошибочно даёт 0.913)",modality_diagnostic_context_only,Подтверждено по изображению; 'линия №5' Соликамска совпадает по форме с линией 5 SUP01,мм,negative-down,2011,Соликамск (СКРУ-1 по рис.3),нивелирование II кл.; радар,—,no,—,TIER_2,SUPPORTED,—,Отметить ошибку OCR; использовать как подтверждение атрибуции линии 5
R2-C028,SRC05: атмосферный остаток 0.8–1.4 см — не шум нивелирования,noise_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/01006516068.pdf,p.12,—,Ошибки фаз 0.8–1.4 см,context_only,Подтверждено,см,—,—,ВКМКС,InSAR,—,no,—,TIER_2,SUPPORTED,—,Нет
R2-C029,SRC05: солеотвалы 50–60 см/год — исключено,rate_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/01006516068.pdf,p.12,—,50–60 см в год за один сезон,excluded,Подтверждено,см/год,—,один сезон,солеотвалы,InSAR,—,no,—,TIER_2,SUPPORTED,—,Нет
R2-C030,"SRC05: 4.8 мм — Астрахань, не СКРУ-1",precision_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/01006516068.pdf,"p.11, рис.2",—,"СКО 4.8 мм, линия реп.5–реп.9, АГКМ",excluded_other_site_precision,Подтверждено,мм,—,2008–2010,Астраханское ГКМ,InSAR vs нивелирование II,—,no,—,TIER_3,SUPPORTED,—,Нет
R2-C031,SRC05: 13–15 сцен в первый год — методическая рекомендация,cadence_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/01006516068.pdf,p.18,—,до 13–15 сцен,exclude_leveling_campaign_calibration,Подтверждено,сцен/год,—,—,—,InSAR,—,no,—,TIER_3,SUPPORTED,—,Нет
R2-C032,SRC06 Тюбегатан: 20 см и 4 см за 60 дней; ~2 м с 2010 — модельная оценка,rate_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/106_Губанова__Глебова.pdf,pp.41–42 (печ.),Рис.2–3,Pin5 20 см/60 дн (≈120 см/год); Pin6 4 см/60 дн; ~2.0 м — ориентировочно,exclude_cross_site_numeric_transfer,Подтверждено; статья — упругопластическая ПДС-модель с переменными модулями (методический TRACK B),см,—,26.09–25.11.2021,Тюбегатан,Sentinel-1A,—,no,—,TIER_3,SUPPORTED,—,Нет
R2-C033,"SRC10 Старобин: до 9 см, мульды 150–300 м — контекст формы",shape_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/02f4a17c7c7ba99cfc068395238c5ff9.pdf,p.9 (печ.73),—,до 9 см; 150–300 м,bowl_shape_context_only,Подтверждено,см; м,—,—,Старобинское,COSMO-SkyMed/GPS,—,no,—,TIER_3,SUPPORTED,—,Нет
R2-C034,В корпусе нет наблюдённой временной траектории нивелирования ВКМ (все temporal laws — допущения; uniform мотивирован только Березниками),evidence_completeness,docs/reports/DATA_FOUNDATION_V2_RU.md; artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/01006516068.pdf; inputs/sources/supplementary/geokniga-02obrabotka.pdf,SRC05 p.16 рис.6б; SUP01 p.14,Рис.6: 'История вертикальных смещений рп.5 на профильной линии XXVII…',"Совмещённый график нивелирования и радара за 4 года (2004–2008), ≈0…−18 см",Нет эмпирической траектории,"Траектория есть (TIER_2, объект/рудник неточен). Она не идентифицирует закон мира генератора, но опровергает тезис об отсутствии временных данных",см,negative-down,06.2004–10.2008,ВКМКС (рудник не указан),нивелирование + радар,относительный,yes,±0.5 см,TIER_2,CONTRADICTED,"Неполный evidence register; семейства выглядят произвольнее, чем есть",Добавить в реестр ограничений как qualitative/AMBIGUOUS
R2-C035,Оригинальные TAB/Excel Филатовой недоступны; только изображения в DOCX,source_availability,docs/governance/RESEARCH_DIRECTION_RU.md,inputs/sources/primary/ВКР_Филатова_М_С.docx,Задание п.3; §3.1.1; рис.12,Рис.12 'Представленные для анализа данные',"Список: Параметры_шахтного_поля_СКРУ1…, ОСЕДАНИЯ_2022_СКРУ1, ОСЕДАНИЯ 2022_ок.cpg, AZOLIN_KR2, AZOPOL_KR2, otrpol_ab/kr2/ks/vk/vs, zone_pol, факт_закл_*_01_10_2022",Недоступны,Подтверждено: локально нет ни одного .tab/.dat/.map/.id/.shp (инвентаризация 140 878 файлов),—,—,—,СКРУ-1,—,местная СК,no,—,TIER_1,SUPPORTED,—,Нет
R2-C036,Зональные статистики Филатовой: период накопления/datum не установлены → QUALITATIVE_ONLY,numeric_context,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,"рис.12, 18, 22, 29; §3.2",Рис.22 'Интерполяция данных оседания'; рис.18,"Легенда рис.22 0…4300 мм; слой 'ОСЕДАНИЯ_2022_СКРУ1'; 50% участков ≤500 мм, 88% ≤2000 мм",geometry_context_only_no_temporal_amplitude,"Согласен для временной амплитуды. Уточнение: имя файла даёт SOURCE_STATE_DATE-метку '2022' (год, не дата наблюдения); поле — накопленное оседание (вероятно с начала отработки 1930-х), до ~4.3 м",мм,положительные = оседание,накоплено к ~2022,шахтное поле СКРУ-1,изолинии предприятия (метод не указан),не указан,yes,—,TIER_1 (вторичная компиляция),SUPPORTED_WITH_LIMITATIONS,—,Добавить метку 2022 и масштаб 0–4.3 м как контекст TRACK B
