evidence_id,topic,item,value_or_description,unit,material_or_layer,source_id,location,site_specificity,numeric_or_qualitative,georeferenced,test_type_or_method,conditions,evidence_tier,confidence,solver_usability,identifiability_class,citation_admissibility,notes
PE-012,mining_chronology,Годы отработки и закладки 11 зон,Отработка 1934–1991 (напр. 3П/19П зона 88: 1934–1939; 18П 207/208: 1955–1957; 55П 98: 1969–71); закладка 1971–2017 (сухая/гидро); БВР/комбайн; H 190–300 м; камеры 5–16 м; целики 8.5–12 м; C 0.14–0.33; межосевое 13.5–27 м,годы; м,КрII/АБ/Вк,SRC01,рис.17 (TECH-14: см. R2-C038),site,numeric,zone IDs (без геометрии),таблица предприятия,—,TIER_1,high (кроме TECH-14),PARTIAL (11 зон из ~1665 записей),DIRECTLY_IDENTIFIED (для 11 зон),FINAL_OK,Полная хронология отсутствует
PE-013,mining_chronology,Состояние закладки на 01.10.2022,"Слои факт_закл_{VS,АБ,Вк,Кр2}_01_10_2022 (только имена и растр рис.25б)",—,"VS, АБ, Вк, КрII",SRC01,"рис.12, 25б",site,qualitative (snapshot),raster,—,SOURCE_STATE_DATE 2022-10-01,TIER_1,medium,"WEAK: snapshot, не хронология",WEAKLY_CONSTRAINED,FINAL_OK,—
PE-014,mining_chronology,История блока 129 (вероятно СКРУ-1),"Отработка 1965–1976 (КрII, АБ), без закладки; 1984–85 резкий рост скоростей (разрушение междупластья); профильная линия с 1968; оседание 3.2 м; прогноз 5.8 м; [Vm]=3.8 м; [Vi]п=1.5 м",м; годы,"КрII, АБ",EXT04,с.60–61,site? (номера блоков совпадают с SUP01 p.14 — AMBIGUOUS),numeric,no,профильная линия + модель,—,TIER_2,medium,PARTIAL: один блок,WEAKLY_CONSTRAINED,FINAL_OK,Ценный пример реактивации
PE-015,geometry,Сетка панелей/блоков + скорости 2016 + масштаб,"SUP01 p.14: номера блоков 2…201, 1–5 ВП, 1 ЮВП, 1–3 ЮЗП; изолинии 5 мм/год; центр мульды −70 мм/год; линейка 0–1000 м",мм/год; м,поверхность,SUP01,p.14,site (СКРУ-1),raster,no (масштаб есть),радар,2016,TIER_1,medium,"WEAK (растровая, возможна совместная привязка с рис.13а Филатовой по номерам)",WEAKLY_CONSTRAINED,DISCOVERY_ONLY,Сопоставление номеров не выполнено
PE-016,surface_response,Накопленное оседание СКРУ-1 (~2022),"Легенда 0…4300 мм; 50% участков ≤500 мм, 68% ≤1000, 80% ≤1500, 88% ≤2000 мм; зональные Disp для 8 зон 170–284 мм (mean)",мм,поверхность,SRC01,"рис.18, 22, 29; §3.2",site,numeric (агрегат),raster/zone,изолинии предприятия,"~2022, с начала отработки (не установлено)",TIER_1,medium,"PARTIAL (финальное состояние, без истории)",BOUNDED_BY_SOURCE,FINAL_OK,Disp_min ≈100 — артефакт
PE-017,surface_response,Скорости оседаний Соликамск 2011–2016,Интервальные профили л.1/5/17/6 (до ≈350 мм за 2011–2016; до ≈70 мм за 2015–2016); карта 2016 до ≥70 мм/год,мм; мм/год,поверхность,SUP01,p.14–15,Соликамск (рудник AMBIGUOUS),numeric,no,нивелирование; радар,2011–2016,TIER_1/2,medium,PARTIAL (наблюдаемый оператор),BOUNDED_BY_SOURCE,DISCOVERY_ONLY,Главные эмпирические ограничения v2.1
PE-018,surface_response,Многолетние ряды,"SRC05 рис.6б: 2004–2008 ≈−18 см почти линейно (нивелирование+радар, ВКМКС); SUP01 врезка: 2011–2016 ≈−390 мм, ≈70–75 мм/год",мм,поверхность,SRC05; SUP01,p.16; p.14,regional/site,numeric (оцифровка),no,нивелирование; радар,многолетние,TIER_2,medium,PARTIAL (временной оператор),WEAKLY_CONSTRAINED,FINAL_OK / DISCOVERY_ONLY,Объект точек не установлен
PE-019,surface_response,СКРУ-2 2021–2022,Большая часть отвода без значимых оседаний; провал 20–40 (до 60–80) мм/год; профили 80–100 мм/год (07.2020–07.2021); шум ≈20 мм/год,мм/год,поверхность,SRC04,§3.4 pp.64–70,regional (соседний рудник),numeric,OSM-карта,TerraSAR-X Std; нивелирование,бесснежный сезон,TIER_2,medium,PARTIAL,BOUNDED_BY_SOURCE,FINAL_OK,—
PE-020,empirical_relations,Геометрия мульды ВКМ,"L = H(ctgψ + ctgδ) ≈ 1.54H; ψ=55° (граничный), δ=50° (полных сдвижений); типовые кривые S(z), S'(z)=2 (C=0.4) / 4 (C=0.7)",град; м,подработанная толща,EXT03 (по Указаниям),с.58–59,regional (ВКМ),numeric,—,нормативно-эмпирическое,—,TIER_2,high,USABLE как ограничение совместимости миров,BOUNDED_BY_SOURCE,FINAL_OK,Для проверки форм мульд в физических мирах
PE-021,empirical_relations,Максимальное оседание от одного пласта,"η_ok = 0.9·ω·m_o·p; p = 1 − A(1 − B) (A — заполнение закладкой, B — усадка)",м,—,EXT03,с.59,regional,formula,—,нормативная методика,на конец процесса сдвижения,TIER_2,high,USABLE (граничное условие совместимости),BOUNDED_BY_SOURCE,FINAL_OK,"ω, m, A, B по блокам неизвестны для большинства зон"
PE-022,rheology_evidence,Существование ползучести/релаксации солей,Деформации соляных пластов времязависимы; ползучесть и релаксация (качественно),—,соли,SRC01; EXT05; EXT02,§2.3; —,general/regional,qualitative,—,литература/лаборатория,—,TIER_3,high,A: evidence that creep exists,—,FINAL_OK (EXT),—
PE-023,rheology_law_form,Закон Нортона (установившаяся ползучесть),"ε̇ = k·σ^n; сильвинит k=3.18e−17 МПа^−n·сут^−1, n=10.93; карналлит k=9.35e−17, n=6.22 (30 образцов, одноосно, σ/σпр≈0.4–0.8)",МПа; сут^−1,сильвинит; карналлит,EXT02,"с.22, рис.2",regional (ВКМ/Гремячинское — AMBIGUOUS),numeric,no,лабораторная длительная одноосная ползучесть,комнатная T (не указана); одноосно,TIER_2 (лаб.),medium,PRIOR_ONLY для массива,WEAKLY_CONSTRAINED,FINAL_OK,Экстраполяция к σ/σпр≈0.25 (глубины СКРУ-1) вне диапазона испытаний
PE-024,rheology_law_form,Модифицированная модель Бюргерса + Мор–Кулон с разупрочнением; sinh-вязкость,"Степенной закон не проходит при σi>18.8 МПа; sinh описывает весь диапазон; упоминается модель Деринга–Киля, 'широко применяемая на ВКМ' (со ссылкой на Ермашова 2015)",МПа,соляные породы,EXT05,веб-текст,other site / method,qualitative,—,лаборатория + наблюдательные станции,—,TIER_3,medium,B: candidate law form,PRIOR_ONLY,FINAL_OK,—
PE-025,rheology_law_form,Упругопластическая ПДС-модель с переменными модулями (школа ГИ УрО РАН),Метод начальных напряжений; пласты — материал с переменными модулями [Барях–Самоделкина 2005]; критерии Кулона–Мора и растяжения; снижение свойств в 1.4 раза в аномалии,—,подработанная толща,SRC06,с.40–42,other site (метод ВКМ-школы),qualitative,—,численное моделирование,—,TIER_3,medium,B: candidate approach,PRIOR_ONLY,FINAL_OK,Параметры не опубликованы
PE-026,materials,Прочность на одноосное сжатие солей ВКМ,"Сильвинит КрII: n=491, ср.26.06 (16.38–36.69), sd 3.65 МПа; сильвинит АБ: n=234, 23.22 (9.04–37.72), sd 5.05; карналлит В: n=97, 7.76 (2.52–26.64), sd 4.82; каменная соль: n=762, 26.14 (9.24–48.50), sd 4.92",МПа,"КрII, АБ, В, каменная соль",EXT01,табл.1,regional (рудники Уралкалия),numeric (распределение),no,"ГОСТ 21153.2-84, >10000 проб",лабораторные образцы,TIER_2,high,PRIOR (для массива нужен масштабный переход),BOUNDED_BY_SOURCE (регион),FINAL_OK,Не СКРУ-1-специфично
PE-027,materials,Деформационные/прочностные свойства по слоям КрII (ЕвроХим-УКК),σсж 13.73–23.62 МПа; σр 1.34–1.83 МПа; E деф 0.49–0.95 ГПа; E упр 5.29–9.06 ГПа; c 3.04–4.92 МПа; tgφ 0.64–0.76,МПа; ГПа,"КрII слои 1–7, каменная соль",EXT01,табл.2,"other VKM site (южная часть, глинизированные породы)",numeric,no,лабораторные,—,TIER_2,medium,PRIOR_ONLY для СКРУ-1 (высокий риск переноса),PRIOR_ONLY,FINAL_OK,Прочность в 1.5–2 раза ниже средней ВКМ
PE-028,materials,Статистические связи статических и динамических свойств (Романовский участок),Существуют; значения не извлечены в R2,—,"ВЗТ, калийные пласты",EXT06,аннотация,other VKM site,—,—,керн + акустический каротаж + 2D сейсмика,—,TIER_2,—,UNKNOWN (не прочитано),UNIDENTIFIED,FINAL_OK,MISSING_EVIDENCE_REQUEST MER-05
PE-029,materials,Плотность/удельный вес,Только косвенно: σv = 0.025z МПа (≈ρ 2.5 т/м³) без источника для СКРУ-1,т/м³,вмещающая толща,SRC01,§2.3,unsupported,numeric (implied),—,—,—,TIER_5,low,UNUSABLE,PRIOR_ONLY,NEEDS_REPLACEMENT,Нужны плотности по слоям
PE-030,stress,Начальное напряжённое состояние,σh = 1.2–1.5 γH — ссылка на карьерную работу (не ВКМ),МПа,массив,SRC01 [23],§2.3,misattributed,numeric,—,—,—,TIER_5,low,UNUSABLE,UNIDENTIFIED,NEEDS_REPLACEMENT,R2-C048
PE-031,pillars,Степень нагружения целиков и режимы,"C≤0.4 жёсткие (длительная устойчивость); C=0.7 податливые, разрушаются в первые 5–7 лет; скорости до ~800 мм/год в первые годы (БКПРУ-2)",безразм.; мм/год,МКЦ,EXT03,с.58–59,regional,numeric,—,наблюдения + нормативы,—,TIER_2,high,USABLE как режимные классы,BOUNDED_BY_SOURCE,FINAL_OK,—
PE-032,pillars,Конвергенция выработок 2–4 мм/сут; радиус нарушенной зоны 2.5–3 м,Ссылка на аналитическое моделирование (не ВКМ),мм/сут; м,выработки,SRC01 [24],§2.3,unsupported,numeric,—,—,—,TIER_5,low,UNUSABLE,UNIDENTIFIED,NEEDS_REPLACEMENT,R2-C049
PE-033,thermal,Температура,Только воздух выработок 16–18 °C (не порода); температура массива не найдена,°C,—,SRC01,§2.4,site,numeric,—,—,—,TIER_1_SECONDARY,low,WEAK,UNIDENTIFIED,NEEDS_REPLACEMENT,Для CreepBGRa нужна T породы
PE-034,observation_operator,Нивелирование,II класс на профильных линиях (SRC05); класс для p.15 не указан; нормативы Приказа №186 (не локально),мм,—,SRC05; v3.2 seed,p.12,regional,qualitative,—,—,—,TIER_2,medium,PARTIAL,WEAKLY_CONSTRAINED,FINAL_OK,σ отметки не опубликована
PE-035,observation_operator,Радар,Субвертикальные/LOS смещения; сезон ≈апрель–октябрь; порог ≈20 мм/год за сезон; поправки за смещение/наклон (SUP01 p.10); крыши — термический эффект 3–5 см,мм; мм/год,—,SRC03; SRC04; SUP01; SRC05,разные,regional,numeric/qualitative,—,—,—,TIER_2,medium,PARTIAL,WEAKLY_CONSTRAINED,FINAL_OK,Полный оператор LOS→вертикаль для p.14–15 не описан
PE-036,boundary_conditions,Граничные условия/симметрия/дальнее поле,Не найдено в корпусе,—,—,—,—,—,—,—,—,—,TIER_5,—,MISSING,UNIDENTIFIED,—,Инженерные допущения потребуются
PE-037,loads,Гравитация; поровое давление; поверхностные нагрузки,Гравитация — известна; поровое давление над солью (водоносные горизонты) качественно; застройка (Соликамск) качественно,—,—,SRC01; SUP01,—,general/site,qualitative,—,—,—,TIER_3/1,low,PARTIAL,PRIOR_ONLY,—,—
PE-038,solver_method,OpenGeoSys конститутивные модели,"Встроены: LinearElasticIsotropic/Orthotropic, Lubby2 (Burgers-тип для соли), CreepBGRa (степенная ползучесть соли), Ehlers; MFront-интерфейс; деактивация подобластей (excavation)",—,—,EXT12,docs,general,qualitative,—,—,—,TIER_3,high,USABLE (feasibility),—,FINAL_OK,—
