source_id,canonical_title,authors,year,type,local_path,external_url_or_doi,sha256_if_local,primary_secondary_method,site_specificity,reviewed_pages_sections,claims_supported,citation_admissibility,verification_status,r2_review_status
SRC10,Оценка влияния добычи калийных солей… Республика Беларусь,"Горский Д.А., Хоменков К.А.",не установлен,статья,inputs/sources/primary/02f4a17c7c7ba99cfc068395238c5ff9.pdf,—,d5fb9946ec69d9cb9e5f4e1b5227570c8effa879b1549fe9d5e0ef65a0747f67,other site,Старобинское,"проверка чисел 9 см, 150–300 м",R2-C033,FINAL_OK (контекст),SUPPORTED,PARTIALLY_REVIEWED
SRC11,Применение радарной интерферометрии для комплексной оценки геомеханических и термодинамических процессов (Кузбасс),"Миков Л.С., Потапов В.П.",2024,статья,inputs/sources/primary/88q34t4oapf2ibwjcw2ie0oz2bjbtmc4.pdf,—,c3a47a5df74dc38d648cdc3d962472e45cca9b8d1c4770687f244d2ad8fbdd74,method / other site,Кузбасс,ключевой поиск,—,FINAL_OK (метод),NOT_RELEVANT,NOT_RELEVANT
BOOT01,SKRU1_data_reconstruction_v3_2.zip (bootstrap),проект (сгенерировано ранее),2026,архив реконструкции/синтетики,inputs/bootstrap/SKRU1_data_reconstruction_v3_2.zip,—,b179505c22d7513e53622816532e174a0bd0611173a8a0f64a1250a3362ca99a,derived (processing history),СКРУ-1 (реконструкция),"листинг; seed/*.csv; tables: source_registry, overview_georeference, coordinate_calibration_checks, survey_profiles, survey_points (заголовок), survey_campaigns, datum_benchmarks; METHODOLOGY; GPKG слои","R2-C036–C046, C053, C071",NOT_A_SOURCE (processing history),PARTIALLY_SUPPORTED,PARTIALLY_REVIEWED
BOOT02,SKRU1_v3_2_EDA_targets_v1.zip,проект,2026,архив EDA/целей,inputs/bootstrap/SKRU1_v3_2_EDA_targets_v1.zip,—,7a654c9989ff51494b077d602205e047e69b1733f50573353e8870f94179a387,derived,—,листинг,—,NOT_A_SOURCE,NOT_RELEVANT,PARTIALLY_REVIEWED
DIG01,PUBLISHED_FIGURE_DIGITIZATION_V1 (ручная оцифровка p.15),проект/внешний handoff (автор не записан),2026,производная оцифровка,data/published_figure_digitization_v1/musikhin_profiles_digitization.csv,—,2fc8ac5cd0a40eff9c230e641fe5a3c1a7e1522d41dd989d9abf7eda4af02761,derived (digitization),—,сверена с независимой оцифровкой R2,R2-C007–C010,NOT_A_SOURCE,SUPPORTED_WITH_LIMITATIONS,PARTIALLY_REVIEWED
EXT01,Экспериментальное обеспечение проектирования параметров системы разработки на шахтных полях ВКМКС,Асанов В.А.,2018,"статья, Стратегия и процессы освоения георесурсов, вып.16, с.110–113",—,doi:10.7242/gdsp.2018.16.28; journal.permsc.ru,—,primary (лабораторные испытания),"ВКМ (рудники Уралкалия — может включать пробы СКРУ-1, не выделено; табл.2 — ЕвроХим-УКК)",полный текст (веб),TRACK B: прочность/деформируемость солей,FINAL_OK,SUPPORTED,FULLY_REVIEWED
EXT02,Применение закона Нортона для описания процесса ползучести соляных пород,Морозов И.А.,2021,"статья, Горное эхо №2(83):20–23",work (scratchpad copy),doi:10.7242/echo.2021.2.5,80a17e42b11e6039504b665d7bf171620c03f3df2a203bb8503314eeeadef778,primary (лабораторные испытания),сильвинит/карналлит; месторождение образцов не указано в статье (ссылка на ГИАБ 2020: Гремячинское и Верхнекамское),"полный текст (4 с.), параметры сверены по рендеру с.3",TRACK B: ползучесть,FINAL_OK,SUPPORTED,FULLY_REVIEWED
EXT03,Обоснование инженерных критериев безопасной подработки водозащитной толщи на ВКМ,"Барях А.А., Тенисон Л.О.",2021,"статья, Горный журнал №4:57–63",work (tool cache copy),doi:10.17580/gzh.2021.04.08,45f27345a3daf774dd29218b85d53a256c9d0d4a0d8c48af80bd4d35c7d0b129,primary peer-reviewed,ВКМ (БКПРУ-1/2; упоминание Первого Соликамского рудника),текстовый слой полностью; с.57–61 прочитаны,"R2-C051, C057, C069; TRACK B",FINAL_OK,SUPPORTED,FULLY_REVIEWED
EXT04,Методика районирования шахтных полей рудников ВКМКС по степени опасности их затопления…,"Евсеев А.В., Жукова И.А.",2024,"статья, Горное эхо №4(97):58–62",work (tool cache copy),doi:10.7242/echo.2024.4.8,8b7492c230942bb37b37cff36ec36d97ed6b316b6166c760e72d3241500e33ce,primary,"ВКМ, 'один из действующих рудников' (номера блоков 97/127/129/159, 2–3 ЮЗП совпадают с сеткой СКРУ-1 на SUP01 p.14 — AMBIGUOUS)",с.58–61,R2-C060; TRACK B хронология,FINAL_OK,SUPPORTED,FULLY_REVIEWED
EXT05,Определение и верификация параметров расчётной модели соляных пород с учётом разупрочнения и ползучести,"Козловский Е.Я., Журавков М.А.",2021,"статья, Записки Горного института 247:33–38",—,doi:10.31897/PMI.2021.1.4,—,method (конститутивная модель),соляные породы (объект не ВКМ; упоминает применение модели Деринга–Киля на ВКМ),веб-текст статьи,TRACK B: формы законов,FINAL_OK,SUPPORTED,FULLY_REVIEWED
EXT06,Геолого-геомеханическая модель участка Верхнекамского калийного месторождения,"Кашников Ю.А., Ермашов А.О., Ефимов А.А.",2019,"статья, Записки Горного института 237:259–267",—,doi:10.31897/PMI.2019.3.259,—,primary,"ВКМ, Романовский участок",только аннотация и библиография (PDF не извлечён),TRACK B: существование статистических связей свойств,FINAL_OK,SOURCE_PARTIAL,PARTIALLY_REVIEWED
EXT07,Обоснование параметров реологической модели соляного массива,"Протосеня А.Г., Катеров А.М.",2023,"статья, ГИАБ №3:16–28",—,doi:10.25018/0236_1493_2023_3_0_16,—,method,ВКМ/Нивенское/Гремячинское (общая),только аннотация (через WebFetch),TRACK B: Double Power Law,FINAL_OK,SOURCE_PARTIAL,PARTIALLY_REVIEWED
EXT08,Rheological analysis of geomechanical processes,"Baryakh A.A., Samodelkina N.A.",2005,"статья, J. Mining Science 41(6):522–530",—,doi:10.1007/s10913-006-0015-x,—,method (ВКМ),ВКМ,не прочитана (найдена по ссылке SRC06),—,DISCOVERY_ONLY (до прочтения),SOURCE_NOT_FOUND_LOCALLY,NOT_REVIEWED
EXT09,Прогноз нарастания оседаний земной поверхности при отработке свиты калийных пластов,"Барях А.А., Телегина Е.А., Самоделкина Н.А., Девятков С.Ю.",2005,"статья, ФТПРПИ №4:26–34",—,—,—,primary (ВКМ),ВКМ,не прочитана (ссылка из SRC01 [47]),—,DISCOVERY_ONLY,SOURCE_NOT_FOUND_LOCALLY,NOT_REVIEWED
EXT10,Геомеханическое обоснование расчётов оседаний земной поверхности при добыче калийно-магниевых руд (автореферат),Ермашов А.О.,2015,"автореферат, ГИ УрО РАН",—,—,—,primary (ВКМ),ВКМ,не прочитана (ссылка из EXT05 [1]),—,DISCOVERY_ONLY,SOURCE_NOT_FOUND_LOCALLY,NOT_REVIEWED
EXT11,Исследование особенностей НДС массива в окрестности крупной карьерной выемки,"Козырев А.А., Рыбин В.В., Семенова И.Э., Аветисян И.М.",2009,"статья, Вестник МГТУ 12(4):661–669",—,—,—,"other site (Кольский п-ов, карьер)",не ВКМ,только библиографическая запись в SRC01 [23],R2-C048 (доказательство неприменимости),DISCOVERY_ONLY,SUPPORTED (как идентичность),NOT_REVIEWED
EXT12,"OpenGeoSys 6 — документация: Constitutive relations (CreepBGRa, Ehlers, LinearElastic*, Lubby2, MFront)",OGS community / UFZ,2025–2026,документация ПО,—,https://www.opengeosys.org/stable/docs/userguide/blocks/misc/constitutive_relations/,—,official technical documentation,—,страница конститутивных соотношений; релиз-ноты 6.4.1/6.5.0 (deactivated subdomains),14_OPENGEOSYS_FEASIBILITY,FINAL_OK (документация),SUPPORTED,PARTIALLY_REVIEWED
WEB-DISC,"Поисковые выдачи WebSearch, ResearchGate (403), geokniga, dissercat",—,2026,поиск,—,—,—,discovery,—,—,—,DISCOVERY_ONLY,—,NOT_RELEVANT
