vn_id,source_id,locator,stage_as_extracted,stage_id,mapping,status,scope,confidence,time_scale_as_extracted,notes
EV-VN-S011-2730,VKM-SRC-011,p147 [Прилож. 2 «История открытия и освоения месторождения»],exploration overlapping extraction,I02,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,1925-1987,Information-lifecycle implication for SKRU-1: early mining (1930s) was planned on sparse early drilling; detailed-exploration dataset (1961) came ~30 yr later.
EV-VN-S011-2774,VKM-SRC-011,p154 [Прилож. 3 «Павел Иванович Преображенский»; перечень публикаций],underground observation / geological mapping in workings,P09,manual override (reviewed),FACT,SKRU1,MEDIUM,from 1930 (mine operation) onward,
EV-VN-S011-3943,VKM-SRC-011,"p181 [English SUMMARY 3 Ontogenesis of VKSD (3.1, 3.2)]",geological ontogenesis of the deposit,P01,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,geological (Permian → present),"English SUMMARY (author's translation/abridgement of the Russian text); Frame for the 'formation' end of the physical lifecycle; hypergenesis (karst, leaching) continues today."
EV-VN-S012-0005,VKM-SRC-012,p5 [Введение],geological-geomechanical model building,I07,explicit (cited in stage row),FACT,SOLIKAMSK_GROUP,HIGH,n/a,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0006,VKM-SRC-012,"p6 [Введение, Актуальность]",3D Vp field -> property field,I16,keyword rule on stage text,MODEL_CHOICE,SOLIKAMSK_GROUP,HIGH,n/a,"Key architectural pattern for a 3D WorldSpec: property fields derived from Vp via empirical regressions (see chunk with pp.73-83).; область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0136,VKM-SRC-012,"p30 [§1.4.2, [52]]",formation / tectonic deformation of salt sequence,P03,explicit (cited in stage row),FACT,VKM_REGIONAL,LOW,early Mesozoic,
EV-VN-S012-0166,VKM-SRC-012,p33 [§1.4.2 (pp.31-33)],multi-seam extraction -> delayed collapse -> long-term evolution (sinkholes),P19,explicit (cited in stage row),FACT,SKRU2,MEDIUM,years (mining) -> instantaneous (1995) -> ~19-23 years (sinkholes 2014/2018),
EV-VN-S012-0177,VKM-SRC-012,p34 [§1.4.2],multi-seam extraction + delayed backfill,P14,explicit (cited in stage row),FACT,SKRU2,HIGH,decades,
EV-VN-S012-0185,VKM-SRC-012,p36 [§1.4.3],geophysics -> geological-geomechanical model,I06,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,project-based,
EV-VN-S012-0245,VKM-SRC-012,p52 [§2.3],long-term surface response (ongoing),P18,explicit (cited in stage row),FACT,SKRU2,HIGH,decades,область: SKRU1_SKRU2 → SKRU2 (D-17; мульды и отсутствие стабилизации — сторона СКРУ-2 у целика (p.52))
EV-VN-S012-0290,VKM-SRC-012,p61 [Рис. 3.1],geological-geomechanical model building,I07,explicit (cited in stage row),FACT,GENERAL_METHOD,HIGH,,
EV-VN-S012-0294,VKM-SRC-012,p62 [§3.1 p.62],3D property cube -> 2D calculation section,I16,keyword rule on stage text,MODEL_CHOICE,SOLIKAMSK_GROUP,HIGH,,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0427,VKM-SRC-012,"p75 [§3.4, программа испытаний п.1–8]",lab testing (static+dynamic),I04,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,hours per specimen (2–3 h hold),
EV-VN-S012-0506,VKM-SRC-012,p95 [§4.1],extraction (multi-seam chamber mining) as modelled,P12,keyword rule on stage text,FACT,SOLIKAMSK_GROUP,HIGH,1974–1986 onward to 2020 (EV-MIN-0077),"The actual chamber-by-chamber dates are not given in the dissertation text of this chunk -> UNKNOWN for WorldSpec.; область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0534,VKM-SRC-012,p83 [§3.2–3.5],geological / geological–geomechanical model building,I07,explicit (cited in stage row),FACT,SOLIKAMSK_GROUP,HIGH,research project ≈2019–2023,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0535,VKM-SRC-012,p70 [§3.3],borehole logging (ГИС),I05,explicit (cited in stage row),FACT,SOLIKAMSK_GROUP,MEDIUM,at drilling (dates not stated),"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0566,VKM-SRC-012,p104 [§4.2 p.104],surface response — active stage (future),P18,keyword rule on stage text,FACT,SKRU2,MEDIUM,years to decades,
EV-VN-S012-0604,VKM-SRC-012,p114 [§4.4 p.114],geological-geomechanical model -> FE sections -> calibration to levelling -> forecast,I16,explicit (cited in stage row),FACT,SOLIKAMSK_GROUP,HIGH,1974–2031,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0615,VKM-SRC-012,p116 [Заключение pp.116-117],exploration logging -> lab tests -> 3D property model -> FE -> surveying comparison,I16,keyword rule on stage text,FACT,SOLIKAMSK_GROUP,HIGH,1974 (mining start) – 2031 (forecast),"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S014-0347,VKM-SRC-014,p29 [§2.1],mine construction: shaft sinking,P06,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,years (construction),
EV-VN-S014-0369,VKM-SRC-014,p34 [§2.2],mine planning & development (panel/block preparation),P05,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,years per panel,The order (direct/reverse) determines the space-time pattern of extraction — needed to reconstruct time history of voids.
EV-VN-S014-0421,VKM-SRC-014,p55 [§2.5-2.6],extraction (combine room-and-pillar) followed by backfill,P11,manual override (reviewed),FACT,VKM_REGIONAL,HIGH,chamber: weeks-months; panel: years; backfill delay: not stated in this chunk,
EV-VN-S014-0806,VKM-SRC-014,p107 [§3.6],underground exploration by long exploration drifts,P09,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,~500 m of drifting per month,
EV-VN-S014-0837,VKM-SRC-014,p115 [§4.1–4.2],multi-seam extraction sequence at SKRU-1,P12,explicit (cited in stage row),FACT,SKRU1,HIGH,сутки–месяцы на блок,
EV-VN-S014-0907,VKM-SRC-014,p139 [§5.1–5.2],backfill of mined-out chambers,P14,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,дни–недели после выемки группы камер (точная задержка не указана),
EV-VN-S014-0933,VKM-SRC-014,p147 [гл. 5],waste handling: underground placement vs surface storage,P14,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,"continuous, seasonal limits (зимой шлам на солеотвал не добавляют)",
EV-VN-S014-1026,VKM-SRC-014,p177 [§7.1],multi-seam sequence: development → successive stoping fronts on own/over/under seams,P12,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,"0,1–several years between fronts; stability times years to tens of years",
EV-VN-S014-1119,VKM-SRC-014,p212 [§8.2.4],water inrush → response → grouting → backfill → local mining cessation,P20,keyword rule on stage text,FACT,OTHER_POTASH_SITE,MEDIUM,not stated,
EV-VN-S014-1277,VKM-SRC-014,"p215 [§8.2 (pp.215, 218), §8.7 (p.248)]",closure / flooding -> conversion to solution mining,P23,explicit (cited in stage row),FACT,NON_VKM,MEDIUM,decades,No subsidence data given for these analogues in the practicum.
EV-VN-S014-1278,VKM-SRC-014,"p224 [§8.3.2, §8.4.3, §8.5.3, §8.8]",multi-seam / multi-slice extraction sequence,P12,keyword rule on stage text,FACT,NON_VKM,MEDIUM,months to >10 years,Relevant as an analogue for staged multi-seam extraction timing in VKM (КрII/АБ) — no VKM data here.
EV-VN-S015-0006,VKM-SRC-015,p1 [Аннотация],development/heading with real-time geophysical control (proposed),I11,explicit (cited in stage row),MODEL_CHOICE,VKM_REGIONAL,MEDIUM,real time during heading (roadheader <=1 m/min),"Proposal, not implemented operationally according to the paper."
EV-VN-S015-0107,VKM-SRC-015,p6 [§Результаты; §Методы],underground geological documentation of development workings,I03,keyword rule on stage text,FACT,VKM_REGIONAL,MEDIUM,immediately after heading (days?) — exact latency not stated,
EV-VN-S016-0018,VKM-SRC-016,"p3 [Введение, refs [20,21]]",long-term post-mining evolution,P17,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,">150 years (normative design horizon cited [20,21])",
EV-VN-S017-0067,VKM-SRC-017,p1 [pp.1-8],post-flooding surface response of built environment,I18,explicit (cited in stage row),FACT,BKPRU1,HIGH,years,Mine not named in this paper; BKPRU-1 inferred from VKM-SRC-004 and [3]. Analogue for SKRU-1 only as flooded-mine scenario.
EV-VN-S018-0078,VKM-SRC-018,p7 [Заключение pp.7-8],pre-mining site preparation / engineering surveys,I06,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,before mine development,
EV-VN-S019-0046,VKM-SRC-019,p1 [Введение],waste (slime) disposal into underground voids — post-extraction void use / backfill,P14,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,from 1970s at БКПРУ-1; later at БКПРУ-4 and СКРУ-1,
EV-VN-S020-0119,VKM-SRC-020,p14 [§1.2],вскрытие → подготовка → очистная выемка,P08,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,годы (капитальные работы) — десятилетия (эксплуатация),
EV-VN-S020-0166,VKM-SRC-020,p25 [§1.4],закладка выработанного пространства (гидравлическая),P14,keyword rule on stage text,FACT,BKPRU1,HIGH,после отработки камер (задержка не указана),
EV-VN-S020-0221,VKM-SRC-020,p72 [§2.2],очистная выемка камеры комбайновым комплексом,P11,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,смены-сутки на ход (не указано численно),
EV-VN-S020-0253,VKM-SRC-020,p10 [§1.1],естественная эволюция кровли соляной толщи (соляной карст),P04,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,геологический (не указан),
EV-VN-S020-0254,VKM-SRC-020,p11 [§1.2.1],вскрытие шахтного поля,P08,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,годы,
EV-VN-S020-0373,VKM-SRC-020,p160 [гл.3-4 (с.106-182)],extraction (очистная выемка) — технологические варианты,I09,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,"смены/сутки (выемка), 2 суток (съемка), месяц (замер)",Синтез по главам 3-4 чанка.
EV-VN-S020-0385,VKM-SRC-020,"p212 [§6.2; Рис. 6.2, 6.3]",extraction (chamber excavation by combine run),P11,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,зарубка 1-3 смены; отгон до 3 суток; проходка — не указано в днях,Key for temporal resolution of mining events: a chamber is excavated over days (not instantaneous). Duration of проходка phase not quantified here; see Рис. 6.2/6.3 and §6.5 norms.
EV-VN-S020-0457,VKM-SRC-020,p266 [§9],ввод новых и закрытие отработанных участков,P15,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,события по мере отработки участков; фиксация ≤ 1 сут,
EV-VN-S021-0048,VKM-SRC-021,p5 [заключение],closure / wet liquidation,P21,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,after/within mine life,
EV-VN-S023-0037,VKM-SRC-023,p13 [rendered p.13; §1.1.1],exploration/construction -> operation (ВЗТ integrity degradation),P17,explicit (cited in stage row),FACT,GENERAL_METHOD,MEDIUM,exploration to decades of operation,
EV-VN-S023-0392,VKM-SRC-023,"p74 [гл.3 overall, rendered pp.40-74]",surveying / surface response documentation (enterprise mine-survey GIS),P14,explicit (cited in stage row),FACT,SKRU1,MEDIUM,"mining 1934-1991+ (zones shown), backfill 1943-2017, subsidence snapshot 2022",
EV-VN-S023-0476,VKM-SRC-023,p104 [rendered p.104; §4.3],surveying / surface-response monitoring and forecast update,I12,keyword rule on stage text,MODEL_CHOICE,SKRU1,MEDIUM,repeated (satellite revisit to periodic campaigns),Contrast: the thesis states current practice = uniform distribution of observation points.
EV-VN-S024-0033,VKM-SRC-024,p14 [§2],opening -> development -> extraction,P08,manual override (reviewed),ANALOGUE,OTHER_POTASH_SITE,HIGH,not stated,'в тир этапа' = typo for 'в три этапа'.
EV-VN-S024-0139,VKM-SRC-024,p24 [§5 (pp.24-48)],surveying support lifecycle,I09,explicit (cited in stage row),ANALOGUE,OTHER_POTASH_SITE,HIGH,"decades (network), monthly (surveys/documentation), annual (loss norms)",
EV-VN-S024-0140,VKM-SRC-024,p50 [§6.1 (pp.49-53)],underground observation of deformation (design stage of ПНС),I10,explicit (cited in stage row),ANALOGUE,OTHER_POTASH_SITE,HIGH,not stated in c1,
EV-VN-S024-0151,VKM-SRC-024,p58 [§6.2.2],underground observation within extraction/backfill sequence,I10,explicit (cited in stage row),MODEL_CHOICE,GENERAL_METHOD,HIGH,>=5 years observation,
EV-VN-S024-0155,VKM-SRC-024,p59 [§6.2.3 pp.58-59],underground observation station creation,I10,explicit (cited in stage row),MODEL_CHOICE,GENERAL_METHOD,HIGH,synchronised with face advance,
EV-VN-S024-0468,VKM-SRC-024,"p119 [Прил.1 §1.8, §2.1–2.5 (pp.108-131)]",exploration → reserve approval → design → opening → panel preparation → stoping → backfill → pillar recovery,I07,explicit (cited in stage row),FACT,OTHER_POTASH_SITE,HIGH,decades (2007–2085),Analogue lifecycle template for a room-and-pillar potash mine with backfill; not VKM.
EV-VN-S024-0469,VKM-SRC-024,p128 [Прил.1 §2.5.1 (pp.126-129)],backfill placement and consolidation,P14,keyword rule on stage text,FACT,OTHER_POTASH_SITE,HIGH,not stated (settling/clarification duration unknown),"No backfill mechanical properties, fill ratio or timing relative to stoping are given."
EV-VN-S025-0163,VKM-SRC-025,p25 [§2.2],lab testing of core / in-situ testing,I04,explicit (cited in stage row),FACT,GENERAL_METHOD,HIGH,after sampling,
EV-VN-S025-0203,VKM-SRC-025,p33 [§2.4],"operational exploration (underground drilling, core sampling)",P09,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,before/during panel development,
EV-VN-S025-0211,VKM-SRC-025,p16 [§1.3],"extraction (room-and-pillar, multi-seam) -> backfill -> long-term evolution",P16,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,years to decades,
EV-VN-S025-0212,VKM-SRC-025,p19 [§1.3],flooding / closure,P20,explicit (cited in stage row),FACT,OTHER_VKM_SITE,HIGH,weeks (inflow) to ~9-10 months (sinkhole),
EV-VN-S025-0228,VKM-SRC-025,"p34 [§2.4-2.5, pp.34-39]",underground exploration drilling -> core -> lab sampling -> specimen preparation,I03,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,drilling ahead of mining front; specimens within 7-10 days,
EV-VN-S025-0333,VKM-SRC-025,p65 [p.65],geomechanical information integration / mine planning support,I16,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,continuous with mine development,
EV-VN-S025-0717,VKM-SRC-025,p131 [Гл. V p.131],lab characterization of interfaces (contacts) from monolith blocks,I04,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,lab test minutes-hours; creep tests longer,
EV-VN-S025-0718,VKM-SRC-025,p124 [§4.5 pp.121-125],closure / flooding (brine filling of mined-out space),P20,keyword rule on stage text,FACT,VKM_REGIONAL,MEDIUM,days–months (lab 1-60 days),
EV-VN-S025-0719,VKM-SRC-025,p121 [§4.5 p.121],extraction / ventilation / hydraulic backfill (operating period),P16,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,years of operation,
EV-VN-S025-0836,VKM-SRC-025,"p152 [§6.1, с.152]",long-term evolution of room-and-pillar workings,P16,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,годы-десятилетия (не указано численно),
EV-VN-S025-0904,VKM-SRC-025,"p163 [§6.3, с.163]",lab (sampling of monoliths underground -> specimen preparation -> accelerated long-term strength testing),I04,explicit (cited in stage row),FACT,SKRU1,HIGH,часы-сутки на образец (ускоренная методика),
EV-VN-S025-0945,VKM-SRC-025,p168 [§7.1-7.2],"laboratory testing of core (fracture toughness, brittleness)",I04,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,lab tests; triggered after SKRU-2 pillar collapse,
EV-VN-S025-1151,VKM-SRC-025,"p181 [§7.2, §7.5]",extraction / long-term evolution: potential dynamic failure of room-and-pillar structures,P19,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,failure duration tens of ms (lab); onset after long-term loading (not quantified here),
EV-VN-S026-0049,VKM-SRC-026,"p9 [§2, сноска 3]",late-stage extraction of safety pillars,P22,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,not stated,
EV-VN-S026-0061,VKM-SRC-026,p12 [§3],"extraction (chamber excavation, pass-by-pass)",P11,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,"shifts per pass (entry 0.5–2 shifts, retreat 1–3 shifts; full chamber tens of shifts, see p30)",
EV-VN-S026-0147,VKM-SRC-026,p31 [§5.3],isolation (closure) of a mined-out panel/block,P15,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,after panel completion,Also maintained drifts: per footnote 15 variable-length workings; supports lifecycle: preparation -> stoping -> isolation.
EV-VN-S027-0020,VKM-SRC-027,"p3 [§ допустимая степень нагружения; с. 57, 59]",mine planning (panel design before extraction),P05,explicit (cited in stage row),FACT,USOLSKY,HIGH,до начала очистной выемки на панели (2017 — стадия проекта),
EV-VN-S028-0029,VKM-SRC-028,"p15 [разд.1, п.4 Скребковые конвейеры]",extraction (ore haulage system),P11,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,per shift,Confirms panel/block structure with chambers opening onto panel/block conveyor drifts.
EV-VN-S028-0100,VKM-SRC-028,"p37 [синтез по стр. 22, 37, 75-81, 90 (цикл проходки камеры комбайном)]",extraction — chamber/working driving by continuous twin-head combine,P11,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,hours per chamber pass (not quantified in source),Assembled from several pages of this chunk; no per-chamber durations given.
EV-VN-S028-0110,VKM-SRC-028,p161 [§2.4.1 Конструкция и работа бункера (БП-14А)],extraction (chamber/drift excavation with continuous miner complex),P11,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,смена/цикл,Mining-technology context for how chambers are cut (defines the micro-timing of excavation advance; not quantified here). Tech characteristics of БП-14А referenced to part 1 p.156 (VKM-SRC-020).
EV-VN-S028-0133,VKM-SRC-028,p266 [§4.1.5 Совместная работа ПОКК с бункером-перегружателем],"extraction (комбайновая отбойка руды, микроцикл)",P11,keyword rule on stage text,FACT,VKM_REGIONAL,MEDIUM,минуты (цикл заполнения/разгрузки бункера); численных длительностей нет,Micro-temporal structure of chamber advance; complements c2 record on the same cycle. No advance rates per shift given.
EV-VN-S028-0137,VKM-SRC-028,p291 [§5.1.1 Подготовка комбайнов к монтажу; §5.1.2 Транспортирование комбайнов к месту монтажа],equipment relocation (демонтаж–транспорт–монтаж комбайнового комплекса),C01,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,длительность не указана,Relevant to 3D+time: moving a complex between workings/panels creates pauses in extraction at a given location (sequence/timing of panel mining). No durations given.
EV-VN-S028-0147,VKM-SRC-028,p302 [§5.1.6 Демонтаж комбайнов],equipment redeployment (демонтаж: ремонт / передача на другой рудник или участок),C01,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,не указано,Relevant to sequencing of panel/block extraction (breaks between panels).
EV-VN-S028-0164,VKM-SRC-028,p324 [§6.1 «Работа комбайна при проходке камер»],extraction (комбайновая проходка камер),P11,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,смена; продолжительность проходки одной камеры не приводится,
EV-VN-S028-0171,VKM-SRC-028,p333 [§7.1.1],эксплуатация оборудования (не физический жизненный цикл массива),C01,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,смена/сутки/неделя/месяц/квартал (см. §7.1.2),"Косвенно важно: простои комбайнов на ТО/ремонт влияют на фактический темп проходки камер (темп выемки во времени), но количественно здесь не выражено."
EV-VN-S029-0007,VKM-SRC-029,p5 [Введение],in-situ stress characterization (underground observation),I10,keyword rule on stage text,FACT,GENERAL_METHOD,HIGH,campaign,
EV-VN-S029-0134,VKM-SRC-029,p78 [§2.3.1],lab (sampling of monoliths from mine workings -> large blocks),I04,keyword rule on stage text,FACT,VKM_REGIONAL,MEDIUM,sampling date not stated,
EV-VN-S029-0223,VKM-SRC-029,p128 [§5.1.1],underground observation: in-situ stress measurement (borehole hydro-jack + AE Kaiser method),I10,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,campaign (dates not given in ch.5),
