edge_id,from_stage,to_stage,graph,edge_type,relation_ru,lag_as_stated,evidence_vn_ids,source_ids,locators,scope,status,confidence,notes
E011,I05,I07,information,information,Vp-каротаж → 3D-модель свойств,десятилетия (2019–2023),EV-VN-S012-0610,VKM-SRC-012,VKM-SRC-012 p116,SKRU1_SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E012,I06,I07,information,information,геофизика → зоны аномалий/строение ВЗТ,кампании,EV-VN-S012-0185,VKM-SRC-012,VKM-SRC-012 p36,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E013,I07,P05,information,cross,геологическая модель → проектирование,до начала работ участка,EV-VN-S037-0992; EV-VN-S011-2658,VKM-SRC-037; VKM-SRC-011,VKM-SRC-037 p171; VKM-SRC-011 p128,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E014,I08,P05,information,cross,нормативы → параметры целиков/охрана ВЗТ,с даты ввода редакции,EV-VN-S012-0164; EV-VN-S031-0030,VKM-SRC-012; VKM-SRC-031,VKM-SRC-012 p26; VKM-SRC-031 p4,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E015,P05,P06,physical,physical,проект → строительство стволов,годы,EV-VN-S014-0347,VKM-SRC-014,VKM-SRC-014 p29,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E016,P06,P07,physical,physical,стволы → ввод рудника,1927 → 1930 (СКРУ-1),EV-VN-S011-2706,VKM-SRC-011,VKM-SRC-011 p147,SKRU1,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E017,P07,P08,physical,physical,ввод → вскрытие/капитальные выработки,годы,EV-VN-S020-0119,VKM-SRC-020,VKM-SRC-020 p14,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E018,P08,P09,physical,physical,капитальные выработки → подземная разведка,опережение на годы,EV-VN-S014-0806,VKM-SRC-014,VKM-SRC-014 p107,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E019,P09,I07,information,cross,подземная разведка → обновление модели,по мере проходки,EV-VN-S037-0313; EV-VN-S011-3387,VKM-SRC-037; VKM-SRC-011,VKM-SRC-037 p37; VKM-SRC-011 p163,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E020,P09,P10,physical,physical,разведка → подготовка панели,годы,EV-VN-S037-0329,VKM-SRC-037,VKM-SRC-037 p40,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E021,P10,P11,physical,physical,подготовка → очистная выемка,месяцы,EV-VN-S020-0119,VKM-SRC-020,VKM-SRC-020 p14,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E022,P11,P12,physical,physical,выемка по пластам → многопластовая последовательность,"0,1–несколько лет между фронтами",EV-VN-S014-1026,VKM-SRC-014,VKM-SRC-014 p177,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E023,P11,P13,physical,physical,образование пустот → нагружение МКЦ,сутки–годы,EV-VN-S037-0990,VKM-SRC-037,VKM-SRC-037 p166,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E024,P12,P13,physical,physical,надработка/подработка → перераспределение нагрузки,годы,EV-VN-S037-0687,VKM-SRC-037,VKM-SRC-037 p109,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E025,P11,P14,physical,physical,выемка → закладка (с задержкой),10–20 лет (традиционно) / ≤2 лет (совмещённая),EV-VN-S037-0461,VKM-SRC-037,VKM-SRC-037 p66,SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E026,P11,P15,physical,physical,отработка панели → изоляция,после отработки панели,EV-VN-S026-0147,VKM-SRC-026,VKM-SRC-026 p31,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E027,P13,P16,physical,physical,нагрузка → ползучесть/деградация целиков,годы–десятилетия,EV-VN-S034-0043; EV-VN-S036-0008,VKM-SRC-034; VKM-SRC-036,VKM-SRC-034 p2; VKM-SRC-036 p1,VKM_REGIONAL; GENERAL_METHOD,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E028,P14,P16,physical,physical,закладка → изменение конвергенции/скорости оседаний,после закладки (участок 2: скорость стабилизировалась),EV-VN-S034-0026,VKM-SRC-034,VKM-SRC-034 p2,UNSTATED,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E029,P16,P18,physical,physical,укорочение целиков → оседание поверхности,годы,EV-VN-S034-0041,VKM-SRC-034,VKM-SRC-034 p4,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E030,P16,P17,physical,physical,сдвижение толщи → трещины в ВЗТ,десятилетия,EV-VN-S016-0018,VKM-SRC-016,VKM-SRC-016 p3,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E031,P17,P20,physical,physical,нарушение ВЗТ → прорыв вод,недели–месяцы после нарушения,EV-VN-S025-0212; EV-VN-S023-0037,VKM-SRC-025; VKM-SRC-023,VKM-SRC-025 p19; VKM-SRC-023 p13,OTHER_VKM_SITE; GENERAL_METHOD,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E032,P13,P19,physical,physical,перегрузка/мягкая система → динамическое разрушение,мгновенно после длительного нагружения,EV-VN-S025-1151; EV-VN-S012-0166,VKM-SRC-025; VKM-SRC-012,VKM-SRC-025 p181; VKM-SRC-012 p33,VKM_REGIONAL; SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E033,P19,P18,physical,physical,"обрушение → скачок оседаний, мульда","мгновенно (1995: 4,5 м)",EV-VN-S012-0146,VKM-SRC-012,VKM-SRC-012 p32,SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E034,P19,P20,physical,physical,обрушение → провалы через годы,~19–23 года (провалы 2014/2018 после 1995),EV-VN-S012-0166,VKM-SRC-012,VKM-SRC-012 p33,SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E035,P20,P18,physical,physical,затопление/растворение целиков → ускоренные оседания,сотни суток – годы,EV-VN-S038-0041; EV-VN-S004-0082,VKM-SRC-038; VKM-SRC-004,VKM-SRC-038 p1; VKM-SRC-004 p2,BKPRU1,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E036,P03,P18,physical,physical,разломы → локальные аномалии оседаний,—,EV-VN-S011-2657,VKM-SRC-011,VKM-SRC-011 p130,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E037,P04,P18,physical,physical,природный карст → природные мульды (фоновый сигнал),геологическое/современное,EV-VN-S020-0253,VKM-SRC-020,VKM-SRC-020 p10,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E038,P18,I12,information,cross,оседание наблюдается нивелированием реперов,кампании,EV-VN-S012-0192,VKM-SRC-012,VKM-SRC-012 p40,SKRU1_SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E039,P18,I13,information,cross,"оседание наблюдается InSAR (LOS, сезонно)",11 сут – сезон,EV-VN-S003-0122,VKM-SRC-003,VKM-SRC-003 p35,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E040,P16,I10,information,cross,деформации целиков/выработок наблюдаются подземными станциями,циклы ≤3 мес,EV-VN-S034-0006,VKM-SRC-034,VKM-SRC-034 p1,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E041,P11,I09,information,cross,выемка фиксируется маркшейдерской съёмкой,2 сут; месячный замер,EV-VN-S020-0311; EV-VN-S020-0313,VKM-SRC-020,VKM-SRC-020 p127,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E042,P14,I09,information,cross,закладка фиксируется актами/учётом (с ~2002 инструментально),—,EV-VN-S014-0908; EV-VN-S040-0372,VKM-SRC-014; VKM-SRC-040,VKM-SRC-014 p138; VKM-SRC-040 p144,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E043,P19,I14,information,cross,события регистрируются сейсмической сетью,мгновенно,EV-VN-S011-0541,VKM-SRC-011,VKM-SRC-011 p30,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E044,P16,I11,information,cross,повреждение целиков/крепи наблюдается георадаром/УЗТ,эпизодически,EV-VN-S040-0344; EV-VN-S040-0086,VKM-SRC-040,VKM-SRC-040 p136; VKM-SRC-040 p26,SKRU3; VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E045,I09,I15,information,information,съёмка → планы 1:500 / ГИС-слои,камерально; электронные ежемесячно,EV-VN-S020-0373; EV-VN-S024-0111,VKM-SRC-020; VKM-SRC-024,VKM-SRC-020 p160; VKM-SRC-024 p48,VKM_REGIONAL; OTHER_POTASH_SITE,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E046,I10,I15,information,information,циклы → ведомости и графики,после цикла,EV-VN-S024-0187,VKM-SRC-024,VKM-SRC-024 p72,GENERAL_METHOD,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E047,I12,I15,information,information,"кампании → ведомости нивелирования, графики суммарных оседаний",после кампании,EV-VN-S012-0248; EV-VN-S011-2086,VKM-SRC-012; VKM-SRC-011,VKM-SRC-012 p53; VKM-SRC-011 p130,SKRU2; VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E048,I13,I15,information,information,"сцены → карты/ряды (детрендинг, опорная точка)",11 сут – сезон,EV-VN-S003-0113; EV-VN-S003-0125,VKM-SRC-003,VKM-SRC-003 p33; VKM-SRC-003 p36,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E049,I15,I16,information,information,наблюдения → калибровка/зонирование/прогноз,годы; цикл ~5 лет,EV-VN-S012-0593; EV-VN-S021-0016,VKM-SRC-012; VKM-SRC-021,VKM-SRC-012 p109; VKM-SRC-021 p2,SKRU1_SKRU2; VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E050,I07,I16,information,information,модель свойств → МКЭ-разрезы вдоль профильных линий,проект,EV-VN-S012-0469; EV-VN-S012-0604,VKM-SRC-012,VKM-SRC-012 p84; VKM-SRC-012 p114,SKRU1_SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E051,I16,P21,information,cross,зонирование → защитные мероприятия,—,EV-VN-S021-0047,VKM-SRC-021,VKM-SRC-021 p5,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E052,I16,I18,information,information,прогноз/карты ускорений → решения,сезон–годы,EV-VN-S003-0255,VKM-SRC-003,VKM-SRC-003 p69,OTHER_VKM_SITE,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E053,I18,I12,information,information,снос/отселение → прекращение рядов наблюдений (цензура),—,EV-VN-S017-0017,VKM-SRC-017,VKM-SRC-017 p3,OTHER_VKM_SITE,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E054,I15,I17,information,information,результаты → публикации/отчёты,1–5 лет и более,EV-VN-S012-0736; EV-VN-S016-0117,VKM-SRC-012; VKM-SRC-016,VKM-SRC-012 p130; VKM-SRC-016 p14,SKRU1_SKRU2; BKPRU4,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E055,I16,I17,information,information,прогнозы → публикации,~2–3 года,EV-VN-S012-0497,VKM-SRC-012,VKM-SRC-012 p93,SKRU1_SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E056,I08,I12,information,information,"Инструкция → устройство станции, частота кампаний",с даты ввода,EV-VN-S012-0192; EV-VN-S034-0003,VKM-SRC-012; VKM-SRC-034,VKM-SRC-012 p40; VKM-SRC-034 p1,SKRU1_SKRU2; VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E057,I12,I08,information,information,опыт наблюдений → типовые кривые/нормативы,десятилетия,EV-VN-S037-0994,VKM-SRC-037,VKM-SRC-037 p170,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E058,P21,P18,physical,physical,вмешательство → изменение хода оседаний,годы,EV-VN-S034-0026,VKM-SRC-034,VKM-SRC-034 p2,UNSTATED,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E059,P21,P14,physical,physical,закладка как мероприятие,—,EV-VN-S021-0047,VKM-SRC-021,VKM-SRC-021 p5,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E060,P13,P22,physical,physical,поздняя стадия → доработка целиков/остатков,десятилетия,EV-VN-S037-1242; EV-VN-S026-0049,VKM-SRC-037; VKM-SRC-026,VKM-SRC-037 p233; VKM-SRC-026 p9,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E061,P20,P23,physical,physical,затопление → закрытие/растворный способ (аналоги),десятилетия,EV-VN-S014-1277,VKM-SRC-014,VKM-SRC-014 p215,NON_VKM,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E062,I13,I12,information,information,InSAR выявляет новые области → закладка новых профильных линий,после сезона,EV-VN-S004-0067,VKM-SRC-004,VKM-SRC-004 p15,OTHER_VKM_SITE,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E063,I12,I13,information,information,нивелирование → верификация/калибровка InSAR,—,EV-VN-S023-0472; EV-VN-S001-0050,VKM-SRC-023; VKM-SRC-001,VKM-SRC-023 p105; VKM-SRC-001 p15,GENERAL_METHOD; VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E064,C01,I09,information,context,ТО/перемещения оборудования косвенно датируют работу участков,—,EV-VN-S028-0172,VKM-SRC-028,VKM-SRC-028 p334,VKM_REGIONAL,FACT (context),MEDIUM,связь описана в указанных записях; для cross — физическое → информационное
