dc_id,data_class_ru,physical_event_time,measurement_time,processing_time,publication_time,availability_to_forecast,typical_latency,latency_status,latency_method,producer,storage,access,temporal_resolution,spatial_support,leakage_risk,leakage_mechanism,benchmark_rule,forecaster_role,skru1_status,worldspec_mapping,source_ids,vn_ids,status,confidence,locators,scope,scale,notes,quote_vn_id
DC11,"Нормативные документы и регламенты (Указания по защите рудников, Инструкции по наблюдениям за сдвижением, методические руководства, технологические регламенты)",не физическое событие; действует на горные работы после ввода,опираются на испытания/наблюдения прошлых лет (напр. данные ≤1988–1990 для руководства 1992),утверждение редакции (напр. 12.12.1990; Указания 2014; 2022; Инструкция 2004 согласована 26.04.2004; Инструкция Уралкалия 2017),печать 1992; Указания ред. 2014 введены с 30.03.2017; Приказ Ростехнадзора №186 от 19.05.2023,с даты ввода в действие (для проектировщиков); публичность ограничена (ведомственные),утверждение → печать ~21 мес (1990→1992); редакция → ввод ~3 года (2014→2017),DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ГИ УрО РАН; УФ ВНИИГ; Уралкалий; Сильвинит; Госгортехнадзор/Ростехнадзор,ведомственные архивы,RESTRICTED/PUBLIC,редакции,месторождение,LOW–MEDIUM,"новые редакции закрепляют опыт, накопленный после t0 (напр. параметры после аварий)","NORMATIVE_IN_FORCE: применять редакцию, действовавшую на t0 (дата ввода в действие ≤ t0); EXTERNAL — только редакции, опубликованные ≤ t0 (для ведомственных документов доступность UNKNOWN без свидетельства); дата подписания в печать — событие публикации, а не окончание действия; нормативное ≠ измеренное","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: проект механизированной выемки пласта В (2002); общие Указания/Инструкции ВКМ,EventType.NORMATIVE_IN_FORCE; EvidenceType.NORMATIVE,VKM-SRC-012; VKM-SRC-031; VKM-SRC-034; VKM-SRC-037; VKM-SRC-026; VKM-SRC-024,EV-VN-S012-0164; EV-VN-S012-0686; EV-VN-S031-0030; EV-VN-S034-0052; EV-VN-S037-0007; EV-VN-S037-1250; EV-VN-S037-1238; EV-VN-S026-0175; EV-VN-S024-0235; EV-VN-S024-0237,FACT,HIGH,VKM-SRC-012 p26; VKM-SRC-012 p120; VKM-SRC-031 p4; VKM-SRC-034 p5; VKM-SRC-037 p236; VKM-SRC-037 p230; VKM-SRC-026 p41; VKM-SRC-024 p87,VKM_REGIONAL; GENERAL_METHOD,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S031-0030
DC12,"Проектная документация и паспорта (проект отработки, типовые схемы, паспорта проходки/крепления/выемки, параметры камер и целиков)",планируемая геометрия (до выемки),n/a (проектные значения; паспортные размеры комбайнов),проектирование панели/блока до начала выемки; расчёт ТЭП,"внутренние документы; типовые схемы в учебниках (1992, 1999, 2013, 2018)",ДО начала выемки (ex ante) — у предприятия; публично только типовые диапазоны,проект опережает выемку; учебники отражают регламенты с запаздыванием в несколько лет,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",Галургия; технические службы рудников; проектные институты,рудник / проектные институты,INTERNAL,на панель/блок,"панель, блок, камера",LOW,"проектная геометрия ≠ фактическая (отклонения, подрезка, потери 46–68 %, разубоживание 1,6–14,6 % в примерах)","OPERATOR: проект — допустимый вход на t0, если утверждён ≤ t0 (статус DESIGN); EXTERNAL (по умолчанию): только опубликованные типовые схемы/диапазоны, available_from = дата публикации; фактическую геометрию брать только из маркшейдерской съёмки (DC14)","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: типовые схемы и диапазоны (ширины панелей 350–600 м и др.); поблочных проектов нет,MiningObject(design_or_actual=DESIGN),VKM-SRC-014; VKM-SRC-026; VKM-SRC-020; VKM-SRC-028; VKM-SRC-027; VKM-SRC-037; VKM-SRC-024,EV-VN-S014-0967; EV-VN-S014-0426; EV-VN-S026-0122; EV-VN-S020-0161; EV-VN-S020-0222; EV-VN-S028-0101; EV-VN-S027-0032; EV-VN-S037-0436; EV-VN-S037-1180; EV-VN-S024-0136,FACT,HIGH,VKM-SRC-014 p113; VKM-SRC-014 p31; VKM-SRC-026 p24; VKM-SRC-020 p25; VKM-SRC-020 p73; VKM-SRC-028 p22; VKM-SRC-027 p4; VKM-SRC-037 p53; VKM-SRC-037 p190; VKM-SRC-024 p12,VKM_REGIONAL; SKRU1; GENERAL_METHOD; USOLSKY; OTHER_POTASH_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S014-0967
DC13,"Планы развития горных работ (годовые, полугодовые), календарные планы отработки",планируемые горные работы следующего периода,n/a (план),ежегодно (план на следующий год); полугодовые планы добычи и закладки; дополнения в течение года,внутренние; примеры в учебниках/ВКР,"существуют ДО событий (ex ante): горизонт ≤1 года (годовой), ≤6 мес (полугодовой), десятилетия (календарный план)","план опережает факт на ≤6–12 мес; разные редакции календарных планов расходятся (2068 vs 2085, аналог)",DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","рудник: главный инженер, горный и планово-экономический отделы; проектные институты",рудник,INTERNAL,год / полугодие,панели/блоки/участки,LOW (как план) / HIGH (если подменяется фактом),"использование фактического выполнения вместо плана, либо более поздней редакции плана","план ≠ факт: хранить как отдельный класс PLANNED с датой утверждения; OPERATOR: на t0 — последняя редакция, утверждённая ≤ t0; EXTERNAL (по умолчанию): планы не публикуются → UNKNOWN (не используются), кроме опубликованных примеров (дата публикации)","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: планов в корпусе нет; пример СКПРУ-2 1989 (табл. 7.11),Event (EventType.EXTRACTION_PERIOD) со статусом MODEL_CHOICE/DESIGN; отдельный класс плановых событий,VKM-SRC-020; VKM-SRC-037; VKM-SRC-024,EV-VN-S020-0180; EV-VN-S020-0403; EV-VN-S037-0773; EV-VN-S037-0856; EV-VN-S037-0292; EV-VN-S024-0104; EV-VN-S024-0360; EV-VN-S024-0418,FACT,HIGH,VKM-SRC-020 p30; VKM-SRC-020 p219; VKM-SRC-037 p133; VKM-SRC-037 p159; VKM-SRC-037 p35; VKM-SRC-024 p43; VKM-SRC-024 p113; VKM-SRC-024 p120,VKM_REGIONAL; OTHER_POTASH_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S037-0856
DC14,"Маркшейдерская съёмка горных выработок (фактическая геометрия пустот), месячный замер, маркшейдерские планы и ГИС-слои выработок",выемка/проходка (непрерывно по сменам),"съёмка очистных и подготовительных выработок 1 раз в 2 суток (±0,1 м через 10–15 м уходки); месячный замер на 1-е число (предварительно 25-го); аналог: ежемесячно, отставание ≤60 м от забоя","абрис → рабочий план 1:500 (камерально); электронная документация ежемесячно, бумажная ежеквартально (аналог); годовой срез на 01.01",не публикуется; схемы на 01.01.2012/01.01.2013 напечатаны в учебнике 2013; ГИС-слои предприятия переданы в ВКР (2025–2026),внутри рудника: ≤2 сут + камеральная обработка; месячный замер окончателен; вне — по запросу/срезу,2 сут (съёмка) – 1 мес (замер); срез 01.01 → печать ≤1 год,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",участковые маркшейдеры; маркшейдерский отдел,рабочие планы 1:500; MapInfo TAB; журналы,INTERNAL,2 сут / месяц / год,контур выработок; полигоны отработки по пластам,HIGH,кумулятивные полигоны отработки (срез) включают выемку после t0; «разрезать» срез по времени можно только по интервалам таблицы зон предприятия (точность — год; полная таблица в корпусе не опубликована),"выемка — события EXTRACTION_START/END с event_date (интервалы таблицы зон, точность — год); EXTERNAL (по умолчанию): available_from сведений о выемке = дата публикации среза/плана (для зон СКРУ-1 — не ранее ВКР 2026; 01.10.2022 — дата среза, не публикации); OPERATOR: дата месячного замера/съёмки — только при свидетельстве её доступности, иначе UNKNOWN; срез-«снимок» не использовать для t0 раньше даты среза","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: слои otrpol_ab/kr2/ks/vk/vs и zone_pol (местная СК без ключей перехода); таблица «Участки_признаки» / «Параметры_шахтного_поля_СКРУ1»: интервалы выемки (exel_Date_otrab) и закладки (exel_Year_zaklad) по зонам с точностью до года — начало и конец (SRC-023 рис. 17, рис. 19; в корпусе напечатано 14 строк); в модели ВКР использовано только начало (exel_Date_otab_start)",MiningObject(design_or_actual=ACTUAL); EventType.SURVEY_OF_WORKINGS; EXTRACTION_START/END,VKM-SRC-020; VKM-SRC-024; VKM-SRC-014; VKM-SRC-023,EV-VN-S020-0311; EV-VN-S020-0313; EV-VN-S020-0304; EV-VN-S020-0259; EV-VN-S020-0262; EV-VN-S024-0090; EV-VN-S024-0097; EV-VN-S024-0111; EV-VN-S024-0451; EV-VN-S024-0454; EV-VN-S014-0592; EV-VN-S014-0674; EV-VN-S023-0206; EV-VN-S023-0416; EV-VN-S023-0004; EV-VN-S023-0279; EV-VN-S023-0243; EV-VN-S023-0251,FACT,HIGH,VKM-SRC-020 p127; VKM-SRC-020 p125; VKM-SRC-020 p106; VKM-SRC-020 p107; VKM-SRC-024 p35; VKM-SRC-024 p40; VKM-SRC-024 p48; VKM-SRC-024 p150; VKM-SRC-024 p152; VKM-SRC-014 p99; VKM-SRC-014 p103; VKM-SRC-023 p40; VKM-SRC-023 p79; VKM-SRC-023 p3; VKM-SRC-023 p43,VKM_REGIONAL; OTHER_POTASH_SITE; BKPRU2; BKPRU4; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S020-0311
DC15,"Сменная и производственная документация (наряды, журналы диспетчера, формуляры, квартальные отчёты бригад, годовая статистика)",смена/сутки выемки,каждая смена (8 ч); квартальные/годовые агрегаты,регистрация нарядов диспетчером; регрессионный анализ УФ ВНИИГ (~1989),не публикуется; агрегаты 1980–1988 в книге 1992,внутри — сразу; первичные наряды хранятся только 1 месяц; вне — агрегаты с задержкой ≥4 лет,часы (внутри); ≥3–5 лет до публикации агрегатов,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","начальник участка, сменный мастер, диспетчер рудника","участок (1 мес), журнал диспетчера",INTERNAL (частично утрачено),смена,комбайн/участок (не геопривязано),LOW,первичные данные в основном утрачены — «отсутствие данных ≠ отсутствие выемки»,"не восстанавливать недостающую выемку нулями; OPERATOR: месячный маркшейдерский замер; EXTERNAL (по умолчанию): сменная документация недоступна (UNKNOWN), только опубликованные агрегаты (дата публикации)","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: отсутствует,вне WorldSpec (контекст); EventType.OTHER,VKM-SRC-020; VKM-SRC-037; VKM-SRC-028,EV-VN-S020-0394; EV-VN-S020-0389; EV-VN-S020-0393; EV-VN-S037-0762; EV-VN-S037-0754; EV-VN-S028-0146,FACT,HIGH,VKM-SRC-020 p216; VKM-SRC-020 p211; VKM-SRC-020 p214; VKM-SRC-037 p128; VKM-SRC-037 p124; VKM-SRC-028 p302,VKM_REGIONAL,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S020-0394
DC16,"Закладочные записи (акты обследования камер, степень заполнения, расход/плотность пульпы, полигоны фактической закладки)","закладка камеры: на СКПРУ-2 — традиционно через 10–20 лет после выемки, при новой технологии ≤2 лет (SRC-037 §3.18); на СКРУ-1 по таблице ГИС — от совпадающих интервалов (1989–1991 / 1989–1991) до многих десятилетий (1934–1935 / 2016–2017), как напечатано (SRC-023 рис. 17); общего правила нет",акт обследования перед закладкой; инструментальный учёт массы (весы/расходомеры) лишь последние ≤15 лет до 2017 (~2002+); степень заполнения оценивается косвенно по зазору до кровли,расчёт k_зап по формулам; диспетчерское ПО гидрокомплекса,"не публикуется; типовые диапазоны 1992 (0,5–0,9)",внутри рудника; для закладки до ~2002 степень заполнения практически неизвестна,UNKNOWN,UNKNOWN,латентность в источниках не указана,"закладочный участок, маркшейдерская служба",рудник; MapInfo-слои факт_закл_*,INTERNAL,на камеру/зону (годы закладки),камера/полигон зоны,HIGH,срез фактической закладки на 01.10.2022 содержит закладку после t0; годы закладки по зонам — атрибут итоговой таблицы,"закладка — событие BACKFILL_START/END с event_date (физическая дата доступности не задаёт, D-16); EXTERNAL (по умолчанию): available_from = дата публикации сведения о закладке (для зон СКРУ-1 — не ранее ВКР 2026; срез факт. закладки 01.10.2022 — дата среза, не публикации); OPERATOR: UNKNOWN до свидетельства о дате акта закладки; степень заполнения до 2002 — UNKNOWN/диапазон","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: полигоны факт. закладки по пластам VS, АБ, Вк, Кр2 на 01.10.2022; годы закладки по зонам (1943–2017) в таблицах предприятия",BackfillRecord; EventType.BACKFILL_START/END/PERIOD,VKM-SRC-014; VKM-SRC-037; VKM-SRC-040; VKM-SRC-023,EV-VN-S014-0908; EV-VN-S014-0964; EV-VN-S014-0987; EV-VN-S037-0462; EV-VN-S037-0487; EV-VN-S037-1176; EV-VN-S040-0372; EV-VN-S023-0205; EV-VN-S023-0392; EV-VN-S037-0461; EV-VN-S023-0251; EV-VN-S023-0267; EV-VN-S023-0243,FACT,HIGH,VKM-SRC-014 p138; VKM-SRC-014 p160; VKM-SRC-014 p161; VKM-SRC-037 p66; VKM-SRC-037 p71; VKM-SRC-037 p188; VKM-SRC-040 p144; VKM-SRC-023 p40; VKM-SRC-023 p74; VKM-SRC-023 p43,VKM_REGIONAL; SKRU2; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S040-0372
DC17,Нивелирование профильных линий наблюдательных станций (ведомости нивелирования; вертикальные смещения реперов),оседание поверхности (непрерывно после подработки),"эпохи кампаний (ДД.ММ.ГГ): частота по скорости оседаний — от 1 раза в 3 года (<20 мм/год) до ежемесячно (>800 мм/год); на линии 8 — нерегулярно до 2015, ~ежемесячно с 2015; Березники — обычно не чаще 2–3 раз в год",ведомость нивелирования после кампании; графики суммарных оседаний (напр. построены в 2011 для сопоставления),внутренние ведомости; публикации через 2–20 лет (эпоха 2017 → статья 2022; эпоха ~2020 → договор 2021 → статья 2022 → диссертация 2023; линия 12 1989–2010 → отчёт 2012 → книга 2013),у маркшейдерской службы — после обработки кампании (срок не указан); вне — только через публикации/договоры,"внутри: UNKNOWN (дни–недели, не указано); публично: 2–20 лет",DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",маркшейдерская служба ПАО «Уралкалий» (ранее «Сильвинит»); ПНИПУ по договорам,ведомости нивелирования (Уралкалий),INTERNAL,кампании (адаптивно к скорости),"реперы через 20–50 м (25 м на линии 3), линии 0,6–8 км",MEDIUM,база (нулевая эпоха) часто не указана; кумулятивные кривые переотнесены; частота кампаний зависит от наблюдённой скорости (информативные пропуски); потеря реперов,"каждая кампания — отдельное событие MONITORING_CAMPAIGN с measurement_date (дата измерения доступности не задаёт); EXTERNAL (по умолчанию): available_from = дата публикации значений (статья, диссертация, книга); OPERATOR: дата ведомости, если напечатана, иначе UNKNOWN (не ENGINEERING_ASSUMPTION); нулевую эпоху хранить явно","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: линия 12 (блок 201; с 1989; опубликованы эпохи 1992–2010, графически); линии 1, 7 через м/ш целик: в зоне целика — реперы 1–8 (линия 1) и 0–7 (линия 7), остальные реперы — сторона СКРУ-2 (SKRU2); линии 1, 5, 6, 17 Соликамска без атрибуции (слайды SRC-002, discovery-only); блок 129 (с 1968; рудник не назван)",ObservationSystem(modality=levelling/profile_line) + ObservationDataset(time=TemporalSupport); EventType.MONITORING_CAMPAIGN,VKM-SRC-012; VKM-SRC-011; VKM-SRC-016; VKM-SRC-034; VKM-SRC-003; VKM-SRC-021,EV-VN-S012-0195; EV-VN-S012-0200; EV-VN-S012-0201; EV-VN-S012-0248; EV-VN-S012-0284; EV-VN-S012-0736; EV-VN-S012-0593; EV-VN-S011-2086; EV-VN-S011-0759; EV-VN-S016-0063; EV-VN-S034-0042; EV-VN-S003-0169; EV-VN-S012-0686; EV-VN-S021-0045,FACT,HIGH,VKM-SRC-012 p40; VKM-SRC-012 p41; VKM-SRC-012 p53; VKM-SRC-012 p57; VKM-SRC-012 p130; VKM-SRC-012 p109; VKM-SRC-011 p130; VKM-SRC-011 p35; VKM-SRC-016 p7; VKM-SRC-034 p4; VKM-SRC-003 p45; VKM-SRC-012 p120; VKM-SRC-021 p4,SKRU2; VKM_REGIONAL; SOLIKAMSK_GROUP; BKPRU1; BKPRU4; UNSTATED,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S012-0200
DC18,Горизонтальные сдвижения/деформации (длины интервалов) и GNSS-пункты,горизонтальные смещения поверхности,длины интервалов при полной серии (1:10 000; ПНИПУ 1:20 000); GNSS 507 с 2015; непрерывные станции — сутки/30 с,уравнивание; проекции смещений на ось трубопровода,диссертация 2023,внутренние данные ПНИПУ/Уралкалия; непрерывные GNSS — в реальном времени или на следующий день,GNSS: минуты–сутки; публикация: годы,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ПНИПУ; маркшейдерская служба,ПНИПУ/Уралкалий,INTERNAL,кампании / непрерывно,интервалы между реперами; отдельные пункты,LOW–MEDIUM,знак горизонтальных смещений не оговорён; опорные реперы на барьерном целике могут двигаться,как DC17; datum и опорные пункты хранить с версией,"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: данных нет (только СКРУ-2–СКРУ-3 целик, линия 3, пункт 507)",ObservationSystem(modality=horizontal_deformation/gnss),VKM-SRC-012; VKM-SRC-006; VKM-SRC-011,EV-VN-S012-0204; EV-VN-S012-0209; EV-VN-S012-0214; EV-VN-S012-0282; EV-VN-S011-0653; EV-VN-S006-0131,FACT,HIGH,VKM-SRC-012 p42; VKM-SRC-012 p43; VKM-SRC-012 p44; VKM-SRC-012 p57; VKM-SRC-011 p35; VKM-SRC-006 p54,VKM_REGIONAL; SKRU2; SKRU1_SKRU2_PILLAR; BKPRU1; GENERAL_METHOD,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S012-0214
DC19,Гидростатическое нивелирование фундаментов зданий (автоматизированные системы),неравномерные осадки зданий,квазинепрерывно (онлайн) с весны 2014 (установка с осени 2013) до 2022; часть рядов прервана сносом/отселением,автоматическое извлечение уровней по изображениям,"статья 2022 (сводная таблица, несколько рядов)",у оператора — почти в реальном времени (сервер ИМСС); вне — через публикацию,внутри: ~реальное время; публично: 0–2 года после последнего измерения,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ИМСС УрО РАН,центральный сервер ИМСС,INTERNAL,квазинепрерывно,датчики внутри здания (6–16 на здание),MEDIUM,цензурирование рядов решениями (снос/отселение) — связано с самой величиной осадок,"наблюдение относительное (Δu_z между датчиками); прерывание ряда — информационное событие, не нулевое смещение","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: нет (Березники),ObservationSystem(modality=hydrostatic_levelling),VKM-SRC-017,EV-VN-S017-0012; EV-VN-S017-0048; EV-VN-S017-0017; EV-VN-S017-0009; EV-VN-S017-0046,FACT,HIGH,VKM-SRC-017 p2; VKM-SRC-017 p8; VKM-SRC-017 p3; VKM-SRC-017 p7,OTHER_VKM_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S017-0009
DC20,"Сырые SAR-сцены (Sentinel-1 — открытые; TerraSAR-X, COSMO-SkyMed — коммерческие; архивы ERS/ENVISAT/ALOS)",движение поверхности (непрерывно),даты съёмки; Sentinel-1 6–12 сут; TerraSAR-X 11 сут; зимой (снег) данные непригодны — сезон ~май–октябрь (5–6 мес),загрузка/обработка пользователем,Sentinel-1: открытый архив (дни после съёмки); коммерческие — по контракту,Sentinel-1 — вскоре после съёмки (открытый хаб); коммерческие — по заказу/лицензии; архивные — ретроспективно,дни (S1); разрыв архивов 2012–2014 между миссиями; ретроспективная обработка архива 2004–2008 опубликована в 2012,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","ESA, DLR/Airbus DS, ASI (через «Совзонд»)",Copernicus; DLR; поставщики,PUBLIC (S1) / COMMERCIAL,6–12 сут в бесснежный сезон,пиксель (S1 ~5×20 м; TSX ~1–2 м),LOW,для сцен — только если используются сцены после t0,"открытые сцены (Sentinel-1): available_from = дата появления в открытом архиве (дата съёмки + латентность ингеста, дни); коммерческие сцены (TerraSAR-X, COSMO-SkyMed): EXTERNAL — только через опубликованные продукты (дата публикации), архивная доступность без свидетельства — UNKNOWN","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: список сцен/орбит/углов для работ по СКРУ-1 в корпусе отсутствует (UNKNOWN),ObservationDataset(time.measurement_date=даты сцен),VKM-SRC-001; VKM-SRC-002; VKM-SRC-003; VKM-SRC-004; VKM-SRC-006; VKM-SRC-007; VKM-SRC-009,EV-VN-S001-0024; EV-VN-S001-0063; EV-VN-S001-0070; EV-VN-S002-0006; EV-VN-S003-0036; EV-VN-S003-0271; EV-VN-S004-0070; EV-VN-S006-0024; EV-VN-S006-0185; EV-VN-S007-0013; EV-VN-S009-0014,FACT,HIGH,VKM-SRC-001 p9; VKM-SRC-001 p18; VKM-SRC-001 p20; VKM-SRC-002 p4; VKM-SRC-003 p12; VKM-SRC-003 p74; VKM-SRC-004 p15; VKM-SRC-006 p10; VKM-SRC-006 p79; VKM-SRC-007 p4; VKM-SRC-009 p3,GENERAL_METHOD; VKM_REGIONAL; OTHER_POTASH_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S003-0271
