vn_id,source_id,locator,data_class_as_extracted,dc_id,mapping,status,scope,confidence,availability_as_extracted,latency_as_extracted,notes
EV-VN-S003-0036,VKM-SRC-003,p12 [Благодарности],InSAR scene (Sentinel-1 C-band; TerraSAR-X/TanDEM-X X-band),DC20,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,Sentinel-1: ESA open archive; TerraSAR-X: DLR (tasked/licensed) - availability depends on agreements,,
EV-VN-S003-0078,VKM-SRC-003,p23 [§1.2.1-1.2.2],InSAR time-series product (SBaS / PS / IPTA),DC21,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,mean velocity over entire period + cumulative displacements at each acquisition date; stack methods are retrospective - an operational forecaster only has the stack up to issue time,Time-series methods require a long series; first usable result only after many revisits; atmospheric filtering uses temporal statistics (past and future scenes) -> potential look-ahead if re-processed with future scenes,"The look-ahead remark is a project-level interpretation (information lifecycle), not source text."
EV-VN-S003-0106,VKM-SRC-003,"p31 [§2.1; ссылки [8], [15]]",InSAR monitoring campaign (Berezniki/Solikamsk),DC21,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,operational maps delivered regularly during season (presumably to mining company / ГИ УрО РАН); winter gap 6-7 months,Snow limits monitoring to 5-6 months per year,
EV-VN-S003-0113,VKM-SRC-003,p33 [§2.2],TerraSAR-X pair interferograms (Berezniki operational monitoring),DC21,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,rolling products with 11-day cadence during snow-free season; each new scene gives displacement over the preceding 11/22/33 days,Signal over 11 days at noise level; effective temporal resolution for slow subsidence 22-33 days,
EV-VN-S003-0146,VKM-SRC-003,p42 [Рис. 3.2],"InSAR interval displacement map (TSX, Std/Step)",DC21,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,after second acquisition + processing; interval product,Each map covers a fixed acquisition interval (22 days here); displacement reported as contours of subvertical displacement,
EV-VN-S003-0169,VKM-SRC-003,p45 [§3.2 p.45-46],InSAR pair interferogram displacement map vs. ground levelling campaign,DC17,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,InSAR: ~11-day cadence with small lag; levelling: 2-3 epochs per year (high accuracy),Author positions InSAR as an important complement filling gaps between sparse levelling epochs,Key sampling-cadence fact for the observation operator: levelling 2-3x/yr vs InSAR 11 d.
EV-VN-S003-0185,VKM-SRC-003,p49 [§3.2 p.49],InSAR TerraSAR-X seasonal campaign,DC21,manual override (reviewed),FACT,OTHER_VKM_SITE,HIGH,seasonal (snow-free) window only; acquisition gaps possible for technical reasons,Campaign length set by snow-free season and tasking availability,
EV-VN-S003-0243,VKM-SRC-003,p67 [§3.4 p.67],repeat levelling vs InSAR at an actively remediated sinkhole,DC17,manual override (reviewed),FACT,SKRU2,HIGH,,"Benchmarks are sited outside earthwork zones, InSAR pixels are on soil platforms inside them -> different spatial supports; direct comparison 'not quite correct'",Spatial-support mismatch between benchmarks and InSAR pixels. SKRU-2 = neighbouring Solikamsk mine south of the city (not SKRU-1). Values are OTHER_VKM_SITE/SKRU2 and must not be transferred to SKRU-1 without explicit status.
EV-VN-S003-0271,VKM-SRC-003,p74 [§3.5 p.74],InSAR (TerraSAR-X X-band) seasonal availability,DC20,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,seasonal gaps every winter; annual rates derived from ~165-187 d warm-season windows,Seasonal thermal artefact + winter gap -> possible underestimation of mean annual rate in moderate-rate areas,
EV-VN-S003-0324,VKM-SRC-003,p86 [§4.2.1],InSAR scene (Sentinel-1A),DC20,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,after processing; not stated,ground levelling is labour-intensive; satellite data proposed for large areas,
EV-VN-S003-0370,VKM-SRC-003,p100 [§5.1; §5.2 (с.101)],InSAR scene pair / offset tracking (event response),DC21,keyword rule on data_class,FACT,NON_VKM,HIGH,days after post-event acquisition (12-day revisit) plus processing,Illustrates rapid-response InSAR latency: event → next acquisition (4 days here) → processing → publication in same year,"NON_VKM, but a concrete example of InSAR information lifecycle."
EV-VN-S003-0393,VKM-SRC-003,p112 [§5.4],InSAR pair interferogram / offset map,DC21,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,after second acquisition + processing,An InSAR increment integrates all motion between acquisitions; it cannot separate an event from motion within the interval (here 4 days postseismic),"General principle for the WorldSpec observation operator: InSAR increments are interval-integrated, not instantaneous."
EV-VN-S003-0405,VKM-SRC-003,"p117 [Список сокращений: Std, Step]",InSAR displacement maps (Std/Step),DC21,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,not stated in this chunk,"Std = standard, Step = stepwise processing; details in Ch.2 (outside chunk)",Lifecycle details for VKM InSAR belong to chunks c1/c2.
EV-VN-S004-0013,VKM-SRC-004,p2 [Введение + p.5 табл.],"InSAR scene / PS velocity map (TerraSAR-X, Berezniki)",DC21,explicit (cited in DC row),DERIVATION,OTHER_VKM_SITE,HIGH,to a forecaster outside the monitoring organisation only via publication (~1.5-3 yr latency); internal availability UNKNOWN,winter gap each year; missing acquisitions (19 and 30.10.2021) for technical reasons,"Lifecycle compiled from pp.2,5 statements; no numerical computation."
EV-VN-S004-0070,VKM-SRC-004,p15 [Благодарности / Финансирование],"TerraSAR-X SAR scenes (commercial, Airbus DS) and Sentinel-1 (ESA)",DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,TerraSAR-X scenes provided by Airbus Defence and Space (commercial/licensed) — not openly available; Sentinel-1 open (ESA),,Paper calls Airbus DS 'Немецкое космическое агентство' (imprecise; DLR is the German agency). Funding RSF 19-77-30008.
EV-VN-S005-0007,VKM-SRC-005,p1 [Введение; §рис.2],InSAR scene pair / displacement map (Sentinel-1A),DC21,keyword rule on data_class,FACT,OTHER_POTASH_SITE,HIGH,карта смещений доступна исследователю после обработки (не ранее конца 11.2021); публично — с выходом журнала 2022,задержка измерение→публикация ~1 год; окно наблюдения 60 сут — одна пара/стек не указан,
EV-VN-S006-0008,VKM-SRC-006,"p7 [§1.1, Рис. 1.1, с. 7]","satellite remote sensing scene (generic, incl. SAR)",DC20,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,after downlink + processing + archive publication (latency not given in this section),"Structure of the chain: sensor -> onboard transmission -> radio channel -> receiving stations -> information centre (Рис. 1.1, after Tokareva 2010).","Figure 1.1 visually viewed: blocks ИСЗ, Целевая аппаратура, Средства передачи информации, Радиоканал, Информационный центр, Станция управления, Станции приема данных ДЗЗ."
EV-VN-S006-0024,VKM-SRC-006,"p10 [§1.1, с. 10]",Sentinel-1 SAR scene (SLC/GRD) / Sentinel-2 optical scene,DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,free public archive since 2014 (S1) / 2015 (S2A),"Hub URL printed (scihub) — this hub has since been replaced by Copernicus Data Space (reviewer note, not source).",
EV-VN-S006-0108,VKM-SRC-006,"p46 [§4.2, с. 46]",lineament scheme (interpretive product),DC08,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,derived interpretive layer; validity requires geological confirmation,"Product is an INTERPRETATION, not a measurement; the physical nature of lineaments is ambiguous.",
EV-VN-S006-0112,VKM-SRC-006,"p12 [§1.1, с. 11-12]",global DEM (ASTER GDEM) / ASTER stereo scenes,DC08,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,"free, static composite DEM",GDEM is a multi-epoch composite; its epoch vs mining-induced subsidence epochs is undefined in the source — a DEM used as topographic reference may already contain subsidence.,Terra launch year not given in this source.
EV-VN-S006-0127,VKM-SRC-006,p52 [§5.1],InSAR interferogram (repeat-pass),DC21,keyword rule on data_class,FACT,GENERAL_METHOD,MEDIUM,after second acquisition + processing,Measurement is a difference between two epochs; temporal baseline introduces atmosphere/moisture phase errors,Derived from textbook description; relevant for defining InSAR observation operator as interval (not epoch) measurement.
EV-VN-S006-0131,VKM-SRC-006,p54 [§5.1],continuous GNSS station coordinates,DC18,explicit (cited in DC row),FACT,GENERAL_METHOD,MEDIUM,real-time or next day (daily solutions),coseismic estimates in <=1–2 min,Contrast with levelling campaigns (months latency) — for VKM forecasting information lifecycle.
EV-VN-S006-0154,VKM-SRC-006,p63 [§5.3],topographic maps (relief) vs satellite images,DC08,explicit (cited in DC row),FACT,GENERAL_METHOD,MEDIUM,topographic relief information may be decades old; satellite imagery current,map update latency: several decades (best case),Relevant for VKM: pre-mining/historical surface elevation from topographic maps has decadal update latency; DEM epoch must be recorded.
EV-VN-S006-0170,VKM-SRC-006,p72 [§6.2 p.72],"satellite-derived DEM (ASTER, SRTM, ALOS PALSAR)",DC08,explicit (cited in DC row),FACT,GENERAL_METHOD,MEDIUM,freely/most accessible per source,resolution 12.5–90 m; epoch must be fixed when used as model top surface,
EV-VN-S006-0185,VKM-SRC-006,p79 [§6.4 pp.79–80],InSAR time series from successive SAR missions,DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,MEDIUM,mission-dependent archives; different wavelengths/geometries require separate time series,"archive gap between missions; C-band (Envisat, Sentinel-1) vs L-band (ALOS PALSAR 2007–2010)",
EV-VN-S006-0194,VKM-SRC-006,p83 [§6.5 p.83],satellite land surface temperature product (MODIS MOD11_A2),DC08,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,freely downloadable (NASA Earthdata),temporal support = 8-day mean; spatial support 1 km,
EV-VN-S006-0276,VKM-SRC-006,p60 [§5.3 p.60],repeated geodetic observations of secular vertical movements (levelling/GNSS),DC18,keyword rule on data_class,FACT,GENERAL_METHOD,MEDIUM,trend direction identifiable only after 20–25 years of observations,minimum record length to separate secular trend from short-period (hours–years) movements,Relevant to background-trend handling in VKM levelling series (no VKM data).
EV-VN-S007-0004,VKM-SRC-007,p1 [Received/Revised/Accepted dates],InSAR scene (Sentinel-1) -> DInSAR displacement maps -> journal publication,DC21,keyword rule on data_class,FACT,NON_VKM,MEDIUM,Sentinel-1 SLC freely available from Copernicus archive shortly after acquisition (source p4 statement on one-year availability is ambiguous); published maps ~1-2 yr later,acquisition-to-publication latency ~1-2 years (from printed dates),
EV-VN-S007-0013,VKM-SRC-007,p4 [Материалы],InSAR scene (Sentinel-1 SLC),DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,LOW,Author states Copernicus freely provides data 'for a period of not more than one year' (as printed; meaning ambiguous) from archive [15],Statement about 1-year availability is the author's and ambiguous; reader note: not verified here,Ambiguous statement about data availability window; flagged.
EV-VN-S007-0022,VKM-SRC-007,p7 [Этап 1 — получение данных],InSAR scene (Sentinel-1 IW SLC),DC20,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,open data via Copernicus hub [15],Download/processing effort is a practical latency; 41 scenes = 348.5 GB (table),
EV-VN-S008-0010,VKM-SRC-008,"p3 [§2, system architecture; Рис. 2]",InSAR monitoring information system,DC21,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,results stored for fast access; intermediate data retained,Fig.2 read visually: Источники данных -> Подсистема хранения радарных данных -> Подсистема обработки радарных данных -> Подсистема анализа и визуализации ЦМР -> Результаты анализа; Промежуточные данные fed back to storage,
EV-VN-S008-0018,VKM-SRC-008,"p7 [§2, two processing scenarios]",InSAR scene stream,DC21,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,after pre-processing; users access existing results and processed images,storage needs from several TB; compute tens of GB per scene set for COSMO-SkyMed/Sentinel,
EV-VN-S008-0024,VKM-SRC-008,p10 [Поступила в редакцию],InSAR results (Kuzbass 2007–2014) -> journal publication,DC21,keyword rule on data_class,FACT,NON_VKM,HIGH,not public (institutional system),~1-2 yr from last data to publication,
EV-VN-S009-0014,VKM-SRC-009,p3 [Данные для выполнения проекта],commercial X-band InSAR tasking,DC20,explicit (cited in DC row),ANALOGUE,OTHER_POTASH_SITE,HIGH,"commercial, tasked on demand via Sovzond; not an open archive",acquisition to publication ~1 year,
EV-VN-S009-0046,VKM-SRC-009,p8 [Сравнение с планом горных работ],mine plan of active longwall faces (mine survey of workings),DC14,keyword rule on data_class,ANALOGUE,OTHER_POTASH_SITE,MEDIUM,"internal Belaruskali mine plan, used for confirmation by company specialists",mine plan positions were compared with 13-day InSAR troughs — i.e. the plan of workings for that period was available to the authors by 2012,
EV-VN-S010-0009,VKM-SRC-010,p3 [Кийзасский разрез],Sentinel-1 SBAS retrospective analysis,DC30,explicit (cited in DC row),FACT,NON_VKM,HIGH,Sentinel-1 open data available soon after acquisition; the precursor (threefold rate increase 30.05–11.06.2019) was recognised only retrospectively,event-to-publication ~5 years,
EV-VN-S010-0019,VKM-SRC-010,p8 [whole paper],Sentinel-1 open data products (DInSAR/SBAS/PS; amplitude change detection) and Landsat-8 LST,DC21,explicit (cited in DC row),FACT,GENERAL_METHOD,MEDIUM,amplitude change maps almost immediately in GEE; displacement time series after stack processing,case studies published 2–8 years after data,
EV-VN-S011-0015,VKM-SRC-011,p4 [Введение],regional geological synthesis (monograph),DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"printed book from 2013 (1st ed. from 2001); sections on faults, hydrogeology and geological tasks updated for 2nd ed., other sections mostly as of 2001",Stratigraphy/lithology content largely inherits 2001 state; fault tectonics and hydrogeology revised to ~2013 (incl. book on faults [153]),
EV-VN-S011-0221,VKM-SRC-011,p12 [§1.2 «книжечка»],thin-interlayer composition/structure (core vs underground samples),DC02,manual override (reviewed),FACT,VKM_REGIONAL,HIGH,only after mine workings expose the layer; core-based data available earlier but biased,thin weak interlayers are poorly characterised before mining,
EV-VN-S011-0236,VKM-SRC-011,p13 [§1.2 литологические карты],deposit-wide lithological maps of productive seams,DC09,manual override (reviewed),FACT,VKM_REGIONAL,HIGH,available before mining of an area (exploration stage),maps are interpolations between boreholes (not observations),
EV-VN-S011-0299,VKM-SRC-011,p17 [§1.2 СМТ],unpublished geological fund reports (фондовые материалы),DC09,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,restricted (geological funds),key overburden-stratigraphy data sit in fund reports,
EV-VN-S011-0316,VKM-SRC-011,p19 [рис. 1.24–1.28],"deep structural maps (basement, Timan, Tula, Artinskian tops, reef structures) from seismic + oil drilling",DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,static prior; available long before mining,"interpretive maps, not observations",
EV-VN-S011-0321,VKM-SRC-011,p20 [§1.3.2 кровля солей],salt-top (кровля солей) structural maps,DC09,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,,method of salt-top mapping changed over time → heterogeneous accuracy,
EV-VN-S011-0336,VKM-SRC-011,p21 [§1.3.2 кровля солей],salt-top / upper-salt structure maps,DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,deposit-scale structure known since early 1970s; refined later,map accuracy depends on borehole density (varies by area),
EV-VN-S011-0355,VKM-SRC-011,p22 [§1.3.2],intra-salt fold/fault mapping in underground workings,DC09,explicit (cited in DC row),FACT,SKRU1,HIGH,"only where workings exist (mined part of section, ≈ upper ПдКС to ПКС); unknown ahead of mining face",intra-salt structure below/away from workings is extrapolated,
EV-VN-S011-0383,VKM-SRC-011,p24 [§1.3.3],"normative hazard-zone definitions (zones РФСД, ТДР/З-Р, ДРК) for mine protection",DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,from 2008 as normative zoning,"interpretive layer, contested; not a measurement",
EV-VN-S011-0447,VKM-SRC-011,"p24 [рис. 1.5, 1.13, 1.35, 1.36]",borehole numbering systems,DC09,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,,"numbers repeat between areas/systems (e.g. '16','17' on Fig.1.5 N of Solikamsk vs Fig.1.36 Berezniki section; '57','68' oil wells vs other numbering) → a borehole key must include area + type",cross-figure observation within chunk; no numerical computation
EV-VN-S011-0476,VKM-SRC-011,p26 [с.51 (рис. 1.44 описание)],"detailed geological documentation of underground workings + exploitation-exploration boreholes (скважины эксплуатационной разведки, подземного бурения)",DC02,explicit (cited in DC row),FACT,BKPRU1,MEDIUM,only for already-developed parts of mine field; ahead-of-face knowledge relies on surface солеразведочные boreholes,spatial coverage grows with mining; not dated in source,
EV-VN-S011-0533,VKM-SRC-011,p27 [с.53; Приложение 1],fault inventory (geophysical/remote-sensing/geological interpretations 1974–1993),DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,static prior layer; available long before mining of SKRU-1 panels,fault density reflects survey intensity,
EV-VN-S011-0536,VKM-SRC-011,p30 [текст с.58],lithology maps of productive seams from surface boreholes,DC09,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,pre-mining static layer (from exploration stage),,
EV-VN-S011-0542,VKM-SRC-011,p30 [текст с.59],"mine seismic monitoring products (hazard zone maps, epicentres)",DC06,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,after report compilation (years),report-level latency,Affiliation (ГИ УрО РАН) is my inference; not stated here.
EV-VN-S011-0621,VKM-SRC-011,p34 [текст с.66],"oil exploration/production well logs (sub-salt horizon tops, mud-loss records)",DC04,manual override (reviewed),FACT,VKM_REGIONAL,MEDIUM,static; available once oil field drilled,,
EV-VN-S011-0686,VKM-SRC-011,p36 [текст с.71],hydrogeological investigations (overburden and sub-salt waters),DC10,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,regional fund reports; not a time series per se,decades,
EV-VN-S011-0759,VKM-SRC-011,"p35 [текст с.68-69; рис. 1.66, 1.68]",mine surveying profile-line observations (levelling + horizontal distances between benchmarks) at BKPRU-1,DC17,explicit (cited in DC row),FACT,BKPRU1,HIGH,mine survey archives; published only as graphs/maps,sinkholes noticed by residents before 1999 search; eastern group 2–3 years older,
EV-VN-S011-0779,VKM-SRC-011,p40 [текст с.78; табл. 1.18–1.19],"sub-salt aquifer tests, water chemistry, core porosity/permeability (oil exploration wells)",DC10,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,regional averages/ranges only,,
EV-VN-S011-0820,VKM-SRC-011,p43 [§2.1 с.85],mine-geology stratigraphic schemes (layer indexing) of rock-salt packs,DC02,manual override (reviewed),FACT,VKM_REGIONAL,HIGH,company-specific nomenclature: Uralkali (BKPRU) vs Silvinit (SKRU) — layer IDs not interchangeable without correlation,,
EV-VN-S011-0959,VKM-SRC-011,p48 [§2.2 с.94],"geological sketches (зарисовки) of walls, faces and cross-sections of development and stoping workings → detailed lithological seam plans",DC02,keyword rule on data_class,FACT,BKPRU2,HIGH,only within mined panels; after mining,,
EV-VN-S011-0984,VKM-SRC-011,"p49 [текст стр. 97, 99]","mine geological documentation of replacement zones (plans of mineral composition, sketches of faces/walls)",DC02,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,mostly only after mining exposure; ahead of mining only via sparse surface (GRP) and underground exploration boreholes,small forms not shown on composition plans,
EV-VN-S011-1034,VKM-SRC-011,p50 [текст стр. 99],plans of mineral composition of seams vs large-scale face sketches/photos,DC02,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,mine-scale composition plans have an effective resolution floor ~10 m; sub-10 m heterogeneity generally undocumented,,
EV-VN-S011-1064,VKM-SRC-011,p55 [текст стр. 109],mineralogical/petrographic lab study of mine samples,DC03,keyword rule on data_class,FACT,SKRU2,HIGH,qualitative only,,
EV-VN-S011-1068,VKM-SRC-011,p56 [стр. 110],"geochemical isoconcentration maps (KCl, CaSO4, Н.О.) from exploration core assays",DC09,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,regional trend maps only; resolution ~4 km; not available north of Borovitsky trough,smoothing removes local variability; not a site-specific model,
EV-VN-S011-1105,VKM-SRC-011,p58 [стр. 114],operational exploration channel sampling in mine workings,DC02,explicit (cited in DC row),FACT,BKPRU2,HIGH,available only in mined-out/developed areas; dense along workings,,
EV-VN-S011-1117,VKM-SRC-011,p59 [стр. 116],channel sampling of seam layers (operational exploration),DC02,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"layer-1 Н.О. values biased high by convention (6,72%)",systematic sampling-convention bias to track when using mine assay data,
EV-VN-S011-1121,VKM-SRC-011,p59 [стр. 116],oil prospecting/exploration/production wells through the salt sequence (Durinsky area),DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,oil-well data substantially revised geological model of the area; knowledge of structure is time-dependent,Model of salt-top morphology changed with new drilling; oil wells grouped in clusters and shown by cluster-central number on maps,
EV-VN-S011-1325,VKM-SRC-011,"p63 [Рис. 2.52, стр. 125]",well-log (ГИС) interpretation of oil/exploration boreholes; core descriptions from УПБГРР ОАО «Уралкалий»,DC04,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,archival borehole data; interpretation-dependent (lithology from GIS not core),"GIS-based lithology is an interpretation, not direct observation",
EV-VN-S011-1434,VKM-SRC-011,p68 [стр. 134-135],geological documentation of workings roofs/walls; special underground boreholes for fracture tracing; rose-diagram statistics of fractures,DC02,keyword rule on data_class,FACT,SKRU3,HIGH,only where workings exist; fracture extent above/below workings mostly unknown,upper edges of fractures unknown; extent into massif unknown,
EV-VN-S011-1454,VKM-SRC-011,p70 [Рис. 2.67б],underground GPR survey of fractures,DC23,explicit (cited in DC row),FACT,SKRU3,HIGH,"local mine-scale fracture maps; research survey, not routine",~11 years to monograph publication,
EV-VN-S011-1459,VKM-SRC-011,"p70 [Рис. 2.69, 2.70]",mine geologists' photo documentation of chamber walls/roofs,DC02,keyword rule on data_class,FACT,SKRU3,HIGH,only in mined chambers,,
EV-VN-S011-1463,VKM-SRC-011,p71 [стр. 140],lab physico-mechanical tests on specimens sawn from mine monoliths,DC03,keyword rule on data_class,FACT,SKRU3,HIGH,lab strength values from surviving specimens may not represent fractured massif,scale/selection effect: lab specimen ≠ massif,
EV-VN-S011-1553,VKM-SRC-011,p80 [с.159],geological mapping of workings (mineral outcrops) during stoping,DC02,keyword rule on data_class,FACT,SKRU3,HIGH,mine geological documentation immediately; public 1991–1993,2–4 years from mapping to publication,
EV-VN-S011-1559,VKM-SRC-011,"p81 [§2.7, с.160-161]",trace-element geochemistry of salts,DC09,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,"published literature; fragmentary, often in arbitrary units",,Low relevance to mechanics/subsidence; recorded for completeness.
EV-VN-S011-1575,VKM-SRC-011,p84 [с.167],precious-metal geochemistry of salts,DC09,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,n/a,~10 years between first measurement (1984) and report (1994),Low relevance to subsidence; recorded as lifecycle example.
EV-VN-S011-1645,VKM-SRC-011,p93 [с.184],underground geochemical sampling of exposed rock (oil shows),DC02,keyword rule on data_class,FACT,BKPRU4,HIGH,n/a,exposure time of wall rock to mine atmosphere alters sampled material (evaporation/oxidation) — sampling delay is a physical confounder,Example of 'age of exposure' affecting measured properties of exposed rock in workings.
EV-VN-S011-1657,VKM-SRC-011,"p94 [Табл. 2.52, 2.53; с.188]","lab analysis of rock samples (bitumoids, IR)",DC03,keyword rule on data_class,FACT,BKPRU4,HIGH,n/a,time between sampling and analysis changes measured composition (sample ageing) — a measurement-operator effect,
EV-VN-S011-1693,VKM-SRC-011,p98 [p.194],lab test: bound gas content/composition of halite samples,DC25,keyword rule on data_class,FACT,BKPRU4,HIGH,via publication only,single samples; sampling date not given,
EV-VN-S011-1725,VKM-SRC-011,p102 [p.202],"exploration borehole core sampling of seam A (thickness, insoluble residue content)",DC01,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,only as isoline maps without coordinate grid; raw data in exploration archives (not stated where),,
EV-VN-S011-1996,VKM-SRC-011,"p117 [§3.7, p.232, [48]]",outburst (ВВСГ) hazard forecasting from geological-geochemical sampling,DC27,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,operational mine-geology service during development,"statistical method, imperfect; new methods needed",
EV-VN-S011-2009,VKM-SRC-011,p118 [p.234],seismic survey (reflection) of the VKM area,DC05,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,via reports/publications; seismic sections not reproduced here,,
EV-VN-S011-2035,VKM-SRC-011,p111 [p.220],oil-well drilling complication record (lost circulation at top of salt),DC01,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,drilling archives of oil companies; published summary only here,decades between event and publication,
EV-VN-S011-2036,VKM-SRC-011,"p112 [Рис. 3.9, p.221-222]",exploration borehole logs of the gypsum-clay cap (hematite interlayers as residues of leached potash seams),DC04,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,only as a schematic map; raw logs in exploration archives,,
EV-VN-S011-2072,VKM-SRC-011,p128 [стр. 255],exploration borehole data / core lab tests / regulated calculations,DC01,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,до начала горных работ на участке,Н.О. по керну систематически занижено (избирательное разрушение керна) -> нужна поправка; метод Тупицына для устойчивости кровли требует уже отработанной части участка (информация появляется только после отработки),
