conflict_id,model_ids,source_ids,locators,vn_ids,conflict_type,form_a,form_b,description_ru,resolution_needed,status
FC-011,MM-SUBS-002,VKM-SRC-003,VKM-SRC-003 p.87 (печ. 87) [формула (4.13)],EV-VN-S003-0331,INTERNAL_INCONSISTENCY,L_x = H·ctg δ₀ + D₀/2 (4.13) для оси Ox,D₀ определён как размер блока вдоль Oy; рис. 4.5В показывает L_y с D₀,"Несогласованность осей в формуле полудлины мульды при неполной подработке (Старобин, цитата [32]).",Первоисточник [32] (нормативный документ Старобина).,OPEN
FC-012,MM-UGS-001,VKM-SRC-003,VKM-SRC-003 p.79 (печ. 79) [формула (4.6)],EV-VN-S003-0288,PRINT_ERROR_SUSPECTED,ΔP = P₀·exp((x² + y²)/a) (как напечатано),ΔP = P₀·exp(−(x² + y²)/a) (согласуется с рис. 4.1А),Вероятно пропущен знак минус в экспоненте.,—,RECORDED_AS_PRINTED
FC-013,MM-SCALE-001;MM-GEOMECH-002,VKM-SRC-012,VKM-SRC-012 p.99 (печ. 99) [§4.2]; VKM-SRC-012 p.109 (печ. 109) [§4.2–4.3 pp.99-113],EV-VN-S012-0526;EV-VN-S012-0740,DEFINITION_AMBIGUITY,K_стр — «степень уменьшения» свойств массива по сравнению с образцом (направление не формализовано),"K_стр ≈ 15 → множитель 0,07 к модулю (деление)","Направление коэффициента структурного ослабления не определено формулой; применение Лебедевой подразумевает P_массив = P_образец/K_стр. Внешне (RM-FV-003, RM-F-017): [10] «Бенявски З.Т. Управление горным давлением» (1990) — вероятно, перевод Bieniawski 1984; K_стр ≈ 15 — подгонка по оседаниям (MODEL_CHOICE), не свойство соли.",Бенявский [10] (первоисточник).,OPEN
FC-014,MM-GEOL-008,VKM-SRC-037,"VKM-SRC-037 p.190 (печ. 379) [формулы (8.228), (8.229), с.379]; VKM-SRC-037 p.202 (печ. 403) [формулы (8.265)-(8.271), с.403]",EV-VN-S037-1094;EV-VN-S037-1157,UNIT_INCONSISTENCY,"C_п, C_пр в м (8.228)–(8.231)","C_п, C_пр в долях ед. (8.265)–(8.271)",Внутренняя несогласованность единиц коэффициентов складчатости.,—,OPEN
FC-015,MM-ROOF-006,VKM-SRC-014,"VKM-SRC-014 p.178 (печ. 178) [§7.1, (7.14)-(7.15), Рис. 7.7]; VKM-SRC-014 p.187 (печ. 187) [§7.2, (7.23)]",EV-VN-S014-1019;EV-VN-S014-1054,PRINT_ERROR_SUSPECTED,"K_n = 1,0 при n/L_р > 0,15 (7.15)","K_n = 1,0 при n/L_р ≤ 0,15 (7.23, с.188)",Опечатка условия во втором месте.,—,RECORDED_AS_PRINTED
FC-016,MM-MINE-010;MM-MINE-009;MM-SUBS-011;MM-SUBS-015;MM-WPS-006,VKM-SRC-026;VKM-SRC-023;VKM-SRC-012;VKM-SRC-031,"VKM-SRC-026 p.28 (печ. 28) [§5.1]; VKM-SRC-023 p.78 (печ. 78) [rendered p.78; формула (4.6) (media/image45.png), Рис. 40б]; VKM-SRC-012 p.54 (печ. 54) [формула (2.1)]; VKM-SRC-031 p.2 (печ. 36) [§Методы и подходы]",EV-VN-S026-0135;EV-VN-S023-0408;EV-VN-S012-0259;EV-VN-S031-0009,DEFINITION_AMBIGUITY (коэффициент извлечения),К_и = Z_пр/Q_б — массовое извлечение балансовых запасов панели (VKM-SRC-026 по [3]),"ω = a/(a + b) — плановое (площадное/ширинное) извлечение (MM-MINE-009); ω в η₀ = 0,9·m₀·ω·p — «расчётный коэффициент извлечения», значение и определение не опубликованы (VKM-SRC-012, -031)","Под одним словом «коэффициент извлечения» в корпусе скрываются разные величины (массовая, плановая, возможно объёмная с учётом формы сечения S′_x). Подстановка К_и или ω = a/(a+b) в формулу оседания без явного определения ω в Указаниях — ошибка категории. Внешне найдено ещё одно употребление: коэффициент извлечения 40–45 % как порог сохранности ВЗТ (XF-SF-028) — какой из коэффициентов, неизвестно; не подставлять в η₀ без определения ω.",Определение ω в Указаниях 2014/2022 (EXT-SRC-032/043); для СКРУ-1 — фактическая геометрия (MINING поток).,OPEN
FC-017,MM-DEF-003,VKM-SRC-024,"VKM-SRC-024 p.74 (печ. 74) [формула (5), p.74]; VKM-SRC-024 p.74 (печ. 74) [формула (4), p.74]",EV-VN-S024-0193;EV-VN-S024-0192,INTERNAL_TYPO,(5) как напечатано: K = (i_m − i_{m−1})/2,"(4): K = (i_m − i_{m−1})/l_ср, l_ср — полусумма длин смежных интервалов (размерно корректная форма)",В (5) знаменатель «2» вместо l_ср — размерно некорректно (кривизна должна иметь 1/м). Для оператора наблюдения использовать форму (4).,"Первоисточник идентифицирован внешне: Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений (Госгортехнадзор СССР, 03.07.1986; изд. Недра, 1988; NORM-F-028); не смешивать с угольной инструкцией 1987 г. (NORM-F-029). Текст не прочитан; форма (4) с делением на l_ср подтверждена ТСН 22-301-98 (поток NORMATIVE).",OPEN
FC-018,MM-LAB-009;MM-LAB-001,VKM-SRC-025;VKM-SRC-037,"VKM-SRC-025 p.67 (печ. 67) [формула (3.4), «Указания...» [77]]; VKM-SRC-025 p.67 (печ. 67) [формула (3.4); p.69]; VKM-SRC-037 p.10 (печ. 19) [§1.2.1, эмпирическая зависимость σсж(h/d)]; VKM-SRC-037 p.11 (печ. 20) [Табл. 1.1, строка 4 (рекомендация УФ ВНИИГ)]",EV-VN-S025-0344;EV-VN-S025-0345;EV-VN-S037-0119;EV-VN-S037-0129,FORM_CONFLICT (коэффициент формы),"K_f = 0,65 + 0,70·d/h при 0 < d/h ≤ 0,5; K_f = √(2d/h) при d/h ≥ 0,5 (Указания [77] по VKM-SRC-025 (3.4))","K = 0,65 + 0,70·(d/h) единой линейной формой для d/h = 0,5…3 (УФ ВНИИГ, VKM-SRC-037 §1.2.1, табл. 1.1)","При d/h > 0,5 формы различаются (корень против линейной). Обе — нормативно-лабораторные для солей ВКМ; не усреднять.",Текст Указаний [77] и табл. 1.1 первоисточника УФ ВНИИГ.,OPEN
FC-019,MM-LAB-011,VKM-SRC-025,"VKM-SRC-025 p.70 (печ. 70) [формула (3.5)]; VKM-SRC-025 p.73 (печ. 73) [Табл. 3.1, карналлит (пл. В)]",EV-VN-S025-0356;EV-VN-S025-0367,INTERNAL_VALUE_CONFLICT,"карналлит: K_f = 0,50 + 0,96·d/h (формула (3.5))","карналлит: 0,51 + 0,98·d/h (табл. 3.1)",Внутреннее расхождение коэффициентов одного источника (VKM-SRC-025); возможно разные выборки/округление. Хранить оба.,Первичные данные испытаний (VKM-SRC-025 гл. 3).,OPEN
FC-020,MM-DAMAGE-001,VKM-SRC-025,VKM-SRC-025 p.104 (печ. 104) [§4.1 формула (4.9)],EV-VN-S025-0543,INTERNAL_SIGN_CONFLICT,"(4.9) как напечатано: положительный наклон +4,74 (визуально подтверждено «+»)",текст: прочность снижается с ростом нарушенности (ожидается отрицательный наклон),Вероятная ошибка знака в регрессии (4.9); использовать нельзя без первичных данных.,Первичные данные рис./табл. §4.1 VKM-SRC-025.,OPEN
FC-021,MM-PILLAR-006;MM-PILLAR-011,VKM-SRC-025;VKM-SRC-033,"VKM-SRC-025 p.119 (печ. 119) [§4.4 формула (4.12) pp.119-120]; VKM-SRC-025 p.120 (печ. 120) [§4.4 p.120, cites [77]]; VKM-SRC-033 p.1 (печ. 7) [Введение; ref [1]]; VKM-SRC-033 p.2 (печ. 8) [формула (1)]",EV-VN-S025-0652;EV-VN-S025-0654;EV-VN-S033-0004;EV-VN-S033-0016,VALUE_CONFLICT (глинистые прослои),"лабораторная зависимость K_с(δ_с) (VKM-SRC-025 (4.12), α_с = 0,86; β_с = 0,7281/1,40)",нормативная кривая Указаний [77] (по VKM-SRC-025 p.120); Указания 2008 — по относительной суммарной мощности прослоев (VKM-SRC-033); численная c = K*_гл/K*_од (VKM-SRC-033),"Источник VKM-SRC-025 указывает, что при h_г/h = 0,2 лабораторная и нормативная оценки различаются почти вдвое; VKM-SRC-033 считает параметр суммарной мощности недостаточным (влажность, положение прослоев).",Указания [77]/2008; сопоставление в локальной фазе без калибровки на данные оценки.,OPEN
FC-022,MM-CONTACT-001,VKM-SRC-025,"VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.6)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.7)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.8)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.9), с.145-146]",EV-VN-S025-0792;EV-VN-S025-0793;EV-VN-S025-0794;EV-VN-S025-0795,FORM_CONFLICT (печать vs прежние записи),(5.6)–(5.9) как напечатано (визуально); (5.7) противоречит собственному утверждению текста (вероятно перевёрнута дробь),прежние записи EV-RMR-0942/0943 прошлого релиза дают иные формы (5.6)–(5.9),Печать приоритетна над прежним дайджестом; (5.7) требует первоисточника.,Повторная визуальная проверка p.145 VKM-SRC-025 и исходной статьи по контактам.,OPEN
FC-023,MM-CONTACT-003,VKM-SRC-025,"VKM-SRC-025 p.141 (печ. 141) [§5.2, формула (5.2)]",EV-VN-S025-0776,INTERNAL_TYPO,(5.2) как напечатано: τ = {σ₂¹cos²α₁ + σ₃²(cos²α₁ + cos²α₂) + [σ]²}^½,формула Коши для касательного напряжения на площадке: τ² = Σσ_i²·l_i² − σ_n² (со знаком «−»),Индексы и знак в (5.2) не соответствуют формуле Коши — не использовать без исправления.,Первоисточник метода (VKM-SRC-025 гл. 5).,OPEN
FC-024,MM-CONTACT-005,VKM-SRC-025,"VKM-SRC-025 p.151 (печ. 151) [§5.5, с.151, (5.15)-(5.17)]; VKM-SRC-025 p.151 (печ. 151) [§5.5, формула (5.16)]",EV-VN-S025-0833;EV-VN-S025-0831,UNIT_AMBIGUITY,"δ = 0,013 с^(α−1) (как напечатано), α = 0,7",кривые ползучести контактов — в сутках; в (5.15) смешение t/T,Единица времени параметра ядра Абеля неоднозначна (с vs сут) — ошибка на порядки величины при переносе.,"Первичные кривые ползучести контактов (VKM-SRC-025 рис. 5.13). Пересчёт единиц (RM-FV-002, символьно): δ имеет размерность [время]^(α−1), δ_сут = δ_с·86400^(1−α); при α = 0,7 значения в «с» и «сут» различаются в 86400^0,3 раз — ошибка единицы меняет ползучесть на порядок величины; фактически применённая единица — UNKNOWN.",OPEN
FC-025,MM-FRAC-004;MM-FRAC-003,VKM-SRC-025,"VKM-SRC-025 p.166 (печ. 166) [формула (7.1), §7.1]; VKM-SRC-025 p.168 (печ. 168) [формула (7.4), §7.1]",EV-VN-S025-0912;EV-VN-S025-0922,FORM_CONFLICT (vs стандарт),(7.1): последний член полинома Y(a/W) напечатан с показателем 7/2; (7.4): G_c = 2(1 − ν²)K_Ic²/E,ASTM E399 (SE(B)): последний показатель 9/2; Ирвин (плоская деформация): G = (1 − ν²)K²/E,Вероятные опечатки/неточности относительно стандартных форм; нормативный G_c = 1000 (MM-FRAC-003) — отдельная величина.,ASTM E399 и первоисточник (7.4).,OPEN
FC-026,MM-PILLAR-010;MM-PILLAR-003,VKM-SRC-031;VKM-SRC-037,VKM-SRC-031 p.1 (печ. 35) [Введение]; VKM-SRC-037 p.167 (печ. 333) [формула (8.128)],EV-VN-S031-0002;EV-VN-S037-0898,NOTATION_CONFLICT,"C = P/Q: P — средняя вертикальная нагрузка, Q — несущая способность (VKM-SRC-031 по Указаниям 2014)","C = Q/P: Q — нагрузка, P — несущая способность (VKM-SRC-037, (8.128))","Смысл одинаков (нагрузка/несущая способность), буквы переставлены. При переносе формул между источниками — обязательная сверка обозначений.",Нет (нотация); зафиксировать единую нотацию в WorldSpec.,RESOLVED_NOTATION
FC-027,MM-PILLAR-010,VKM-SRC-031;VKM-SRC-032,VKM-SRC-031 p.1 (печ. 35) [§Методы и подходы]; VKM-SRC-032 p.1 (печ. 44) [формула (1)],EV-VN-S031-0005;EV-VN-S032-0003,FORM_CONFLICT (цитирование одного норматива),"C = γH(a + b)/(b·k_f·σ_m) — без ξ, H — глубина до поверхности (VKM-SRC-031)",C = ξ·γ·H₀(a + b)/(b·k_f·σ_m) ≤ [C] — с поправкой ξ и H₀ (макс. расстояние до кровли целиков) (VKM-SRC-032),Две статьи цитируют одни Указания 2014 в разных формах; при ξ = 1 и H₀ = H формы совпадают. Какая форма нормативна — неизвестно без первоисточника.,"Указания 2014 (ред., введ. 30.03.2017).",OPEN
FC-028,MM-PILLAR-010;MM-PILLAR-003;MM-PILLAR-002,VKM-SRC-032;VKM-SRC-037,VKM-SRC-032 p.1 (печ. 44) [формула (1)]; VKM-SRC-037 p.167 (печ. 333) [формула (8.128)],EV-VN-S032-0003;EV-VN-S037-0898,FORM_CONFLICT (редакции норматива),знаменатель b·k_f·σ_m (Указания 2014),"знаменатель σ″_сж·(K₁/K₂)·K₃·K₄·K₅·(b − Δb) (VKM-SRC-037 1990/92, воспроизводит методику Указаний 1985 [20]: K₁, K₂, K₅ — по [20])",Несущая способность параметризована по-разному (k_f(b/m)·σ_m против набора K₁…K₅ и Δb). Численные значения [C] и результаты разных редакций не взаимозаменяемы.,Указания 2014/2022 и переходные коэффициенты.,OPEN
FC-029,MM-PILLAR-010;MM-PILLAR-003,VKM-SRC-027;VKM-SRC-037,VKM-SRC-027 p.3 (печ. 58) [§ допустимая степень нагружения]; VKM-SRC-037 p.166 (печ. 330-331) [§8.4.1],EV-VN-S027-0019;EV-VN-S037-0880,CONDITIONING_CONFLICT ([C]),"[C] = 0,4 при отсутствии аномальных зон (методика Уралкалия, VKM-SRC-027, Усольский)","[C] ≤ 0,3 без учёта обрушения кровли / ≤ 0,4 с учётом (VKM-SRC-037 1990/92, воспроизводит методику Указаний 1985 [20])","Одинаковое значение 0,4 обусловлено разными условиями; нельзя считать единым порогом.",Действующие Указания.,OPEN
FC-030,MM-PILLAR-008;MM-PILLAR-011,VKM-SRC-032;VKM-SRC-033,VKM-SRC-032 p.2 (печ. 45) [формула (3)]; VKM-SRC-033 p.2 (печ. 8) [формула (1)],EV-VN-S032-0008;EV-VN-S033-0016,DEFINITION_CONFLICT (K*),K* — нормированная интенсивность касательных напряжений в ЦЕНТРЕ вертикального сечения целика (VKM-SRC-032),K* — МАКСИМУМ по всей высоте и ширине целика (VKM-SRC-033),"Одним символом обозначены разные функционалы поля напряжений; регрессию C = 1,05K* − 0,1 нельзя применять к K* в смысле VKM-SRC-033.",Нет (определения); в WorldSpec различать K*_центр и K*_max.,RESOLVED_DEFINITION
FC-031,MM-STRESS-003,VKM-SRC-030,VKM-SRC-030 p.5 (печ. 38) [формула (5)],EV-VN-S030-0046,INTERNAL_NOTATION,(5): σ_max = σ_min + 4C*(a/R₀ − 1)/(a/R₀ + 1) — малая полуось = R₀,"текст называет малую полуось равной радиусу скважины, но в скобках пишет 2R₀","Неясно, R₀ — радиус или диаметр; от этого зависит отношение полуосей.",Первоисточник (Токсаров 2020) / Галин.,OPEN
FC-032,MM-STRESS-006;MM-STRESS-008,VKM-SRC-029,"VKM-SRC-029 p.55 (печ. 55) [формула (1.8), refs [62, 67-69]]; VKM-SRC-029 p.105 (печ. 105) [формула (3.2), ref [95]]",EV-VN-S029-0086;EV-VN-S029-0181,INTERPRETATION_CONFLICT (эффект Кайзера в скважине),"σ_ср = (σ₁ + σ₂)/2 = P_эк/k — давление Кайзера отражает среднее напряжение, нормальное к оси (Токсаров и др. [62, 67–69])",σ_r(θ) = (σ₁ + σ₃)/2 + (σ₁ − σ₃)/2·cos(2θ − π) = P_эк — давление Кайзера отражает радиальную компоненту нетронутого поля в направлении нагружения (Бельтюков (3.2)),Разные физические интерпретации одного измерения дают разные оценки компонент; прежние ВКМ-оценки по (1.8) не сопоставимы напрямую с оценками по (3.2).,Сопоставление методик на одном объекте (вне этой фазы).,OPEN
