model_id,name_ru,physical_meaning_ru,math_class,equation_plain,equation_latex,variables,assumptions,scale,site_applicability,source_ids,locator,origin,cited_primary,known_variants,conflicting_forms,legibility,intended_role,future_execution,status,confidence,vn_ids,record_kinds,n_records,extraction_methods,group,notes
MM-DAMAGE-001,"Лабораторные параметры нарушенности: динамический P_v = (V_н − V_⊥)/V_н; весовой П = (m₂ − m₁)/m₁; пустотность K_п = П·ρ_п/ρ_к; K_п = 10,6·P_v; σ_сж = 21,20 + 4,74·P_v (КрII)","Связь нарушенности образцов (ультразвук, пропитка керосином) с пустотностью и прочностью.",STATISTICAL,Pv = (Vн − V⊥) / Vн,P_v = \frac{V_н - V_\perp}{V_н},Pv:dynamic damage (нарушенности) coefficient[-]; Vн:P-wave velocity in undamaged specimen[velocity]; V⊥:P-wave velocity in damaged specimen measured perpendicular to loading axis (main crack system)[velocity],>200 образцов КрII для (4.9); 4 точки для (4.8).,LAB,VKM_REGIONAL,VKM-SRC-025,"VKM-SRC-025 p.102 (печ. 102) [§4.1 формула (4.5)]; VKM-SRC-025 p.103 (печ. 103) [§4.1 формула (4.6)]; VKM-SRC-025 p.103 (печ. 103) [§4.1 формула (4.7)]; VKM-SRC-025 p.103 (печ. 103) [§4.1 формула (4.8), рис. 4.6]; VKM-SRC-025 p.104 (печ. 104) [§4.1 формула (4.9)]",ORIGINAL_SOURCE,VKM-SRC-025 §4.1 (4.5)–(4.9),MM-PETRO-003,"(4.9): положительный наклон +4,74 противоречит утверждению о снижении прочности с нарушенностью — вероятная ошибка знака (визуально подтверждено «+») (FC-020); единица K_п неоднозначна",CLEAR,CONTEXT_ONLY (лабораторная нарушенность; для модели повреждённости — только исследовательски),RESEARCH_REQUIRED,FACT,MEDIUM,EV-VN-S025-0534;EV-VN-S025-0535;EV-VN-S025-0536;EV-VN-S025-0539;EV-VN-S025-0543,formula,5,OCR_VISUALLY_CONFIRMED,Lab: damage parameters,VKM-SRC-025: лабораторный масштаб (LAB); перенос на массив требует явной записи transfer. 
MM-DEF-001,"Наклон (относительная разность осадок) между двумя точками: i = Δη/l; β_ij = |U_i − U_j|/L_ij; предел для многоэтажных бескаркасных кирпичных зданий 0,002 (СНиП 2.02.01-83)","Разность вертикальных смещений двух точек, отнесённая к расстоянию между ними; базовая деформационная характеристика мульды и оснований зданий.",ALGEBRAIC,"β_{i,j} = |U_i − U_j|/L_{i,j} (VKM-SRC-017); i = Δh/Δl (VKM-SRC-001 ф.5); предельное значение 0,002 (СНиП 2.02.01-83)","\beta_{i,j}=\frac{|U_i-U_j|}{L_{i,j}}","U_i:вертикальные перемещения i-го датчика[мм]; L_i,j:расстояние между датчиками i и j[мм]; β_i,j:относительная разность осадок (локальное изменение наклона фундамента)[- (reported as rad in Table 1)]",Пары датчиков в пределах контура здания (VKM-SRC-017); у Мусихина — между когерентными точками InSAR.,FIELD,GENERAL_METHOD (Березники — гидростатические системы зданий),VKM-SRC-017;VKM-SRC-001,VKM-SRC-017 p.2 (печ. 81) [p.2 (unnumbered formula)]; VKM-SRC-017 p.2 (печ. 81) [p.2; СНиП 2.02.01-83]; VKM-SRC-001 p.17 [формула (5)],TEXTBOOK_STANDARD,маркшейдерская норма; СНиП 2.02.01-83 (предел),наклон в методе типовых кривых i_x (MM-SUBS-010),,CLEAR,Оператор деформаций поверхности (из модельных/наблюдённых смещений) и CONSTRAINT_CHECK для зданий,OBSERVATION_OPERATOR;CONSTRAINT_CHECK,FACT,HIGH,EV-VN-S017-0013;EV-VN-S017-0015;EV-VN-S001-0056,engineering_rule;formula,3,TEXT_LAYER;VISUAL_READ,Deformation definitions,"Гидростатические системы измеряют неравномерность осадок внутри сооружения, а не абсолютное оседание поверхности."
MM-DEF-002,Средний наклон здания по аппроксимации поля вертикальных перемещений датчиков плоскостью,Коэффициенты плоскости дают средний наклон и его направление; max β ≈ среднему наклону — однородный наклон; max β >> среднего — неоднородный (потенциально опасный).,STATISTICAL,"U(x,y) ≈ a₀ + a₁x + a₂y (МНК); средний наклон = √(a₁² + a₂²), направление = atan2(a₂, a₁) (формализация словесного описания)",,U:vertical displacement of sensors[mm],Здание мало по сравнению с мульдой.,FIELD,OTHER_VKM_SITE (Березники),VKM-SRC-017,VKM-SRC-017 p.2 (печ. 81) [p.2],ORIGINAL_SOURCE,"Гусев, Епин, Цветков 2022",MM-DEF-001,,NO_EQUATION (словесно; формализация потока),Оператор наблюдения для гидростатических систем (относительные осадки внутри сооружения),OBSERVATION_OPERATOR,FACT,HIGH,EV-VN-S017-0016,formula,1,TEXT_LAYER,Deformation definitions,
MM-DEF-003,"Обработка наблюдений на профильных линиях (ВНИМИ 1988): оседание, наклон, кривизна, горизонтальное сдвижение, горизонтальная деформация, скорость","Оператор перевода повторных отметок и расстояний реперов в деформационные характеристики; наклон относится к середине интервала, кривизна — к общей точке, деформация — к центру интервала.",ALGEBRAIC,"η = H_{m−1} − H_m (2); i = (η_n − η_{n−1})/l (3); K = (i_m − i_{m−1})/l_ср (4), l_ср = полусумма длин интервалов (в (5) напечатано «/2» — опечатка); ξ = D₂ − D₁ (6, обозначено l₁); ε = (d₂ − d₁)/d (7); ε = (d_n − d)/d (8); v = (X_k − X_{k−1})/(t_k − t_{k−1})",,"[""benchmark heights H per cycle"", ""horizontal distances D to reference benchmark"", ""interval lengths d, l"", ""cycle dates""]","Опорные реперы стабильны (контроль каждый цикл, допуск 5 мм/100 м).",FIELD,GENERAL_METHOD (норматив ВНИМИ; применимо к профильным линиям СКРУ-1),VKM-SRC-024,"VKM-SRC-024 p.72 (печ. 72) [§6.3.1 pp.72-75]; VKM-SRC-024 p.73 (печ. 73) [формула (2), §6.3.1]; VKM-SRC-024 p.73 (печ. 73) [формула (3), pp.73-74]; VKM-SRC-024 p.74 (печ. 74) [формула (4), p.74]; VKM-SRC-024 p.74 (печ. 74) [формула (5), p.74]; VKM-SRC-024 p.74 (печ. 74) [формула (6), p.74]; VKM-SRC-024 p.74 (печ. 74) [формула (7), pp.74-75]; VKM-SRC-024 p.75 (печ. 75) [формула (8), p.75]; VKM-SRC-024 p.75 (печ. 75) [§6.3.1 p.75]",CITED_IN_SOURCE,"[5] Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений (ВНИМИ, 1988)","MM-DEF-001 (наклон по двум точкам); MM-SUBS-010 (i, K, ε в методе типовых кривых)",(5): K = (i_m − i_{m−1})/2 напечатано ошибочно (FC-017),NO_EQUATION_METHOD_DESCRIPTION,"ОПЕРАТОР НАБЛЮДЕНИЯ для нивелирных профильных линий: модельные смещения → η, i, K, ε, v на реперах (ключ для сравнения мира с нивелированием)",OBSERVATION_OPERATOR,FACT,HIGH,EV-VN-S024-0332;EV-VN-S024-0189;EV-VN-S024-0191;EV-VN-S024-0192;EV-VN-S024-0193;EV-VN-S024-0195;EV-VN-S024-0196;EV-VN-S024-0197;EV-VN-S024-0198,formula;subsidence_method,9,OCR_VISUALLY_CONFIRMED;TEXT_LAYER,Deformation definitions,"VKM-SRC-024 — ВКР по Гремячинскому месторождению (аналог; значения не переносить на СКРУ-1). Сами формулы — общий норматив ВНИМИ (GENERAL_METHOD), не аналоговые значения."
MM-DEM-001,"Морфометрические признаки рельефа по ЦМР (L1, L2, cos θ, модуль градиента Собеля) для ИНС",Меры расчленённости рельефа в окне 3×3 как признаки для нейросетевого районирования.,GEOMETRIC,"L¹_Re(w) = Σ|Re(w̄) − Re(w)|/4 (1.1); L²_Re(w) = (2 + cos θ_г + cos θ_в)/2 (1.2); cos θ_г, cos θ_в (1.3)–(1.4); |∇Re| = |∇_г| + |∇_в| (1.5); ∇_г, ∇_в — операторы Собеля (1.6)–(1.7)",L_{Re}^{1}(w) = \frac{\sum_{\overline{w} \in C(w)}\left| Re(\overline{w}) - Re(w) \right|}{4},Re(w):relief (surface elevation) at analysis node w[m (not stated)]; C(w):neighbourhood (4 neighbours implied by /4) of node w[-],"Формулы — OMML (пусты в PDF), взяты из docx; нумерация (1.x) в гл.3.",NOT_APPLICABLE,"GENERAL_METHOD (метод); применение автором ВКР к данным СКРУ-1 — иллюстрация, не валидированная модель SKRU-1",VKM-SRC-023,VKM-SRC-023 p.44 (печ. 44) [§3.1.3 формула (1.1) (all.md; blank in rendered PDF)]; VKM-SRC-023 p.44 (печ. 44) [§3.1.3 формула (1.2) (all.md; blank in rendered PDF)]; VKM-SRC-023 p.44 (печ. 44) [§3.1.3 формула (1.3) (all.md; blank in rendered PDF)]; VKM-SRC-023 p.44 (печ. 44) [§3.1.3 формула (1.4) (all.md; blank in rendered PDF)]; VKM-SRC-023 p.44 (печ. 44) [§3.1.3 формула (1.5) (all.md; blank in rendered PDF)]; VKM-SRC-023 p.44 (печ. 44) [§3.1.3 формула (1.6) (all.md; blank in rendered PDF)]; VKM-SRC-023 p.44 (печ. 44) [§3.1.3 формула (1.7) (all.md; blank in rendered PDF)],ORIGINAL_SOURCE,"Филатова (ВКР); ср. ДМА [37], [38]",,(1.2) делится на 2 как напечатано (диапазон 0…2),PARTIAL,CONTEXT_ONLY (ML-базовая линия ВКР; ML в текущей фазе запрещено),CONTEXT_ONLY,MODEL_CHOICE,MEDIUM,EV-VN-S023-0283;EV-VN-S023-0284;EV-VN-S023-0285;EV-VN-S023-0286;EV-VN-S023-0287;EV-VN-S023-0288;EV-VN-S023-0289,formula,7,DOCX_TEXT,ML features (context),"VKM-SRC-023 — студенческая ВКР (вторичное свидетельство, не первичная полевая истина). "
MM-DER-001,Производные стратиграфии СКРУ-1 по таблице скважин Лебедевой: интервал = кровля(след. единицы) − кровля(единицы); медианы кровель по скважинам; базовая колонка = argmin_i √Σ_k((x_ik − med_k)/sd_k)² (скважина 75),Мощности интервалов и глубины кровель — прямые разности напечатанных глубин; выбор «ближайшей к медиане» реальной скважины как базовой колонки Physical World v1.,STATISTICAL,"interval_k = roof_{k+1} − roof_k (глубины от устья, как напечатано); depth = roof (как напечатано); roof_k(med) = median_i roof_k(i); base = argmin_i √(Σ_k ((x_ik − median_k)/sd_k)²), x = (кровля ПКС, ПКС→СКЗ, СКЗ→СЗ, СЗ→ПдКС), sd — популяционное (sample sd даёт того же победителя)",,"roof_k(i) — глубина кровли единицы k в скважине i [м]; median_k, sd_k — по 8 полным колонкам южного края СКРУ-1 + целик СКРУ-1–СКРУ-2",Глубины — DERIVED_FROM_SOURCE; ВЫБОР базовой колонки — MODEL_CHOICE (RD-021); привязка скважин к участку — по рисунку расположения (требует проверки); отсутствующие единицы пропускаются.,FIELD,SKRU1 (8 скважин южного края + целик СКРУ-1–СКРУ-2) — одна скважина ≠ месторождение; скважина 75 ≠ SKRU-1,VKM-SRC-012,"physical_evidence_v1/derived_calculations.csv DC-STRAT-roof_medians_context, DC-STRAT-base_column_nearest_median, DC-STRAT-depth_*/int_* (VKM-SRC-012 PDF p.64–65, табл. 3.1; решения RD-021, ADV-007, ADV2-017)",DERIVED_THIS_PROJECT,,MM-GEOL-001…010 (геология Кудряшова/Лебедевой),названия карт мощностей сдвинуты на одну единицу (EV-SYN-0001…0008) — интервалы именуются по ограничивающим кровлям,N/A,WorldSpec: базовая 1D-колонка (MODEL_CHOICE) и диапазоны мощностей; не интерполяция в 3D,ANALYTICAL,DERIVATION,HIGH,,,0,,Derived (this project): stratigraphy,Формула прошлого релиза (scripts/derived_calculations.py); значения в этом потоке НЕ пересчитывались. Медиана — контекст; базовой является реальная колонка (без синтетических медиан).
MM-DER-002,"Описательная степенная огибающая установившейся скорости ползучести по степени нагружения (сильвинит СКРУ-3, LAB): y = A·x^n, n и ln A — МНК по (ln x, ln y)","Эмпирическая аппроксимация табличных скоростей стадии BC по уровням нагружения 0,3–0,8 (и 0,4–0,8); не определяющий закон.",STATISTICAL,"y = A·x^n; (n, ln A) = argmin Σ(ln y_j − ln A − n·ln x_j)²; x = σ/σ_пр (уровень нагружения), y — установившаяся скорость [1/с]",,"x — степень нагружения σ/σ_пр [-]; y — скорость установившейся ползучести [1/с]; A, n — параметры аппроксимации","Одноосные LAB-испытания ≤ 35 сут; стадии различаются по уровням (0,3 — затухающая; ≥ 0,6 — прогрессирующая) — огибающая описательная.",LAB,"OTHER_VKM_SITE (СКРУ-3, полосчатый сильвинит) — НЕ переносится на СКРУ-1 и не параметр массива",EXT-SRC-011,"physical_evidence_v1/derived_calculations.csv DC-CREEP-SYLV-SKRU3-FIT-0.3-0.8, DC-CREEP-SYLV-SKRU3-FIT-0.4-0.8 (входы EV-EXT-0074…0079; EXT-SRC-011 табл. 2)",DERIVED_THIS_PROJECT,,MM-CREEP-001…011 (законы ползучести CL-01…11); MM-PDE-004 (степенной закон ползучести),,N/A,CONTEXT_ONLY / LAB-описание; для OGS не используется без отдельного решения,CONTEXT_ONLY,DERIVATION,HIGH,,,0,,Derived (this project): creep fit,Формула прошлого релиза (scripts/derived_calculations.py); значения в этом потоке НЕ пересчитывались. 
MM-DER-003,"Плотность по нормативному удельному весу: ρ = γ/g; интервал точности печати ρ = (γ ∓ 0,0005 МН/м³)/g",Перевод нормативного удельного веса (МН/м³) в плотность; границы — только из округления напечатанного значения (без литологической изменчивости).,ALGEBRAIC,"ρ = γ/g; ρ_min,max = (γ ∓ 0,0005 МН/м³)/g (γ напечатан с точностью 0,001 МН/м³)",,"γ — нормативный удельный вес [МН/м³] (мергель 0,022; каменная соль 0,022; карналлит 0,020; сильвинит 0,021 — как напечатано); g — ускорение свободного падения",Нормативные значения ≠ измерения; интервал — только погрешность округления (ADV-029).,DESIGN,VKM_REGIONAL (норматив),VKM-SRC-012,physical_evidence_v1/derived_calculations.csv DC-RHO-marl/-rock_salt/-carnallite/-sylvinite; DC-RHO-RANGE-* (вход EV-SYN-0015: Лебедева табл. 1.1 по [69] = Указания Уралкалия 2022),DERIVED_THIS_PROJECT,,MM-GEOL-009 (плотность руды); MM-STRESS-001 (σ_v = γH),,N/A,"WorldSpec: плотности слоёв (гравитационная нагрузка) — нормативные, с интервалом округления",ANALYTICAL,DERIVATION,HIGH,,,0,,Derived (this project): density,Формула прошлого релиза (scripts/derived_calculations.py); значения в этом потоке НЕ пересчитывались. 
MM-DER-004,Гипотеза H-λ1: коэффициент бокового распора упругого одноосного деформирования λ = ν/(1 − ν),Горизонтальное/вертикальное напряжение при боковом стеснении упругого слоя (K₀); одна из гипотез начального поля напряжений.,ALGEBRAIC,λ = σ_h/σ_v = ν/(1 − ν),,ν — нормативный коэффициент Пуассона слоя [-],"Линейная упругость, нулевая боковая деформация, отсутствие ползучей релаксации (для соли долговременно ожидается приближение к гидростатике — альтернативная гипотеза).",DESIGN,VKM_REGIONAL (нормативные ν),VKM-SRC-012,"physical_evidence_v1/derived_calculations.csv DC-K0-elastic-nu0.2/-nu0.3/-nu0.4 (вход EV-RMB-0073: нормативные ν сильвинита 0,2; каменной соли и мергеля 0,3; карналлита 0,4)",DERIVED_THIS_PROJECT,стандартная механика (TEXTBOOK_STANDARD формула),MM-STRESS-001 (σ_h = λγH); MM-PDE-002,"FC-033 (λ = 0,45 / 1 / ν/(1 − ν) / члены RD-004 0,60–0,71–1,00)",N/A,WorldSpec: один из членов гипотез начального поля (IC); не выбирать единственное значение без обоснования,INITIAL_CONDITION,MODEL_CHOICE,HIGH,,,0,,Derived (this project): initial stress,Формула прошлого релиза (scripts/derived_calculations.py); значения в этом потоке НЕ пересчитывались. 
MM-DER-005,Эквивалентный модуль выработанного слоя по присоединённой площади: E_eq = (1 − ω)·E_host,"Идеализация выработанного слоя (камеры + целики) как однородного слоя с модулем, пропорциональным доле целиков.",ALGEBRAIC,E_eq = (1 − ω)·E_host,,ω — плановый коэффициент извлечения (MM-MINE-009); E_host — нормативный модуль сильвинита,Идеализация RD-015; без учёта коэффициента Пуассона и неупругости.,CALIBRATED_EFFECTIVE_MODEL,SKRU1 (семейства ω камер/целиков СКРУ-1),VKM-SRC-012,physical_evidence_v1/derived_calculations.csv DC-EEQ-omega0.370/0.462/0.556/0.593 (вход EV-RMB-0072; решение RD-015 — ENGINEERING_ASSUMPTION),DERIVED_THIS_PROJECT,,MM-DER-006 (правила R3a/R3b); MM-CREEP-012 (переменные модули E⁰/[1 + Ψ(t)]); MM-MINE-009,FC-038 (формы эквивалентного слоя),N/A,"WorldSpec: эквивалентный слой (ENGINEERING_ASSUMPTION), член гипотез",ANALYTICAL,ENGINEERING_ASSUMPTION,HIGH,,,0,,Derived (this project): equivalent mined layer,Формула прошлого релиза (scripts/derived_calculations.py); значения в этом потоке НЕ пересчитывались. 
MM-DER-006,"Эквивалентный слой для незащемлённых ленточных целиков (правила R3a/R3b, pass 4): E_eq = (1 − ω)E_p(1 + 2ν_p)/(1 + ν_p)²; ν_eq = ν_p/(1 + ν_p); M_eq = (1 − ω)E_p/(1 − ν_p²); высвобождаемая вертикальная доля φ_yy = ω + (1 − ω)ν_pλ/(1 − ν_p), r_yy = 1 − φ_yy",Гомогенизация ряда «камера–целик» в разрезе вдоль целиков с учётом бокового расширения целиков; φ_yy — точное 1D тождество закрытия целиков при заданном λ.,ALGEBRAIC,"R3b: E_eq = (1 − ω)·E_p·(1 + 2ν_p)/(1 + ν_p)²; ν_eq = ν_p/(1 + ν_p); R3a: E_eq = M_eq, ν_eq = 0; M_eq = (1 − ω)·E_p/(1 − ν_p²) (R3a = R3b); φ_yy = ω + (1 − ω)·ν_p·λ/(1 − ν_p); r_yy = 1 − φ_yy (λ — член гипотез RD-004: 0,60; 0,71; 1,00, не усредняются)",,"ω — плановый коэффициент извлечения; E_p, ν_p — нормативные модули сильвинита целиков; λ — коэффициент бокового распора","Правило R3b (RD-018) — ENGINEERING_ASSUMPTION, опорный выбор RD-024; незащемлённые ленточные целики; разрез вдоль целиков.",CALIBRATED_EFFECTIVE_MODEL,SKRU1 (семейства ω СКРУ-1),VKM-SRC-012,"physical_evidence_v1/derived_calculations.csv DC-EQL-R3b-E-omega*, DC-EQL-R3b-nu, DC-EQL-R3-Meq-omega0.462, DC-EQL-phiyy-lam*-omega* (входы EV-RMB-0072/0073; решения RD-004, RD-018, RD-024; ogs/tools/equivalent_layer.py; review/formulation_note_pass4.md)",DERIVED_THIS_PROJECT,,MM-DER-005; MM-CREEP-012; MM-DER-004 (λ),FC-038,N/A,WorldSpec: эквивалентный слой выработки (эталонный скелет прошлого релиза); вход OGS reference case,ANALYTICAL,ENGINEERING_ASSUMPTION,HIGH,,,0,,Derived (this project): equivalent mined layer,Формула прошлого релиза (scripts/derived_calculations.py); значения в этом потоке НЕ пересчитывались. 
MM-DISS-001,"«Новые» параметры отработки при растворении целиков (БКПРУ-1, пласт В): a′ = a + 2Δ; b′ = b − 2Δ; m′ = m; Z′ = ΔV/(a′m′); для заложенных камер m″ = m(1 − Z), Z″ = ΔV/(a″m″); при C′ ≥ C_крит — мгновенное разрушение целика: η(t) = η′₀",Сценарный оператор: растворение уменьшает ширину целика на 2Δ и увеличивает ширину камеры; далее нормативно пересчитываются степень нагружения C′ и максимальное оседание η′₀; при критической C′ оседание принимается равным конечному сразу.,ALGEBRAIC,"незаложенные: a′ = a + 2Δ; b′ = b − 2Δ; m′ = m; Z′ = ΔV/(a′·m′); заложенные: a″ = a + 2Δ; b″ = b − 2Δ; m″ = m(1 − Z); Z″ = ΔV/(a″·m″); если C′ ≥ C_крит: η(t) = η′₀ (мгновенное разрушение), иначе η(t) по нормативной методике [1] для C′","a'=a+2\Delta,\; b'=b-2\Delta,\; m'=m,\; Z'=\Delta V/(a'm');\; a''=a+2\Delta,\; b''=b-2\Delta,\; m''=m(1-Z),\; Z''=\Delta V/(a''m'')",a:исходная ширина камеры[м]; b:исходная ширина целика[м]; m:вынимаемая мощность[м]; Z:объём закладки на 1 погонный метр (так в тексте)[не указана]; 2Δ:уменьшение ширины целика[м]; ΔV:не определено в тексте (по смыслу — объём дополнительной «закладки»)[не указана]; ′ / ″:«новые» параметры для незаложенных / заложенных камер[],"Равномерное растворение с двух сторон целика; C_крит не приведено; ΔV в тексте не определён; Z определён в тексте как объём закладки на 1 погонный метр, но входит в m(1 − Z) как безразмерная доля — неоднозначность.",CALIBRATED_EFFECTIVE_MODEL,"OTHER_VKM_SITE (БКПРУ-1, авария; не SKRU-1)",VKM-SRC-038,"VKM-SRC-038 p.2 (печ. 241) [Таблица (без номера) «новые» параметры отработки пласта В]; VKM-SRC-038 p.2 (печ. 241) [с. 241–242]; VKM-SRC-038 p.2 (печ. 241) [с. 241, конец 2-й колонки]",ORIGINAL_SOURCE,"Самоделкина, Барях 2009; C′, η′₀ — по Указаниям ВКМКС 2004 [1]",MM-PILLAR-003/-010 (C); MM-SUBS-011/-015 (η₀); MM-CREEP-012,внутренняя неоднозначность размерности Z (объём на 1 м vs доля),CLEAR (OCR подтверждён визуально),Сценарный оператор (затопление/растворение) для WorldSpec; не используется в базовом мире без отдельного сценария,SEMI_ANALYTICAL,MODEL_CHOICE,MEDIUM,EV-VN-S038-0013;EV-VN-S038-0015;EV-VN-S038-0016,formula;subsidence_method,3,OCR_VISUALLY_CONFIRMED,Scenario: pillar dissolution / flooding,"VKM-SRC-038: текстовый слой cp1251 (перекодирован экстрактором), формулы подтверждены по рендеру 150 dpi. "
MM-ECON-001,Трудоёмкость добычи и программно-целевая модель её снижения (целочисленная оптимизация),Экономические показатели; нет физической релевантности.,OTHER,"T = З/Д (7.1); T_п = T_пр + T_у; T_пр = T_техн + T_обс; T_техн = T_сд + T_повр (7.2–7.4, 7.20–7.21); π = {GH} (7.19); Z = Σ_i[Σ_j З_ij/Σ_j D_ij]·X_ij → min, ΣX_ij = 1, X_ij ∈ {0,1}, ΣΣD_ijX_ij ≥ D_p, ΣΣC_ijX_ij ≤ C_p, ΣΣЧ_ijX_ij ≤ Ч_p (7.22–7.27)",,"Z:целевая функция (трудоемкость добычи)[чел.-ч/1000 т]; З_ij:трудозатраты на j-м уровне по i-му варианту[чел.-ч]; D_ij, D_p:добыча на j-м уровне i-го варианта; объём добычи рудника в планируемом году[тыс. т]; C_ij, C_p:себестоимость[руб/т]; Ч_ij, Ч_p:численность рабочих[чел.]",,NOT_APPLICABLE,VKM_REGIONAL,VKM-SRC-037;VKM-SRC-020,"VKM-SRC-037 p.122 (печ. 243-244) [§7.1.1, ф. (7.1)–(7.4)]; VKM-SRC-037 p.130 (печ. 259) [§7.3.1, ф. (7.19)]; VKM-SRC-037 p.131 (печ. 260) [§7.3.1, ф. (7.20), (7.21); рис. 7.10 граф трудоемкости]; VKM-SRC-037 p.132 (печ. 262-263) [§7.3.1, экономико-математическая модель (7.22)–(7.27)]; VKM-SRC-020 p.221 (печ. 221) [§6.5, с. 221-222]; VKM-SRC-020 p.221 (печ. 221) [§6.5, с. 221]",ORIGINAL_SOURCE,"VKM-SRC-037 §7 ([4], [13])",MM-ECON-002,,CLEAR,CONTEXT_ONLY,CONTEXT_ONLY,FACT,HIGH,EV-VN-S037-0743;EV-VN-S037-0770;EV-VN-S037-0771;EV-VN-S037-0772;EV-VN-S020-0407;EV-VN-S020-0408,formula,6,OCR_VISUALLY_CONFIRMED,Economics (context),VKM-SRC-037 (1990/1992) — нормативно-методическое руководство; более поздние Указания (2014/2017/2022) могут отличаться. 
MM-ECON-002,"Качество добываемой руды, извлечение на фабрике, себестоимость, критерий максимума прибыли, показатель формы сечения",Экономико-технологические зависимости выбора параметров выемки.,ALGEBRAIC,"c_р = ΣS_ic_i/ΣS_i; β_р = ΣS_iβ_i/ΣS_i (8.257–8.258); Q_э = k_и·k_с·Q; k_с = S_в/(N_х·S_к); C = C_б·d_пос + C_б·d_пер·Q_э/Q_б (8.259–8.261); Пр = (Ц − C_к − Δ_р)·V·T̄/Б → max (8.262); ε = 0,7775 + 0,6c_р − 0,257(β_р − 0,055)/c_р; γ = c_р·ε/0,95 (табл. 8.38); k_ф = N·p + n; N = 2,458·e^(0,024β_к) (8.263–8.264)",c_р=\frac{\sum S_ic_i}{\sum S_i};\ \beta_р=\frac{\sum S_i\beta_i}{\sum S_i},Si:площадь i-го слоя пласта в контуре выемки[м²]; ci:массовая доля KCl в слое[%]; βi:массовая доля нерастворимого остатка в слое[%],,NOT_APPLICABLE,VKM_REGIONAL,VKM-SRC-037,"VKM-SRC-037 p.198 (печ. 394) [формулы (8.257), (8.258), с.394]; VKM-SRC-037 p.198 (печ. 394) [формулы (8.259)-(8.261), с.394]; VKM-SRC-037 p.199 (печ. 396) [формула (8.262), с.396]; VKM-SRC-037 p.201 (печ. 400) [Табл. 8.38 (формулы в графе показателей), с.400]; VKM-SRC-037 p.202 (печ. 402) [формулы (8.263), (8.264), с.402]",ORIGINAL_SOURCE,VKM-SRC-037 §8.7,MM-ECON-001,"(8.261) — возможно инвертировано (Q_б/Q_э); единицы c_i, β_i напечатаны «м²» (опечатка)",CLEAR,CONTEXT_ONLY,CONTEXT_ONLY,FACT,HIGH,EV-VN-S037-1137;EV-VN-S037-1138;EV-VN-S037-1143;EV-VN-S037-1152;EV-VN-S037-1154,formula,5,OCR_VISUALLY_CONFIRMED;VISUAL_READ,Economics (context),VKM-SRC-037 (1990/1992) — нормативно-методическое руководство; более поздние Указания (2014/2017/2022) могут отличаться. 
MM-ECON-003,Норма амортизации N = 1/СПИ,Экономика.,ALGEBRAIC,N = 1/СПИ = 1/7,N=\frac{1}{\text{СПИ}}=\frac{1}{7},N:annual depreciation rate[1/yr (fraction)]; СПИ:useful life of equipment[years],,NOT_APPLICABLE,OTHER_POTASH_SITE,VKM-SRC-024,"VKM-SRC-024 p.21 (печ. 21) [§4, формула (1)]; VKM-SRC-024 p.151 (печ. 151) [Прил.1 §4.4, формула (1)]",TEXTBOOK_STANDARD,экономика,,,CLEAR,CONTEXT_ONLY,CONTEXT_ONLY,FACT,HIGH,EV-VN-S024-0049;EV-VN-S024-0452,formula,2,OCR_VISUALLY_CONFIRMED;TEXT_LAYER,Economics (context),VKM-SRC-024 — ВКР по Гремячинскому месторождению (аналог; значения не переносить на СКРУ-1). 
