check_id,domain,description,passed,observed,expected,severity_if_fail
SRC-003,source_fidelity,Распределение оседаний в legacy-слое воспроизводит опубликованные кумулятивные доли с допуском ±5 п.п.,True,"[{'dataset': 'legacy1665_nonnull', 'threshold_mm': 500, 'published_cumulative_share': 0.5, 'reconstructed_cumulative_share': 0.5241995532390171, 'difference_percentage_points': 2.4199553239017124, 'non_null_n': 1343}, {'dataset': 'legacy1665_nonnull', 'threshold_mm': 1000, 'published_cumulative_share': 0.68, 'reconstructed_cumulative_share': 0.7036485480268057, 'difference_percentage_points': 2.3648548026805605, 'non_null_n': 1343}, {'dataset': 'legacy1665_nonnull', 'threshold_mm': 1500, 'published_cumulative_share': 0.8, 'reconstructed_cumulative_share': 0.7721518987341772, 'difference_percentage_points': -2.784810126582282, 'non_null_n': 1343}, {'dataset': 'legacy1665_nonnull', 'threshold_mm': 2000, 'published_cumulative_share': 0.88, 'reconstructed_cumulative_share': 0.85331347728965, 'difference_percentage_points': -2.668652271034999, 'non_null_n': 1343}]",±5 pp,MEDIUM
SRC-004,anchors,Размещённые якоря лежат внутри связанного полигона либо в пределах заявленной неопределённости,False,17,0,HIGH
SRC-005,anchors,Опубликованные числовые якоря используются для калибровки реконструированных полей,False,anchor_conditioned=False for all 536 units,anchors constrain reconstruction,CRITICAL
SRC-006,field_extraction,"Основная часть поля k_o оцифрована напрямую, а не заполнена ближайшим соседом",False,61.3% R,<25% reconstructed,HIGH
GEOREF-001,coordinates,Контекстная геопривязка имеет минимум 4 независимых общих пункта,False,2 fit + 1 validation,>=4 fit + >=2 validation,HIGH
TIME-001,temporal_physics,Рабочие ряды монотонны и скорость согласована с производной оседания,True,"{'nonmonotonic': 0, 'work_derivative_mae': 4.197180151924187e-13}",0 and <1e-6,HIGH
TIME-002,temporal_physics,При нулевом оседании не хранится положительная скорость,False,1748,0,HIGH
TIME-003,ensemble,Каждая точка-дата имеет 16 реализаций и упорядоченные квантили,True,"{'group_counts': {16: 31968}, 'bad_quantiles': 0}",16 and 0,HIGH
TIME-004,stress_test,Stress-test остаётся внутри заявленного верхнего диапазона 400/410 мм/год,False,"max=414.924, over410=5",<=410,MEDIUM
LEV-001,leveling,Неудачные первые ходы сохранены и имеют успешный повтор,True,"{'failed_first': 24, 'failed_second': 0}","failed first >0, failed second=0",HIGH
LEV-002,leveling,Станционные превышения согласованы с отсчётами,True,2.2737367544323206e-13,<1e-9 mm,HIGH
LEV-003,leveling,Уравнивание не использует скрытые истинные отметки как жёсткие концы хода,False,315/315 first endpoints exact,0,CRITICAL
GNSS-001,gnss,Заявленные 95% интервалы GNSS имеют покрытие 90–98%,False,0.846875,0.90–0.98,HIGH
INSAR-001,insar,Временной ряд смещений задан относительно первой съёмки,False,3077/3200 first points nonzero; median=383.4 mm,0,HIGH
INSAR-002,insar,95% интервалы InSAR откалиброваны,False,0.6932331730769231,0.90–0.98,HIGH
COMP-001,completeness,Набор содержит производные маркшейдерские параметры профилей,False,"['curvatures.csv', 'horizontal_displacements.csv', 'horizontal_strains.csv', 'profile_kinematics.csv', 'tilts.csv']",all derived tables,HIGH
REP-001,reproducibility,reproduce_v2_1.py запускается из поставленного пакета без внешних неупакованных файлов,False,"['/mnt/data/filatova_unpacked/word/media/image22.png', '/mnt/data/filatova_unpacked/word/media/image23.png', '/mnt/data/filatova_unpacked/word/media/image24.png', '/mnt/data/filatova_unpacked/word/media/image25.png', '/mnt/data/filatova_unpacked/word/media/image26.png', '/mnt/data/filatova_unpacked/word/media/image27.png']",no missing dependencies,CRITICAL
COMP-002,scope,В пакете нет прогнозной модели/предсказаний,True,[],none,HIGH
XLSX-001,workbook,Каталог XLSX структурно валиден и без явных ошибок формул,True,"{'exists': True, 'zip_valid': True, 'formula_error_strings': 0, 'sheet_count': 24, 'formulas': 5}",valid and 0,MEDIUM
