node_id,label_ru,layer,layer_name,node_class,scenario,branch,state_variables,worldspec_link,process_ids,status,scope,scale,confidence,source_ids,locator,vn_ids,quote_check,notes
GEO_CLIMATE,"Климат (сезонность температуры, снег, осадки)",0,geology,physical,NORMAL,thermal,"T_air(t), снег, осадки",physics.processes (surface BC),PC-51;PC-52,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-011;VKM-SRC-023,VKM-SRC-011 p.6 (§1.1); VKM-SRC-023 p.26 (rendered p.26; §2.1),EV-VN-S011-0034;EV-VN-S023-0077,EXACT,корневой внешний фактор
GM_HORIZONS,3D-поверхности горизонтов и мощности стратонов,1,geometry,physical,NORMAL,main,"z_k(x,y)",geology.horizons.Horizon (INTERPOLATED_SURFACE — Phase 2),PC-01;PC-02,INTERPOLATION,SOLIKAMSK_GROUP,FIELD,MEDIUM,VKM-SRC-012,"VKM-SRC-012 p.83 (§3.5); VKM-SRC-012 p.69 (§3.2, текст после Рис. 3.7)",EV-VN-S012-0463;EV-VN-S012-0401,EXACT,интерполяция — Phase 2
GM_SEAMS,"Глубина, мощность, гипсометрия отрабатываемых пластов (КрII, АБ, Вс, Вк)",1,geometry,physical,NORMAL,main,"H, m, dip",geology.horizons; mining.objects,PC-28;PC-31,FACT,SKRU1,FIELD,HIGH,VKM-SRC-015;VKM-SRC-014,"VKM-SRC-015 p.6 (Рис. 2 (а, б, в)); VKM-SRC-014 p.113 (§4.1)",EV-VN-S015-0039;EV-VN-S014-0823,EXACT,
GM_VZT,Мощность и строение ВЗТ,1,geometry,physical,NORMAL,main,"m_ВЗТ, соляные слои m_i",geology.stratigraphy (functional=True),PC-34,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-035;VKM-SRC-037,VKM-SRC-035 p.1 (введение); VKM-SRC-037 p.171 (формула (8.143)),EV-VN-S035-0004;EV-VN-S037-0940,NOT_FOUND,
GM_INTERSEAM,Мощности междупластий,1,geometry,physical,NORMAL,main,h_мп,geology.stratigraphy (interseam),PC-25,FACT,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VKM-SRC-014;VKM-SRC-032,"VKM-SRC-014 p.194 (§7.3, (7.29), Рис. 7.13); VKM-SRC-032 p.4 (p4; Рис.2; p5)",EV-VN-S014-1072;EV-VN-S032-0022,FUZZY_68,
MS_DENSITY,Плотность/удельный вес пород,2,material_state,physical,NORMAL,main,ρ,materials.parameters.MaterialParameter,PC-01,FACT,VKM_REGIONAL,DESIGN,LOW,VKM-SRC-012;VKM-SRC-014,VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-014 p.118 (формула (4.1)),EV-VN-S012-0065;EV-VN-S014-0848,EXACT,"γ/ρ толщи СКРУ-1 как измерение — UNKNOWN (GAP-001): только нормативные γ ВКМ (NORMATIVE) и принятое 2,5 т/м³ (ENGINEERING_ASSUMPTION); надсолевые — ENGINEERING"
MS_SCALE,Структурное ослабление массива (масштабный эффект лаб→массив),2,material_state,physical,NORMAL,main,Kстр,core.provenance.Transfer,PC-10,UNKNOWN,GENERAL_METHOD,LAB,LOW,VKM-SRC-012;VKM-SRC-025,"VKM-SRC-012 p.99 (§4.2); VKM-SRC-025 p.74 (p.74, Рис. 3.5)",EV-VN-S012-0524;EV-VN-S025-0373,EXACT,GAP-003
MS_ELASTIC,"Упругие свойства (E, ν) соляных пород",2,material_state,physical,NORMAL,main,"E, ν",materials.parameters,PC-06;PC-07,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-012,"VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-012 p.26 (§1.4.1, [8])",EV-VN-S012-0065;EV-VN-S012-0063,EXACT,
MS_OVERBURDEN,"Свойства надсолевых пород (ТКТ, СМТ, ПЦТ, Q)",2,material_state,physical,NORMAL,main,"E, ν, прочность, реология",materials.parameters,PC-16;PC-33,UNKNOWN,GENERAL_METHOD,MASSIF,LOW,VKM-SRC-012,VKM-SRC-012 p.90 (Рис. 3.21–3.24); VKM-SRC-012 p.16 (§1.2),EV-VN-S012-0492;EV-VN-S012-0036,EXACT,GAP-013
MS_STRENGTH,"Прочность (σсж, σр, c, φ, остаточная; зависимость от σ3, h/d)",2,material_state,physical,NORMAL,main,"σсж, c, φ",materials.parameters,PC-11;PC-12,FACT,SKRU1,LAB,HIGH,VKM-SRC-025,"VKM-SRC-025 p.90 (p.90); VKM-SRC-025 p.164 (§6.3, с.164, Рис. 6.8, 6.9)",EV-VN-S025-0487;EV-VN-S025-0896,EXACT,
MS_CREEP,"Реологические законы и параметры (каменная соль, сильвинит, карналлит)",2,material_state,physical,NORMAL,main,"закон ε̇(σ,t,T)",materials.parameters (law_id) + mathmeta,PC-13;PC-14;PC-15,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-012;VKM-SRC-025;VKM-SRC-036,"VKM-SRC-012 p.18 (§1.2, испытания на ползучесть [8]); VKM-SRC-025 p.157 (§6.1, (6.1)); VKM-SRC-036 p.6 (Table 1: “Mohr-Coulomb + Bingham” model parameters)",EV-VN-S012-0044;EV-VN-S025-0857;EV-VN-S036-0044,FUZZY_85,LAB
MS_LTS,Длительная прочность,2,material_state,physical,NORMAL,main,"σ∞, Kдл",materials.parameters,PC-18,FACT,SKRU1,LAB,HIGH,VKM-SRC-025,VKM-SRC-025 p.162 (Табл. 6.1); VKM-SRC-025 p.163 (Табл. 6.2),EV-VN-S025-0875;EV-VN-S025-0882,NOT_FOUND,LAB
MS_INTERFACE,"Свойства глинистых контактов (tgφн, Ks, α ядра)",2,material_state,physical,NORMAL,interfaces,"tgφн, Ks, δ, α",materials.parameters,PC-26,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-025,"VKM-SRC-025 p.151 (§5.5, с.151, (5.15)-(5.17)); VKM-SRC-025 p.134 (§5.1, с.134)",EV-VN-S025-0833;EV-VN-S025-0731,NOT_FOUND,LAB
MS_ANISO,Анизотропия свойств (слоистость),2,material_state,physical,NORMAL,main,"E∥/E⊥, σдл⊥/σдл∥",materials.parameters,PC-09,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-025,VKM-SRC-025 p.111 (§4.3 p.111 cites [24]),EV-VN-S025-0590,EXACT,LAB
MS_MOISTURE,Влажность приконтурной зоны и прослоев,2,material_state,physical,NORMAL,hydro,"W(x,t)",materials.parameters,PC-47,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-025,"VKM-SRC-025 p.121 (§4.5 p.121 cites [24], [35]); VKM-SRC-025 p.124 (§4.5 pp.122-124)",EV-VN-S025-0657;EV-VN-S025-0678,EXACT,
MS_BACKFILL,"Свойства закладочного материала (плотность, UCS, уплотнение)",2,material_state,physical,NORMAL,backfill,"ρ_bf, UCS, закон уплотнения",mining.backfill.BackfillRecord,PC-38,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-037,"VKM-SRC-037 p.12 (§1.2.1, масштабный эффект, Рис. 1.11 прямая 7); VKM-SRC-037 p.72 (§4.2 (с.143))",EV-VN-S037-0135;EV-VN-S037-0475,FUZZY_68,закон уплотнения UNKNOWN
MS_EM,"ЭМ-свойства (ε_r, σ; «коржи» — высокое затухание)",2,material_state,obs_medium,NORMAL,GPR,"ε_r, σ",materials.parameters,PC-58,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-041;VKM-SRC-015,VKM-SRC-041 p.2 (Введение); VKM-SRC-015 p.8 (§Результаты),EV-VN-S041-0006;EV-VN-S015-0048,EXACT,
MS_ACOUSTIC,"Волновые свойства (Vp, Vs, ρ)",2,material_state,obs_medium,NORMAL,seismic,"Vp, Vs",materials.parameters,PC-57,FACT,SOLIKAMSK_GROUP,FIELD,MEDIUM,VKM-SRC-012;VKM-SRC-025,"VKM-SRC-012 p.70 (§3.3); VKM-SRC-025 p.111 (Табл. 4.3 row 'Каменная соль, Б-В')",EV-VN-S012-0405;EV-VN-S025-0591,EXACT,
IS_SIGMA_V,Начальное вертикальное напряжение σv,3,initial_state,physical,NORMAL,main,"σv(x,y,z)",physics.processes (IC),PC-02,DERIVATION,BKPRU2,FIELD,MEDIUM,VKM-SRC-029,"VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2)); VKM-SRC-029 p.69 (§2.2.1, Рис. 2.8а, refs [73, 82, 83])",EV-VN-S029-0226;EV-VN-S029-0115,FUZZY_85,
IS_SIGMA_H,Начальное горизонтальное напряжение (λ: DISCRETE_SET),3,initial_state,physical,NORMAL,main,"σh, λ",physics.processes (IC),PC-03,UNKNOWN,BKPRU2,MASSIF,LOW,VKM-SRC-012;VKM-SRC-029;VKM-SRC-037,"VKM-SRC-012 p.27 (§1.4.1, [8], [2], [1]); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2)); VKM-SRC-037 p.168 (формула (8.130)); VKM-SRC-037 p.99 (§6.7, с. 196)",EV-VN-S012-0071;EV-VN-S029-0226;EV-VN-S037-0910;EV-VN-S037-0617,FUZZY_86,"0,45|0,6|0,71|1,0"
IS_PORE,Начальные напоры/поровое давление,3,initial_state,physical,NORMAL,hydro,"h, p",physics.processes (IC),PC-41;PC-42,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,LOW,VKM-SRC-011;VKM-SRC-023,"VKM-SRC-011 p.37 (текст с.73); VKM-SRC-023 p.39 (Выводы по гл.2, rendered p.39)",EV-VN-S011-0700;EV-VN-S023-0197,EXACT,
IS_TEMP,Начальная температура массива,3,initial_state,physical,NORMAL,thermal,T,physics.processes (IC),PC-48;PC-49;PC-50,ANALOGUE,BKPRU3,FIELD,LOW,VKM-SRC-011,VKM-SRC-011 p.39 (текст с.77); VKM-SRC-011 p.123 (стр. 245),EV-VN-S011-0726;EV-VN-S011-2053,EXACT,
MD_SYSTEM,Камерная система с жёсткими ленточными МКЦ (сохранение ВЗТ),4,mine_design,physical,NORMAL,main,тип системы,mining.objects (DESIGN),PC-23,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-026;VKM-SRC-014,VKM-SRC-026 p.9 (§2); VKM-SRC-014 p.52 (§2.5); VKM-SRC-026 p.4 (Введение),EV-VN-S026-0046;EV-VN-S014-0404;EV-VN-S026-0008,EXACT,решение проекта (engineering)
MD_LAYOUT,"Проектные параметры камер и целиков (a, b, h, ω) по пластам",4,mine_design,physical,NORMAL,main,"a, b, h, ω, C_проект",mining.objects (DESIGN),PC-23;PC-28,FACT,SKRU1,DESIGN,HIGH,VKM-SRC-023;VKM-SRC-037,"VKM-SRC-023 p.42 (§3.1.2 table 2, rendered p.42); VKM-SRC-037 p.167 (формула (8.128))",EV-VN-S023-0223;EV-VN-S037-0898,EXACT,
MD_SEQUENCE,Порядок отработки (прямой/обратный; нисходящий/восходящий; многопластовость),4,mine_design,physical,NORMAL,main,порядок,mining.objects; chronology.events (DESIGN),PC-28;PC-31,FACT,SKRU1,FIELD,HIGH,VKM-SRC-014,VKM-SRC-014 p.82 (§3.1); VKM-SRC-014 p.113 (§4.1),EV-VN-S014-0545;EV-VN-S014-0824,EXACT,
MD_PROTECT_PILLARS,"Барьерные, межрудничные, охранные целики",4,mine_design,physical,NORMAL,main,ширина целиков,mining.objects (barrier/intermine pillar),PC-36,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-012,VKM-SRC-012 p.14 (§1.1); VKM-SRC-012 p.15 (формула (1.2)),EV-VN-S012-0024;EV-VN-S012-0031,FUZZY_84,
MD_BACKFILL_PLAN,"Проект закладки (метод, k_зап проектный, очерёдность)",4,mine_design,physical,NORMAL,backfill,"метод, k_зап",mining.backfill (DESIGN),PC-37,FACT,SKRU1,DESIGN,HIGH,VKM-SRC-037,"VKM-SRC-037 p.71 (§4.1 Общие сведения (с.141)); VKM-SRC-037 p.38 (рис. 2.8 (выработки 4, 6, 15))",EV-VN-S037-0471;EV-VN-S037-0319,EXACT,
AE_CHRONO,Фактическая хронология выемки (камера/блок/панель — даты),5,actual_excavation,physical,NORMAL,main,"t_start, t_end",chronology.events.Event (physical),PC-28,FACT,SKRU1,FIELD,HIGH,VKM-SRC-012;VKM-SRC-014,VKM-SRC-012 p.54 (§2.4); VKM-SRC-014 p.113 (§4.1),EV-VN-S012-0258;EV-VN-S014-0824,EXACT,GAP-007
AE_GEOMETRY,"Фактическая геометрия выработанного пространства (ширины, высоты, отклонения, подрезка «коржей»)",5,actual_excavation,physical,NORMAL,main,Ω(t),mining.objects (ACTUAL),PC-28;PC-23,FACT,VKM_REGIONAL,FIELD,LOW,VKM-SRC-028;VKM-SRC-014,VKM-SRC-028 p.95 (§2.2.2 Урал-61); VKM-SRC-014 p.113 (§4.1),EV-VN-S028-0092;EV-VN-S014-0826,EXACT,GAP-007; фактическая геометрия СКРУ-1 в корпусе не задана; есть только проектные правила (подрезка «коржа» — DESIGN_VALUE) и качественный увод комбайна (ВКМ)
AE_MULTISEAM,"Фактическое наложение отработки пластов (соосность, суммарная вынутая мощность)",5,actual_excavation,physical,NORMAL,main,"ΣS_i, соосность",mining.objects (ACTUAL),PC-31,FACT,SKRU1,NOT_APPLICABLE,HIGH,VKM-SRC-011;VKM-SRC-014,"VKM-SRC-011 p.130 (стр. 259; Рис. 4.6, 4.7б); VKM-SRC-014 p.98 (Рис. 3.14)",EV-VN-S011-2087;EV-VN-S014-0588,EXACT,"опора — факт двухпластовой подработки участка блока 201 СКРУ-1 (КрII + В карналлитовый; EV-VN-S011-2087, вместо записи о разломе №98); соосность и суммарная вынутая мощность по панелям СКРУ-1 — GAP-007"
AE_BLASTING,"Буровзрывная отбойка, торпедирование карналлита",5,actual_excavation,physical,NORMAL,dynamics,R_эф,mining.objects,PC-56,FACT,SKRU1,FIELD,HIGH,VKM-SRC-014;VKM-SRC-020,VKM-SRC-014 p.116 (§4.2); VKM-SRC-020 p.66 (§2),EV-VN-S014-0840;EV-VN-S020-0205,EXACT,
AE_NEIGHBOUR,"Отработка соседних рудников (СКРУ-2, СКРУ-3) у межрудничных целиков",5,actual_excavation,physical,NORMAL,main,Ω_neigh(t),mining.objects (neighbour_mine),PC-36;PC-54,FACT,SKRU2,FIELD,MEDIUM,VKM-SRC-012,"VKM-SRC-012 p.34 (§1.4.2); VKM-SRC-012 p.32 (§1.4.2, [42])",EV-VN-S012-0173;EV-VN-S012-0146,EXACT,домен модели должен включать соседей
BF_ACTUAL,"Фактическая закладка (метод, дата, задержка, k_зап)",6,backfill,physical,NORMAL,backfill,"k_зап, Δt",mining.backfill.BackfillRecord,PC-37,FACT,SKRU1,NOT_APPLICABLE,HIGH,VKM-SRC-023,"VKM-SRC-023 p.43 (Рис.17 (image19.png), rendered p.43); VKM-SRC-023 p.48 (Рис.25б (image27.png), rendered p.48)",EV-VN-S023-0270;EV-VN-S023-0316,NOT_FOUND,значения не оцифрованы
BF_GAP,Зазор до кровли (недозаклад),6,backfill,physical,NORMAL,backfill,h_з,mining.backfill,PC-37,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,VKM-SRC-014,"VKM-SRC-014 p.161 (§6.3); VKM-SRC-014 p.161 (§6.3, формула (6.20))",EV-VN-S014-0986;EV-VN-S014-0970,NOT_FOUND,
BF_CONSOL,Консолидация/уплотнение/обезвоживание закладки,6,backfill,physical,NORMAL,backfill,ε_bf(t),mining.backfill,PC-38,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-020;VKM-SRC-037,"VKM-SRC-020 p.27 (§1.4); VKM-SRC-037 p.12 (§1.2.1, масштабный эффект, Рис. 1.11 прямая 7)",EV-VN-S020-0170;EV-VN-S037-0135,EXACT,
BF_CONTACT,"Смыкание кровли с закладкой, отпор закладки",6,backfill,physical,NORMAL,backfill,"σ_bf, t_контакта",mining.backfill,PC-39,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-020,VKM-SRC-020 p.25 (§1.4),EV-VN-S020-0163,EXACT,
BF_BRINE,Рассолы гидрозакладки и шламы в выработанном пространстве,6,backfill,physical,NORMAL,hydro,насыщенность рассола,mining.backfill,PC-40,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-025;VKM-SRC-019,VKM-SRC-025 p.121 (§4.5 p.121); VKM-SRC-019 p.2 (p.2 item 2),EV-VN-S025-0659;EV-VN-S019-0011,EXACT,
PE_STRESS_REDIST,"Перераспределение напряжений, опорное давление",7,physical_evolution,physical,NORMAL,main,"σ(x,t)",physics.processes,PC-30,DERIVATION,BKPRU2,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VKM-SRC-031;VKM-SRC-029,"VKM-SRC-031 p.3 (§Результаты; Выводы); VKM-SRC-029 p.130 (§5.1.1, Рис. 5.3 (станция № 3))",EV-VN-S031-0022;EV-VN-S029-0231,EXACT,
PE_PILLAR_LOAD,Нагрузка и степень нагружения МКЦ C(t),7,physical_evolution,physical,NORMAL,main,"Q, P, C",physics.processes,PC-23;PC-01,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-037;VKM-SRC-031,VKM-SRC-037 p.167 (формула (8.128)); VKM-SRC-031 p.1 (§Методы и подходы),EV-VN-S037-0898;EV-VN-S031-0005,NOT_FOUND,
PE_PILLAR_CREEP,"Ползучесть МКЦ (сильвинит, карналлит)",7,physical_evolution,physical,NORMAL,main,ε_cr(t),physics.processes,PC-14;PC-15,ANALOGUE,BKPRU4,FIELD,LOW,VKM-SRC-034;VKM-SRC-036,VKM-SRC-034 p.2 (§ участок 1); VKM-SRC-036 p.1 (§Introduction),EV-VN-S034-0020;EV-VN-S036-0005,FUZZY_96,поле БКПРУ-4
PE_SALT_CREEP,Ползучесть соляных слоёв кровли/почвы/междупластий/ВЗТ,7,physical_evolution,physical,NORMAL,main,ε_cr(t),physics.processes,PC-13,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-012,"VKM-SRC-012 p.18 (§1.2, испытания на ползучесть [8]); VKM-SRC-012 p.16 (§1.2)",EV-VN-S012-0044;EV-VN-S012-0036,FUZZY_85,
PE_RELAX,Релаксация напряжений у контуров,7,physical_evolution,physical,NORMAL,main,σ(t),physics.processes,PC-19,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-037,VKM-SRC-037 p.89 (§6.2 (с.176–177)),EV-VN-S037-0557,NOT_FOUND,
PE_PLASTIC,"Пластические зоны (краевые части целиков, кромка отработки)",7,physical_evolution,physical,NORMAL,damage,εp,physics.processes,PC-11,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-037;VKM-SRC-012,VKM-SRC-037 p.87 (§6.1 (с.173)); VKM-SRC-012 p.96 (§4.1),EV-VN-S037-0551;EV-VN-S012-0511,EXACT,"FACT — по нормативно-теоретическому утверждению (EV-VN-S037-0551, ВКМ, MASSIF): вокруг выработок ниже некоторой глубины образуется область неупругих деформаций; зоны Kt>1 Лебедевой — MODEL_CHOICE модели района целиков (SOLIKAMSK_GROUP) и область СКРУ-1 не задают"
PE_DAMAGE,Повреждённость и дилатансия,7,physical_evolution,physical,NORMAL,damage,D,physics.processes,PC-21,FACT,SKRU3,LAB,MEDIUM,VKM-SRC-025;VKM-SRC-040,"VKM-SRC-025 p.47 (§2.8, pp.47-48); VKM-SRC-040 p.141 (§5.2)",EV-VN-S025-0261;EV-VN-S040-0360,EXACT,
PE_PILLAR_DEGR,"Деградация МКЦ (отжим краёв, уменьшение эффективной ширины, рост высоты)",7,physical_evolution,physical,NORMAL,damage,"b_эф, h_эф",physics.processes,PC-23,FACT,SKRU3,FIELD,MEDIUM,VKM-SRC-016;VKM-SRC-040,"VKM-SRC-016 p.3 (Введение, refs [18,19]); VKM-SRC-040 p.135 (§4.5 (p135-136))",EV-VN-S016-0017;EV-VN-S040-0338,EXACT,
PE_TERTIARY,"Третичная ползучесть, потеря несущей способности МКЦ",7,physical_evolution,physical,NORMAL,damage,ε ≥ ε_кр,physics.processes,PC-17,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-034,VKM-SRC-034 p.2 (§ механизм ускорения); VKM-SRC-034 p.4 (вывод),EV-VN-S034-0021;EV-VN-S034-0039,EXACT,
PE_ROOF,Расслоение и обрушение кровли камер,7,physical_evolution,physical,NORMAL,damage,"U кровли, h′",physics.processes,PC-24,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-037;VKM-SRC-014,"VKM-SRC-037 p.169 (§8.4.3, постадийное обрушение); VKM-SRC-014 p.185 (§7.2)",EV-VN-S037-0919;EV-VN-S014-1044,FUZZY_83,
PE_INTERSEAM,Деформация/разрушение междупластий,7,physical_evolution,physical,NORMAL,damage,ε_мп,physics.processes,PC-25,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-014;VKM-SRC-040,VKM-SRC-014 p.193 (§7.3); VKM-SRC-040 p.141 (§5.2),EV-VN-S014-1070;EV-VN-S040-0363,FUZZY_81,
PE_INTERFACE,Сдвиг/ползучесть/раскрытие по глинистым контактам,7,physical_evolution,physical,NORMAL,interfaces,"u_s, u_n",physics.processes,PC-26,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-025;VKM-SRC-037,"VKM-SRC-025 p.149 (§5.5 + §5.3, с.143-151); VKM-SRC-037 p.104 (§6.9.2, с. 207)",EV-VN-S025-0909;EV-VN-S037-0645,EXACT,
PE_CONVERGENCE,"Конвергенция камер (кровля–почва, стенки)",7,physical_evolution,physical,NORMAL,main,u_conv(t),physics.processes,PC-29,ANALOGUE,BKPRU4,FIELD,LOW,VKM-SRC-034,VKM-SRC-034 p.2 (§ участок 1; рис. 1б); VKM-SRC-034 p.4 (весь текст),EV-VN-S034-0015;EV-VN-S034-0041,EXACT,
DD_SEAM_LEVEL,Опускание кровли выработанного слоя (эффективное сжатие слоя E^p(t)),8,deep_displacement,physical,NORMAL,main,"u_z(z_seam,t)",physics.processes (homogenised layer),PC-32,MODEL_CHOICE,VKM_REGIONAL,DESIGN,LOW,VKM-SRC-038;VKM-SRC-037,"VKM-SRC-038 p.3 (с. 242, 1-я колонка); VKM-SRC-037 p.169 (формула (8.135))",EV-VN-S038-0018;EV-VN-S037-0925,NOT_FOUND,
DD_OVERBURDEN_FIELD,"Поле смещений в подработанной толще u(x,y,z,t)",8,deep_displacement,physical,NORMAL,main,"u(x,y,z,t)",physics.processes,PC-33,DERIVATION,BKPRU4,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VKM-SRC-016;VKM-SRC-035,VKM-SRC-016 p.9 (§Результаты); VKM-SRC-035 p.2 (текст p.2-3),EV-VN-S016-0072;EV-VN-S035-0011,FUZZY_82,
OR_BENDING,Изгиб подработанной толщи / ВЗТ,9,overburden_response,physical,NORMAL,main,"w, кривизна",physics.processes,PC-33,DERIVATION,BKPRU4,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VKM-SRC-016;VKM-SRC-005,VKM-SRC-016 p.9 (§Результаты); VKM-SRC-005 p.4 (p4),EV-VN-S016-0072;EV-VN-S005-0038,FUZZY_82,
