edge_id,from_node,to_node,edge_type,mechanism,evidence,strength,feedback,process_ids,status,scope,scale,confidence,source_ids,locator,vn_ids,quote_check,notes
CE-011,GEO_STRAT,MS_DENSITY,physical,литология определяет плотность,EV-VN-S012-0065,STRONG,no,PC-01,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-012,VKM-SRC-012 p.26 (Табл. 1.1 [69]),EV-VN-S012-0065,EXACT,
CE-012,GEO_STRAT,MS_ELASTIC,physical,литология определяет упругие свойства,EV-VN-S012-0065;EV-VN-S012-0063,STRONG,no,PC-06,FACT,VKM_REGIONAL,LAB,HIGH,VKM-SRC-012,"VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-012 p.26 (§1.4.1, [8])",EV-VN-S012-0065;EV-VN-S012-0063,EXACT,
CE-013,GEO_STRAT,MS_STRENGTH,physical,литология и текстура определяют прочность,EV-VN-S025-0114;EV-VN-S025-0376,STRONG,no,PC-11,FACT,VKM_REGIONAL,LAB,HIGH,VKM-SRC-025,VKM-SRC-025 p.13 (§1.2); VKM-SRC-025 p.74 (p.74 bottom),EV-VN-S025-0114;EV-VN-S025-0376,FUZZY_63,
CE-014,GEO_STRAT,MS_CREEP,physical,"разные законы/пороги ползучести для каменной соли, сильвинита, карналлита",EV-VN-S012-0044;EV-VN-S025-0848,STRONG,no,PC-13;PC-14;PC-15,FACT,VKM_REGIONAL,LAB,HIGH,VKM-SRC-012;VKM-SRC-025,"VKM-SRC-012 p.18 (§1.2, испытания на ползучесть [8]); VKM-SRC-025 p.154 (§6.1, с.154, Рис. 6.3)",EV-VN-S012-0044;EV-VN-S025-0848,FUZZY_85,
CE-015,GEO_STRAT,MS_LTS,physical,Kдл зависит от литологии,EV-VN-S025-0873;EV-VN-S025-0875,STRONG,no,PC-18,FACT,VKM_REGIONAL,LAB,HIGH,VKM-SRC-025,VKM-SRC-025 p.162 (Табл. 6.1); VKM-SRC-025 p.162 (Табл. 6.1),EV-VN-S025-0873;EV-VN-S025-0875,NOT_FOUND,
CE-016,GEO_STRAT,MS_OVERBURDEN,physical,"надсолевые стратоны (терригенно-карбонатные, мергели, глины)",EV-VN-S012-0492,MODERATE,no,PC-16,UNKNOWN,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VKM-SRC-012,VKM-SRC-012 p.90 (Рис. 3.21–3.24),EV-VN-S012-0492,EXACT,
CE-017,GEO_STRAT,MS_EM,physical,литология и «коржи» определяют ЭМ-свойства,EV-VN-S015-0048;EV-VN-S041-0006,MODERATE,no,PC-58,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-015;VKM-SRC-041,VKM-SRC-015 p.8 (§Результаты); VKM-SRC-041 p.2 (Введение),EV-VN-S015-0048;EV-VN-S041-0006,EXACT,
CE-018,GEO_STRAT,MS_ACOUSTIC,physical,литология определяет Vp/Vs,EV-VN-S025-0591;EV-VN-S012-0473,STRONG,no,PC-57,FACT,SOLIKAMSK_GROUP,LAB,HIGH,VKM-SRC-025;VKM-SRC-012,"VKM-SRC-025 p.111 (Табл. 4.3 row 'Каменная соль, Б-В'); VKM-SRC-012 p.83 (§3.5, Рис. 3.18)",EV-VN-S025-0591;EV-VN-S012-0473,NOT_FOUND,
CE-019,GEO_FOLDS_REPL,MS_STRENGTH,physical,прочность меняется со складчатыми структурами и замещениями,EV-VN-S025-0703;EV-VN-S023-0198,MODERATE,no,PC-08,FACT,SOLIKAMSK_GROUP,LAB,MEDIUM,VKM-SRC-025;VKM-SRC-023,"VKM-SRC-025 p.129 (§4.6 p.129); VKM-SRC-023 p.39 (Выводы по гл.2, rendered p.39)",EV-VN-S025-0703;EV-VN-S023-0198,EXACT,
CE-020,GEO_FAULTS,MS_SCALE,physical,трещиноватость зон снижает массивные свойства,EV-VN-S018-0007;EV-VN-S011-0570,WEAK,no,PC-10;PC-35,FACT,SKRU1,NOT_APPLICABLE,LOW,VKM-SRC-018;VKM-SRC-011,VKM-SRC-018 p.2 (Введение); VKM-SRC-011 p.32 (текст с.62),EV-VN-S018-0007;EV-VN-S011-0570,EXACT,
CE-021,GEO_CLAY,MS_INTERFACE,physical,глинистые контакты — поверхности ослабления,EV-VN-S025-0707;EV-VN-S025-0588,STRONG,no,PC-26,FACT,VKM_REGIONAL,MASSIF,HIGH,VKM-SRC-025,VKM-SRC-025 p.131 (Гл. V §5.1 p.131); VKM-SRC-025 p.111 (§4.3 p.111),EV-VN-S025-0707;EV-VN-S025-0588,EXACT,
CE-022,GEO_CLAY,MS_ANISO,physical,слоистость с пластичными прослоями → анизотропия,EV-VN-S025-0588;EV-VN-S025-0590,MODERATE,no,PC-09,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-025,VKM-SRC-025 p.111 (§4.3 p.111); VKM-SRC-025 p.111 (§4.3 p.111 cites [24]),EV-VN-S025-0588;EV-VN-S025-0590,EXACT,
CE-023,GEO_CLAY,MS_STRENGTH,physical,"прослой на контакте целика снимает торцевое трение (до 2,4 раза, LAB)",EV-VN-S037-0132;EV-VN-S025-0635,MODERATE,no,PC-27,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-037;VKM-SRC-025,"VKM-SRC-037 p.12 (§1.2.1, Рис. 1.9); VKM-SRC-025 p.117 (§4.4 pp.116-118)",EV-VN-S037-0132;EV-VN-S025-0635,NOT_FOUND,
CE-024,GEO_CLAY,MS_SCALE,physical,"прослои — структурные элементы, управляющие масштабным эффектом",EV-VN-S025-0376;EV-VN-S025-0404,WEAK,no,PC-10,FACT,VKM_REGIONAL,LAB,LOW,VKM-SRC-025,VKM-SRC-025 p.74 (p.74 bottom); VKM-SRC-025 p.77 (p.77 bottom),EV-VN-S025-0376;EV-VN-S025-0404,FUZZY_81,
CE-025,GEO_CLAY,MS_EM,physical,«коржи» — ЭМ-отражатели с высоким затуханием,EV-VN-S015-0048,STRONG,no,PC-58,FACT,VKM_REGIONAL,FIELD,HIGH,VKM-SRC-015,VKM-SRC-015 p.8 (§Результаты),EV-VN-S015-0048,EXACT,
CE-026,MS_SCALE,MS_ELASTIC,physical,массивные модули ниже лабораторных (Kстр),EV-VN-S012-0524;EV-VN-S012-0526,MODERATE,no,PC-10,MODEL_CHOICE,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,VKM-SRC-012,VKM-SRC-012 p.99 (§4.2); VKM-SRC-012 p.99 (§4.2),EV-VN-S012-0524;EV-VN-S012-0526,EXACT,
CE-027,MS_SCALE,MS_STRENGTH,physical,массивная прочность ≠ прочность образца,EV-VN-S025-0373;EV-VN-S025-0407,MODERATE,no,PC-10,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-025,"VKM-SRC-025 p.74 (p.74, Рис. 3.5); VKM-SRC-025 p.78 (p.78)",EV-VN-S025-0373;EV-VN-S025-0407,NOT_FOUND,
CE-028,MS_SCALE,MS_CREEP,physical,перенос законов ползучести с образца на целик/массив,EV-VN-S012-0524,WEAK,no,PC-10,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,LOW,VKM-SRC-012,VKM-SRC-012 p.99 (§4.2),EV-VN-S012-0524,EXACT,
CE-029,MS_MOISTURE,MS_LTS,physical,"насыщение рассолом снижает длительную прочность (~3 раза, LAB)",EV-VN-S025-0678;EV-VN-S025-0658,MODERATE,no,PC-47,FACT,VKM_REGIONAL,LAB,MEDIUM,VKM-SRC-025,VKM-SRC-025 p.124 (§4.5 pp.122-124); VKM-SRC-025 p.121 (§4.5 p.121),EV-VN-S025-0678;EV-VN-S025-0658,NOT_FOUND,
CE-030,MS_MOISTURE,MS_STRENGTH,physical,увлажнение глинистых прослоев → снижение модулей и несущей способности,EV-VN-S033-0005;EV-VN-S025-0681,MODERATE,no,PC-47,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-033;VKM-SRC-025,VKM-SRC-033 p.1 (Введение); VKM-SRC-025 p.125 (§4.5 conclusion p.125),EV-VN-S033-0005;EV-VN-S025-0681,NOT_FOUND,
CE-031,MS_MOISTURE,MS_EM,physical,влага повышает затухание/ε (потеря отражений на почве),EV-VN-S015-0050;EV-VN-S040-0170,WEAK,no,PC-58,FACT,VKM_REGIONAL,FIELD,LOW,VKM-SRC-015;VKM-SRC-040,VKM-SRC-015 p.8 (§Результаты; рис. 3); VKM-SRC-040 p.73 (§2.2.5 p.73),EV-VN-S015-0050;EV-VN-S040-0170,EXACT,
CE-032,MS_DENSITY,IS_SIGMA_V,physical,σv=∫ρg dz,EV-VN-S012-0065;EV-VN-S029-0226,STRONG,no,PC-02,DERIVATION,BKPRU2,FIELD,HIGH,VKM-SRC-012;VKM-SRC-029,"VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2))",EV-VN-S012-0065;EV-VN-S029-0226,EXACT,
CE-033,GM_HORIZONS,IS_SIGMA_V,physical,"глубина H(x,y) и мощности стратонов",EV-VN-S029-0160,STRONG,no,PC-02,DERIVATION,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VKM-SRC-029,"VKM-SRC-029 p.91 (§3.1, ref [69])",EV-VN-S029-0160,FUZZY_80,
CE-034,IS_SIGMA_V,IS_SIGMA_H,physical,σh=λσv (λ — набор гипотез),EV-VN-S012-0071;EV-VN-S029-0226;EV-VN-S037-0910,MODERATE,no,PC-03,UNKNOWN,BKPRU2,MASSIF,MEDIUM,VKM-SRC-012;VKM-SRC-029;VKM-SRC-037,"VKM-SRC-012 p.27 (§1.4.1, [8], [2], [1]); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2)); VKM-SRC-037 p.168 (формула (8.130))",EV-VN-S012-0071;EV-VN-S029-0226;EV-VN-S037-0910,FUZZY_86,
CE-035,GEO_TECTONIC,IS_SIGMA_H,physical,возможная тектоническая компонента σH (в соли вероятно релаксирована),EV-VN-S030-0053;EV-VN-S029-0124,HYPOTHESIS,no,PC-04;PC-20,UNKNOWN,VKM_REGIONAL,FIELD,LOW,VKM-SRC-030;VKM-SRC-029,"VKM-SRC-030 p.5 (Табл. 2); VKM-SRC-029 p.72 (§2.2.2, refs [89-91], [38])",EV-VN-S030-0053;EV-VN-S029-0124,NOT_FOUND,
CE-036,GEO_AQUIFERS,IS_PORE,physical,начальные напоры водоносных горизонтов,EV-VN-S011-0700;EV-VN-S014-0291,STRONG,no,PC-41,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,VKM-SRC-011;VKM-SRC-014,VKM-SRC-011 p.37 (текст с.73); VKM-SRC-014 p.21 (§1.4),EV-VN-S011-0700;EV-VN-S014-0291,EXACT,
CE-037,GEO_GEOTHERM,IS_TEMP,physical,температурное поле на глубине отработки,EV-VN-S011-0726,MODERATE,no,PC-48,ANALOGUE,BKPRU3,NOT_APPLICABLE,MEDIUM,VKM-SRC-011,VKM-SRC-011 p.39 (текст с.77),EV-VN-S011-0726,EXACT,
CE-038,GEO_CLIMATE,IS_TEMP,physical,среднегодовая T поверхности — верхнее ГУ температуры,EV-VN-S011-0034,WEAK,no,PC-48,DERIVATION,VKM_REGIONAL,FIELD,LOW,VKM-SRC-011,VKM-SRC-011 p.6 (§1.1),EV-VN-S011-0034,EXACT,
CE-039,GM_SEAMS,MD_LAYOUT,engineering,высота камер по мощности пласта; параметры по глубине,EV-VN-S023-0223;EV-VN-S014-0823,STRONG,no,PC-28,FACT,SKRU1,FIELD,HIGH,VKM-SRC-023;VKM-SRC-014,"VKM-SRC-023 p.42 (§3.1.2 table 2, rendered p.42); VKM-SRC-014 p.113 (§4.1)",EV-VN-S023-0223;EV-VN-S014-0823,EXACT,
CE-040,GM_VZT,MD_SYSTEM,engineering,необходимость сохранения ВЗТ → камерная система с жёсткими целиками,EV-VN-S026-0008;EV-VN-S014-0404,STRONG,no,PC-23,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,VKM-SRC-026;VKM-SRC-014,VKM-SRC-026 p.4 (Введение); VKM-SRC-014 p.52 (§2.5),EV-VN-S026-0008;EV-VN-S014-0404,EXACT,
CE-041,GM_VZT,MD_BACKFILL_PLAN,engineering,закладка для обеспечения сплошности ВЗТ,EV-VN-S037-0471,STRONG,no,PC-37,FACT,VKM_REGIONAL,DESIGN,HIGH,VKM-SRC-037,VKM-SRC-037 p.71 (§4.1 Общие сведения (с.141)),EV-VN-S037-0471,EXACT,
CE-042,GEO_GAS,MD_SEQUENCE,engineering,выбросоопасность определяет технологию/порядок (послойная выемка Вк с дегазацией),EV-VN-S014-0834;EV-VN-S020-0351,STRONG,no,PC-55,FACT,SKRU1,FIELD,HIGH,VKM-SRC-014;VKM-SRC-020,"VKM-SRC-014 p.115 (§4.2); VKM-SRC-020 p.161 (§4.4, с.160-161)",EV-VN-S014-0834;EV-VN-S020-0351,EXACT,
CE-043,GEO_GAS,AE_BLASTING,engineering,торпедирование карналлита для разгрузки/дегазации,EV-VN-S014-0840;EV-VN-S026-0116,STRONG,no,PC-56,FACT,SKRU1,FIELD,HIGH,VKM-SRC-014;VKM-SRC-026,"VKM-SRC-014 p.116 (§4.2); VKM-SRC-026 p.22 (§4.3, Рис. 15)",EV-VN-S014-0840;EV-VN-S026-0116,EXACT,
CE-044,INFO_NORMATIVE,MD_LAYOUT,engineering,нормативный расчёт размеров целиков/степени нагружения,EV-VN-S037-0898;EV-VN-S037-0884,STRONG,no,PC-23,FACT,VKM_REGIONAL,DESIGN,HIGH,VKM-SRC-037,VKM-SRC-037 p.167 (формула (8.128)); VKM-SRC-037 p.166 (формула (8.125)),EV-VN-S037-0898;EV-VN-S037-0884,NOT_FOUND,
CE-045,INFO_NORMATIVE,MD_PROTECT_PILLARS,engineering,нормативная ширина межрудничных/гидроизолирующих целиков,EV-VN-S012-0031;EV-VN-S012-0024,STRONG,no,PC-36,FACT,VKM_REGIONAL,DESIGN,HIGH,VKM-SRC-012,VKM-SRC-012 p.15 (формула (1.2)); VKM-SRC-012 p.14 (§1.1),EV-VN-S012-0031;EV-VN-S012-0024,FUZZY_66,
CE-046,INFO_NORMATIVE,MD_BACKFILL_PLAN,engineering,районирование по опасности → категории защиты (закладка),EV-VN-S021-0021;EV-VN-S021-0056,MODERATE,no,PC-37,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,VKM-SRC-021,VKM-SRC-021 p.2 (ссылка [5]); VKM-SRC-021 p.3 (p.2-3 (ссылка [6]); этап 3 методики),EV-VN-S021-0021;EV-VN-S021-0056,EXACT,
CE-047,IS_SIGMA_V,MD_LAYOUT,engineering,проектная ширина целиков рассчитывается по нагрузке γH и допустимой C,EV-VN-S037-0898;EV-VN-S037-0881,STRONG,no,PC-23,FACT,VKM_REGIONAL,DESIGN,HIGH,VKM-SRC-037,"VKM-SRC-037 p.167 (формула (8.128)); VKM-SRC-037 p.166 (формулы (8.123), (8.124))",EV-VN-S037-0898;EV-VN-S037-0881,NOT_FOUND,
CE-048,MD_SYSTEM,MD_LAYOUT,engineering,тип системы задаёт схему камер и целиков,EV-VN-S026-0046,STRONG,no,PC-23,FACT,VKM_REGIONAL,DESIGN,HIGH,VKM-SRC-026,VKM-SRC-026 p.9 (§2),EV-VN-S026-0046,EXACT,
CE-049,MD_SYSTEM,AE_BLASTING,engineering,"выбор способа отбойки (комбайн — основной, БВР — второстепенный)",EV-VN-S020-0205,STRONG,no,PC-56,FACT,SKRU1,FIELD,HIGH,VKM-SRC-020,VKM-SRC-020 p.66 (§2),EV-VN-S020-0205,FUZZY_73,
CE-050,MD_LAYOUT,AE_GEOMETRY,engineering,"проект → факт (отклонения комбайна, подрезка «коржей»)",EV-VN-S028-0092;EV-VN-S014-0826,STRONG,no,PC-28,FACT,SKRU1,FIELD,HIGH,VKM-SRC-028;VKM-SRC-014,VKM-SRC-028 p.95 (§2.2.2 Урал-61); VKM-SRC-014 p.113 (§4.1),EV-VN-S028-0092;EV-VN-S014-0826,EXACT,
CE-051,MD_SEQUENCE,AE_CHRONO,engineering,порядок выемки → фактическая хронология,EV-VN-S014-0824;EV-VN-S014-0545,STRONG,no,PC-28,FACT,SKRU1,FIELD,HIGH,VKM-SRC-014,VKM-SRC-014 p.113 (§4.1); VKM-SRC-014 p.82 (§3.1),EV-VN-S014-0824;EV-VN-S014-0545,EXACT,
CE-052,MD_SEQUENCE,AE_MULTISEAM,engineering,очерёдность пластов → наложение отработки,EV-VN-S014-0832;EV-VN-S012-0173,STRONG,no,PC-31,FACT,SKRU1,FIELD,HIGH,VKM-SRC-014;VKM-SRC-012,VKM-SRC-014 p.115 (§4.1); VKM-SRC-012 p.34 (§1.4.2),EV-VN-S014-0832;EV-VN-S012-0173,EXACT,
CE-053,MD_PROTECT_PILLARS,AE_GEOMETRY,engineering,неотрабатываемые целики ограничивают выработанное пространство,EV-VN-S012-0169,STRONG,no,PC-36,FACT,SKRU1_SKRU2_PILLAR,NOT_APPLICABLE,HIGH,VKM-SRC-012,VKM-SRC-012 p.34 (§1.4.2),EV-VN-S012-0169,EXACT,
CE-054,MD_BACKFILL_PLAN,BF_ACTUAL,engineering,проект закладки → фактическая закладка (с задержкой),EV-VN-S023-0270;EV-VN-S014-0905,STRONG,no,PC-37,FACT,SKRU1,FIELD,HIGH,VKM-SRC-023;VKM-SRC-014,"VKM-SRC-023 p.43 (Рис.17 (image19.png), rendered p.43); VKM-SRC-014 p.140 (§5.2)",EV-VN-S023-0270;EV-VN-S014-0905,NOT_FOUND,
CE-055,GM_SEAMS,AE_GEOMETRY,physical,гипсометрия пласта определяет фактический контур выработки,EV-VN-S015-0003;EV-VN-S015-0066,STRONG,no,PC-28,FACT,VKM_REGIONAL,FIELD,HIGH,VKM-SRC-015,VKM-SRC-015 p.1 (Аннотация); VKM-SRC-015 p.10 (§Улучшение технологических процессов),EV-VN-S015-0003;EV-VN-S015-0066,EXACT,
CE-056,AE_CHRONO,BF_ACTUAL,engineering,закладка после выемки; окно ограничено временем устойчивости кровли,EV-VN-S014-0905,STRONG,no,PC-37,FACT,VKM_REGIONAL,FIELD,HIGH,VKM-SRC-014,VKM-SRC-014 p.140 (§5.2),EV-VN-S014-0905,EXACT,
CE-057,AE_GEOMETRY,BF_GAP,physical,геометрия камеры и схема подачи определяют недозаклад,EV-VN-S014-0974;EV-VN-S014-0986,STRONG,no,PC-37,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,VKM-SRC-014,"VKM-SRC-014 p.162 (§6.3, Рис. 6.2, формула (6.22)); VKM-SRC-014 p.161 (§6.3)",EV-VN-S014-0974;EV-VN-S014-0986,NOT_FOUND,
CE-058,GM_INTERSEAM,PE_INTERSEAM,physical,"мощность междупластья входит в Q_мп и ε*_мп=0,3h_мп/min(a1,a2)",EV-VN-S014-1072;EV-VN-S014-1078,STRONG,no,PC-25,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-014,"VKM-SRC-014 p.194 (§7.3, (7.29), Рис. 7.13); VKM-SRC-014 p.195 (§7.3, (7.33))",EV-VN-S014-1072;EV-VN-S014-1078,FUZZY_68,
CE-059,GM_VZT,OR_VZT_DAMAGE,physical,суммарная мощность соляных слоёв ВЗТ m_c≥[m] — критерий безопасной подработки,EV-VN-S037-0940;EV-VN-S037-0944,STRONG,no,PC-34,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-037,VKM-SRC-037 p.171 (формула (8.143)); VKM-SRC-037 p.171 (формула (8.144)),EV-VN-S037-0940;EV-VN-S037-0944,NOT_FOUND,
CE-060,AE_GEOMETRY,PE_PILLAR_LOAD,physical,Q=γH(a+b)/b: ширины камер/целиков задают нагрузку,EV-VN-S037-0881;EV-VN-S031-0005,STRONG,no,PC-23,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-037;VKM-SRC-031,"VKM-SRC-037 p.166 (формулы (8.123), (8.124)); VKM-SRC-031 p.1 (§Методы и подходы)",EV-VN-S037-0881;EV-VN-S031-0005,NOT_FOUND,
CE-061,AE_GEOMETRY,PE_STRESS_REDIST,physical,выработанное пространство → перераспределение напряжений,EV-VN-S024-0137;EV-VN-S026-0027,STRONG,no,PC-30,FACT,BKPRU2,NOT_APPLICABLE,HIGH,VKM-SRC-024;VKM-SRC-026,VKM-SRC-024 p.49 (§6.1.1); VKM-SRC-026 p.6 (§1.1),EV-VN-S024-0137;EV-VN-S026-0027,EXACT,
CE-062,AE_CHRONO,PE_STRESS_REDIST,physical,моменты разгрузки (последовательность) → история нагружения,EV-VN-S012-0173;EV-VN-S031-0022,STRONG,no,PC-28;PC-30,FACT,SKRU2,CALIBRATED_EFFECTIVE_MODEL,HIGH,VKM-SRC-012;VKM-SRC-031,VKM-SRC-012 p.34 (§1.4.2); VKM-SRC-031 p.3 (§Результаты; Выводы),EV-VN-S012-0173;EV-VN-S031-0022,EXACT,
CE-063,AE_MULTISEAM,PE_INTERSEAM,physical,несоосность камер → концентрация напряжений в междупластье,EV-VN-S032-0022;EV-VN-S020-0142,MODERATE,no,PC-25,DERIVATION,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VKM-SRC-032;VKM-SRC-020,VKM-SRC-032 p.4 (p4; Рис.2; p5); VKM-SRC-020 p.20 (§1.3),EV-VN-S032-0022;EV-VN-S020-0142,EXACT,
CE-064,AE_MULTISEAM,DD_SEAM_LEVEL,physical,"суммирование вынутых мощностей: η0=0,9ΣS_i/(a+b)",EV-VN-S037-0925,STRONG,no,PC-31,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-037,VKM-SRC-037 p.169 (формула (8.135)),EV-VN-S037-0925,NOT_FOUND,"нормативная формула (8.135) Методического руководства 1992 (NORMATIVE, VKM_REGIONAL, DESIGN); запись о разломе №98 (VKM-SRC-011, с.130) исключена из опоры — к формуле не относится"
CE-065,AE_BLASTING,PE_DAMAGE,physical,"зона повышенной трещиноватости (R_эф≤1,5 м)",EV-VN-S014-0840;EV-VN-S027-0008,MODERATE,no,PC-56,FACT,SKRU1,FIELD,MEDIUM,VKM-SRC-014;VKM-SRC-027,VKM-SRC-014 p.116 (§4.2); VKM-SRC-027 p.2 (§ введение),EV-VN-S014-0840;EV-VN-S027-0008,EXACT,
CE-066,AE_BLASTING,OR_VZT_DAMAGE,physical,БВР может нарушать ВЗТ (качественно),EV-VN-S027-0008;EV-VN-S024-0427,WEAK,no,PC-56,FACT,VKM_REGIONAL,FIELD,LOW,VKM-SRC-027;VKM-SRC-024,VKM-SRC-027 p.2 (§ введение); VKM-SRC-024 p.124 (Прил.1 §2.4.1),EV-VN-S027-0008;EV-VN-S024-0427,EXACT,
CE-067,IS_SIGMA_V,PE_PILLAR_LOAD,physical,вес толщи γH — нагрузка на МКЦ,EV-VN-S037-0881;EV-VN-S029-0226,STRONG,no,PC-01,FACT,BKPRU2,FIELD,HIGH,VKM-SRC-037;VKM-SRC-029,"VKM-SRC-037 p.166 (формулы (8.123), (8.124)); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2))",EV-VN-S037-0881;EV-VN-S029-0226,NOT_FOUND,
CE-068,IS_SIGMA_H,PE_ROOF,physical,боковой распор σx=λγH(...) → продольное сжатие и прогиб слоёв кровли,EV-VN-S037-0910;EV-VN-S037-0908,MODERATE,no,PC-24,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-037,VKM-SRC-037 p.168 (формула (8.130)); VKM-SRC-037 p.168 (§8.4.3),EV-VN-S037-0910;EV-VN-S037-0908,NOT_FOUND,
