row_id,row_kind,mine_as_printed,mine_scope,spatial_entity_ids,object,panel_block,seam,depth_m_as_printed,depth_or_horizon_as_printed,period_as_printed,chamber_width_m,pillar_width_m,chamber_height_m,chamber_length_m,axis_spacing_m,extraction_ratio_as_printed,loading_degree_C,panel_width_m,panel_length_m,block_width_m,block_length_m,interseam_thickness_m,protective_layer_m,seam_thickness_as_printed,mining_system,seam_sequence_order,backfill_as_printed,rule_text,other_parameters_as_printed,design_actual_label,label_basis,visual_recheck,conflict_ids,skru1_relevance,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
MGEO-0011,mining_geometry,СКРУ-3,СКРУ-3,MF:SKRU3,chambers and interchamber pillars in KrII (plan and sections),"блок 5, 2-я панель",КрII,,,,,,,,,,,,,,,,,,,,,,"{""figure_content"": ""Fig. 2.19 plan shows parallel N-S chambers alternating with interchamber pillars (grey), scale bar 40 m; Fig. 2.20 sections show chamber cross-sections with arched roofs spanning full KrII height, vertical axis -174...-180 m"", ""dimensions_printed"": ""none (only scale bars)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,"pdf p.50 (printed 98-99); Рис. 2.19, 2.20",EV-VN-S011-1025,,FACT,DESCRIPTIVE,SKRU3,FIELD,MEDIUM,VISUAL_READ,FUZZY_68,Chamber/pillar widths not printed; could be digitized from the plan later (not done in phase 1).
MGEO-0012,mining_geometry,СКРУ-2,СКРУ-2,MF:SKRU2,horizon of panel workings,1-я северо-восточная панель (1-я СВП),продуктивные пласты (КрII),,horizon=-143 м,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.50 (printed 98-99); текст стр. 98,EV-VN-S011-1030,,FACT,DESCRIPTIVE,SKRU2,FIELD,HIGH,TEXT_LAYER,EXACT,
MGEO-0013,mining_geometry,СКРУ-2,СКРУ-2,MF:SKRU2,очистная камера 102,2-я ЮЗП,КрII (красные сильвиниты),,horizon=-220 м (text) / -200 м (caption),,,,,,,,,,,,,,,,,,,,"{""face_sketch"": ""Fig. 2.23 face section drawn with 0-5 m scale, arched roof""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.50 (printed 98-99); Рис. 2.23,EV-VN-S011-1033,,FACT,DESCRIPTIVE,SKRU2,FIELD,MEDIUM,VISUAL_READ,EXACT,
MGEO-0014,mining_geometry,СКРУ-3,СКРУ-3,MF:SKRU3,room-and-pillar chamber layouts (plans),"участок 17: блок 8, панель 8 (камеры 64-76, even numbers, N-S oriented, ending at south ventilation drift); участок 18: блок 2, панель 4 (камеры 150-173 between north and south ventilation drifts, crossed by extraction drift (выемочный штрек), research exploration working and dead-end working)","А, Б, Б-В (АБ horizon)",,,,,,,,,,,,,,,,,,,,,,"{""scale_bars"": ""0-10-20 m (а), 0-25-50 m (б)"", ""chamber_length_hint"": ""photo locations '107 м от устья' (chamber 167) and '52 м от устья' (chamber 171) imply chambers ≥107 m long"", ""numbering"": ""odd chambers 155-173 N of extraction drift, even 150-168 S of it (site 18)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,"pdf p.70 (printed 138-139); Рис. 2.67, 2.69, 2.70",EV-VN-S011-1455,,FACT,DESCRIPTIVE,SKRU3,FIELD,MEDIUM,VISUAL_READ,EXACT,Chamber/pillar widths not printed; digitizable from plan with scale bars later.
MGEO-0015,mining_geometry,СКРУ-2,СКРУ-2,MF:SKRU2,chamber 20 intersecting replacement zone,"ч1-й (4-й?) северо-восточная панель, гор. –143 м",unstated,,horizon_abs_m=-143 (as printed 'гор. –143 м'),,,,,,,,,,,,,,,,,,,,,UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.77 (printed 152-153); с.152,EV-VN-S011-1524,,FACT,DESCRIPTIVE,SKRU2,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,
MGEO-0016,mining_geometry,СКРУ-3,СКРУ-3,MF:SKRU3,"room-and-pillar layout (plan, scale bar 0–25–50 м)","6-я панель, блок 7 (и соседний блок 5)",АБ,,,,,,,,,,,,,,,,,,,,,,"{""chamber_numbers"": ""lower row 2'–22 (even), upper row 3–19 (odd); chamber 18 referenced in Fig 2.96"", ""roadways"": ""блоковый выемочный штрек (between rows), блоковый вентиляционный штрек (boundary to block 5)"", ""protective_pillar"": ""плановый контур целика скважины № 250 (roughly circular/oval, west end of block 7)"", ""geometry_note"": ""long parallel pillars (legend 3) separated by chambers, chamber row ends chamfered towards borehole pillar; block 5 chambers have rounded ends"", ""replacement_zone"": ""contour of KrII sylvinite replacement zone (dashed) shown in block 5 south of the ventilation drift""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.78 (printed 154-155); Рис. 2.95,EV-VN-S011-1535,,FACT,DESCRIPTIVE,SKRU3,DESIGN,HIGH,VISUAL_READ,EXACT,Chamber/pillar widths are measurable from the scale bar but NOT digitized in this phase. KrII replacement-zone contour drawn on AB-horizon plan implies KrII overlies/underlies AB workings (multi-seam context).
MGEO-0017,mining_geometry,БКПРУ-4,БКПРУ-4,MF:BKPRU4,large-section chambers (камеры большого сечения) reached by conveyor and transport drifts,р-н ствола № 4,upper ПдКС (rock salt) — inferred from wood-remain position 10–15 m below MG and Fig 2.106 caption 'в верхней пачке ПдКС',,,,,,,,,,,,,,,,,,,,,,"{""large_section_chamber_No1"": ""south wall of chamber No.1 exposes marker horizons 'Мощный' and 'Средний' (p.174)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.87 (printed 172-173); с.173,EV-VN-S011-1594,,FACT,DESCRIPTIVE,BKPRU4,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,Dimensions not stated.
MGEO-0018,mining_geometry,БКПРУ-4,БКПРУ-4,MF:BKPRU4,"mine-field layout (panels, main drifts, shafts)","1 СЗП; 5, 6 ЮЗП; 1 ЮЗП; 1, 2, 9, 10 ЮВП",unstated (map of the mine field),,,,,,,,,,,,,,,,,,,,,,"{""shafts"": ""Ств. 1, 2, 3, 4 in a shaft pillar (outlined polygon) in the north-centre"", ""main_drifts"": ""гл. сев. штрек, гл. южн. штрек (N–S), гл. юго-западный и гл. юго-восточный штреки (E–W)"", ""scale"": ""0–1 км""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.88 (printed 174-175); Рис. 2.107,EV-VN-S011-1602,,FACT,DESCRIPTIVE,BKPRU4,DESIGN,MEDIUM,VISUAL_READ,NOT_FOUND,
MGEO-0019,mining_geometry,БКПРУ-4,БКПРУ-4,MF:BKPRU4,paired exploratory drifts (РКШ + РТШ) with cross-cuts,5 ЮЗП,"upper ПдКС, layers 7–14",,,,,,,,,,,,,,,,,,,,,,"{""drifts"": ""8 РКШ parallel to 8 РТШ (E–W); 9 РКШ parallel to 9 РТШ (N–S) at the east end near скв. 41-кс"", ""sampling_points"": ""пр. № 1–5 (oil shows), пр. № 6 and № 7 'фоновая' (background)"", ""scale"": ""0–50–100 м""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.88 (printed 174-175); Рис. 2.108,EV-VN-S011-1621,,FACT,DESCRIPTIVE,BKPRU4,DESIGN,MEDIUM,VISUAL_READ,EXACT,
MGEO-0020,mining_geometry,БКПРУ-4,БКПРУ-4,MF:BKPRU4,workings plan around oil-show bodies (scale 0–10–20 м),р-н скв. 484 (arrow 'К скв. 484 300 м'),upper ПдКС,,,,,,,,,,,,,,,,,,,,,,"{""workings"": ""network of drifts incl. right conveyor drift (правый конвейерный штрек) and a dead-end working; two oil-show contours (west, east); sample sites 1 and 2 marked""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.92 (printed 182-183); Рис. 2.111,EV-VN-S011-1642,,FACT,DESCRIPTIVE,BKPRU4,DESIGN,MEDIUM,VISUAL_READ,EXACT,Arrow on plan indicates borehole 484 is ~300 m away (as printed 'К скв. 484 300 м').
MGEO-0021,mining_geometry,БКПРУ-4,БКПРУ-4,MF:BKPRU4,stoping block layout references,"1 ЮВП, 5-й западный полублок (камеры 13, 9 'левый ход') и 5-й восточный полублок (камера 12)",АБ (sampled; stoping on КрII and АБ),,,,,,,,,,,,,,,,,,,,,,"{""drifts"": ""северный (выемочный) штрек, конвейерный штрек"", ""chamber_branch"": ""'левый ход камеры №9' (chamber with branches/ходы)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.93 (printed 184-185); Табл. 2.48; с.184,EV-VN-S011-1649,,FACT,DESCRIPTIVE,BKPRU4,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_63,
MGEO-0022,mining_geometry,СКРУ-1,СКРУ-1,SKRU1:BLK:201,участок сопоставления №1 (Уч-к-1),блок 201,КрII и В (карналлитовый состав),,,,,,,,,,,,,,,,,,system=параметры отработки рассчитаны на жесткое поддержание ВЗТ,,,,"{""fig_4_6_blocks_panels_visible"": ""107, 109, 113, 141, 143, 147, 149, 151, 153, 179, 181, 183, 185, 191, 193, 195, 201; 1 ВП, 2 ВП, 3 ВП"", ""mined_seams_legend"": ""КрII (красная косая штриховка), АБ (синяя горизонтальная), В (зеленая вертикальная)"", ""visual_reading"": ""пласт В отработан в блоках 201, 191, 1–3 ВП, 141, 143, 147, 179, 181 и др.; АБ — в юго-западных блоках 149, 151, 153, 183, 185; КрII — практически по всей площади схемы; восточная граница шахтного поля СКРУ-1 — штрихпунктир справа; р. Селянка пересекает с СВ на ЮЗ; разлом 98 — почти меридиональный"", ""scale"": ""линейка 0–600 м""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,SKRU1_DIRECT,VKM-SRC-011,pdf p.130 (printed 259); Рис. 4.6; стр. 259,EV-VN-S011-2088,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM,VISUAL_READ,EXACT,"Fig 4.6 has no coordinate grid, only N arrow and scale bar; could be georeferenced via block numbers against SKRU-1 mine plans. Seam-by-block mined-area attribution read visually at 300 dpi (hatch patterns) — MEDIUM confidence."
MGEO-0023,mining_geometry,СКРУ-3 (SPMO-3),СКРУ-3,MF:SKRU3,stoping chambers,,АБ,,,,,,,,,,,,,,,,,,,,,,"{""note"": ""qualitative: chambers driven along combined bed АБ at СКРУ-3""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.179 (printed 356-357 (spread)); English SUMMARY 2.6 Rare rocks and minerals,EV-VN-S011-3932,,FACT,DESCRIPTIVE,SKRU3,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,English SUMMARY (author's translation/abridgement of the Russian text); Only qualitative evidence that bed АБ is mined by chambers at SKRU-3.
MGEO-0024,mining_geometry,"СКРУ-1 (north): 12 ЗП, 3 ЮЗП, 4 ЮЗП, 5 ЮЗП, 159/163/169/189/199 блок, 1 ЮВП; СКРУ-2 (south): panels I-IV СЗП/СВП/ЮЗП/ЮВП with suffix -220 (western part) and -143 (eastern part), 15ЮВП -143 1 (SE); СКРУ-3 (east): Блок 1,3,5,7,9,11,13,15",Соликамская группа (СКРУ-1+СКРУ-2+СКРУ-3),IMP:SKRU1-SKRU2,panel/block layout around intermine pillars,see mine field,not stated on figure,,,,,,,,,,,,,,,,,,,,,,"{""panel_suffix_meaning"": ""'-220' and '-143' not explained on this page (possibly horizon/level marks); UNKNOWN"", ""central_unhatched_strip"": ""a NNE-trending irregular unhatched strip separates SKRU-2 '-220' panels from '-143' panels; its nature (barrier/shaft/geological pillar) is not explained""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,SOLIKAMSK_GROUP_POOLED,VKM-SRC-012,pdf p.28 (printed 28); Рис. 1.1 (panel labels),EV-VN-S012-0076,,FACT,DESCRIPTIVE,SOLIKAMSK_GROUP,FIELD,HIGH,VISUAL_READ,NOT_FOUND,"Panel naming: СЗП/СВП/ЮЗП/ЮВП = north-west/north-east/south-west/south-east panel. Dates of mining of these panels not given here. | [review-fix 26.09.2026] scope SKRU1_SKRU2 → SOLIKAMSK_GROUP: план панелей/блоков СКРУ-1, СКРУ-2, СКРУ-3 у целиков (D-17)"
MGEO-0025,mining_geometry,СКРУ-2,СКРУ-2,MF:SKRU2,multi-seam extraction before 1995 collapse,1-2 СВП,two and partly a third productive seam (names not given here),300-320,,,,,,,,,,,,,,,,total_extracted_thickness_two_seam_m=10 | total_extracted_thickness_three_seam_m=16,,,,,,UNRESOLVED,evidence_type=LITERATURE_CITED: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,MC-GE-08,VKM_OTHER_MINE_CONTEXT,VKM-SRC-012,"pdf p.32 (printed 32); §1.4.2, [42]",EV-VN-S012-0145,EV-MIN-0013,FACT,LITERATURE_CITED,SKRU2,FIELD,HIGH,TEXT_LAYER,EXACT,
MGEO-0026,mining_geometry,"СКРУ-1 (74, 75, 30, 222, 122 side) and СКРУ-2 (near 298)",целик СКРУ-1–СКРУ-2 (зона целика),SKRU1:PIL:BOREHOLES,rounded outlines of unmined ground around exploration boreholes (probable borehole protective pillars; not explained in text),"12 ЗП, 3/4/5 ЮЗП, pillar edge, III/IV ЮВП-220",not stated,,,,,,,,,,,,,,,,,,,,,,"{""interpretation"": ""standard VKM practice leaves pillars around exploration boreholes; here only graphically suggested""}",UNRESOLVED,"визуальная интерпретация (целики вокруг скважин, текстом не объяснены)",,,SKRU1_SKRU2_PILLAR_AREA,VKM-SRC-012,pdf p.28 (printed 28); Рис. 1.1 (semicircular outlines),EV-VN-S012-0163,,UNKNOWN,INTERPRETATION,SKRU1_SKRU2_PILLAR,FIELD,LOW,VISUAL_READ,NOT_FOUND,"My interpretation of drawing; verify in text of ch.2-3 or normative. | [review-fix 26.09.2026] scope SKRU1_SKRU2 → SKRU1_SKRU2_PILLAR: целики вокруг скважин у междушахтного целика (74, 75, 30/234с, 222, 122 — сторона СКРУ-1; у 298 — сторона СКРУ-2) (D-17)"
MGEO-0027,mining_geometry,СКРУ-3,СКРУ-3,MF:SKRU3,blocks 1 and 3 of panel 15,"15 панель, блоки 1, 3","АБ, КрII (sylvinite)",,,,,,,,,,,,,,,,,,,,backfill=none,,"{""mined"": ""2011""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-012,pdf p.43 (printed 43); §2.2,EV-VN-S012-0211,EV-MIN-0024,FACT,DESCRIPTIVE,SKRU3,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
MGEO-0028,mining_geometry,СКРУ-2,СКРУ-2,MF:SKRU2,nine south-eastern panels,9 ЮВП,"АБ, КрII (sylvinite), Вк+с",,,,,,,,,,,,,,,,,,,,,,"{""mined_since"": ""2003""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-012,pdf p.43 (printed 43); §2.2,EV-VN-S012-0212,EV-MIN-0025,FACT,DESCRIPTIVE,SKRU2,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,"""Вк+с"" printed — probably seam В of carnallite+sylvinite composition; as printed."
MGEO-0029,mining_geometry,СКРУ-2,СКРУ-2,MF:SKRU2,chamber orientation,СВП/ЮВП -143 near pillars,,,,,,,,,,,,,,,,,,,,,,,"{""orientation"": ""meridional (N-S) chambers""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-012,pdf p.53 (printed 53); §2.3 p.53,EV-VN-S012-0255,,FACT,DESCRIPTIVE,SKRU2,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
MGEO-0030,mining_geometry,СКРУ-2 (panels along profile line No.1),СКРУ-2,MF:SKRU2,panel/seam extraction record (Table 2.1),I СПВ -143 (printed 'СПВ' = СВП on figures),Кр-II,,,year_mined=1983,,,,,,"0,59",,,,,,,,"m_o_extracted_thickness_m=4,8",,,"backfill_influence_p=1,000",,"{""forecast_subsidence_2020_mm"": ""662"", ""p_interpretation"": ""p=1.000 presumably no backfill effect (p<1 backfilled) — interpretation, not stated""}",DESIGN,evidence_type=DESIGN_VALUE (проектное/паспортное значение),,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-012,pdf p.56 (printed 56); Табл. 2.1,EV-VN-S012-0264,EV-MIN-0028;EV-MIN-0029;EV-MIN-0030;EV-MIN-0031,FACT,DESIGN_VALUE,SKRU2,NOT_APPLICABLE,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,"Year/m_o/ω/p are input data (mine records); subsidence 2020 is the author's normative forecast (CALCULATED_BY_AUTHOR), not a measurement."
