rheo_id,law_name,law_family,math_class,equation_as_printed,equation_number,parameters_and_units,calibration_experiment,lithology,stress_range,time_range,temperature_assumption,scale,site_scope,source_id,locator,vn_ids,prev_evidence_ids,relation_to_v1_registry,original_or_cited,status,evidence_type,extraction_method,visual_confirmation,confidence,applicability_SKRU1,planned_role,notes
MR-RHEO-CL-11,"Double Power Law (Abaqus user form), temperature-dependent",double power law with Arrhenius temperature term,ODE,ε̇^cr = A1·exp(−B1/(θ−θz))·(q/σ0)^C1 + ε̇1·(B2/(θ−θz))·(q/σ0)^C2,,LAB: none | MASSIF/EFFECTIVE: A1 = 0.04; A2 = 0.019; B1 = 5950; B2 = 7590; C1 = 2.4; C2 = 6.8 (calibrated to room convergence),CALIBRATED_EFFECTIVE_MODEL (field convergence),"rock salt (Saskatchewan potash mine, ~950 m)",not stated,see stress_range/notes,explicit (Arrhenius-type in θ),CALIBRATED_EFFECTIVE_MODEL,"NON_VKM_ANALOG (Saskatchewan, Canada)",EXT-SRC-002,see v1 evidence ids,,EV-EXT-0044;EV-EXT-0045;EV-EXT-0046;EV-EXT-0047,= CL-11,EXTERNAL (v1 EXT stream),DERIVATION,MODEL_CALIBRATED,v1,v1 (see provenance_verification.csv),per v1,"not transferable (other deposit, depth ~950 m, other stress/temperature regime)","STRUCTURAL_ALTERNATIVE only (form), no parameters","[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL (field convergence)», kept in calibration_experiment)→MODEL_CALIBRATED. Authors cite application of the model on ВКМКС by Константинова (not captured) — lead for GAP-C. | OGS mapping (v1): no native OGS equivalent (two-branch power law) — MFront implementation would be required"
MR-RHEO-CL-12,linear hereditary creep solved by a modified variable-moduli method using a priori information on the time growth of surface subsidence,"variable-moduli method (linear hereditary, effective)",HEREDITARY,"E^p = E^0 / [1 + Ψ(t)], Ψ(t) = η(t) / (m·ε^0_yy) (VKM-SRC-038 p.3, EV-MON-0207; applied in VKM-SRC-035 p.1-2 EV-RMB-0403); the underlying 2005 paper remains paywalled",,LAB: UNKNOWN | MASSIF/EFFECTIVE: UNKNOWN,CALIBRATED_EFFECTIVE_MODEL by construction (uses observed subsidence growth) — DISCOVERY_ONLY,potash series (chamber mining),UNKNOWN,see stress_range/notes,UNKNOWN,CALIBRATED_EFFECTIVE_MODEL,VKM_REGIONAL (ГИ УрО РАН),EXT-SRC-009;VKM-SRC-038;VKM-SRC-035;VKM-SRC-005;VKM-SRC-039,see v1 evidence ids,EV-VN-S005-0008;EV-VN-S035-0006;EV-VN-S038-0017;EV-VN-S038-0018;EV-VN-S039-0007,EV-EXT-0062;EV-MON-0207;EV-RMB-0403,= CL-12,EXTERNAL (v1 EXT stream),DERIVATION,MODEL_CALIBRATED,OCR_VISUALLY_CONFIRMED/TEXT_LAYER,v1 (see provenance_verification.csv),per v1,"cannot be used without the full text; if obtained, parameters are subsidence-calibrated (MODEL_SPECIFIC)",DISCOVERY_ONLY,"[fix 26.09 COVERAGE_DUPLICATES-008] source_id += VKM-SRC-005, VKM-SRC-039 (sources of vn_ids used as evidence; analogue sources included). [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL by construction (uses observed subsidence growth) — DISCOVERY_ONLY», kept in calibration_experiment)→MODEL_CALIBRATED. Primary methodological source of the Лебедева-type stepwise modulus reduction (CL-08). | PASS 4: first explicit formula in the corpus (VKM-SRC-038); Ψ(t) is set from observed subsidence → parameters stay MODEL_SPECIFIC / subsidence-calibrated; OGS equivalent = time-dependent layer modulus (a pure modulus switch of incremental LinearElasticIsotropic produces no displacement - capability matrix) | OGS mapping (v1): method-level (variable moduli in time) — equivalent to a time-dependent effective modulus schedule; not a constitutive law"
MR-RHEO-CL-13,linear viscoelasticity with a four-parameter creep function,linear viscoelastic 4-parameter creep function,HEREDITARY,not available (paywalled; abstract only),,"LAB: none | MASSIF/EFFECTIVE: unified rheological indices for all potash strata of the Upper Kama deposit, determined from in-situ surface-subsidence data — values UNKNOWN",CALIBRATED_EFFECTIVE_MODEL (subsidence-calibrated) — DISCOVERY_ONLY,all potash strata (ВКМ),UNKNOWN,see stress_range/notes,UNKNOWN,CALIBRATED_EFFECTIVE_MODEL,VKM_REGIONAL,EXT-SRC-010,see v1 evidence ids,,EV-EXT-0063,= CL-13,EXTERNAL (v1 EXT stream),DERIVATION,MODEL_CALIBRATED,v1,v1 (see provenance_verification.csv),per v1,subsidence-calibrated effective parameters: usable only as MODEL_SPECIFIC prior; must not be re-calibrated to the evaluation data,DISCOVERY_ONLY (highest-value missing primary source for time dependence),"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL (subsidence-calibrated) — DISCOVERY_ONLY», kept in calibration_experiment)→MODEL_CALIBRATED. Also models the effect of backfill on subsidence growth (abstract). | OGS mapping (v1): a 4-parameter creep function of linear viscoelasticity maps to a generalised Kelvin/Maxwell chain (Prony) — derivation required once the function is known"
MR-RHEO-CL-14,modified Burgers model (Kelvin + Maxwell) with hyperbolic-sine stress-dependent viscous element + Mohr–Coulomb,"modified Burgers (Kelvin + Maxwell, sinh viscous element) + Mohr–Coulomb",ODE,ε̇_v = a·sinh(b·σ) (eq. 6; coefficients not published),,LAB: not published | MASSIF/EFFECTIVE: finding: steady-creep parameters transfer lab→massif without correction; primary-creep parameters need 3–5× reduction (verified against field data of the authors' deposit),"CALIBRATED_EFFECTIVE_MODEL (verification vs field data, other deposit)",salt rocks (deposit not named),not stated,see stress_range/notes,not stated,CALIBRATED_EFFECTIVE_MODEL,NON_VKM_ANALOG (Belarusian authors),EXT-SRC-012,see v1 evidence ids,,EV-EXT-0090;EV-EXT-0091;EV-EXT-0092;EV-EXT-0093;EV-EXT-0094,= CL-14,EXTERNAL (v1 EXT stream),DERIVATION,MODEL_CALIBRATED,v1,v1 (see provenance_verification.csv),per v1,"not transferable; the lab→massif statement is a hypothesis to test, not a VKM rule",STRUCTURAL_ALTERNATIVE (form + transfer hypothesis),"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL (verification vs field data, other deposit)», kept in calibration_experiment)→MODEL_CALIBRATED. Bibliographic pointer: Döring–Kiehl-type visco-plastic models said to be widely used at ВКМКС (Ермашов 2015) — supports CL-05 lineage. | OGS mapping (v1): no built-in sinh-Burgers; MFront implementation would be needed"
MR-RHEO-CL-15,Norton steady-state power law,Norton power law,ODE,"ε̇ = k·σ^n (σ in MPa, ε̇ in сут^-1)",,"LAB: none (values are model parameters) | MASSIF/EFFECTIVE: rock salt / anhydrite-halite k 1.32e-13, n 6.5; sylvinite 2.12e-13, n 6.5; carnallite 1.82e-12, n 5.9 (МПа^-n·сут^-1)","CALIBRATED_EFFECTIVE_MODEL (excavation stability model, other deposit)","rock salt, sylvinite, carnallite, anhydrite-halite",not stated,see stress_range/notes,none,CALIBRATED_EFFECTIVE_MODEL,"NON_VKM_ANALOG (Гремячинское, 1100–1300 m)",EXT-SRC-013,see v1 evidence ids,,EV-EXT-0109;EV-EXT-0110;EV-EXT-0117;EV-EXT-0118;EV-EXT-0125;EV-EXT-0126;EV-EXT-0133;EV-EXT-0134;EV-EXT-0139,= CL-15,EXTERNAL (v1 EXT stream),DERIVATION,MODEL_CALIBRATED,v1,v1 (see provenance_verification.csv),per v1,"not transferable (other deposit, depth ×4, calibrated to its excavations)",CONTEXT_ONLY,"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL (excavation stability model, other deposit)», kept in calibration_experiment)→MODEL_CALIBRATED. n ≈ 6–6.5 similar to the lab fits CL-01/CL-09 (different quantity: absolute vs normalised stress). | OGS mapping (v1): CreepBGRa-compatible (Q = 0) — not used"
MR-RHEO-CL-16,qualitative creep stages from ultra-long uniaxial tests,qualitative creep stages,OTHER,none,,"LAB: rock-salt properties table; creep 0.3–0.9·σсж, ≈1 year | MASSIF/EFFECTIVE: none",LAB_MEASURED,rock salt,0.3–0.9 of σсж,see stress_range/notes,not stated,LAB,"NON_VKM_ANALOG (Оренбургское, gas-storage cavern lab)",EXT-SRC-015,see v1 evidence ids,,EV-EXT-0160;EV-EXT-0161;EV-EXT-0162;EV-EXT-0163;EV-EXT-0164;EV-EXT-0165;EV-EXT-0166;EV-EXT-0167,= CL-16,EXTERNAL (v1 EXT stream),FACT,LAB_TEST,v1,v1 (see provenance_verification.csv),per v1,not transferable,CONTEXT_ONLY,"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→FACT; evidence_type (v1 calibration_status «LAB_MEASURED», kept in calibration_experiment)→LAB_TEST. Useful only as evidence that year-long tests show the same stage structure as the 35–40-day VKM tests. | OGS mapping (v1): none"
MR-RHEO-CL-17,linear hereditary (Abel kernel) creep,"linear hereditary (Abel kernel), pillar-scale",HEREDITARY,K(t−τ) = δ(t−τ)^−α (as CL-06); parameters from in-situ vertical deformations of interchamber pillars,,"LAB: none | MASSIF/EFFECTIVE: α, δ for pillars of seam КрII (VKM, mine not named) — values NOT accessible (abstract only)","CALIBRATED_EFFECTIVE_MODEL (field, pillar scale) — ABSTRACT_ONLY",sylvinite pillars (КрII),pillar loading of КрII,see stress_range/notes,not stated,CALIBRATED_EFFECTIVE_MODEL,VKM_REGIONAL,EXT-SRC-017;EXT-SRC-016,see v1 evidence ids,,EV-EXT-0175;EV-EXT-0172;EV-EXT-0173,= CL-17,EXTERNAL (v1 EXT stream),DERIVATION,MODEL_CALIBRATED,v1,v1 (see provenance_verification.csv),per v1,would be the closest VKM field-scale creep evidence for pillars; only usable once the numbers are obtained,DISCOVERY_ONLY (high-value target),"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL (field, pillar scale) — ABSTRACT_ONLY», kept in calibration_experiment)→MODEL_CALIBRATED. Exact citation resolved by pass 2b: ФТПРПИ 2007 №1 с.21–27 = J. Mining Science 43(1):17–23, DOI 10.1007/s10913-007-0003-9 (title ""…междукамерных целиков""). | OGS mapping (v1): Prony series of Kelvin units after derivation"
MR-RHEO-CL-18,"overstress viscoplasticity, Bingham (linear in the yield function); yield surface = non-associated Mohr-Coulomb or associated volumetric criterion",viscoplastic Bingham (overstress),ODE,"λ̇ = Φ(σ,A)/η; ε̇vp = λ̇·∂Ψ/∂σ (eqs 1-2, 10)",,"LAB: MC: η = 35/35/20/20/10/6 MPa·h at p = 0.3…0.8 (E 1.5 GPa, ν 0.3, c 1.7 MPa, φ 30°, ψ 18° fixed); volumetric: η = 35/50/45/60/50/45 MPa·h (σc 5, σt 1 MPa fixed) | MASSIF/EFFECTIVE: none",LAB_CALIBRATED (specimen FE model; one value per load level),red sylvinite (deposit not stated),p = σ/σc(specimen) 0.3–0.8 (σc not given); viscous flow only above the yield surface; ≤ ~300 h,see stress_range/notes,none (P = const; isothermal lab),CALIBRATED_EFFECTIVE_MODEL,GENERAL_METHOD (LAB; specimen deposit UNKNOWN),VKM-SRC-036,see v1 evidence ids,EV-VN-S036-0006;EV-VN-S036-0017;EV-VN-S036-0018;EV-VN-S036-0019;EV-VN-S036-0030;EV-VN-S036-0031;EV-VN-S036-0044;EV-VN-S036-0045;EV-VN-S036-0049;EV-VN-S036-0050;EV-VN-S036-0064;EV-VN-S036-0070;EV-VN-S036-0091;EV-VN-S036-0096;EV-VN-S036-0108;EV-VN-S036-0116;EV-VN-S036-0119;EV-VN-S036-0127,EV-RMR-1204;EV-RMR-1207;EV-RMR-1208;EV-RMR-1209;EV-RMR-1210;EV-RMR-1211;EV-RMR-1212;EV-RMR-1213;EV-RMR-1214;EV-RMR-1215;EV-RMR-1216,= CL-18,"CITED (form of the law: Bingham — [12] de Souza Neto, Perić, Owen 2008); calibration (tables 1–8 of VKM-SRC-036) — ORIGINAL",DERIVATION,MODEL_CALIBRATED,TEXT_LAYER/VISUAL_READ,v1 (see provenance_verification.csv),per v1,specimen scale only; load-dependent η → no single parameter set; no lab→massif transfer,CANDIDATE_LAB_LAW (structural alternative) — REGISTERED_NOT_USED,"[fix 26.09 PRIMARY_SECONDARY-009] form of the law is a textbook/cited constitutive model; only the calibration is original. [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «LAB_CALIBRATED (specimen FE model; one value per load level)», kept in calibration_experiment)→MODEL_CALIBRATED; scale LAB→CALIBRATED_EFFECTIVE_MODEL. η [stress×time] not comparable with Perzyna/Perić η [time]; proposed by agent A (pass 4) | OGS mapping (v1): not available: no built-in / pre-compiled MFront Bingham law; needs a custom MFront behaviour (no compiler in wheel); CreepBGRa/Lubby2 are not equivalent (no yield threshold)"
MR-RHEO-CL-19,"overstress viscoplasticity, Duvaut-Lions (relaxation towards the backbone stress)",viscoplastic Duvaut–Lions,ODE,ε̇vp = Cᵉ:(σ − σ̂)/τ (eq. 21),,LAB: MC: τ = 9/9/4.6/4.6/2.4/1.5 h; volumetric: τ = 13/13/8/8/5/3 h (p = 0.3…0.8; backbone as CL-18) | MASSIF/EFFECTIVE: none,LAB_CALIBRATED,red sylvinite (deposit not stated),as CL-18,see stress_range/notes,none,CALIBRATED_EFFECTIVE_MODEL,GENERAL_METHOD (LAB),VKM-SRC-036,see v1 evidence ids,EV-VN-S036-0052;EV-VN-S036-0053;EV-VN-S036-0064;EV-VN-S036-0065;EV-VN-S036-0070;EV-VN-S036-0071;EV-VN-S036-0120,EV-RMR-1217;EV-RMR-1218;EV-RMR-1219,= CL-19,CITED (form of the law: Duvaut–Lions — [14] de Borst et al. 2012); calibration (tables 1–8 of VKM-SRC-036) — ORIGINAL,DERIVATION,MODEL_CALIBRATED,TEXT_LAYER/VISUAL_READ,v1 (see provenance_verification.csv),per v1,specimen scale only; τ decreases with load level,CANDIDATE_LAB_LAW — REGISTERED_NOT_USED,"[fix 26.09 PRIMARY_SECONDARY-009] form of the law is a textbook/cited constitutive model; only the calibration is original. [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «LAB_CALIBRATED», kept in calibration_experiment)→MODEL_CALIBRATED; scale LAB→CALIBRATED_EFFECTIVE_MODEL. proposed by agent A (pass 4) | OGS mapping (v1): not available (as CL-18); with MC the local problem is closed-form (implementation-friendly)"
MR-RHEO-CL-20,"overstress viscoplasticity, Perzyna",viscoplastic Perzyna,ODE,λ̇ = (1/η)·[σe/σy − 1]^(1/m) (eq. 34-35),,"LAB: MC: η = 3.5e3/1e4/1e4/1.6e4/2.2e4/2.8e4 h, m = 0.4 (p ≤ 0.6) / 0.3; volumetric: η = 3.0e4/1.6e5/3.4e5/8.6e5/1.1e6/1.6e6 h, m = 0.4 | MASSIF/EFFECTIVE: none",LAB_CALIBRATED,red sylvinite (deposit not stated),as CL-18; m → 0 doubles the yield point (authors),see stress_range/notes,none,CALIBRATED_EFFECTIVE_MODEL,GENERAL_METHOD (LAB),VKM-SRC-036,see v1 evidence ids,EV-VN-S036-0072;EV-VN-S036-0073;EV-VN-S036-0076;EV-VN-S036-0077;EV-VN-S036-0082;EV-VN-S036-0091;EV-VN-S036-0092;EV-VN-S036-0096;EV-VN-S036-0097;EV-VN-S036-0121,EV-RMR-1220;EV-RMR-1221;EV-RMR-1222;EV-RMR-1223,= CL-20,CITED (form of the law: Perzyna — [12]–[14]); calibration (tables 1–8 of VKM-SRC-036) — ORIGINAL,DERIVATION,MODEL_CALIBRATED,TEXT_LAYER/VISUAL_READ,v1 (see provenance_verification.csv),per v1,specimen scale only; η increases 8–50× with load level,CANDIDATE_LAB_LAW — REGISTERED_NOT_USED,"[fix 26.09 PRIMARY_SECONDARY-009] form of the law is a textbook/cited constitutive model; only the calibration is original. [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «LAB_CALIBRATED», kept in calibration_experiment)→MODEL_CALIBRATED; scale LAB→CALIBRATED_EFFECTIVE_MODEL. proposed by agent A (pass 4) | OGS mapping (v1): not available (as CL-18)"
MR-RHEO-CL-21,"overstress viscoplasticity, Perić ('Pierce' in ANSYS)",viscoplastic Perić,ODE,λ̇ = (1/η)·[(σe/σy)^(1/m) − 1] (eq. 49),,"LAB: MC: η = 1e5 h at all p, m = 0.25/0.3/0.28/0.3/0.28/0.28; volumetric: η = 2.2e5/1.9e6/5.9e6/2.1e7/3.9e7/6.8e7 h, m = 0.3 | MASSIF/EFFECTIVE: none",LAB_CALIBRATED,red sylvinite (deposit not stated),as CL-18; recovers the yield surface for m → 0,see stress_range/notes,none,CALIBRATED_EFFECTIVE_MODEL,GENERAL_METHOD (LAB),VKM-SRC-036,see v1 evidence ids,EV-VN-S036-0098;EV-VN-S036-0099;EV-VN-S036-0100;EV-VN-S036-0105;EV-VN-S036-0108;EV-VN-S036-0109;EV-VN-S036-0116;EV-VN-S036-0117;EV-VN-S036-0122;EV-VN-S036-0123;EV-VN-S036-0150,EV-RMR-1224;EV-RMR-1225;EV-RMR-1226;EV-RMR-1227;EV-RMR-1230,= CL-21,CITED (form of the law: Perić — the source cites [8] Findley et al. 1989 (linear viscoelasticity; probable citation error: formulation in [12])); calibration (tables 1–8 of VKM-SRC-036) — ORIGINAL,DERIVATION,MODEL_CALIBRATED,GRAPH_DIGITIZED_APPROX/TEXT_LAYER/VISUAL_READ,v1 (see provenance_verification.csv),per v1,specimen scale only; the MC variant is the only near load-invariant set — still not a massif law,CANDIDATE_LAB_LAW (authors' preferred) — REGISTERED_NOT_USED,"[fix 26.09 PRIMARY_SECONDARY-009] form of the law is a textbook/cited constitutive model; only the calibration is original. [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «LAB_CALIBRATED», kept in calibration_experiment)→MODEL_CALIBRATED; scale LAB→CALIBRATED_EFFECTIVE_MODEL. proposed by agent A (pass 4) | OGS mapping (v1): not available (as CL-18)"
MR-RHEO-N01,Linear hereditary creep (Boltzmann–Volterra) with Abel kernel and Erzhanov creep function — general form reviewed by Лебедева,linear hereditary (Abel power kernel),HEREDITARY,ε(t) = (1/E)(σ(t) + ∫_0^t K(t−τ)σ(τ)dτ) (1.3); K(t−τ) = δ(t−τ)^−α (1.4); Φ = δ·t^(1−α)/(1−α) (1.5),(1.3)-(1.5),"α dimensionless, 0<α<1; δ>0, [с^(−1+α)] — no values in §1.1 (values only in the normative §1.2 → CL-06)",none (review),salt rocks (general),linear in stress (superposition); source itself notes tests require nonlinear behaviour (p.19),not stated,not stated,NOT_APPLICABLE,GENERAL_METHOD,VKM-SRC-012,"pp.17-18, eqs (1.3)-(1.5), refs [101],[4,12,19],[19,20]",EV-VN-S012-0039;EV-VN-S012-0040;EV-VN-S012-0041;EV-VN-S012-0042;EV-VN-S012-0045,EV-RMB-0039;EV-RMB-0040;EV-RMB-0041,"general form of CL-06 (same kernel; CL-06 carries the normative α, δ)","CITED ([101]; [4,12,19]; Ержанов [19,20])",FACT,LITERATURE_CITED,OCR_VISUALLY_CONFIRMED/TEXT_LAYER,YES,HIGH,form only; parameters for SKRU-1 UNKNOWN,STRUCTURAL_ALTERNATIVE (form),Φ is the integral of the kernel although the text calls it «ядро ползучести» (terminology only). Claim p.19 (EV-VN-S012-0045): tests indicate nonlinear behaviour must be accounted for → linear hereditary model is a simplification.
MR-RHEO-N02,Shear creep law of thin clay contacts of salt rocks (threshold + Abel kernel) and its relaxation form,linear hereditary (Abel kernel) with creep threshold — interface law,HEREDITARY,"τн = σ·tgφн (tgφн = 0,43); u(t) = u1 + u2(t), u1 = (τ − σ·tgφн)/Ks (5.14); u(t) = τ′/Ks + (1/Ks)∫_0^T L(T,t)·τ′dt (5.15); L = δ(T − t)^−α; u(t) = [(τ − σ·tgφн)/Ks]·[1 + Φt], Φt = δ/(1 − α)·t^(1−α) (5.16); τ(t) = (τ − σ·tgφн)/(1 + Φt) + σ·tgφн (5.17)",(5.14)-(5.17),"α = 0,7 (-); δ = 0,013 с^(α−1) AS PRINTED (creep curves plotted in сутки → time-unit ambiguity); tgφн = 0,43 (-); Ks not given for this law","direct shear creep on modified soil shear device ПСГ, constant normal and shear load by dead weights; 2–3 сут per step; n = 3 specimens; artificial thin clay contact of salt rocks",тонкий глинистый контакт соляных пород (ВКМ; mine not stated),"σ = 0,30…0,70 МПа; τ = 0,15…0,70 МПа",≈0…33 сут (Рис. 5.12),not stated,LAB,VKM_REGIONAL,VKM-SRC-025,"§5.5 pp.149-151, eqs (5.14)-(5.17), Рис. 5.12-5.13",EV-VN-S025-0833;EV-VN-S025-0831;EV-VN-S025-0826;EV-VN-S025-0829;EV-VN-S025-0830;EV-VN-S025-0832;EV-VN-S025-0825;EV-VN-S025-0820;EV-VN-S025-0821;EV-VN-S025-0909,,"NEW (not in v1 registry): interface analogue of CL-06 (same Abel kernel α = 0,7 as the normative massif law)",ORIGINAL (5.14)-(5.16); (5.17) per [64],DERIVATION,CALCULATED_BY_AUTHOR,OCR_VISUALLY_CONFIRMED/VISUAL_READ,YES,HIGH,"VKM_REGIONAL LAB interface law; normal stresses (≤0,7 МПа) far below in-situ levels at 300–400 m → extrapolation to bedding contacts in the massif is UNVERIFIED",CANDIDATE_LAB_LAW (interfaces),"[fix 26.09 D-01/TRANSFER-002] evidence_type MODEL_CALIBRATED→CALCULATED_BY_AUTHOR, status FACT→DERIVATION: empirical law/parameters fitted by the author to specimen tests (LAB). Only creep law for bedding/clay CONTACTS in the corpus. Threshold creep: below τн creep negligible. δ unit printed с^(α−1) while curves are in days — must be resolved on the rendered page before any use (UNIT_DOUBT)."
MR-RHEO-N03,Rate-dependent peak shear strength of salt-rock contacts,"rate-dependent strength (viscous-type, exponential in shear rate)",ALGEBRAIC,τp(u̇) = Cp + σ·tgφp·e^(−(a/u̇)^(1/4)); a = 10^−9 м/с,(5.13),"a = 10^−9 м/с (empirical); Cp, φp — not given for this law","direct shear of artificial contacts at u̇ = 8,0·10^−8; 2,0·10^−7; 4,0·10^−7 м/с and σ = 0,1; 0,3; 0,5 МПа (p.147)",искусственный контакт каменной соли / соляных пород,"σ = 0,1–0,5 МПа",shear rates 8e-8…4e-7 м/с,not stated,LAB,VKM_REGIONAL,VKM-SRC-025,"§5.4 p.147-148, eq. (5.13)",EV-VN-S025-0818;EV-VN-S025-0806,EV-RMR-0945,NEW row (v1 had it only as parameter EV-RMR-0945),ORIGINAL,DERIVATION,CALCULATED_BY_AUTHOR,OCR_VISUALLY_CONFIRMED/VISUAL_READ,YES,HIGH,LAB interface; the source links rate dependence to long-term strength of contacts,CONTEXT_ONLY / interface strength,"[fix 26.09 D-01/TRANSFER-002] evidence_type MODEL_CALIBRATED→CALCULATED_BY_AUTHOR, status FACT→DERIVATION: empirical law/parameters fitted by the author to specimen tests (LAB). Text says «эмпирические зависимости» (plural) but only one equation is printed."
MR-RHEO-N04,Creep-stage regime map of VKM salts by loading level K = σ/σпр,creep-stage thresholds (decaying / steady / progressive),EMPIRICAL_TABLE,"затухающая: к.соль 0,6σпр; сильвинит 0,4σпр; карналлит 0,2σпр | установившаяся: к.соль 0,7–0,8σпр; сильвинит 0,5σпр; карналлит 0,3σпр | прогрессирующая: к.соль 0,9σпр; сильвинит 0,6–0,9σпр; карналлит 0,4–0,6σпр",Рис. 6.3,K = σ/σпр (-); σпр = conditionally-instantaneous UCS at 1 мм/мин (p.153),"uniaxial constant-load creep, ≥3 specimens per level, ≈40 сут main series, load ⊥ bedding (p.153); presses «Энерпред»",каменная соль; красный сильвинит; карналлит (пласт В сл.2 for carnallite),"K = 0,2–0,9",≈40 сут (main series),"not stated (room temperature implied, not printed)",LAB,VKM_REGIONAL,VKM-SRC-025,"§6.1 pp.152-156, Рис. 6.3",EV-VN-S025-0848;EV-VN-S025-0837;EV-VN-S025-0840;EV-VN-S025-0842;EV-VN-S025-0849,EV-RMR-1159,supports stress-range limits of CL-01 and CL-02 (v1 EV-RMR-1159),ORIGINAL,FACT,LAB_TEST,OCR_VISUALLY_CONFIRMED/VISUAL_READ,YES,HIGH,LAB; K relative to specimen σпр; massif σпр unknown,CONSTRAINT_CHECK (regime boundaries),Test duration (~40 сут) is too short for complete failure at steady creep (p.154).
MR-RHEO-N05,Creep-failure strain criterion and linear extrapolation of time to failure (above long-term strength),failure criterion (constant failure strain) + linear creep extrapolation,ALGEBRAIC,failure when creep strain reaches the strain at residual strength of the conditionally-instantaneous test; above σдл creep curves ≈ linear → t_failure extrapolated,(no number) pp.155-156,no numeric coefficients printed,same creep series as Рис. 6.3,каменная соль (time-to-failure computations),K above long-term strength,extrapolated failure points ~100–300 сут exceed ~40 сут tests,not stated,LAB,VKM_REGIONAL,VKM-SRC-025,"§6.1 pp.155-156, Рис. 6.4",EV-VN-S025-0851;EV-VN-S025-0852;EV-VN-S025-0853,,method behind the long-term-strength curves feeding CL-02,ORIGINAL (criterion supported by [30]),MODEL_CHOICE,CALCULATED_BY_AUTHOR,OCR_VISUALLY_CONFIRMED,YES,MEDIUM,method only,CONTEXT_ONLY,"Long-term strength points for rock salt partly EXTRAPOLATED, not observed."
MR-RHEO-N06,Accelerated creep–relaxation method of long-term strength with empirical relaxation correction function,relaxation law (empirical saturation function),ALGEBRAIC,K_t1^корр = Δσt/Δσпол (6.2); σпр − σ∞ = (σпр − σ∞t1)/K_t1^корр (6.3); K_t^∞ = 1 − (1/K_t1^корр)·[1 − K_t^1] (6.4); K_t1^корр = (1 − exp(−a·t1))^n (6.5),(6.2)-(6.5),"a = 0,628 сут^−1; n = 0,122 (mean values)","relaxation tests 3–4 сут on Zwick/Roel-250 (250 кН); loading to point A = 50–80 % σпр, then creep-relaxation mode (modified Вялов method); specimens d = 42 мм, h = 84 мм",каменная соль и сильвинит (calibration),σA = 50–80 % σпр,hours–1 сут accelerated test; 3–4 сут calibration,not stated,LAB,VKM_REGIONAL,VKM-SRC-025,"§6.2 pp.157-162, eqs (6.2)-(6.5), Рис. 6.7",EV-VN-S025-0871;EV-VN-S025-0866;EV-VN-S025-0868;EV-VN-S025-0869;EV-VN-S025-0859;EV-VN-S025-0860;EV-VN-S025-0861;EV-VN-S025-0862;EV-VN-S025-0865;EV-VN-S025-0870;EV-VN-S025-0877,EV-RMR-1109;EV-RMR-1110;EV-RMR-1111;EV-RMR-1112,method that produced CL-02 Table 6.2 values (v1 EV-RMR-1109..1112),"ORIGINAL (modification of Вялов [30,50])",DERIVATION,CALCULATED_BY_AUTHOR,OCR_VISUALLY_CONFIRMED/VISUAL_READ,YES,HIGH,LAB method; “true” σ∞ is an EXTRAPOLATION to infinite relaxation,CONTEXT_ONLY (method provenance of CL-02),"[fix 26.09 D-01/TRANSFER-002] evidence_type MODEL_CALIBRATED→CALCULATED_BY_AUTHOR, status FACT→DERIVATION: empirical law/parameters fitted by the author to specimen tests (LAB). (6.2) numerator printed Δσt while defined for Δσt1 (notation)."
