idc_id,tier,phenomenon_class,phenomenon,mechanism_causal_path,location_scale,site_scope,quantitative_evidence,linked_mech_rows,linked_rheo_rows,causal_relevance,evidence_strength,status,evidence_type,source_id,locator,vn_ids,prev_evidence_ids,extraction_method,confidence,applicability_SKRU1,notes
MR-IDC-0049,B_RECORD,damage_zone_microcracking,descending filtration along subvertical linear fracture zones to top of salt; karst,"watershed recharge + subvertical fracture zone → fast downward flow → karst; fresh-water zone thickens under watersheds, depressions on mineralized-water surface; in discharge areas mineralized-water surface dome-shaped [26, 259]",deposit: ВКМС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,INTERPRETATION | interval testing of watershed boreholes: piezometric level decreases with depth (Е.А. Иконников),FACT,INTERPRETATION,VKM-SRC-011,p.38 текст с.75,EV-VN-S011-0703,EV-GEO-0134,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0050,B_RECORD,damage_zone_microcracking,deformation-activated opening of clay-clogged fractures → salt-aggressive water to salt top,"periods of activation of deformation of salt stratum → opening of clay-clogged lower parts of subvertical fracture zones (normally impermeable) → salt-aggressive water from watersheds reaches salt → leaching/karst; upper parts always permeable (karst in carbonates, clay washing)",deposit: ВКМС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,INTERPRETATION | author's hypothesis ('вероятно'),FACT,INTERPRETATION,VKM-SRC-011,p.38 текст с.75,EV-VN-S011-0712,EV-GEO-0134,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Hydro-mechanical coupling hypothesis: mining/deformation could open protective barrier — relevant to water-protective strata (ВЗТ) integrity.
MR-IDC-0051,B_RECORD,bedding_contact_slip_delamination,karst cavities at salt contact in SKRU-1 shaft No. 1,"При проходке ствола шахты № 1 рудника СКРУ-1 через контактовую зону (после цементации) в соли обнаружены каверны и пустоты, заполненные цементом, ранее содержавшие рассолы — вода рассольного горизонта в крупных кавернах и полостях.",working: ствол шахты № 1 СКРУ-1 | scale FIELD,SKRU1,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),CITED,FACT,LITERATURE_CITED,VKM-SRC-011,p.39 текст с.76,EV-VN-S011-0719,EV-GEO-0137,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),SITE-SPECIFIC SKRU-1,Direct SKRU-1 evidence of karst voids in salt top at shaft 1; shaft sinking date not given here.
MR-IDC-0052,B_RECORD,roof_failure,geometry of weakened/disintegrated rock bodies above salt,"Тела дезинтегрированных (ослабленных) пород у кровли солей: субгоризонтальная лента с линзовидным поперечным сечением — вдоль линейных зон трещиноватости (дробление + выщелачивание по субвертикальным зонам, поступление пресных вод к карстующимся солям/гипсам).",deposit: ВКМС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,INDIRECT/LOCAL: roof falls change effective span and fill chambers with bulked rock (reduces void convergence); primarily workings stability,INTERPRETATION,MODEL_CHOICE,INTERPRETATION,VKM-SRC-011,p.39 текст с.76,EV-VN-S011-0724,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Conceptual geometry usable as a 3D world structural element (weak-zone ribbon at salt top along fault zones).
MR-IDC-0053,B_RECORD,flooding_dissolution_sinkhole,BKPRU-3 1986 inrush — local brine accumulation at salt top,"Индикаторы: K фильтрации СМТ у контакта выше, чем в верхней части СМТ (обычно наоборот); субвертикальная зона трещиноватости (разд. 1.3.3); формы выщелачивания в гипсах СМТ; много H2S в рассолах в начале затопления; температура поступавших рассолов +7,5 °C близка к водам рассольного горизонта; огромный объём (>250 тыс. м3) насыщенных растворов до 10.03.1986.","mine_field: БКПРУ-3 (участок прорыва, блок № 8) | scale NOT_APPLICABLE",BKPRU3,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,INTERPRETATION,FACT,INTERPRETATION,VKM-SRC-011,p.39 текст с.76-77,EV-VN-S011-0725,EV-GEO-0138,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: BKPRU3,
MR-IDC-0054,B_RECORD,flooding_dissolution_sinkhole,BKPRU-3 flooding: >250 thousand m3 saturated brines entered mine by 1986-03-10,type flooding; 1986-01–1986-03-10; object: рудник БКПРУ-3,mine: БКПРУ-3 | scale NOT_APPLICABLE,BKPRU3,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,FIELD_OR_LAB_MEASURED,FACT,MEASURED,VKM-SRC-011,p.39 текст с.77,EV-VN-S011-0728,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: BKPRU3,
MR-IDC-0055,B_RECORD,clay_interlayer_mechanics,пласт МГ (маркирующая глина) within upper ПдКС,lithology: clay (marker clay seam); thickness: not given in this chunk; notes: reference horizon for positions of lower markers,deposit: ВКМС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT: clay interlayers reduce pillar/interseam bearing capacity and stiffness → higher loading degree C → faster pillar creep → faster subsidence; also control roof delamination,QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-011,p.42 §2.1 с.82-83,EV-VN-S011-0817,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0056,B_RECORD,bedding_contact_slip_delamination,hypergene karst on salt uplifts,meteoric water contact with salt at uplifts → leaching of K-Mg salts → zonation carnallite → sylvinite → rock salt → gypsum-clay cap,deposit: ВКМС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),INTERPRETATION | lithological maps of karst areas,FACT,INTERPRETATION,VKM-SRC-011,p.46 §2.2 с.91,EV-VN-S011-0871,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0057,B_RECORD,clay_interlayer_mechanics,SKRU-1 seam B lithology contacts,"Fig. 2.14 (four sketches a-г, scale bars 3 m) documents cross-cutting contacts of variegated sylvinite with carnallite rock in seam Б at the SKRU-1 mine, drawn relative to the contour of the mine working (legend 8); includes red sylvinite, banded sylvinite, rock salt, salt-clay interlayers. Evidence that seam Б at SKRU-1 has metre-scale carnallite/sylvinite heterogeneity within the working contour.","working: СКРУ-1, пласт Б (выработки) | scale FIELD",SKRU1,,,,DIRECT: clay interlayers reduce pillar/interseam bearing capacity and stiffness → higher loading degree C → faster pillar creep → faster subsidence; also control roof delamination,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.49 Рис. 2.14,EV-VN-S011-0981,EV-GEO-0144,VISUAL_READ,HIGH (class AUTO_ASSIGNED by keyword rules — verify),SITE-SPECIFIC SKRU-1,
MR-IDC-0058,B_RECORD,geological_weak_zone,hypergene karst (dissolution) of salt top on swell crests,"groundwater dissolution destroyed upper salt sequence incl. potash on crests of swells -> gypsum-clay caps (кепроки) with 'hematite interlayers' as residues of former potash seams (skv. 657, 451, 658, 660, 542, 274 on Ereminsky; 519, 649 on Kosikovsky); absence in trough thalwegs/slopes explained in Ch. III by the trough-forming mechanism",geological_element: Ереминский и Косиковский валы | scale FIELD,VKM_REGIONAL,,,,"INDIRECT (spatial prior): tectonic/karst/replacement zones localise fracturing, WPS weakening and faster subsidence",FIELD_OBSERVED | borehole observations of caps and hematite interlayers,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.61 стр. 121,EV-VN-S011-1185,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0059,B_RECORD,bedding_contact_slip_delamination,delamination fractures (SKRU-1 relevant),"Concordant delamination (отслоение) fractures - detachments accompanying longitudinal-compression folding, most frequent on domes - often occur in intensely folded areas of SKRU-1, SKRU-2, BKPRU-1 fields; follow clay-anhydrite interlayers; length several m, aperture usually first cm up to 20 cm, extend 1-2 m into massif; usually gas-filled (gas emission on opening sometimes lasting several days), less often filled with brown intrasalt brines; walls coated by secondary carnallite, sylvite, halite, gypsum; adjacent rocks sometimes bleached, recrystallized, partly replaced (sylvinite by rock salt). BKPRU-1 fracture-cavities described by Golubev [59].","mine_field: СКРУ-1, СКРУ-2, БКПРУ-1 | scale FIELD",VKM_REGIONAL,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.67 стр. 132,EV-VN-S011-1414,EV-GEO-0157,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Explicit SKRU-1 mention; parameters not split by mine.
MR-IDC-0060,B_RECORD,bedding_contact_slip_delamination,cross-cutting fracture systems,"Cross-cutting open fractures: orthogonal system dominant on uplifts (rose diagram Solikamsk uplift, Fig. 2.59a - near-meridional maximum), diagonal system in negative structures (Tveritinskaya mulde, Fig. 2.59б - NW maximum). Fold fractures: longitudinal (submeridional; mainly on salt uplifts, in hinge zones; seams А to Г; length 0,5-20,0 m, gape 2,0-20 cm), transverse (sublatitudinal; steep 80-90°; length 1-16 m, height ≤2,0 m, aperture 1-8 cm; small-amplitude normal/strike-slip offsets), diagonal (NE/NW; en echelon 0,5-10,0 m; aperture ≤1,0 cm; dips 35-90°).",deposit: ВКМКС | scale FIELD,VKM_REGIONAL,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,"p.67 стр. 133, Рис. 2.59",EV-VN-S011-1418,EV-GEO-0158,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0061,B_RECORD,bedding_contact_slip_delamination,gas release from fractures on exposure by mining,"open/closed fractures (delamination, sublateral, NE shear, tension) store gas and brines -> mining exposure -> gas emission (hours to several days), brine seepage -> relevant for gas-dynamic hazard and fluid pathways; fractures are potential weakness planes in chamber roofs",mine_field: ВКМКС рудники | scale FIELD,VKM_REGIONAL,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),FIELD_OBSERVED | qualitative field observations,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.68 стр. 132-135,EV-VN-S011-1435,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0062,B_RECORD,damage_zone_microcracking,shear fracture No.1: offsets and fluids,"Fracture No.1 (SKRU-3 panel 8, blocks 9-10): left-lateral offsets with horizontal amplitude up to 2 cm in several places; per senior mine geologist V.A. Shabakin, minor brine shows were observed along the fracture while driving the exploration working, and after driving its eastern part the mine atmosphere had elevated methane and hydrogen for 2-3 days.","working: СКРУ-3 панель 8, трещина № 1 | scale FIELD",SKRU3,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.69 стр. 137,EV-VN-S011-1437,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0063,B_RECORD,pillar_failure_progressive_creep,gpr,"{""survey"": ""GPR (георадар) detection of shear fractures in chambers/pillars"", ""site"": ""SKRU-3 east flank, site 18 (block 2, panel 4) - dashed red lines between chambers 162-168 in Fig. 2.67б"", ""author_date"": ""O.N. Kovin, 2002"", ""result"": ""hidden fractures not visible in workings detected by GPR, with same NW orientation as observed fractures"", ""parameters"": ""antenna/frequency/depth not given""}",panel: СКРУ-3 блок 2 панель 4 | scale FIELD,SKRU3,,,,"DIRECT: pillar creep/failure regime (rigid vs yielding, tertiary creep) governs the rate and possible acceleration of surface subsidence",FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.70 Рис. 2.67б,EV-VN-S011-1453,,VISUAL_READ,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0064,B_RECORD,damage_zone_microcracking,gas release and spacing of shear fractures (site 18),"On exposure of shear fractures strong short-term gas releases with sharp pops often observed; fracture spacing 1-25 m, mean 4-10 m; blocks between visible fractures are cut by hidden fractures of the same orientation (detected e.g. by GPR).",panel: СКРУ-3 участок 18 | scale FIELD,SKRU3,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.70 стр. 139,EV-VN-S011-1456,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0065,B_RECORD,damage_zone_microcracking,hidden fractures (cleavage) and lab specimens,"Hidden fractures (cleavage) manifest as parting fractures under technogenic deformation at stress concentrations (junctions of workings) and when monoliths are sawn into specimens (apparently intact samples fall apart); visible on faces of specimens prepared for lab physico-mechanical tests. Example: banded sylvinite monolith (seam A) from E wall of chamber 168, 20 m from mouth (SKRU-3 site 18) - no visible fractures (nearest visible fracture 12,5 m W), but specimens show thin cleavage fractures 0,5-1,5 cm apart, non-through-going (Fig. 2.73, photo L.V. Andreyko).","specimen: СКРУ-3 камера 168, пласт А | scale LAB",SKRU3,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,"p.71 стр. 140-141, Рис. 2.73",EV-VN-S011-1461,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0066,B_RECORD,roof_failure,conclusions on fractures SKRU-3 east,"SKRU-3 east: most cross-cutting fractures between floor of seam А and roof of seam Б-В; all cross-cutting fractures are tectonic (natural): secondary mineralization on walls, filling by gases under high pressure, orientation unrelated to workings geometry; tension fractures have wider strike range (NW to NE) than shear; shear fractures develop in relatively stiff rocks (rock salt, variegated and banded sylvinite); fold axes and shear-fracture strikes differ; blocks between visible shear fractures have hidden cleavage of the same orientation, which may open due to mining. First for VKM: spatial link between a fracture zone in the salt sequence and a specific large fault (No.170).","mine_field: СКРУ-3 восточная часть, разлом № 170 | scale FIELD",SKRU3,,,,INDIRECT/LOCAL: roof falls change effective span and fill chambers with bulked rock (reduces void convergence); primarily workings stability,INTERPRETATION,DERIVATION,INTERPRETATION,VKM-SRC-011,p.71 стр. 141,EV-VN-S011-1464,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0067,B_RECORD,dynamic_failure,mining-induced opening of pre-existing tectonic cleavage / shear fractures,"tectonic fault No.170 -> shear/tension fracture zone + hidden cleavage in stiff salt layers (А to Б-В) -> excavation stress redistribution at junctions -> cleavage opens, gas under high pressure released (gas-dynamic hazard, cf. 'очаг ГДЯ' on Fig. 2.71) -> reduced strength/anisotropy of pillars and roofs",mine_field: СКРУ-3 | scale FIELD,SKRU3,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,FIELD_OBSERVED | field observations SKRU-3; mechanism statement qualitative,FACT,FIELD_OBSERVATION,VKM-SRC-011,"p.71 стр. 141, Рис. 2.71",EV-VN-S011-1465,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0068,B_RECORD,dynamic_failure,gas-dynamic event focus on shear fracture,"Fig. 2.71 (roof sketch of chambers 169, 171, 173, block 2, panel 4, SKRU-3; scale 1-4-8 m) shows a through-going NW shear fracture crossing the three chambers and a point labelled 'очаг ГДЯ' (focus of a gas-dynamic phenomenon) on the fracture at the E side of chamber 173 near the extraction drift; roof lithology: rock salt Б-В and variegated sylvinite Б with syncline/anticline axes. The ГДЯ is not described in the text.","chamber: СКРУ-3 камеры 169, 171, 173 | scale FIELD",SKRU3,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.71 Рис. 2.71,EV-VN-S011-1466,,VISUAL_READ,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0069,B_RECORD,damage_zone_microcracking,healed fractures in SKRU-1 productive seam,"Secant and interbed-parallel carnallite/halite veins (healed fractures, cm to ~10 cm scale) are documented in seam V-G at SKRU-1.","seam: пласт В-Г, рудник СКРУ-1 | scale FIELD",SKRU1,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,"p.73 Рис. 2.82 б-г, с.145",EV-VN-S011-1484,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),SITE-SPECIFIC SKRU-1,
MR-IDC-0070,B_RECORD,damage_zone_microcracking,boudinage geometry,Near the centre of the Tveritinskaya depression (panels 1 and 3 of SKRU-3) MG is split into parallelogram/trapezoid boudins 2–3 to 10 m; end faces inclined 30–70° (shear boudinage) or subvertical (tension boudinage); fracture opening up to 0.5 m; filled with orange fibrous halite with pyrite; rotated MG fragments.,panel: 1-я и 3-я панели СКРУ-3 (центр Тверитинской впадины) | scale FIELD,SKRU3,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.74 с.147,EV-VN-S011-1497,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,
MR-IDC-0071,B_RECORD,dynamic_failure,geological-time ductile flow of rock salt vs brittle failure of clay/anhydrite interbeds (boudinage),tensile stress in negative structure -> brittle rupture of MG and thick clay interbeds -> rock salt flows into gaps without loss of continuity,geological_element: Тверитинская впадина | scale NOT_APPLICABLE,SKRU3,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,"INTERPRETATION | field observations in mine workings (Tveritinskaya depression), author interpretation",FACT,INTERPRETATION,VKM-SRC-011,p.75 с.148,EV-VN-S011-1503,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU3,"Supports mechanical-contrast layering (brittle interbeds in ductile salt) for a 3D world; geological strain rates, not mining time scale."
MR-IDC-0072,B_RECORD,bedding_contact_slip_delamination,kink-band (type C) formation with fluid-assisted replacement,triaxial compression with sigma1 parallel/acute to bedding -> kink bands in layered sylvinite -> microfracture opening -> transit aqueous solutions -> sylvite replaced by halite,seam: пласт А (полосчатые сильвиниты) | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),"INTERPRETATION | structural analogy with literature [3,289,314] + field textures; author notes unresolved discrepancy (angle <90°)",FACT,INTERPRETATION,VKM-SRC-011,p.75 с.149,EV-VN-S011-1508,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Paleo-stress: horizontal compression parallel to bedding implied (qualitative).
MR-IDC-0073,B_RECORD,bedding_contact_slip_delamination,most mobile layers,"Granular halite interbeds and orange-pink sylvite interbeds acted as slip surfaces along which packets moved, producing disharmonic folding (Khod'kova [33]).",deposit:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),CITED,FACT,LITERATURE_CITED,VKM-SRC-011,"p.76 с.150, цитата [33, с.119-121]",EV-VN-S011-1514,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0074,B_RECORD,interseam_failure,local plicative-rupture structure (micro-diapir),"In large negative structures halopelite packs of lower interseam rock salt are ruptured and filled by sylvinite from below; at BKPRU-2 a ~40 cm rupture over KrII filled by layer-1 sylvinite, flow affecting 0.6–0.7 m of seam, micro-diapir with interbed dips up to 55°; granular halite interbed up to 8 cm; crosscutting fractures up to 5 cm filled with pink fibrous halite.","site: центральная часть Дурыманского прогиба, кровля пласта КрII | scale FIELD",BKPRU2,,,,"DIRECT (multi-seam): interseam failure transfers load between seams, increases effective extraction height and pillar height → loading degree ↑",FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.76 с.150-151; Рис. 2.91,EV-VN-S011-1515,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: BKPRU2,
MR-IDC-0075,B_RECORD,roof_failure,roof fall in a working in upper ПдКС (SKRU-2),A roof fall (вывал из кровли) occurred in a mine working driven in the upper packet of ПдКС on horizon –220 m of SKRU-2; a >10 cm white spar halite single crystal was found in the fallen material; exact position unknown.,"working: выработка по верхней пачке ПдКС, гор. –220 м, СКРУ-2 | scale FIELD",SKRU2,,,,INDIRECT/LOCAL: roof falls change effective span and fill chambers with bulked rock (reduces void convergence); primarily workings stability,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.80 с.159,EV-VN-S011-1555,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU2,Evidence of (a) SKRU-2 workings driven in upper ПдКС at hor. –220 m; (b) a roof-fall event (date unknown).
MR-IDC-0076,B_RECORD,roof_failure,roof fall (вывал из кровли) in a working in upper packet of ПдКС,"type accident; None–None; object: СКРУ-2, гор. –220 м","working: гор. –220 м, СКРУ-2 | scale FIELD",SKRU2,,,,INDIRECT/LOCAL: roof falls change effective span and fill chambers with bulked rock (reduces void convergence); primarily workings stability,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.80 с.159,EV-VN-S011-1556,,TEXT_LAYER,LOW (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU2,
MR-IDC-0077,B_RECORD,dynamic_failure,blower gas emission (суфляр) duration/character,"method other; values: weak emissions tied to clay interlayers, crackling and hissing; duration up to half a year; dates: not dated","block: BKPRU-4 2nd NE panel, 8th eastern block, seam AB | scale FIELD",BKPRU4,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.98 p.195,EV-VN-S011-1696,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: BKPRU4,
MR-IDC-0078,B_RECORD,interseam_failure,"gas emission (blower) from 'коржевая' clay of interseam Б-В opened by chamber 195 right drive, seam AB; composition (mine services, vol.%): CO2 0.1; O2 0.6; CO 0.0015; CH4 2.95; H2 2.94; whistle audible at 15 m","type accident; 1993-11-29–1993-12-17; object: рудник СПКРУ-2 (as printed; = СКРУ-2?), 3-я северо-восточная панель, гор. –143 м, камера 195","chamber: SKRU-2 3rd NE panel, level −143 m, chamber 195 | scale FIELD",SKRU2,,,,"DIRECT (multi-seam): interseam failure transfers load between seams, increases effective extraction height and pillar height → loading degree ↑",FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-011,p.99 p.196,EV-VN-S011-1698,,OCR_VISUALLY_CONFIRMED,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU2,Mine printed as 'СПКРУ-2' (verified visually) — most likely Solikamsk mine 2 (СКРУ-2/СКПРУ-2); attribution flagged. Level −143 m is an absolute elevation of mining horizon.
MR-IDC-0079,B_RECORD,dynamic_failure,sudden salt-and-gas outbursts (ВВСГ) controlled by geological anomalies,"replacement zones (sylvinite->rock salt/salt clay), recrystallized interseam rock salt, pinching of seams, dips of КрII up to 10-12°, carnallite contours of seam Б -> gas accumulation + anomalous structure -> outburst on mining","seam: КрII, АБ at BKPRU-2/BKPRU-3 | scale FIELD",OTHER_VKM_SITE,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,"FIELD_OBSERVED | field statistics (>250 events), geochemical anomalies [4] (high gas, variable MgCl2, Br, CaSO4, Ba/Co/Mn in КрII roof)",FACT,FIELD_OBSERVATION,VKM-SRC-011,p.99 p.196-197,EV-VN-S011-1703,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: OTHER_VKM_SITE,Anomalous zones (replacement zones) matter for mechanical heterogeneity and gas hazard maps; SKRU-1 not mentioned.
MR-IDC-0080,B_RECORD,geological_weak_zone,hypergene salt karst controlled by drainage network,surface streams crossing crests of positive salt structures -> infiltration and leaching at crest -> salt mirror lowered; stream parallel to structure axis -> inverted trough (30–60 m deep) over dome crest; no streams -> no karst (northern uplifts),unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"INDIRECT (spatial prior): tectonic/karst/replacement zones localise fracturing, WPS weakening and faster subsidence",FIELD_OBSERVED | field/borehole observations [124],FACT,LITERATURE_CITED,VKM-SRC-011,"p.111 §3.5, p.220",EV-VN-S011-1806,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,[fix 26.09 PRIMARY_SECONDARY-023] evidence_type FIELD_OBSERVATION→LITERATURE_CITED: cited [124] of VKM-SRC-011 (reference list of the source is not numbered in the text layer; entry not resolved).
MR-IDC-0081,B_RECORD,geological_weak_zone,"tectono-karst formation of sublatitudinal negative structures (Durinsky, Borovitsky, Gulinsky, Usovsky troughs)","end-Hercynian (Permian–Triassic boundary) basement-block displacement; reactivation of Borovitsky and Durinsky deep faults -> first plicative folds in salt (Kosikovsky and Ereminsky swells, Fig.3.10б) -> at deformation limit faults cut salt (Fig.3.10в) -> salt fluid-seal breached -> intense discharge of subsalt groundwater (first elision waters of ГАТ: clay pore water and gypsum dehydration water; then deeper, less aggressive waters) -> dissolution of ПдКС then higher horizons -> smooth subsidence of remaining salt and whole oversalt complex (Fig.3.10г) -> linear subparallel troughs whose thalwegs coincide with faults at top of ГАТ; salts totally absent in centre of Gulinsky trough",unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"INDIRECT (spatial prior): tectonic/karst/replacement zones localise fracturing, WPS weakening and faster subsidence","INTERPRETATION | author's synthesis of structural (§2.4), mineralogical and mass-balance arguments",FACT,INTERPRETATION,VKM-SRC-011,"p.113 §3.5, p.224-225, Рис. 3.10",EV-VN-S011-1961,EV-GEO-0168,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
