conflict_id,variable_or_topic,values_as_printed,sources_locators,vn_ids,linked_ids,conflict_type,assessment,resolution_status,impact_on_worldspec
MR-CONF-011,Salt modulus definitions (elastic vs deformation vs normative),"lab mean E 13,8 ГПа (range 1–38) vs normative averaged E 800 МПа (sylvinite), 1500 МПа (rock salt) (Лебедева p.26); lab D 0,8–1,1 ГПа",VKM-SRC-012 p.26,EV-VN-S012-0067,v1 CF-007;MR-MECH modulus rows,DEFINITION;SCALE,Unloading elastic modulus vs total secant deformation modulus vs normative effective modulus — NON_COMPARABLE quantities (v1 CF-007).,EXPLAINED_DEFINITIONAL,Carry modulus type with every value.
MR-CONF-012,Deformation modulus of the same banded-sylvinite test rows,"h/d = 0,5: D = 0,83 (Табл. 3.3) vs Dпр = 0,32 (Табл. 3.4); h/d = 2,0: 1,81 vs 0,96 ГПа (σ, ε, M identical)","VKM-SRC-025 pp.82, 85",EV-VN-S025-0433,MR-MECH modulus rows VKM-SRC-025 pp.82-85,DEFINITION/INTERNAL,Probably D (tangent/initial) vs Dпр (secant at peak) — different definitions printed for identical rows.,EXPLAINED_DEFINITIONAL (probable),Keep both with modulus type.
MR-CONF-013,Carnallite strength shape factor,"(3.5) text: K_f = 0,50 + 0,96 d/h vs Табл. 3.1: 0,51 + 0,98 d/h (n = 42, seam В)","VKM-SRC-025 pp.70, 73",EV-VN-S025-0369,,INTERNAL,Rounding/transcription difference inside the source.,KEEP_BOTH,negligible
MR-CONF-014,UCS vs damage coefficient regression sign,"σсж = 21,20 + 4,74·Pv (4.9) printed positive slope vs text (damage reduces strength)",VKM-SRC-025 p.104,EV-VN-S025-0544,,INTERNAL,Visually confirmed as printed; physically inconsistent.,OPEN,Do not use (4.9) without the original data.
MR-CONF-015,Contact stiffness Km trend for homogeneous rock salt,"text: Km decreases with compressive stress vs Табл. 5.1: 2,3 → 3,2 → 3,7 ГПа/м (increases)",VKM-SRC-025 p.137,EV-VN-S025-0756,MR-MECH interface rows p.134-137,INTERNAL,Text vs table.,OPEN,Use table values; flag.
MR-CONF-016,Fracture toughness K_Ic of salt rocks — method dependence,"rock salt 0,67 (3-point bend [25]) vs 0,5–0,9 (microindentation [68], ПКС) vs 0,37 (own disc method); carnallite 0,12 vs 0,15 МПа·м^1/2",VKM-SRC-025 pp.167-169,EV-VN-S025-0934;EV-VN-S025-1144,MR-MECH fracture rows p.167-169,METHOD,Method-dependent values; [68] refers to covering rock salt (ПКС).,KEEP_ALL,Choose per method; no pooling.
MR-CONF-017,Long-term strength coefficient between monoliths of the same layer (КрII сл.5),"h/d = 2,0: K_t∞ 0,36 (Монолит-1, СКРУ-1) vs 0,52 (Монолит-2, СКРУ-3); σпр 21,9 vs 18,6; σ∞ 7,8 vs 9,7 МПа",VKM-SRC-025 p.163,EV-VN-S025-0895,MR-RHEO-N07;MR-MECH long_term_strength rows p.163,SITE;VALUE,Between-site (and between-monolith) variability; visually confirmed.,KEEP_BOTH (SKRU-1 value is Монолит-1),SKRU-1 site-specific lab value differs from SKRU-3 by ~45 %.
MR-CONF-018,Origin of Drucker–Prager creep parameters (БКПРУ-4 model),abstract: lab tests of rock samples | body p.5: fitted to field observations per SPMI NIR report [29],"VKM-SRC-016 pp.1, 5",EV-VN-S016-0004,MR-RHEO-CL-05,CITATION;METHOD,Calibration provenance ambiguous; A units not printed.,OPEN,Reference problem only.
MR-CONF-019,Perić law citation,"Perić model attributed to [8] (Findley et al. 1989, viscoelasticity) — formulation actually in [12] de Souza Neto et al. 2008 / Perić 1993",VKM-SRC-036 p.14,EV-VN-S036-0146,MR-RHEO-CL-21,CITATION,Citation mismatch; no numeric consequence.,EXPLAINED,none
MR-CONF-020,Unit weight in VKM design examples,"γ = 0,022 МН/м³ (§6.3–6.8) vs 0,021 МН/м³ (§6.9, 6.10); unit misprints «Н/м³», «мН/м³»; ore density 2,07 vs 2,08 т/м³; Филатова σv = 0,025·z","VKM-SRC-037 pp.88-121, 145-200; VKM-SRC-023 PARA 215",EV-VN-S037-0612;EV-VN-S037-0635;EV-VN-S037-1148,v1 CF-015;v1 CF-017;MR-MECH density rows,VALUE;UNIT;INTERNAL,Design rounding and misprints; teaching examples.,KEEP_ALL (design conventions),"Unit weight of overburden for SKRU-1 must come from lithology-specific evidence, not examples."
MR-CONF-021,Pillar collapse despite «relatively rigid» loading degree,"СКРУ-2 1995 mass collapse at C ≈ 0,32–0,36 (Филатова citing [27]) vs classification «relatively rigid» 0,3 ≤ C < 0,7 (Филатова) / normative admissible [C]",VKM-SRC-023 p.36; VKM-SRC-012 pp.31-34,EV-VN-S023-0177;EV-VN-S023-0175;EV-VN-S012-0142;EV-VN-S012-0155,v1 CF-006;MR-IDC 1995 collapse row,EMPIRICAL_VS_NORMATIVE,"Collapse occurred in a lithological transition (weak, gas-bearing) zone; C alone does not guarantee stability.",KEEP_BOTH,"Pillar-failure hazard must include weak-zone modifiers, not only C."
MR-CONF-022,Dates of flooding / inflow events,"SRC-023: 1986 assigned to both БКПРУ-3 and БКПРУ-1; СКРУ-2 inflow 2006 and 2014 | other sources: БКПРУ-3 1986, БКПРУ-1 2006 (Oct), СКРУ-2 2014","VKM-SRC-023 p.10, 35; VKM-SRC-025 p.19; VKM-SRC-040 pp.35-36; VKM-SRC-021 p.2",EV-VN-S023-0024;EV-VN-S023-0025;EV-VN-S025-0140;EV-VN-S025-0142;EV-VN-S040-0100,MR-IDC flooding rows,VALUE (dates),Secondary student thesis simplifies dates; primary-near sources agree on 1986/2006/2014.,RESOLVED_IN_FAVOUR_OF_PRIMARY (SRC-023 kept as secondary),chronology
MR-CONF-023,Rheological interpretation of geological salt flow,Coble diffusion creep / pressure solution (bulk) vs granoblastic fabric of strongly fluidal salts inconsistent with Rikke creep (superplastic/recrystallisation),"VKM-SRC-011 pp.76, 115, 179",EV-VN-S011-3931,MR-RHEO-CL-07,INTERPRETATION,Geological-time mechanisms; no engineering parameters.,KEEP_BOTH,context only
MR-CONF-024,"σHmax vs σv at 1,9–2,4 км (Соликамская впадина)","cited trend [12]: σHmax → γH below ~1,5 км | Табл. 2: σmax 25–40 МПа < σv 50–60 МПа | conclusion: vertical stress is maximum",VKM-SRC-030 p.5,EV-VN-S030-0062,MR-MECH in_situ_stress rows VKM-SRC-030,INTERNAL,Internal tension of one paper; depths far below the potash level.,KEEP (flagged),Deep regime only; not SKRU-1 mining depths.
MR-CONF-025,Definition of K* (stress-intensity measure of pillars),"SRC-033 (2011): max stress intensity over pillar height and width normalised to sylvinite UCS | SRC-032 (2022): K* at centre of vertical section, K = σi/σm (σm = massif strength)",VKM-SRC-033 p.2; VKM-SRC-032 p.2,EV-VN-S033-0017,,DEFINITION,"Same symbol, different definitions.",EXPLAINED_DEFINITIONAL,Do not compare K* across the two papers.
MR-CONF-026,[v1 CF-007] youngs_modulus,"Salt 'modulus' spans ~30×: lab elastic modulus 9–14 GPa and lab deformation modulus 0.8–1.1 GPa (Барях et al. 2008, Сильвинит mines), normative averaged moduli 0.5–1.5 GPa (Указания via Лебедева Table 1.1), БКПРУ-4 FE model 0.4 GPa (Беляков–Беликов), and Лебедева's calibrated factor 0.07 applied to Vp-derived moduli.",see v1 evidence ids,,EV-RMR-0056;EV-RMR-0055;EV-RMB-0066;EV-RMB-0072;EV-RMB-0009;EV-SYN-0011;EV-SYN-0012,DEFINITION;SCALE;CONSTITUTIVE_MODEL,NON_COMPARABLE: different quantities (unloading elastic vs total secant deformation modulus vs normative effective vs calibrated model values). Never averaged. Physical World v1 treats the effective continuum modulus as a ranged parameter with explicit scale status; lab E_el is not used directly as a massif modulus.,v1: NON_COMPARABLE_DOCUMENTED,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-027,[v1 CF-009] creep_law,"Creep-law forms differ across sources: power law of normalised stress for carnallite (Барях et al. eq. 6.1), exponential/power laws for interseam layers and roof convergence (Соловьев–Секунцов eqs 7.18, 7.34), Drucker–Prager strain-hardening creep (Беляков–Беликов, Abaqus), Abel hereditary kernel (normative methodology via Лебедева), Coble diffusion creep on geological time (Кудряшов).",see v1 evidence ids,,EV-RMR-1106;EV-RMR-1164;EV-RMR-1175;EV-RMB-0027;EV-RMB-0040;EV-RMB-0048;EV-GEO-0169,CONSTITUTIVE_MODEL;SCALE;TIME,Not contradictory values but different model families at different scales/materials; no single law is evidenced for ВКМ salt at massif scale. Physical World v1 keeps the creep law as a MODEL_CHOICE (RD-007) with power-law (BGRa-type) as the executable default and the family recorded as structural uncertainty.,v1: OPEN_QUESTION,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-028,[v1 CF-010] other:table_statistics,Барях et al. 2008 Table 2.2: printed SD of the 'каменная соль междупластий' row is ~10× (one cell ~100×) larger than CV × mean implies; the 'подстилающая каменная соль' block prints 'Минимальное значение' twice.,see v1 evidence ids,,EV-RMR-0036;EV-RMR-0042,TRANSCRIPTION_ERROR,Source typographical issues; values recorded as printed with flags; SD of that row not used.,v1: ACCEPTED_LIMITATION,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-029,[v1 CF-011] lateral_stress_ratio,"Initial horizontal stress at ВКМКС: (H-λ2) mean lateral stress ratio 0.71 obtained by ГИ УрО РАН with the acoustic-emission memory (Kaiser) effect, consistent with slot unloading [Лебедева p.27, printed [1] — her list gives the work as [2] Асанов–Токсаров 1999; the 0.71 is DERIVED from Kaiser-effect tests on vertical-borehole core with σv = γH and equal horizontal components assumed (Бельтюков pp.44-45)]; (H-λ3) near-hydrostatic initial field from hydrofracturing, electrometry and large-base measurements (Барях et al. [8], cited p.27) — λ≈1 has cited VKM-regional field support; Лебедева concludes both indicate a near-hydrostatic field and her models use hydrostatic stress in potash seams; (H-λ1) elastic uniaxial-strain ν/(1−ν) = 0.25–0.67; (H-λ4) Филатова §2.3: horizontal stresses 1.2–1.5·γH ""тектоническое наследие региона"" [23], secondary and untraced — documented, NOT adopted; Гремячин",see v1 evidence ids,,EV-EXT-0034;EV-RMB-0079;EV-RMB-0080;EV-RMB-0081;EV-RMR-1184;EV-RMB-0204;EV-RMB-0218;EV-RMB-0233,METHOD;CONSTITUTIVE_MODEL,"PASS 4: discrete hypothesis set H60 (0.6, БКПРУ-2 measured) / H71 (0.71, derived, secondary) / HHYD (1.0, hypothesis), never averaged (RD-004); 1.2-1.5 = open-pit source → stress test only; CASE 14 quantifies the λ effect (GAP-006). The historical 'no effect in CASE 08' holds only for the K0 key of the weak superposition, which implicitly represents λ = ν/(1−ν) and cannot represent λ at all. | Not closed by one number: hypotheses kept separate (never averaged); PW v1 uses the envelope H-λ1/H-λ2/H-λ3; H-λ4 documented only; Kaiser-effect stress memory in creeping salt is questionable (H-λ2 caveat). OGS CASE 08: the K0 key has no effect in the weak superposition, which implicitly represents H-λ1; pass 4 uses an explicit-λ formulation (CASE 14); no effect in the weak-material superposition; −8 %/−13 % in the stress-free soft inclusion.",v1: OPEN_QUESTION,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-030,[v1 CF-014] creep_coefficient,"Морозов 2021 (EXT-SRC-007) derives Norton parameters for sylvinite AND carnallite from ""30 specimens"" of its ref.[12]; the primary [12] (EXT-SRC-011) tested only sylvinite (33 Гремячинское + 28 СКРУ-3) and reports that VKM rates exceed ГМКС rates up to ~12x at the same K.",see v1 evidence ids,,EV-EXT-0039;EV-EXT-0040;EV-EXT-0041;EV-EXT-0042;EV-EXT-0072;EV-EXT-0074;EV-EXT-0079,SECONDARY_CITATION;SAMPLE_POOLING;SITE,Norton parameters downgraded to NON_VKM_ANALOG / INSUFFICIENT_EVIDENCE (claim_corrections ORCH-PASS2-EXT011); the separated СКРУ-3 table (CL-09) is used instead as an analogue lab reference.,v1: RESOLVED_DOWNGRADED,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-031,[v1 CF-015] density,Normative rock-salt unit weight 0.022 MN/m3 (ρ = 2242.6 kg/m3) exceeds the mineral density of halite 2.17 g/cm3 quoted by Кудряшов by ~3 %.,see v1 evidence ids,,EV-RMB-0068;EV-AUD-0007,DEFINITION;ROUNDING;COMPOSITION,"Not a contradiction of measurements: a normative design value rounded to 0.001 MN/m3 vs a mineral density. Keep the normative value as BASE, record the rounding interval as uncertainty; the effect on σv is ≤2.3 % and on the elastic response is linear (CASE 09 note).",v1: PHYSICAL_PLAUSIBILITY_NOTE,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-032,[v1 CF-016] poisson_ratio,Normative sylvinite Poisson ratio 0.2 (Указания via Лебедева Table 1.1) lies below the range 0.30–0.45 compiled in VKM-SRC-025 §2.3 (p.31) from literature on salt rocks of several basins (not a VKM lab range).,see v1 evidence ids,,EV-RMB-0073;EV-AUD-0002,SCALE;DEFINITION;UNCERTAINTY,"Both kept: normative as BASE (design convention of the deposit), lab range as ENVELOPE in CASE 09 F5; the elastic K0 hypothesis H-λ1 depends on ν (0.25–0.67 over 0.2–0.4).",v1: OPEN_QUESTION,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-033,[v1 CF-017] overburden_gradient,Филатова §2.3 gives σv = 0.025·z (γ ≈ 25 kN/m³) while the normative unit weights used for all PW densities are 0.020–0.022 MN/m³; at 306 m σv = 7.66 vs 6.55 MPa (+17 %).,see v1 evidence ids,,EV-RMR-1185;EV-SYN-0015;EV-RMB-0068;EV-RMB-0071;EV-RMB-0074,DEFINITION;UNCERTAINTY;SECONDARY_CITATION,Secondary rounded rule of thumb vs normative lithology-specific values; PW keeps normative γ (BASE) with the 2.5 т/м³ overburden default as upper envelope (L1); σv effect bounded by CASE 09 density scaling note. Not adopted.,v1: ACCEPTED_LIMITATION,carried over from physical_evidence_v1 (not re-adjudicated here)
MR-CONF-034,[v1 CF-026] lateral_stress_ratio,"Гремячинское (NON_VKM): λ = 0.6 in the registry is a CALCULATED value (EXT-SRC-003, Динник/FEM), whereas Бельтюков (VKM-SRC-029 p.142) reports in-situ Kaiser-effect MEASUREMENTS of 0.9-1.0 (near-hydrostatic) at the same deposit (~1.1 km)",see v1 evidence ids,,EV-EXT-0034;EV-RMB-0233,METHOD;SITE,the measured value is preferred for that deposit; both are NON_VKM and never used as СКРУ-1 values; the measured 0.9-1.0 is only corroborating context for the HHYD hypothesis (creep-relaxed salt at depth),v1: RESOLVED_INTERPRETATION,carried over from physical_evidence_v1 (not re-adjudicated here)
