ledger_id,qa_origin,qa_depth,source_id,pdf_page,printed_page,figure_table,vn_ids,old_ev_ids,record_kind,issue_type,quote_verdict,critical,existing_value,text_layer_value,ocr_value,visual_value,surrounding_context_result,cross_source_result,corrected_value,confidence,affected_downstream,status,record_status,scope,scale,check_chain,render_png,qa_recheck_ref,notes,unresolved_class
QA-S-0081,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-005,3,41,Рис.2 карта InSAR,EV-VN-S005-0032,EV-RMB-0107 EV-RMB-0108,visual_check,UNIT_DOUBT,NOT_FOUND,N,EV-RMB-0107 (60 сут),подписи рисунка в тексте отсутствуют,,"шкала «(-)» от -0.199 до 0.028 с метками -0.045/-0.03 (единицы не указаны; по контексту — метры, т.к. Pin5 = 20 см); заголовок-врезка [→quote]; оставлен шаблонный текст [→quote]",Рисунок подтверждает период и порог 3 см; единицы шкалы не указаны; способ перехода LOS→«субвертикальные» не описан.,,,HIGH,EV-RMB-0107 EV-RMB-0108,RESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0082,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-005,4,42,Рис.3 кривая η(L),EV-VN-S005-0035,EV-RMB-0112,visual_check,GRAPH_DIGITIZED,EXACT,N,"EV-RMB-0112 «чуть меньше 2,0 м»",—,,"ось η, м от 0 до 4 (метка «2 5» — опечатка 2.5); ось L, м 0-~2700; минимум кривой ≈1.9 м (грубо) при L≈1700 м между скв.47 (~1450) и скв.BZK-8 (~2050); кривая ~0 при L<~300 и L>~2400; под графиком полосы Н-IIа и Н-IIб с легендой: предохранительный целик у главных выработок, околоскважинный целик, околоствольный целик, выработанное пространство; подписи Панель №11, №5, №1, Опытная панель",Качественно подтверждает текст (максимум <2 м в районе панели №5/№1); значения с графика — ориентировочные.,,,MEDIUM,EV-RMB-0112,RESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0083,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-005,5,43,Рис.4,EV-VN-S005-0044,EV-RMB-0117,visual_check,OK_CONFIRMED,EXACT,N,EV-RMB-0117 (разлом у скв.47),—,,"та же расчётная схема, что Рис.1, с метками «2022 год»; зоны трещин (фиолетовые) в интервале ВЗТ у целика СКВ.47 и у BZK-8 (у ~L 1100-1800); легенда: трещины сдвига, трещины отрыва; тектоническое нарушение (красный пунктир у L~850); зона пониженных свойств I; оседания земной поверхности 2022 (красная линия)","Легенда различает трещины сдвига и отрыва — модель выдаёт тип разрушения; подписи скважин те же, что на рис.1.",,,MEDIUM,EV-RMB-0117,RESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0084,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,9,9,Рис. 1.2,EV-VN-S006-0016,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption only,,"Spectrum 0.2 µm to 10 m; solar and Earth radiation curves; transparency %; bands: photographic/scanner/CCD (visible–mid IR), thermal IR, passive microwave and active radar (0.5 mm – 10 m)","OK_CONFIRMED: figure is reproduction from Малинников и др., 2008; generic, no project numbers",,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0085,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,14,14,"§1.1 text, Radarsat-1 angle range",EV-VN-S006-0039,,visual_check,OK_CONFIRMED,NOT_FOUND,N,,от 10 до 60,,от 10° до 60°,degree signs lost in text layer; values confirmed,,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0086,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,29,29,Табл. 3.1,EV-VN-S006-0068,,visual_check,OK_CONFIRMED,EXACT,Y,,6 rows indicatum/features,,"6 rows identical to text layer (typos 'пахроматических', 'дедровидными' are in the original)",text layer matches rendered table,,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0087,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,30,30,Рис. 3.1,EV-VN-S006-0070,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption,,"Venn-type circles X, Ω with overlap T and non-overlap parts x, ω; (a) mapping — large overlap; (б) small Ω inside big X; (в) small X inside big Ω","OK_CONFIRMED, conceptual figure reproduced from Vinogradov 1984",,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0088,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,32,32,§3.2 formulas ТКД and χ²,EV-VN-S006-0078,,visual_check,EQUATION_ILLEGIBLE,FUZZY_78,N,,unbalanced parentheses,,"rendered page shows the same unbalanced parentheses (typographic error in original), '2' superscript on χ² and on the numerator","typo in original confirmed; intended form (a−min(b,c))/(a+min(b,c)) and (a−min(b,c))²/(a+min(b,c)) is interpretation",,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0089,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,35,35,Табл. 3.2,EV-VN-S006-0083,,visual_check,OK_CONFIRMED,EXACT,Y,,900 0 100 0 1000 / 100 700 100 100 1000 / 100 0 900 0 1000 / 0 0 0 1000 1000 / 1100 700 1100 1100 4000,,same,text layer matches rendered table,,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0090,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,36,36,kappa formula and Табл. 3.3,EV-VN-S006-0087,,visual_check,OK_CONFIRMED,EXACT,Y,,"'Каппа = (Po\nPe) / (1\nPe),\n–\n–' (minus signs displaced)",,Каппа = (Po – Pe) / (1 – Pe); Table 3.3 values same as text layer,text-layer extraction garbles formula; visually confirmed,,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0091,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,39,39,"Табл. 3.4–3.6, Рис. 3.2",EV-VN-S006-0094,,visual_check,OK_CONFIRMED,NOT_FOUND,Y,,values as in text layer,,same values; Табл. 3.4 header '1 съемка Всего' is a right-hand column (row totals) and '2 съемка Всего' a bottom row; Рис. 3.2 bar chart of three classes at 1 съемка / 2 съемка / Прогноз (0–140 scale) matching tables,"confirmed; table orientation clarified (rows = survey-1 class, columns = survey-2 class)",,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0092,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,3,3,Оглавление vs body page placement,EV-VN-S006-0096,,visual_check,OK_CONFIRMED,NOT_FOUND,N,,"TOC page numbers 4,6,6,14,19,19,22,27,27,30,36,41,41,45,49,49,56,60,67,67,69,73,77,81,85",,"headings found in body: §1.2 p.14, §2 p.19, §2.2 p.22, §3 p.27, §3.2 p.30, §3.3 p.36, §4 p.41, §4.2 p.45","TOC page numbers MATCH body (printed page = PDF page). CORRECTION to the TOC claim record (p.3) whose data text said numbers do not match — that remark was erroneous. Chunk c1 (pp.1-47) ends inside §4.2; §5 (seismic/volcanic/crustal movements incl. InSAR, pp.49-66) and bibliography (p.85+) are outside this chunk.",,,HIGH,,CORRECTED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0093,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,42,42,Рис. 4.1,EV-VN-S006-0099,,visual_check,MAP_ATTRIBUTION,EXACT,N,,"caption only, no source cited",,"small-scale map of Eurasia (graticule 40–140° E, 0–60°+ N) with numbered lineaments 1–36; legend only 'Линеаменты'; Urals/Cis-Urals region at ~55–60° E carries several lineaments (numbers e.g. 3, 23, 24, 28, 33 near that longitude) but scale is far too small to locate VKM",figure without source attribution; numbered lineaments have no key in the text; not usable for VKM fault geometry,,,MEDIUM,,UNRESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,ATTRIBUTION_OPEN
QA-S-0094,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,44,44,Рис. 4.2,EV-VN-S006-0103,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption,,"map of Belarus with coloured superregional cosmolineaments (black, green, cyan, violet, red, yellow families), 6 numbered intersection nodes (circles 1–6), towns Гродно, Минск, Полоцк, Витебск, Могилев, Брест, Гомель; scale bar 0–90 км",Belarus only (NON_VKM); colour legend not given in text,,,HIGH,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0095,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,51,51,Рис. 5.2,EV-VN-S006-0123,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption as quoted,,"4 panels dated 15, 16, 19, 20 August 1999, eastern Mediterranean/Turkey; grey anomaly patches, epicentre cross on 16 Aug panel","Viewed at 90 dpi; reproduced from Тронин 2011; NON_VKM, no numeric values",,,HIGH,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0096,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,53,53,Рис. 5.3,EV-VN-S006-0128,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption only,,"Interferogram with wrapped fringes; labels 'PALSAR data © MITI, JAXA analyzed by JPL/NASA', '38° look', colour scale 'range (cm)' 0 / 5.9 / 11.8; lat 18°15'-18°45', lon -73°00' to -72°15'","Viewed at 80 dpi. Figure shows L-band (ALOS PALSAR) wrapped interferogram; one colour cycle labelled 11.8 cm of range change (LOS, not vertical). NON_VKM example.",,,HIGH,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,Useful as illustration that InSAR measures line-of-sight range change (look angle 38°) and that the fringe cycle is sensor-wavelength-dependent (printed 11.8 cm for PALSAR). The source text itself does not state LOS or the wavelength relation.,
QA-S-0097,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,54,54,Рис. 5.4,EV-VN-S006-0133,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption,,"Vector map 136E–141E, 34N–36N; velocity scale arrow '5cm/year'; distance bar 100 km; 'Estimated Tokai earthquake source' dashed; Izu peninsula, Sagami/Suruga troughs",Viewed 80 dpi; NON_VKM; velocities in cm/year,,,HIGH,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0098,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,56,56,Рис. 5.5,EV-VN-S006-0137,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption,,"Map with windows A–F along San Andreas; rose diagrams per window on dates 21 Sept, 26 Sept, 28 Sept (earthquake day), 1 Oct [2004]; earthquakes 28 and 29 Sept 2004 marked",Viewed 80 dpi; NON_VKM,,,HIGH,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0099,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,59,59,Рис. 5.6,EV-VN-S006-0140,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption,,"6 IR panels dated 9.IV.2001, 20.V.2001, 12.VI.2001, 28.IV.2002, 26.II.2003, 24.IV.2003",Viewed 70 dpi; NON_VKM,,,HIGH,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0100,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,62,62,Рис. 5.7,EV-VN-S006-0148,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption,,"Three profiles 4-4, 5-5, 6-6: displacement graphs with axis 'мм' from +8 to -8 (6-6: +8 to -6); background values roughly +2..+8 mm with narrow negative spikes (to about -8 mm and below on 4-4 and 5-5; about -6 on 6-6) located above faults shown in the underlying geological sections; plan sketch of fault structure below. Time interval between levellings not shown.","Viewed at 200 dpi clip; values read approximately from graph, not digitized. No epoch information -> cannot convert to rates.",,,MEDIUM,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0101,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,63,63,Табл. 5.1,EV-VN-S006-0153,,visual_check,NUMBER_CONFLICT,EXACT,Y,,"Table caption cites 'Кузьмин, 2009'; text p61 cites 'Кузьмин, 2019' for hazardous-fault criterion and Fig. 5.7",,"caption visually reads 'Кузьмин, 2009'; table content matches text layer",Table confirmed. Possible citation-year inconsistency (2009 vs 2019) — check bibliography p85–90.,,,MEDIUM,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0102,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,64,64,Рис. 5.8,EV-VN-S006-0156,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,legend items 1–9,,"Schematic panels А (hidden deep/shallow faults, displacement arrows), Б (hidden faults with fluid-dispersion cones and heat-flow curve), В (open inclined/vertical faults); strips 'б' show width of spectral-indicator zones (wider for deeper faults)","Viewed 110 dpi; schematic only, no numbers",,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0103,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,69,69,"Рис. 6.1, Рис. 6.2",EV-VN-S006-0164,,visual_check,OK_CONFIRMED,EXACT,N,,"NDSDI ratio 2.8, GSI ratio 1.3",,"Fig 6.1: Sentinel-2 spectral curves (КСЯ 0–0.4+, bands 1–12) for bare sands, vegetation, sod sandy soil. Fig 6.2 bars: GSI ≈0.25 soils, ≈0.23 eroded soils, ≈0.19 sands; NDSDI ≈0.20 soils, ≈0.075 eroded, ≈0.07 sands (approximate visual reading)","Figures viewed; consistent with the textual ratios qualitatively; Belarusian Polesye, NON_VKM",,,MEDIUM,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0104,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,75,75,Рис. 6.6,EV-VN-S006-0178,,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption,,"Grey-scale high-resolution image of agricultural field with ~15 arrows pointing to small dark oval funnels; no scale bar, no coordinates, no location given",Viewed 90 dpi; location of the example not stated (no attribution to VKM); no numeric info,,,HIGH,,RESOLVED,FACT,UNSTATED,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0105,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,82,82,Рис. 6.7,EV-VN-S006-0192,,visual_check,OK_CONFIRMED,EXACT,N,,caption,,Colour satellite image of tundra with thermokarst lakes and meandering river; no scale/coordinates,Viewed 70 dpi; NON_VKM illustrative,,,HIGH,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0106,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-006,87,87,"Табл. 5.1 vs §5.3 in-text 'Кузьмин, 2019'",EV-VN-S006-0197,,visual_check,OK_CONFIRMED,NOT_FOUND,Y,,Table 5.1 cites Кузьмин 2009; p61–62 cite Кузьмин 2019,,"Bibliography p87 has both: [39] Кузьмин С.Б. 2009 (geomorphological criteria of fault hazard, Kovykta–Irkutsk pipeline) and [40] Кузьмин Ю.О. 2019 (Физика Земли, modern geodynamics)","No conflict: two different authors (С.Б. vs Ю.О. Кузьмин). Table 5.1 -> ref 39; hazardous-fault criterion 5e-5/yr, fault-zone anomalies and Fig. 5.7 -> ref 40.",,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0107,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-007,5,403,"Таблица Sentinel-1, строка «Даты съемки» vs «Количество снимков»",EV-VN-S007-0017,EV-MON-0140,visual_check,NUMBER_CONFLICT,EXACT,Y,41 images (EV-MON-0140),41; date list as printed,,"date list visually identical to text layer; reader's item count of the printed date list gives 40 dates (2018: 29, 2019: 11), not 41","Printed count 41 and '40 maps' are mutually consistent (N-1 consecutive pairs), but the printed date list appears to contain 40 dates; one date possibly omitted from the table. Minor inconsistency; not a physics issue.",,,MEDIUM,EV-MON-0140,UNRESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,Simple item count only.,SOURCE_INTERNAL_CONFLICT
QA-S-0108,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-007,6,404,"Рис. 3, Рис. 4, Рис. 5",EV-VN-S007-0021,,visual_check,OK_CONFIRMED,EXACT,N,,figure captions only,,Flowchart boxes and SNAP graph operator names read visually (see subsidence_method record),"Processing operator names confirmed visually; no numeric parameters (window sizes, coherence thresholds, filter strength, DEM) shown.",,,HIGH,,RESOLVED,FACT,GENERAL_METHOD,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0109,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-007,8,406,Рис. 7 (chart data table),EV-VN-S007-0027,EV-MON-0140,visual_check,TABLE_FROM_IMAGE,EXACT,N,max 25 cm (EV-MON-0140),25 см 19 апреля (text),,"-2,-5,-7,-14,-25,[blank],0 cm for 02.03,14.03,26.03,07.04,19.04,24.04,01.05.2019",Text value 25 cm confirmed by chart table; dashed extrapolated segment to ~-35 cm on accident day is NOT data (no image on 24.04).,,,MEDIUM,EV-MON-0140,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0110,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-008,5,145,Рис. 4 (legend),EV-VN-S008-0013,,visual_check,UNIT_DOUBT,EXACT,N,,caption only,,"legend classes -0.08..-0.02, -0.01..-0.01 (6x), 0.00..0.00 (8x), 0.00..0.03 m","Legend bins rounded to 2 decimals -> duplicate labels; range approx -8 cm..+3 cm; no georeference, dates, or scale. Not usable quantitatively.",,,HIGH,,UNRESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,UNIT_SEMANTICS_OPEN
QA-S-0111,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-008,6,146,"Рис. 5 (mean lineament count vs year, legend 1 MEBNSD, 2 MEBNVD)",EV-VN-S008-0015,,visual_check,GRAPH_DIGITIZED,EXACT,N,,caption only,,"approx (eye-read, 120 dpi): curve 2 (vertical displacement maps): 2011 ~54, 2012 ~50, 2013 ~73, 2014 ~20, 2015 ~160; curve 1 (horizontal): 2011 ~14, 2012 ~6, 2013 ~10, 2014 ~16, 2015 ~143",Graph extends to 2015 while text says data 2007-2014 / 2011-2014; horizontal-displacement maps are mentioned (legend 1) but how horizontal displacements were obtained from single-geometry InSAR is not explained.,,,LOW,,RESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,Approximate eye reading only; low project relevance.,
QA-S-0112,SWEEP_VISUAL_CHECK,SWEEP_VISUAL+QA_MANUAL,VKM-SRC-009,1,65,"p1 text, salt dump settlement",EV-VN-S009-0004,EV-MON-0120,visual_check,UNIT_DOUBT,EXACT,N,"EV-MON-0120: original_value '~5 м/год', original_unit 'мм/год'",примерно на 5 м в год,,примерно на 5 м в год (confirmed on render 120 dpi),"Printed unit is m/yr; existing digest unit column says mm/yr -> fix unit to м/год; value unsourced and physically refers to dump settlement, not mine subsidence.",,,HIGH,EV-MON-0120,CORRECTED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,QA-M-0083,,
QA-S-0113,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-009,2,66,Таблица 1; Рис. 1 (coverage scheme),EV-VN-S009-0013,EV-MON-0122,visual_check,OK_CONFIRMED,EXACT,Y,EV-MON-0122,as quote,,"identical; Fig.1 frame covers Slutsk (N), Starye Dorogi (NE), Soligorsk (SW), Luban (SE)",confirmed,,,HIGH,EV-MON-0122,RESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0114,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-009,6,70,"Рис. 6, 7, 8",EV-VN-S009-0031,EV-MON-0125,visual_check,OK_CONFIRMED,EXACT,Y,EV-MON-0125,captions,,"Fig.6 coherence map predominantly red (0.1–1), dark lineaments/water; Fig.7 unwrapped phase (no legend); Fig.8: 19 red GCP markers spread over amplitude image, SARscape GCP dialog with X/Y = -9999.0 (no geodetic coordinates), file names D:\\CosmoSkyMed\\GCP\\20110923_20111006_gcp, DEM ...20110919_20111006_reflat_dem",Confirms GCPs lacked geodetic coordinates (placeholder -9999); no quantitative coherence statistics.,,,MEDIUM,EV-MON-0125,RESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0115,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-009,7,71,Таблица 2,EV-VN-S009-0034,EV-MON-0127,visual_check,OK_CONFIRMED,EXACT,Y,EV-MON-0127 (GPS 0 - -83 mm; InSAR -2 - -32 mm),identical,,all 20 numbers match text layer; heights to mm,confirmed; existing digest lacked the absolute heights (height system unstated),,,HIGH,EV-MON-0127,RESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0116,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-009,8,72,"Рис. 12, Рис. 13",EV-VN-S009-0036,EV-MON-0127 EV-MON-0128,visual_check,OK_CONFIRMED,NOT_FOUND,Y,,captions,,"Fig.12: y-axis 0.010..-0.090 m; InSAR series (red squares, 13 d) slightly positive (~+0.003) near 650 then decreasing to ~-0.032 at 663a; ground series (blue, 35 d) straight line from 0 at 650 to ~-0.057 at 661, then -0.058, -0.061, -0.083. Fig.13: four panels (661, 663, 662, 663a), x-axis days 1..35, InSAR at day 13, GPS at day 35, values consistent with Table 2",consistent with Table 2; profile InSAR values near 650 slightly positive (uplift) — noise-level,,,MEDIUM,EV-MON-0127 EV-MON-0128,RESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,
QA-S-0117,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-009,11,75,"Рис. 14, 15, 16 legends",EV-VN-S009-0045,EV-MON-0129,visual_check,NUMBER_CONFLICT,EXACT,N,EV-MON-0129 (-8.7..+3.2 cm),-9 cm .. +4 cm (p5); -8.7..+3.2 cm (p8); up to 9 cm / up to 5 cm (p9),,legends start at class -0.11 to -0.09 m and end at 0.03 to 0.05 m; Fig.14 first class printed '-0.11 to 0.09' (sign typo),Legend class boundaries do not imply values exist in all classes; stated ranges inconsistent across text. Also broad -0.01..-0.03 m area in E part of Fig.15 (reader observation) not discussed — possibly atmospheric/orbital residual or real regional subsidence (UNKNOWN).,,,MEDIUM,EV-MON-0129,UNRESOLVED,FACT,OTHER_POTASH_SITE,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,SOURCE_INTERNAL_CONFLICT
QA-S-0118,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-010,2,35,Рис. 1,EV-VN-S010-0006,,visual_check,VISUAL_NOT_CHECKABLE,FUZZY_97,N,,caption,,"three maps (DInSAR, SBAS, PS) without readable legends, dates or scale","No quantitative information; illustrates coverage differences: DInSAR full-area raster, SBAS partial area, PS sparse points concentrated on infrastructure",,,HIGH,,UNRESOLVED,FACT,NON_VKM,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,,INTRINSIC_LIMITATION
QA-S-0119,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-011,2,,Оглавление (page numbers),EV-VN-S011-0004,,visual_check,NUMBER_CONFLICT,NOT_FOUND,N,,"TOC: Литература p.436, Приложения p.439, Summary p.456",,"Rendered TOC confirms 436/439/456; but actual running page numbers: Литература starts printed p.264 (PDF p.133), Приложения at printed ~p.294 (PDF p.148), last printed page 371 (PDF p.186)","TOC pagination belongs to a different layout (likely 1st ed. or earlier proof); use PDF page + running printed page for locators, never TOC numbers.",,,HIGH,,UNRESOLVED,FACT,VKM_REGIONAL,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,"Rendered p.2 at 80 dpi; cross-checked by text-layer headers of PDF pp.133,148,186.",SOURCE_INTERNAL_CONFLICT
QA-S-0120,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-011,6,10-11,Рис. 1.2 legend,EV-VN-S011-0038,EV-GEO-0001 EV-GEO-0002,visual_check,MAP_ATTRIBUTION,EXACT,N,,caption only: 'Площадь распространения ВКМС',,legend boxes '1' (diagonal hatch) and '2' (brown fill) without explanation,"Legend undefined in source; interpretation 1 = salt stratum (соляная залежь), 2 = potash deposit (калийная залежь) is consistent with Fig.1.1 caption and text, but is an INTERPRETATION.",,,HIGH,EV-GEO-0001 EV-GEO-0002,UNRESOLVED,FACT,VKM_REGIONAL,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,Rendered p6 clip at 200 dpi.,ATTRIBUTION_OPEN
QA-S-0121,SWEEP_VISUAL_CHECK,SWEEP_VISUAL,VKM-SRC-011,6,10-11,Рис. 1.3 (overview topographic map),EV-VN-S011-0039,EV-GEO-0003 EV-GEO-0004,visual_check,FIGURE_REPRODUCED_FROM_OTHER_SOURCE,EXACT,N,,caption cites [214],,"Small-scale road/topographic atlas-style map with a dark-purple outline of VKMS from Pobererezhny/Cherdyn (N) to Peremskoe/Nizh. Lukh (S); black numbers next to dots (138, 213, 204, 212, 217, 229, 252, 225, 222, 136, 233, 273, 244, 247, 251, 239, 241, 226, 214, 224, 234, 232, 246, 208, 183, 231, 207, 215, 192, 116, 146, 157, 201 …) are spot heights in m (e.g. 273 near Durino), NOT borehole numbers; 780 = Ural summit NE of Krasnovishersk.",Spot heights consistent with text (+108…+273 m). Do not ingest these numbers as boreholes.,,,HIGH,EV-GEO-0003 EV-GEO-0004,RESOLVED,FACT,VKM_REGIONAL,NOT_APPLICABLE,SWEEP_AGENT_VISUAL,,,Rendered p6 clip at 220 dpi.,
