correction_id,origin,target_type,target_ids,source_id,pdf_page,field,old_value,new_value,reason,severity,ledger_ref,status,confidence,affected_catalogues,basis
QA-C-M011,QA_MANUAL,OLD_EV,EV-MIN-1311..EV-MIN-1327,VKM-SRC-037,55-56,locator_verification,VISUAL_NOT_CHECKABLE,VISUAL_CONFIRMED,"Рис.3.27-3.30 re-read at 200 dpi; all dimensions identical; 13 vs 13,5 м conflict retained",MINOR,QA_MANUAL S037 p55/p56 (QA-M-0019),PROPOSED,MEDIUM,mining_geometry_catalog.csv; physical_evidence_v1 claims,QA-M-0019: OCR->RENDER200->CAPTION->XSRC(023 Fig.17; old EV-MIN); render VKM-SRC-037 p55 @200 dpi crop
QA-C-M012,QA_MANUAL,OLD_EV,EV-MIN-0570 EV-MIN-0571 EV-MIN-0572 EV-MIN-0573,VKM-SRC-026,22,locator_verification,VISUAL_NOT_CHECKABLE,"VISUAL_CONFIRMED (9,0/17,0/26,0 м)",Рис.14 read at 150 dpi,MINOR,QA_MANUAL S026 p22 (QA-M-0046),PROPOSED,MEDIUM,mining_geometry_catalog.csv; physical_evidence_v1 claims,QA-M-0046: TL(caption)->RENDER150->XSRC(037 p56); render VKM-SRC-026 p22 @150 dpi
QA-C-M013,QA_MANUAL,NEW_CONFLICT,EV-MIN-0570..0572 / EV-VN-S026-0109 vs EV-MIN-1326 / EV-VN-S037-0414,VKM-SRC-026;VKM-SRC-037,22;56,conflict_note (add),(none - new conflict row),"SKRU-1 carnallite seam Вк: 1992 normative (037 рис.3.30а) камера 8 / МКЦ 19 / межосевое 27 м vs 2018 teaching manual citing current design (026 рис.14) 9 / 17 / 26 м - different design epochs; keep both, no averaging",no existing conflict row found in merged records,MAJOR,QA_MANUAL S026 p22 (QA-M-0046),PROPOSED,HIGH,mining_geometry_catalog.csv; physical_evidence_v1 claims; mechanics_evidence_catalog.csv,QA-M-0046: TL(caption)->RENDER150->XSRC(037 p56); render VKM-SRC-026 p22 @150 dpi
QA-C-M014,QA_MANUAL,OLD_EV,EV-MIN-0337,VKM-SRC-025,16,locator_verification + scope,VISUAL_NOT_CHECKABLE,"VISUAL_CONFIRMED; scope VKM_REGIONAL (illustrative generic scheme, not SKRU-1)",Рис.1.4 read at 130 dpi,MINOR,QA_MANUAL S025 p16 (QA-M-0070),PROPOSED,MEDIUM,mining_geometry_catalog.csv; physical_evidence_v1 claims,QA-M-0070: RENDER130->CAPTION->XSRC(037 p55); render VKM-SRC-025 p16 @130 dpi
QA-C-M015,QA_MANUAL,OLD_EV,EV-SYN-0002 EV-SYN-0003,VKM-SRC-012,67,locator_verification,VISUAL_NOT_CHECKABLE,VISUAL_CONFIRMED (legends 65.71-123.83; 16.70-35.26),rendered at 200 dpi,MINOR,QA_MANUAL S012 p67 (QA-M-0008),PROPOSED,MEDIUM,spatial_hierarchy.csv; mining_geometry_catalog.csv; physical_evidence_v1 claims,"QA-M-0008: TL(caption)->RENDER200->INDEPENDENT_DIGITIZATION->CROP400(1407)->PROSE(p70,p72); render VKM-SRC-012 p67 @200 dpi"
QA-C-M016,QA_MANUAL,OLD_EV,EV-RMR-1089..EV-RMR-1098,VKM-SRC-025,64,site / evidence_scope,[→quote],"VKM_REGIONAL; site = 'Сибирское' (structure/field name inside the VKM contour, exact location UNKNOWN); not SKRU-1","protocol shows VKM carnallite-zone stratigraphy (зона карналлитовая, пласт И-К); VKM-SRC-011 p.20 lists 'Сибирская' among positive structures of the Solikamsk depression",MAJOR,QA_MANUAL S025 p64 (QA-M-0067),PROPOSED,HIGH,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims,QA-M-0067: OCR->RENDER130->FORM_ARITHMETIC->XSRC(SRC-011 p20); render VKM-SRC-025 p64 @130 dpi
QA-C-M017,QA_MANUAL,OLD_EV,EV-GEO-0229,VKM-SRC-012,87,limitations,'TVD' interpreted as MD − 158.9 m,"MD picks = FACT as printed; 'TVD' labels = constant offset 158,90 m -> probable subsea depth with KB ≈ +158,9 м (HYPOTHESIS); absolute elevations INTERPOLATION until KB elevation is documented",verified all 7 pick pairs at 400 dpi,MINOR,QA_MANUAL S012 p87 (QA-M-0044),PROPOSED,MEDIUM,geology_evidence.csv; borehole_catalog.csv; physical_evidence_v1 claims,QA-M-0044: RENDER150->CROP400->HEADER->ARITHMETIC_OFFSET; render VKM-SRC-012 p87 @400 dpi crop
QA-C-M018,QA_MANUAL,OLD_EV,EV-SYN-0021,VKM-SRC-012,28,limitations / epistemic_status,DERIVED ≈205 ± 30 м,DERIVATION with unquantified scale error (Рис.1.1 has no scale bar/grid; scale inferred from a rounded textual distance); positions from Рис.1.1 are topological only,visual check of Рис.1.1,MINOR,QA_MANUAL S012 p28 (QA-M-0045),PROPOSED,MEDIUM,spatial_hierarchy.csv; mining_geometry_catalog.csv; physical_evidence_v1 claims,QA-M-0045: RENDER150->CAPTION->PROSE; render VKM-SRC-012 p28 @150 dpi
QA-C-M019,QA_MANUAL,OLD_EV,EV-MON-0056,VKM-SRC-002,13,evidence_scope,GENERAL_METHOD (sweep proposes NON_VKM),UNSTATED (site UNKNOWN); not attributable to VKM or SKRU-1,landscape impression (meanders/oxbows) is not evidence of NON_VKM; no place name on slide,MINOR,QA_MANUAL S002 p13 (QA-M-0041),PROPOSED,MEDIUM,monitoring_observation_catalog.csv; physical_evidence_v1 claims,QA-M-0041: RENDER110->CAPTION; render VKM-SRC-002 p13 @110 dpi
QA-C-M020,QA_MANUAL,OLD_EV,EV-MON-0058 EV-MON-0059 EV-MON-0060 EV-MON-0061 EV-MON-0062,VKM-SRC-002,14-15,epistemic_status / spatial_support,FACT (graph readings),DERIVATION (digitized); spatial support UNKNOWN (point/line locations not given),slide graphs without coordinates or benchmark lists,MAJOR,QA_MANUAL S002 p14/p15 (QA-M-0042),PROPOSED,HIGH,monitoring_observation_catalog.csv; physical_evidence_v1 claims,QA-M-0042: TL(legend)->RENDER110->CAPTION; render VKM-SRC-002 p14 @110 dpi
QA-C-M021,QA_MANUAL,NEW_VN,EV-VN-S023-0293 EV-VN-S023-0381,VKM-SRC-023,46;73,status,FACT,INTERPOLATION,values are the legend maximum (4 300 мм) of an interpolated raster (caption 'Интерполяция данных оседания') and a contour label (4000 мм),CRITICAL,QA_MANUAL S023 p46/p73 (QA-M-0007),PROPOSED,HIGH,mechanics_evidence_catalog.csv,QA-M-0007: RENDER150->CROP400->CAPTION->PROSE; render VKM-SRC-023 p73 @400 dpi crop
QA-C-M022,QA_MANUAL,NEW_VN,EV-VN-S023-0375 EV-VN-S023-0380,VKM-SRC-023,69;73,status,FACT,INTERPOLATION (isolines of an enterprise/derived subsidence surface; epoch not stated),interpolation != observation,MAJOR,QA_MANUAL S023 p46/p73 (QA-M-0007),PROPOSED,HIGH,monitoring_observation_catalog.csv,QA-M-0007: RENDER150->CROP400->CAPTION->PROSE; render VKM-SRC-023 p73 @400 dpi crop
QA-C-M023,QA_MANUAL,NEW_VN,EV-VN-S023-0182 EV-VN-S023-0183 EV-VN-S023-0196,VKM-SRC-023,37,scope,SKRU2 (keep),SKRU2 confirmed by title block; must never be attached to SKRU-1 geometry,title block [→quote] at 400 dpi,MAJOR,QA_MANUAL S023 p37 (QA-M-0006),PROPOSED,HIGH,mining_geometry_catalog.csv; information_lifecycle_matrix.csv,QA-M-0006: TL(caption)->RENDER150->CROP400(title block)->PROSE; render VKM-SRC-023 p37 @400 dpi crop
QA-C-M024,QA_MANUAL,NEW_VN,EV-VN-S012-0370..EV-VN-S012-0400,VKM-SRC-012,67,status,FACT,DERIVATION (digitized label-centre position ±150 map units; CRS unnamed),GRAPH_DIGITIZED values; independent re-digitization agrees within ±40 units,MAJOR,QA_MANUAL S012 p67 (QA-M-0008),PROPOSED,HIGH,physical_evidence_v1 claims,"QA-M-0008: TL(caption)->RENDER200->INDEPENDENT_DIGITIZATION->CROP400(1407)->PROSE(p70,p72); render VKM-SRC-012 p67 @200 dpi"
QA-C-M025,QA_MANUAL,NEW_VN,EV-VN-S011-1321,VKM-SRC-011,63,quote / lithology_notes / core,'ПЦТ 596 m to 613 m depth'; core=yes,"ПЦТ thickness 596 m, base 613 m; core = no (ГИС interpretation, ПермНИПИнефть 1984); replace English paraphrase by verbatim caption","Рис.2.52 read at 200 dpi (column 'Мощность, м' = 596)",MAJOR,QA_MANUAL S011 p63 (QA-M-0014),PROPOSED,HIGH,borehole_catalog.csv,QA-M-0014: TL->RENDER200->CAPTION->PROSE; render VKM-SRC-011 p63 @200 dpi
QA-C-M026,QA_MANUAL,NEW_VN,EV-VN-S037-0883 (+ any record using γ from p.331),VKM-SRC-037,166,unit,"γ=2,2 кН/м³ (as printed)","physical value 22 кН/м³ (2,2 т/м³); printed unit is a misprint; handwritten marginalia on the scan are NOT source text","visual check; consistent with γ=0,022 МН/м³ on p.182",MAJOR,QA_MANUAL S037 p166 (QA-M-0028),PROPOSED,HIGH,visual_ocr_qa_ledger.csv; catalogues of the records extracted from the same page/figure,"QA-M-0028: OCR->RENDER150->PROSE->XSRC(p.182 γ=0,022 МПа/м); render VKM-SRC-037 p166 @150 dpi"
QA-C-M027,QA_MANUAL,NEW_VN,EV-VN-S037-0682 EV-VN-S037-0685,VKM-SRC-037,110,usage flag,"СКПРУ-1 В(карн.) max 0,41","keep as printed; flag 'max<min - source misprint, do not use as bound'",visual check confirms print; row logic violated,MINOR,QA_MANUAL S037 p110 (QA-M-0021),PROPOSED,MEDIUM,mechanics_evidence_catalog.csv; conflict notes,QA-M-0021: OCR->RENDER200->PROSE->ROW_LOGIC; render VKM-SRC-037 p110 @200 dpi crop
QA-C-M028,QA_MANUAL,NEW_VN,EV-VN-S037-0323,VKM-SRC-037,39,evidence_type / spatial_support,horizon_pick FACT,DESIGN_VALUE/DESCRIPTIVE of a schematic typical section of СКПРУ-2 (not a borehole pick; ANALOGUE for SKRU-1),Рис.2.10 is a schematic section,MINOR,QA_MANUAL S037 p39 (QA-M-0018),PROPOSED,MEDIUM,borehole_picks.csv,QA-M-0018: RENDER300+ROTATE->CAPTION; render VKM-SRC-037 p39 @300 dpi crop
QA-C-M029,QA_MANUAL,NEW_VN,EV-VN-S037-0169..EV-VN-S037-0172,VKM-SRC-037,15,conditions,'... [20]',remove '[20]' (reference not printed on this page) or locate it,visual check of Табл.1.5 note,MINOR,QA_MANUAL S037 p15 (QA-M-0027),PROPOSED,MEDIUM,physical_evidence_v1 claims,QA-M-0027: OCR->RENDER150->NOTE->XSRC(old EV-MIN); render VKM-SRC-037 p15 @150 dpi
QA-C-M030,QA_MANUAL,NEW_VN,EV-VN-S020-0050 EV-VN-S020-0051 EV-VN-S020-0052 EV-VN-S020-0053 EV-VN-S020-0054 EV-VN-S020-0055 EV-VN-S020-0056 EV-VN-S020-0057 EV-VN-S020-0058 EV-VN-S020-0059 EV-VN-S020-0060 EV-VN-S020-0061 EV-VN-S020-0062 EV-VN-S020-0063 EV-VN-S020-0064 EV-VN-S020-0065 EV-VN-S020-0066 EV-VN-S020-0067 EV-VN-S020-0068 EV-VN-S020-0069 EV-VN-S020-0070 EV-VN-S020-0071 EV-VN-S020-0072,VKM-SRC-020,8,borehole_id aliases + independence,"69(?), 98(?), 165, 106, 202, 176/178(?)","cross-source likely readings 89, 99, 185, 196, 282, 178 (VKM-SRC-037 рис.1.3 print); mark figure as reproduction of the same W-E profile (one evidence item)",same profile line in SRC-037 (1992) with crisp labels,MINOR,XSRC:S020p8-S037p6 (QA-M-0065),PROPOSED,MEDIUM,borehole_catalog.csv,QA-M-0065: RENDER150(both)->CROP400/500->CAPTION->XSRC; render VKM-SRC-037 p6 @400 dpi crop
QA-C-M031,QA_MANUAL,NEW_CONFLICT,EV-VN-S020-0018,VKM-SRC-020;VKM-SRC-014;VKM-SRC-011,"020:6,13;014:8,28,81;011:148",conflict_note (add),(none - new conflict row),"SKRU-1 site attribution: 020 (1998) legend 'Новосоликамский (СКПРУ-1,3)' vs 014 (2013) [→quote], central Solikamsk site, vs 011 table 'СКРУ-1 1930 Соликамский'; 020 p.13 itself puts СКПРУ-3 in the Соликамский участок",keep all; epoch-dependent naming possible,MAJOR,XSRC:SKRU1-SITE (QA-M-0071),PROPOSED,HIGH,visual_ocr_qa_ledger.csv; catalogues of the records extracted from the same page/figure,QA-M-0071: TL->RENDER150->PROSE(p13)->XSRC(014 p8/p28/p81; 011 p148); render VKM-SRC-020 p6 @150 dpi
QA-C-M032,QA_MANUAL,NEW_VN,EV-VN-S025-0326 EV-VN-S025-0330,VKM-SRC-025,64,scope + LABEL_ERROR note,UNSTATED,"VKM_REGIONAL (site 'Сибирское', location UNKNOWN); note form label 'Глубина от поверхности 100,49 м' equals |abs. mark| (form error); Z=212,11 м = collar elevation",arithmetic of printed fields and stratigraphy,MINOR,QA_MANUAL S025 p64 (QA-M-0067),PROPOSED,MEDIUM,borehole_catalog.csv; coordinate_datum_evidence.csv,QA-M-0067: OCR->RENDER130->FORM_ARITHMETIC->XSRC(SRC-011 p20); render VKM-SRC-025 p64 @130 dpi
QA-C-M033,QA_MANUAL,NEW_VN,EV-VN-S025-0857 (+ creep_law_registry entry of EV-RMR-1108),VKM-SRC-025,157,unit flag,1/сут,keep as printed; add UNIT_DOUBT flag (plausibility of '1/сут' vs '%/сут' to be checked in local phase against Рис.6.3/6.5),visual confirmation of printed law; unit semantics unverified,MAJOR,QA_MANUAL S025 p157 (QA-M-0068),PROPOSED,HIGH,rheology_evidence_catalog.csv; mechanics_evidence_catalog.csv; physical_evidence_v1 claims,QA-M-0068: OCR->RENDER130->FIGURE_AXIS->PROSE; render VKM-SRC-025 p157 @130 dpi
QA-C-M034,QA_MANUAL,SOURCE_DEPENDENCY,VKM-SRC-025 §1.2 / VKM-SRC-011 / VKM-SRC-018,VKM-SRC-025;VKM-SRC-018,025:12;018:7,independence,treated as independent sources,"025 §1.2 is authored by А.И. Кудряшов (footnote p.12) = author of VKM-SRC-011; 018 Рис.3 fault after 'А.И.Кудряшову, 2004' -> agreement between these is not independent confirmation",footnote/legend read visually,MINOR,QA_MANUAL S025 p12; S018 p7 (QA-M-0035),PROPOSED,MEDIUM,SOURCE_DEPENDENCY,QA-M-0035: OCR->RENDER110->FOOTNOTE; render VKM-SRC-025 p12 @110 dpi
QA-C-M035,QA_MANUAL,OLD_EV,EV-SYN-0001 EV-SYN-0002 EV-SYN-0003 EV-SYN-0004 EV-SYN-0005 EV-SYN-0006,VKM-SRC-012,66-69,layer / physical_variable,"layer per figure title (СМТ, ПП, ПКС, карналлитовая зона, сильвинитовая зона, ПдКС до МГ)","layer per grid name (TOP_BASE): Q..СМТ roof (overburden Q+ПЦТ+ТКТ), СМТ, ПП, ПКС, карналлитовая зона, сильвинитовая зона; ПдКС→МГ not mapped; status INTERPOLATION","legend headers + cross-check with borehole 1405 picks (p.87): Рис.3.6 range 52-96 m (~59 at 1405) = CZ thickness, not SZ (≈23 m); Рис.3.5 ~20 at 1405 = ПКС (19.7 m), not CZ (59 m)",CRITICAL,XSRC:S012-ISOCHORE-SHIFT (QA-M-0072),PROPOSED,HIGH,spatial_hierarchy.csv; mining_geometry_catalog.csv; physical_evidence_v1 claims,QA-M-0072: RENDER130/200->LEGEND->XSRC(borehole 1405 log picks p.87)->CONSISTENCY; render VKM-SRC-012 p68 @130 dpi
QA-C-M036,QA_MANUAL,NEW_VN,EV-VN-S023-0047,VKM-SRC-023,17,cited_primary_source / scope,reproduced from 'Бабаянц/Барях et al. ... 2021' (sweep guess),"primary = VKM-SRC-004 (Бабаянц, Барях, Михайлов и др. 2023, Геофиз. исслед. 24(2), Рис.1, p.44); scope OTHER_VKM_SITE (Berezniki); Filatova figure = secondary reproduction, do not count as independent",visual side-by-side identity,MAJOR,XSRC:S023Fig1-S004Fig1 (QA-M-0076),PROPOSED,HIGH,visual_ocr_qa_ledger.csv; catalogues of the records extracted from the same page/figure,QA-M-0076: RENDER110(both)->CAPTION->XSRC; render VKM-SRC-004 p6 @110 dpi
QA-C-M037,QA_MANUAL,TOOLING,merge_sweep.verify_quote / page_text,VKM-SRC-033;VKM-SRC-035;VKM-SRC-038,all,quote_check,NOT_FOUND/FUZZY (artefact),decode text layer cp1252->cp1251 when Latin-1-accented characters dominate; re-run quote check,text layers are cp1251 mojibake; quotes are verbatim after decoding,MINOR,GRP:MOJIBAKE-033-035-038 (QA-M-0078),PROPOSED,MEDIUM,TOOLING,QA-M-0078: TL(re-decoded)
QA-C-M038,QA_MANUAL,TOOLING,merge_sweep.verify_quote,VKM-SRC-023,all,quote_check,checked against LibreOffice-rendered PDF page text,check DOCX_TEXT quotes against docx-derived all.md/all.txt (page-independent),112 DOCX_TEXT quotes flagged NOT_FOUND/FUZZY are verbatim in all.md,MINOR,GRP:S023:DOCX_TEXT_OK (QA-M-0003),PROPOSED,MEDIUM,TOOLING,QA-M-0003: DOCX_TEXT->all.md
QA-C-M039,QA_MANUAL,OLD_EV,EV-MON-0120,VKM-SRC-009,1,original_unit / physical_class,'~5 м/год' with unit 'мм/год'; treated as monitoring subsidence,"unit м/год (as printed); physical class = settlement of salt-dump body (not ground subsidence over workings); ANALOGUE, OTHER_POTASH_SITE, unsourced number",text layer p1 and sweep render: [→quote] refers to salt dumps 120–150 m high,MINOR,EV-VN-S009-0004 (QA-M-0083),PROPOSED,MEDIUM,monitoring_observation_catalog.csv; physical_evidence_v1 claims,QA-M-0083: text layer->sweep rendered page->context
QA-C-M040,QA_MANUAL,NEW_VN,EV-VN-S024-0220 EV-VN-S024-0455,VKM-SRC-024,82;154,value (Rp14.1 η),single value in either record,"keep both: -25 мм (Табл.Пр.8) and -32 мм (Рис.25 data table); conflict flag; axis label 'η, м' on Рис.25 is a unit misprint (values in мм)",rendered p154 and p82 confirm internal conflict of the source; no primary log available,MINOR,EV-VN-S024-0459 (QA-M-0080),PROPOSED,MEDIUM,monitoring_observation_catalog.csv,QA-M-0080: text layer->rendered page (p154)->rendered page (p82 chart data table)->caption; render VKM-SRC-024 p154 @150 dpi
QA-C-M041,QA_MANUAL,NEW_VN,EV-VN-S037-0192 EV-VN-S037-0193 EV-VN-S040-0056 EV-VN-S040-0126,VKM-SRC-037;VKM-SRC-040;VKM-SRC-014,037:18;040:19;014:39,"depth_m (shaft 2-bis, SKRU-1)","295,6 m (VKM-SRC-037 Tabl.1.7, as printed; conflicts with its own concrete-lining interval 266,1-395,9 m)","395,9 m (VKM-SRC-040 Ris.1.4 after company report [55], 2015); keep 037 value 295,6 as a conflicting printed value flagged PROBABLE_MISPRINT; do not average","cross-source: 040 prints depth 395,9 with the same lining intervals; 014 Tabl.2.1 hoisting height of the 2-bis skip hoist 402 m is compatible only with a ~396 m shaft",MAJOR,XSRC:SKRU1-SHAFT2BIS-DEPTH,PROPOSED,HIGH,mining_geometry_catalog.csv; spatial_hierarchy.csv; borehole_catalog.csv (shaft 2-bis vertical section),QA render 037 p18 @300 dpi crop (QA-M-0016) + 040 p19 @130 dpi + text layer 014 p39; cross-source
QA-C-M042,QA_MANUAL,NEW_VN,EV-VN-S037-0672,VKM-SRC-037;VKM-SRC-014,"037:109;014:177,181","equation_plain (6.26), stage 2",T_p2 = T_p(K_och1)*(1 - T1/T_p1) (record silently altered the printed form),as printed: T_p2 = T_p (1 - T_1/T_p2) + flag PROBABLE_MISPRINT; intended form T_p2 = T'_p2 (1 - T_1/T_p1) documented as cross-source correction (VKM-SRC-014 (7.12) and worked example p.181; own example p.222),catalogue must hold the printed form and the evidence for the correction separately (no silent edits),MAJOR,EV-VN-S037-0672,PROPOSED,HIGH,MATHEMATICAL_MODEL_REGISTRY.csv; rheology_evidence_catalog.csv,QA render 037 p109 @150 dpi + crop @400 dpi; example 037 p112; text layer 014 p177/p181
QA-C-M043,QA_MANUAL,NEW_VN,EV-VN-S012-0416,VKM-SRC-012,72,"picks (borehole 1404, unit 'PP' at MD 212.68)",PP (MD_RKB top) = 212.68 m,"not a PP pick: the line labelled PP lies inside the carnallite zone (below CZ 161.70, above SZ 229.30) - reused label for an unnamed intra-zone horizon; 1404 PP top = UNKNOWN (above the displayed window)",stratigraphic order PP > PKS > CZ is violated; same label defect as sweep LABEL_ERROR on Ris.3.8,MAJOR,EV-VN-S012-0421,PROPOSED,HIGH,borehole_picks.csv; borehole_catalog.csv; stratigraphic_units.csv,QA render 012 p72 @150 dpi; deterministic order check
QA-C-M044,QA_MANUAL,NEW_VN,EV-VN-S012-0416 EV-VN-S012-0417 EV-VN-S012-0418 EV-VN-S012-0419 EV-VN-S012-0479,VKM-SRC-012,72;87,collar/KB elevation (hypothesis),collar_elevation_m null; 'TVD' labels stored as tvd_as_printed,"MD minus printed 'TVD' is constant per well: 1404 177.38, 1405 158.90, 1407 206.55, 1409 199.52 m -> 'TVD' behaves as depth below a common datum (probably sea level) and the constant as KB elevation: record as HYPOTHESIS (DERIVATION), not as collar elevation, until a collar list is found",deterministic offset check on printed pairs; datum not printed,MINOR,EV-VN-S012-0421,PROPOSED,MEDIUM,borehole_catalog.csv; coordinate_datum_evidence.csv,"QA render 012 p72 @150 dpi, p87 @400 dpi (QA-M-0044); subtraction of printed pairs"
QA-C-M045,QA_MANUAL,NEW_VN,EV-VN-S023-0048 EV-VN-S023-0354 EV-VN-S023-0355 EV-VN-S023-0373 EV-VN-S023-0375 EV-VN-S023-0380 EV-VN-S023-0381 EV-VN-S023-0382 EV-VN-S023-0384 EV-VN-S023-0386 EV-VN-S023-0387 EV-VN-S023-0441 EV-VN-S023-0442 EV-VN-S023-0444 EV-VN-S023-0445 EV-VN-S023-0446 EV-VN-S023-0452 EV-VN-S023-0467 EV-VN-S023-0536,VKM-SRC-023,40 (+ figures with graticules),status / crs of latitude-longitude positions,positions read from graticules treated as coordinates of SKRU-1 objects,DERIVATION: graticules result from the thesis author's control-point georeferencing of local-CS MapInfo layers onto a raster mine-field layout over OpenStreetMap (QGIS 3.30); accuracy UNKNOWN; never survey coordinates; the local mine CS of the source data has no published transformation key,method described by the author on p.40,MAJOR,EV-VN-S023-0204,PROPOSED,HIGH,coordinate_datum_evidence.csv; spatial_hierarchy.csv; monitoring_observation_catalog.csv; geology_evidence.csv,docx text p.40 + QA render p40 @110 dpi
