process_id,process,domain,group,causal_role,causal_path_to_subsidence,required_variables,required_parameters,governing_equations,local_evidence,external_evidence_needed,site_relevance,scale_spatial,scale_temporal,scale,uncertainty,identifiability,expected_importance,expected_importance_level,normal_scenario_role,candidate_future_tool,planned_execution_status,readiness,data_gaps,status,scope,confidence,source_ids,locator,vn_ids,n_local_evidence,n_skru1_scoped_evidence,best_evidence_scope,equation_vn_ids,math_model_ids_FORMULAS_draft,prev_release_refs,key_vn_id,key_quote_check,notes
PC-18,Длительная прочность (порог развития ползучести до разрушения),rheology,RHEO,проверочный критерий (constraint) для напряжений в целиках/слоях,σ > σ∞ → разрушение за конечное время → см. PC-17; σ < σ∞ → затухающая/установившаяся ползучесть без разрушения,"σ∞, Kдл","Kдл: каменная соль 0,60–0,65; сильвинит 0,35–0,40; карналлит 0,20–0,25; σ∞ СКРУ-1 Монолит-1 по h/d",Kдл=σдл/σпр [EV-VN-S025-0873..0875]; ускоренная методика с коррекцией релаксации [EV-VN-S025-0872],"Kдл по табл. 6.1 (прямой и ускоренный методы); СКРУ-1 сильвинит σпр 21,3–48,6 МПа, σ∞ 7,7–24,5 МПа, K∞ 0,36–0,50 в зависимости от h/d (LAB, SITE_SPECIFIC образцы); Соловьёв 1992: σ∞=0,3σсж (красный сильвинит), 0,4σсж (каменная соль) — конфликт",масштабный переход длительной прочности,NORMAL: да (проверка),образец → целик,бесконечное время (асимптота),LAB,LAB; конфликт значений для каменной соли,—,"MEDIUM: критерий, не драйвер; управляет выбором режима",MEDIUM,CONSTRAINT_CHECK,MATLAB; OGS post-processing,CONSTRAINT_CHECK,READY_FOR_LOCAL,перенос на массив = ENGINEERING_ASSUMPTION,FACT,SKRU1,HIGH,VKM-SRC-025;VKM-SRC-037,"VKM-SRC-025 p.162 (Табл. 6.1); VKM-SRC-025 p.162 (Табл. 6.1); VKM-SRC-025 p.162 (Табл. 6.1); VKM-SRC-025 p.163 (Табл. 6.2); VKM-SRC-025 p.163 (Табл. 6.2); VKM-SRC-037 p.12 (§1.2.1, длительная прочность, Рис. 1.13); VKM-SRC-025 p.25 (§2.1); VKM-SRC-025 p.164 (§6.3, с.164, Рис. 6.8, 6.9)",EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0887;EV-VN-S037-0138;EV-VN-S025-0159;EV-VN-S025-0896,8,3,SKRU1,EV-VN-S025-0873;EV-VN-S025-0872,,CL-02;TX-M07;TX-R05,EV-VN-S025-0875,NOT_FOUND,READY_FOR_LOCAL только как LAB-проверка; конфликт PCF-03
PC-19,Релаксация напряжений,rheology,RHEO,снижение концентраций напряжений у контуров и в целиках во времени; перенос нагрузки,релаксация в концентраторах у контура → расширение зоны неупругих деформаций вглубь → перераспределение нагрузки на ядро целика и соседние элементы,σ(t) при ε=const,"параметры корректирующей функции релаксации (a=0,628 сут⁻¹, n=0,122; LAB)",следует из того же реологического закона (COUPLED); коррекция релаксации [EV-VN-S025-0872],"нормативная основа: при интенсивности напряжений выше длительной прочности — релаксация (сильнее в концентраторах), зона неупругих деформаций движется вглубь; LAB: релаксационные опыты для каменной соли и сильвинита; СКРУ-1: качественно (Филатова)",—,NORMAL: да,контур/целик,сутки–годы,LAB,LAB,низкая отдельно от ползучести,"MEDIUM: следствие реологии, не самостоятельный драйвер",MEDIUM,SECOND_ORDER,OGS; FLAC3D,COUPLED_PROCESS,EVIDENCE_WEAK,—,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-025;VKM-SRC-037;VKM-SRC-023,"VKM-SRC-025 p.162 (§6.2, с.162); VKM-SRC-025 p.162 (§6.2, с.162); VKM-SRC-037 p.89 (§6.2 (с.176–177)); VKM-SRC-037 p.91 (§6.3 (теоретическое обоснование методики)); VKM-SRC-023 p.35 (rendered p.35; §2.3)",EV-VN-S025-0872;EV-VN-S025-0870;EV-VN-S037-0557;EV-VN-S037-0576;EV-VN-S023-0162,5,1,SKRU1,EV-VN-S025-0872,,CL-02,EV-VN-S037-0557,NOT_FOUND,в численной модели не задаётся отдельно — возникает из вязкоупругопластического закона
PC-20,"Геологическая ползучесть соли, галокинез, пластическое течение в геологическом времени",rheology,RHEO,"формирует современную геометрию (складки, будинаж) и близкое к гидростатическому начальное поле в соли",геологическое течение соли → складчатость/будинаж/зоны замещения (геометрия) + релаксация девиатора (λ≈1 в соли) → начальные условия,—,—,"диффузионная (Кобла) ползучесть, сверхпластичность — качественно [CL-07]",галокинез и тангенциальная деформация соли; сверхпластическое течение с участием флюидов; течение каменной соли в разрывы при будинаже МГ; вода снижает вязкость,—,NORMAL: только как предыстория/начальное состояние,месторождение,геологическое время,MASSIF,интерпретации автора,—,LOW: для прогноза оседаний — только через геометрию и λ,LOW,CONTEXT_OR_NEGLIGIBLE,—,CONTEXT_ONLY,NOT_APPLICABLE_NORMAL_SCENARIO,—,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-011,"VKM-SRC-011 p.104 (§3.3, p.206); VKM-SRC-011 p.76 (с.151 (выводы)); VKM-SRC-011 p.116 (p.230, [98, 160, 242]); VKM-SRC-011 p.183 (English SUMMARY 3.6 Causes and mechanisms of salt stratum de); VKM-SRC-011 p.75 (с.148); VKM-SRC-011 p.23 (§1.3.2 III комплекс)",EV-VN-S011-1736;EV-VN-S011-1518;EV-VN-S011-1987;EV-VN-S011-3957;EV-VN-S011-1503;EV-VN-S011-0367,6,0,SKRU3,,,CL-07,EV-VN-S011-1736,FUZZY_76,
PC-21,"Повреждённость, дилатансия, микротрещинообразование",damage,DAMAGE,деградация целиков и приконтурных зон; рост проницаемости; снижение модулей,"нагружение выше порога дилатансии → микротрещины (АЭ, падение Vp, разуплотнение) → снижение прочности/модуля → рост C и ускорение ползучести; рост проницаемости ВЗТ","D, εv (дилатансия), Kп","порог дилатансии (<4 МПа одноосно по [86]); Kп=10,6·Pv; снижение прочности/модуля","Kп=10,6·Pv (LAB, 4 точки) [EV-VN-S025-0546]; модель повреждённости как снижение E во времени (MODEL_CHOICE) [EV-VN-S012-0560]","начало дилатансии фиксируется одновременно ростом АЭ, падением Vp, разуплотнением и раскрытием контактов зёрен; проницаемость растёт после дилатансии (не ВКМ, LAB); краевая зона МКЦ разрушается и растёт с возрастом целика (GPR, СКРУ-3, 4 целика, гипотеза)",натурные измерения повреждённости МКЦ СКРУ-1,NORMAL: да (медленная деградация),образец → краевая зона целика,годы–десятилетия,LAB,LAB и косвенные (GPR) признаки,низкая по поверхности,HIGH: механизм долговременной деградации несущей способности,HIGH,SECOND_ORDER,OGS (MFront damage); FLAC3D; gprMax (наблюдение),COMPUTED_LOCAL,EVIDENCE_WEAK,закон накопления повреждённости,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-025;VKM-SRC-029;VKM-SRC-012;VKM-SRC-040,"VKM-SRC-025 p.47 (§2.8, pp.47-48); VKM-SRC-025 p.93 (p.93); VKM-SRC-025 p.102 (§4.1 pp.102-104); VKM-SRC-029 p.72 (§2.2.2, refs [86], [87], [43], Рис. 2.11-2.12); VKM-SRC-029 p.115 (§4.1.2, Рис. 4.4, refs [89,90]); VKM-SRC-012 p.103 (§4.2 p.103); VKM-SRC-040 p.135 (§4.5 (p135-136)); VKM-SRC-040 p.141 (§5.2)",EV-VN-S025-0261;EV-VN-S025-0500;EV-VN-S025-0546;EV-VN-S029-0120;EV-VN-S029-0204;EV-VN-S012-0560;EV-VN-S040-0338;EV-VN-S040-0360,8,1,SKRU1_SKRU2,EV-VN-S025-0546;EV-VN-S012-0560,,,EV-VN-S025-0261,EXACT,
PC-22,"Хрупкое/динамическое разрушение (удароопасность, «мягкое» нагружение целиков)",damage,DAMAGE,возможность внезапного разрушения целиков при накоплении упругой энергии во вмещающей толще,упругая энергия нагружающей системы > энергии разрушения целика → динамическое разрушение → массовое обрушение → резкое оседание (аварийная ветвь),"энергия, жёсткость системы","K_хр (коэффициент хрупкости), модуль спада, жёсткость нагружающей системы",энергетический критерий [EV-VN-S025-0937]; G≥MF/h [EV-VN-S025-0233],"на СКРУ-1 (прибор БП-18) сильвинит и каменная соль без хрупкого отскола; карналлит на границе хрупкий/пластичный (K_хр≈3,1 при критическом 3,0); система «целики–толща» может быть удароопасной как конструкция",—,NORMAL: нет (СКРУ-1 измерено: пластичное поведение сильвинита/каменной соли); ACCIDENT: да,целик/панель,мгновенно,FIELD,—,—,LOW для нормального сценария; HIGH для аварийного,LOW,ACCIDENT_ONLY,FLAC3D (dynamic); OGS (constraint),CONSTRAINT_CHECK,NOT_APPLICABLE_NORMAL_SCENARIO,—,FACT,SKRU1,HIGH,VKM-SRC-025;VKM-SRC-037,"VKM-SRC-025 p.169 (§7.2); VKM-SRC-025 p.176 (§7.4); VKM-SRC-025 p.177 (§7.5); VKM-SRC-025 p.181 (§7.5); VKM-SRC-037 p.82 (§5.2 (с.163–164)); VKM-SRC-025 p.175 (§7.4, табл. 7.5)",EV-VN-S025-0937;EV-VN-S025-1022;EV-VN-S025-1024;EV-VN-S025-1037;EV-VN-S037-0526;EV-VN-S025-0997,6,1,SKRU1,EV-VN-S025-0937;EV-VN-S025-0233,MM-LAB-008,,EV-VN-S025-0997,EXACT,
PC-23,"Деградация и разрушение междукамерных целиков (краевые зоны, отжим, податливые целики)",damage,DAMAGE,изменение геометрии и несущей способности МКЦ во времени,отжим краёв + обрушения кровли/междупластья → рост высоты и уменьшение ширины целика → рост C → ускоренная ползучесть → ускорение оседаний,"b_эф(t), h_эф(t), C(t)",нарушенная краевая зона db (норматив 5 м при выщелачивании — ENGINEERING); K1..K5; режим жёсткий/податливый,P=σсж·(K1/K2)K3K4K5(b−db)/b [EV-VN-S037-0884]; C=γH(a+b)/(σ·…) [EV-VN-S037-0898]; C=P/Q [EV-VN-S031-0002],"отжим краёв и обрушения → высота целика ↑, ширина ↓ → C ↑ → ускорение деформаций (цит. Беляков–Беликов); на ВКМ основной режим — жёсткие ленточные МКЦ (в т.ч. СКРУ-1 по контексту); отслаивание стенок и микротрещины в целиках во времени",фактические ширины/высоты целиков по панелям СКРУ-1 (маркшейдерские планы),NORMAL: да,целик,годы–десятилетия,FIELD,геометрия фактических целиков неизвестна,средняя (через скорость оседаний),HIGH: через C связывает геометрию отработки с темпом оседаний,HIGH,FIRST_ORDER_DRIVER,MATLAB (нормативный расчёт C); OGS/FLAC3D (локальная модель целика),COMPUTED_LOCAL,GEOMETRY_MISSING,"GAP-007; TX-N01, TX-N03",FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-016;VKM-SRC-037;VKM-SRC-014;VKM-SRC-026;VKM-SRC-012;VKM-SRC-040,"VKM-SRC-016 p.3 (Введение, refs [18,19]); VKM-SRC-037 p.166 (формула (8.125)); VKM-SRC-037 p.167 (формула (8.128)); VKM-SRC-014 p.52 (§2.5); VKM-SRC-014 p.52 (§2.5); VKM-SRC-026 p.9 (§2); VKM-SRC-012 p.18 (§1.2); VKM-SRC-040 p.141 (§5.2)",EV-VN-S016-0017;EV-VN-S037-0884;EV-VN-S037-0898;EV-VN-S014-0404;EV-VN-S014-0403;EV-VN-S026-0046;EV-VN-S012-0043;EV-VN-S040-0360,8,0,SKRU3,EV-VN-S037-0884;EV-VN-S037-0898;EV-VN-S031-0002,MM-PILLAR-002;MM-PILLAR-003;MM-PILLAR-010,TX-N01;TX-N03;CF-006;CF-024,EV-VN-S016-0017,EXACT,"EV-VN-S014-0403: 'SKRU-1 by implication' — жёсткие целики на СКРУ-1 выведены по контексту, не прямо"
PC-24,"Расслоение и обрушение кровли камер (заколы, вывалы, постадийное обрушение пачек)",damage,DAMAGE,увеличение высоты выработанного пространства; изменение отпора кровли,"боковой распор + ползучий прогиб слоистой кровли → расслоение по глинистым прослоям → обрушение пачки до h′≈0,7a → рост высоты камеры/целика (C 0,3→0,4) → ускорение ползучести МКЦ → оседание","прогиб кровли U(t), h′","U_кр=L_p·0,1045·exp(−0,256Σm_i/n); λ; мощности слоёв и прослоев; время устойчивости T_p","U_кр [EV-VN-S014-1045]; U(t) (степенной) [EV-VN-S014-1047]; T_p [EV-VN-S014-1053]; σx=λγH(...) [EV-VN-S037-0910]; h′=0,7a [EV-VN-S037-0909]","постадийное обрушение пачки слоёв по мощным глинистым прослоям до h′=0,7a увеличивает высоту камеры/целика (C 0,4 вместо 0,3); продавливание кровли жёсткими целиками; СКРУ-1: обязательная подрезка «коржей» (АБ до 0,3 м, КрII до 0,4 м), вывалы карналлита (1937), продольная трещина в кровле пласта В-Г",статистика обрушений кровли по камерам СКРУ-1,NORMAL: да (локально),камера,сутки–годы,FIELD,эмпирические зависимости; база калибровки не указана,низкая по поверхности,MEDIUM: влияет на оседание опосредованно через C и объём пустот,MEDIUM,SECOND_ORDER,"MATLAB (нормативные T_p, U_кр); FLAC3D/UDEC (слоистая кровля)",EMPIRICAL,GEOMETRY_MISSING,разрезы кровли по камерам СКРУ-1,FACT,SKRU1,MEDIUM,VKM-SRC-014;VKM-SRC-037;VKM-SRC-020;VKM-SRC-011;VKM-SRC-015,"VKM-SRC-014 p.185 (§7.2); VKM-SRC-037 p.168 (§8.4.3); VKM-SRC-037 p.169 (§8.4.3, постадийное обрушение); VKM-SRC-037 p.82 (§5.2 (с.162)); VKM-SRC-020 p.24 (§1.4); VKM-SRC-014 p.113 (§4.1); VKM-SRC-011 p.154 (Прилож. 3 «Павел Иванович Преображенский»; перечень публикац); VKM-SRC-011 p.67 (Рис. 2.60); VKM-SRC-015 p.3 (Введение)",EV-VN-S014-1044;EV-VN-S037-0908;EV-VN-S037-0919;EV-VN-S037-0522;EV-VN-S020-0159;EV-VN-S014-0826;EV-VN-S011-2773;EV-VN-S011-1420;EV-VN-S015-0010,9,3,SKRU1,EV-VN-S014-1045;EV-VN-S014-1047;EV-VN-S014-1053;EV-VN-S037-0910;EV-VN-S037-0909,MM-ROOF-008;MM-CREEP-004;MM-ROOF-010;MM-ROOF-021;MM-STRESS-001;MM-ROOF-007,CL-04,EV-VN-S037-0919,FUZZY_83,нормативные формулы = EMPIRICAL; CL-04
PC-25,"Разрушение и расслоение междупластья (сближенные пласты АБ/КрII, Вс/АБ)",damage,DAMAGE,потеря несущей способности технологического междупластья при многопластовой отработке,нагрузка Q_мп на междупластье; несоосность камер → концентрация напряжений → установившаяся ползучесть до ε*_мп → расслоение/разрушение → перераспределение нагрузки на целики → ускоренное разрушение целиков → рост оседания,"ε_мп(t), C_мп","C_мп=Q_мп/P_мп (жёсткий режим при C_мп≤0,2); ε*_мп=0,3h_мп/min(a1,a2) [%]; ε̇_мп (эксп. закон, δ0=0,0183)",C_мп [EV-VN-S014-1069]; Q_мп [EV-VN-S014-1072]; P_мп [EV-VN-S014-1074]; ε*_мп [EV-VN-S014-1078]; t_мп=ε*_мп/ε̇_мп [EV-VN-S014-1081]; ε̇_мп (CL-03) [EV-VN-S014-1079],"нормативная методика: при C_мп≤0,2 — жёсткий режим; иначе установившаяся ползучесть до критической деформации и расслоение; несоосные камеры → K>0,6 в краевых частях междупластья при H_мпл<4 м (упругий МКЭ); разрушение междупластья ускоряет разрушение целиков; СКРУ-1: совместная выемка Вс и АБ с выемкой междупластья Б–В; ПОЛЕВОЙ СЛУЧАЙ (рудник не назван, возможно СКРУ-1 — не повышать): блок 129, КрII+АБ без закладки (1965–1976) → разрушение междупластья 1984–85 → резкий рост скоростей оседания; оседание 3,2 м к 2022",мощности междупластий и соосность камер по панелям СКРУ-1,NORMAL: да (многопластовый рудник),междупластье 1–10 м; камера,годы,DESIGN,эмпирические константы; калибровка не указана,низкая по поверхности,"HIGH: на СКРУ-1 отрабатываются несколько сближенных пластов (КрII, АБ, Вс/Вк)",HIGH,FIRST_ORDER_DRIVER,MATLAB (нормативный t_мп); FLAC3D/OGS (локальная 2D модель),SEMI_ANALYTICAL,GEOMETRY_MISSING,"мощности междупластий, взаимное положение камер (MINING); CL-03 происхождение калибровки",FACT,SKRU1,MEDIUM,VKM-SRC-014;VKM-SRC-032;VKM-SRC-020;VKM-SRC-016;VKM-SRC-040;VKM-SRC-021,"VKM-SRC-014 p.193 (§7.3); VKM-SRC-014 p.193 (§7.3, (7.26)-(7.27)); VKM-SRC-014 p.195 (§7.3, (7.34)); VKM-SRC-032 p.4 (p4; Рис.2; p5); VKM-SRC-020 p.20 (§1.3); VKM-SRC-016 p.3 (Введение, refs [6,17]); VKM-SRC-040 p.141 (§5.2); VKM-SRC-014 p.115 (§4.1); VKM-SRC-021 p.3 (пример блок 129); VKM-SRC-021 p.3 (пример блок 129); VKM-SRC-021 p.3 (пример блок 129)",EV-VN-S014-1070;EV-VN-S014-1069;EV-VN-S014-1079;EV-VN-S032-0022;EV-VN-S020-0142;EV-VN-S016-0016;EV-VN-S040-0363;EV-VN-S014-0832;EV-VN-S021-0033;EV-VN-S021-0032;EV-VN-S021-0035,11,1,SKRU1,EV-VN-S014-1069;EV-VN-S014-1072;EV-VN-S014-1074;EV-VN-S014-1078;EV-VN-S014-1081;EV-VN-S014-1079,MM-IS-001;MM-IS-002;MM-STR-003;MM-CREEP-003,CL-03;GAP-015;TX-N08,EV-VN-S014-1070,FUZZY_81,нормативные формулы — VKM_REGIONAL; факт многопластовой отработки — SKRU1
PC-26,"Сдвиг, ползучесть и раскрытие по глинистым контактам (межслоевое проскальзывание, дилатансия контакта)",interfaces,INTERF,"ослабленные плоскости в слоистом массиве: кровля, междупластье, ВЗТ","перераспределение напряжений при выемке → τ на глинистых контактах > σ·tgφн → ползучесть по контакту (ядро Абеля α=0,7) → сдвиги/расслоения → потеря связности кровли/междупластья, рост податливости массива → конвергенция","u_s(t) (сдвиг по контакту), u_n (раскрытие)","tgφн=0,43; Ks; δ, α=0,7; сцепление/трение пиковое и остаточное; дилатансия; шероховатость",τн=σ·tgφн [EV-VN-S025-0826]; u(t)=u1+u2(t) [EV-VN-S025-0829]; ядро Абеля для контакта [EV-VN-S025-0831],"LAB: разупрочнение контакта при сдвиге до остаточной прочности; переход к пластичному проскальзыванию с ростом σ; дилатансия контакта; ползучесть по контакту при τ>τн (3 образца, ≈33 сут; закон Абеля α=0,7); норматив: слабый прослой в своде давления → рост скорости конвергенции и сокращение времени устойчивости выработки",натурные данные о сдвигах по контактам (глубинные реперы); распределение глинистых прослоев по разрезу СКРУ-1,NORMAL: да,контакт/слой; кровля и междупластье,сутки–годы,LAB,"LAB, малая выборка; геометрия прослоев — из стратиграфии",низкая,MEDIUM: определяет устойчивость кровли/междупластья и податливость; на масштабе шахты — эффективное представление,MEDIUM,SECOND_ORDER,OGS (LIE / interface elements); FLAC3D (interfaces); UDEC,COMPUTED_LOCAL,PARAMETERS_MISSING,массивные параметры контактов; положение прослоев в разрезе СКРУ-1,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-025;VKM-SRC-037;VKM-SRC-016,"VKM-SRC-025 p.131 (Гл. V §5.1 p.131); VKM-SRC-025 p.134 (§5.1, с.134); VKM-SRC-025 p.137 (Рис. 5.5,в); VKM-SRC-025 p.139 (§5.1, с.139, Рис. 5.6,б); VKM-SRC-025 p.149 (§5.5, с.149-150); VKM-SRC-025 p.149 (§5.5 + §5.3, с.143-151); VKM-SRC-037 p.104 (§6.9.2, с. 207); VKM-SRC-016 p.3 (Введение, refs [6,17]); VKM-SRC-025 p.151 (§5.5, с.151, (5.15)-(5.17))",EV-VN-S025-0707;EV-VN-S025-0731;EV-VN-S025-0758;EV-VN-S025-0766;EV-VN-S025-0825;EV-VN-S025-0909;EV-VN-S037-0645;EV-VN-S016-0016;EV-VN-S025-0833,9,0,VKM_REGIONAL,EV-VN-S025-0826;EV-VN-S025-0829;EV-VN-S025-0831,MM-CONTACT-005,TX-M09,EV-VN-S025-0825,NOT_FOUND,
PC-27,Снижение несущей способности целика глинистыми контактами (устранение торцевого трения),interfaces,INTERF,модификатор прочности МКЦ,"глинистый прослой на контакте целик–кровля/почва → устранение конусов объёмного сжатия → снижение прочности (до 2,4 раза, LAB) → рост C → ползучесть/разрушение МКЦ",P (несущая способность),"коэффициент снижения прочности от прослоя (по h/d, мощности прослоя, влажности W=6/12 %)",коэффициенты K1..K5 в P [EV-VN-S037-0884] (нормативно),"LAB (УФ ВНИИГ): прослой на контакте снимает торцевое трение, прочность падает до 2,4 раза при h/d=1; пластичная глина выдавливается и вызывает поперечное растяжение соли; толще прослой — ниже прочность; увлажнение прослоев (рассолы, конденсат) усиливает эффект",натурная верификация (обратный анализ целиков с прослоями),NORMAL: да,целик,постоянно/годы,LAB,LAB,низкая,MEDIUM: прямой множитель несущей способности (C),MEDIUM,SECOND_ORDER,MATLAB (нормативный P); OGS/FLAC3D,SEMI_ANALYTICAL,PARAMETERS_MISSING,наличие/мощность прослоев на контактах целиков СКРУ-1,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-037;VKM-SRC-025;VKM-SRC-033;VKM-SRC-027,"VKM-SRC-037 p.12 (§1.2.1, Рис. 1.9); VKM-SRC-037 p.10 (§1.2.1); VKM-SRC-025 p.117 (§4.4 pp.116-118); VKM-SRC-025 p.119 (§4.4 p.119, Рис. 4.16-4.17); VKM-SRC-033 p.1 (Введение); VKM-SRC-027 p.1 (Аннотация)",EV-VN-S037-0132;EV-VN-S037-0121;EV-VN-S025-0635;EV-VN-S025-0651;EV-VN-S033-0005;EV-VN-S027-0004,6,0,USOLSKY,EV-VN-S037-0884,MM-PILLAR-002,,EV-VN-S037-0132,NOT_FOUND,
PC-28,"Выемка: разгрузка, последовательность и хронология отработки",mechanics,MINING,ПЕРВИЧНОЕ ВОЗДЕЙСТВИЕ (forcing) на массив,"выемка камер (пласт, блок, панель, дата) → снятие опоры → перераспределение нагрузки на МКЦ → конвергенция → оседание; порядок (прямой/обратный, восходящий/нисходящий) влияет на историю нагружения",геометрия выработанного пространства Ω(t),"a, b, h по камерам; даты начала/конца; пласт; порядок",деактивация элементов (staged excavation) [EV-VN-S012-0505] (MODEL_CHOICE),"СКРУ-1: прямой и обратный порядок выемки в панелях и блоках; прямой порядок на уровне шахтного поля; сильвинитовые пласты Вс, АБ, КрII — комбайновая выемка; СКРУ-2: восходящая последовательность (КрII, затем АБ и Вс) — неблагоприятно; начало процесса сдвижения = начало очистных работ на участке (норматив); таблица параметров шахтного поля СКРУ-1 (H кровли, мощность, ширины) у предприятия",оцифрованные планы горных работ СКРУ-1 с датами (маркшейдерская документация),NORMAL: да — первичный вход,камера → шахтное поле,1930-е → настоящее (дискретно по блокам),FIELD,фактическая геометрия и даты выемки в корпусе не оцифрованы,—,HIGH: главный вход; без неё процесс не вычисляется,HIGH,FIRST_ORDER_DRIVER,AutoCAD/Micromine (планы); OGS/FLAC3D (staged excavation),COMPUTED_3D,GEOMETRY_MISSING,GAP-007 CRITICAL (геометрия и хронология по сечению/полю СКРУ-1),FACT,SKRU1,HIGH,VKM-SRC-014;VKM-SRC-012;VKM-SRC-023,"VKM-SRC-014 p.82 (§3.1); VKM-SRC-014 p.113 (§4.1); VKM-SRC-014 p.113 (§4.1); VKM-SRC-012 p.34 (§1.4.2); VKM-SRC-012 p.95 (§4.1); VKM-SRC-023 p.42 (§3.1.2 table 2, rendered p.42); VKM-SRC-012 p.54 (§2.4)",EV-VN-S014-0545;EV-VN-S014-0824;EV-VN-S014-0823;EV-VN-S012-0173;EV-VN-S012-0505;EV-VN-S023-0223;EV-VN-S012-0258,7,5,SKRU1,EV-VN-S012-0505,MM-GEOMECH-002,TX-N04;TX-N05;GAP-007;CF-022,EV-VN-S014-0824,EXACT,см. поток MINING
PC-29,"Конвергенция камер и большие деформации (прогиб кровли, пучение почвы, боковое выдавливание целиков)",mechanics,MINING,"объём, «теряемый» выработанным пространством = источник объёма мульды","ползучесть целиков/кровли/почвы → уменьшение высоты и ширины камер (конвергенция) → опускание кровли пласта → передача через толщу → оседание (конечное оседание ≈0,9 от приведённой вынутой мощности)","u_roof, u_floor, u_h (конвергенция), ε целика","ε⊥/ε∥=1,6; ε_кр≈5 %; степенной закон U(t) кровли (A1, ω, b/h)","U(t)/L_p=U0/L_p+A1(b/h)^-0,5(1,7+ω)(1−ω)^0,5·t^… (CL-04) [EV-VN-S014-1047]; η0=0,9ΣS_i/(a+b) [EV-VN-S037-0925]","замерные станции БКПРУ-4 (2013–2020): вертикальные смещения по оси камер АБ и КрII, поперечные смещения МКЦ; кинематическая связь деформации МКЦ и оседания (ε⊥/ε∥=1,6, ε_кр≈5 %); поддирка почвы (связь с пучением — интерпретация); активная стадия формирования НЗНД ~1–2 мес",конвергенционные станции СКРУ-1 (в корпусе нет данных),NORMAL: да — центральное звено,камера/целик,месяцы–десятилетия,FIELD,деформации целиков до 5 % — малые деформации допустимы до ε_кр; далее — большие,высокая при наличии станций; иначе — через оседания,HIGH: прямой кинематический предшественник оседания,HIGH,FIRST_ORDER_DRIVER,OGS (small strain; large-strain RESEARCH); FLAC3D (large strain),COMPUTED_LOCAL,PARAMETERS_MISSING,натурная конвергенция СКРУ-1,ANALOGUE,BKPRU4,MEDIUM,VKM-SRC-034;VKM-SRC-014;VKM-SRC-020;VKM-SRC-037,"VKM-SRC-034 p.2 (§ участок 1; рис. 1б); VKM-SRC-034 p.2 (§ участок 1; рис. 2б, 2в); VKM-SRC-034 p.4 (весь текст); VKM-SRC-014 p.186 (§7.2, (7.18)); VKM-SRC-020 p.149 (§4.1.6); VKM-SRC-037 p.94 (§6.5, с. 187 («эффект технологической податливости»)); VKM-SRC-037 p.169 (формула (8.135))",EV-VN-S034-0015;EV-VN-S034-0016;EV-VN-S034-0041;EV-VN-S014-1047;EV-VN-S020-0337;EV-VN-S037-0592;EV-VN-S037-0925,7,0,BKPRU4,EV-VN-S014-1047;EV-VN-S037-0925,MM-CREEP-004;MM-SUBS-015;MM-PILLAR-009,TX-K02;CL-04,EV-VN-S034-0041,NOT_FOUND,статус ANALOGUE для СКРУ-1 (натурные данные БКПРУ-4)
