process_id,vn_id,kind,source_id,locator,pdf_page,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,role,notes,record_normalization
PC-02,EV-VN-S012-0065,parameter,VKM-SRC-012,VKM-SRC-012 p.26 (Табл. 1.1 [69]),26,FACT,NORMATIVE,VKM_REGIONAL,DESIGN,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,"Normative E (0.5-1.5 GPa) is an order of magnitude below lab mean E 13.8 GPa on same page: effective/deformation moduli for large-scale calculations, not lab moduli.",
PC-03,EV-VN-S012-0071,stress_measurement,VKM-SRC-012,"VKM-SRC-012 p.27 (§1.4.1, [8], [2], [1])",27,FACT,LITERATURE_CITED,VKM_REGIONAL,MASSIF,HIGH,TEXT_LAYER,FUZZY_86,SUPPORT,Reference numbering inconsistent: GI UrO RAN results cited as [2] then [1]; ref [1] elsewhere = Doering T. (p.17). Check bibliography in later chunk.,
PC-03,EV-VN-S029-0055,stress_measurement,VKM-SRC-029,"VKM-SRC-029 p.44 (§1.3.1, pp.44-45, рис. 1.23)",44,FACT,LITERATURE_CITED,VKM_REGIONAL,LAB,MEDIUM,VISUAL_READ,EXACT,SUPPORT,"cited_ref [62] Токсаров В.Н., Асанов В.А. Symbols σ1, σ2=σ3, σ1−σ3 missing from text layer; read visually. Horizontal stress thus DERIVED by [62] from assumed σv, not independently measured.",
PC-03,EV-VN-S029-0226,stress_measurement,VKM-SRC-029,"VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2))",128,FACT,MEASURED,BKPRU2,FIELD,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_85,SUPPORT,"γH = 7.7 MPa is the author's estimate (DERIVATION), 8.5 MPa is measured tendency. λ = 0.6 is mean over measured points — per Ch.4 concl.6 minimum-component Kaiser estimates may be biased high.",
PC-03,EV-VN-S029-0160,stress_measurement,VKM-SRC-029,"VKM-SRC-029 p.91 (§3.1, ref [69])",91,ENGINEERING_ASSUMPTION,LITERATURE_CITED,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_80,SUPPORT,Duplicates EV-RMB-0209/0210.,
PC-03,EV-VN-S037-0617,stress_measurement,VKM-SRC-037,"VKM-SRC-037 p.99 (§6.7, с. 196)",99,MODEL_CHOICE,NORMATIVE,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,"Контраст: в методике расчёта пролётов (EV-MIN-1358, §8.4.3) λ=0,45. Разные модельные λ в одном руководстве.",
PC-03,EV-VN-S012-0073,claim,VKM-SRC-012,VKM-SRC-012 p.27 (§1.4.1),27,MODEL_CHOICE,DESCRIPTIVE,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,EXACT,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-03,EV-VN-S037-0910,formula,VKM-SRC-037,VKM-SRC-037 p.168 (формула (8.130)),168,FACT,NORMATIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,KEY,,
PC-03,EV-VN-S023-0163,stress_measurement,VKM-SRC-023,VKM-SRC-023 p.35 (rendered p.35; §2.3),35,ANALOGUE,LITERATURE_CITED,NON_VKM,NOT_APPLICABLE,LOW,DOCX_TEXT,FUZZY_76,SUPPORT,"Per existing review, [23] = Kozyrev et al. 2009 (rock mass near a large open pit, not VKM, not salt). σv = 0.025z implies γ≈25 kN/m³ (hard rock), inconsistent with salt/overburden density. Do NOT use as SKRU-1 in-situ stress. Verify [23] in bibliography chunk.",
PC-03,EV-VN-S029-0124,process_mechanism,VKM-SRC-029,"VKM-SRC-029 p.72 (§2.2.2, refs [89-91], [38])",72,FACT,INTERPRETATION,GENERAL_METHOD,MASSIF,MEDIUM,TEXT_LAYER,FUZZY_82,SUPPORT,Supports long-term relaxation (creep) of the salt massif toward near-lithostatic state — relevant to initial stress assumptions.,
PC-04,EV-VN-S037-0059,process_mechanism,VKM-SRC-037,VKM-SRC-037 p.6 (§1.1.3),6,FACT,INTERPRETATION,VKM_REGIONAL,NOT_APPLICABLE,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,KEY,Relevant to initial stress state (possible horizontal tectonic component) — qualitative only; no stress magnitudes here.,
PC-04,EV-VN-S014-0217,process_mechanism,VKM-SRC-014,VKM-SRC-014 p.20 (§1.3),20,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,SUPPORT,"Implication for 3D world: fault/fracture zones in the above-salt (water-bearing) complex over folded salt — pathways for water, weak zones.",
PC-04,EV-VN-S030-0038,stress_measurement,VKM-SRC-030,VKM-SRC-030 p.4 (Табл. 1),4,FACT,MEASURED,VKM_REGIONAL,FIELD,HIGH,VISUAL_READ,NOT_FOUND,SUPPORT,Orientation of breakout long axis (σmin direction by the stated rule). Well 711 orientation is new vs existing digest. All sub-salt; none in salt.,
PC-04,EV-VN-S030-0052,stress_measurement,VKM-SRC-030,VKM-SRC-030 p.5 (Табл. 2),5,DERIVATION,CALCULATED_BY_AUTHOR,VKM_REGIONAL,FIELD,MEDIUM,VISUAL_READ,NOT_FOUND,SUPPORT,'Верийские' in Табл. 2 vs 'Верейские' in Табл. 1 (typo). Sub-salt Paleozoic; derived under assumptions; not an SKRU-1 salt-level magnitude.,
PC-04,EV-VN-S030-0053,stress_measurement,VKM-SRC-030,VKM-SRC-030 p.5 (Табл. 2),5,DERIVATION,CALCULATED_BY_AUTHOR,VKM_REGIONAL,FIELD,MEDIUM,VISUAL_READ,NOT_FOUND,SUPPORT,Sub-salt Paleozoic; derived under assumptions; not an SKRU-1 salt-level magnitude.,
PC-04,EV-VN-S030-0055,stress_measurement,VKM-SRC-030,VKM-SRC-030 p.5 (Табл. 2),5,DERIVATION,CALCULATED_BY_AUTHOR,VKM_REGIONAL,FIELD,MEDIUM,VISUAL_READ,NOT_FOUND,SUPPORT,Sub-salt Paleozoic; derived under assumptions; not an SKRU-1 salt-level magnitude.,
PC-04,EV-VN-S012-0141,process_mechanism,VKM-SRC-012,"VKM-SRC-012 p.31 (§1.4.2, [58])",31,FACT,LITERATURE_CITED,SOLIKAMSK_GROUP,FIELD,LOW,TEXT_LAYER,EXACT,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-04,EV-VN-S037-0024,process_mechanism,VKM-SRC-037,"VKM-SRC-037 p.4 (§1.1.1, положения 1–3 новой тектонической концепции ВНИИГ (с)",4,FACT,INTERPRETATION,VKM_REGIONAL,NOT_APPLICABLE,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,"Implication stated: no distinct structural stages, structures linear → hazardous ВЗТ zones forecastable from workings + structural boreholes. Relevant for 3D fault/fold zones and weak interfaces (срывы).",
PC-05,EV-VN-S023-0318,claim,VKM-SRC-023,VKM-SRC-023 p.48 (Рис.25а (image27.png)),48,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM,VISUAL_READ,EXACT_ADJACENT_PAGE,SUPPORT,,
PC-05,EV-VN-S011-0702,process_mechanism,VKM-SRC-011,VKM-SRC-011 p.38 (текст с.74),38,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,KEY,,
PC-05,EV-VN-S023-0075,hydro,VKM-SRC-023,VKM-SRC-023 p.26 (rendered p.26; §2.1 (rendered p.25-26)),26,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,DOCX_TEXT,FUZZY_82,SUPPORT,cited_ref [12]. Seasonal hydrology may matter for seasonal surface signals (levelling/InSAR).,
PC-05,EV-VN-S023-0327,claim,VKM-SRC-023,"VKM-SRC-023 p.52 (Табл.1.1 rows 16-19 (all.md), rendered p.52)",52,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM,DOCX_TEXT,NOT_FOUND,SUPPORT,Inference from field names; the thesis text does not name the DEM explicitly in §3.1.3. SRTM (2000 epoch) captures surface after decades of subsidence — relief features partly contain subsidence signal (possible target leakage into features).,
PC-06,EV-VN-S012-0065,parameter,VKM-SRC-012,VKM-SRC-012 p.26 (Табл. 1.1 [69]),26,FACT,NORMATIVE,VKM_REGIONAL,DESIGN,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,KEY,"Normative E (0.5-1.5 GPa) is an order of magnitude below lab mean E 13.8 GPa on same page: effective/deformation moduli for large-scale calculations, not lab moduli.",
PC-06,EV-VN-S012-0063,parameter,VKM-SRC-012,"VKM-SRC-012 p.26 (§1.4.1, [8])",26,FACT,LITERATURE_CITED,VKM_REGIONAL,LAB,HIGH,TEXT_LAYER,FUZZY_72,SUPPORT,,
PC-06,EV-VN-S025-0167,formula,VKM-SRC-025,"VKM-SRC-025 p.28 (формула (2.2), §2.2)",28,FACT,DESCRIPTIVE,GENERAL_METHOD,LAB,HIGH,VISUAL_READ,NOT_FOUND,SUPPORT,"OCR garbled 'Ед= И, ра + ША — 2/1 - в)'; visually confirmed. Not in existing digest.",
PC-06,EV-VN-S012-0478,claim,VKM-SRC-012,"VKM-SRC-012 p.86 (§3.5, Рис. 3.20)",86,MODEL_CHOICE,INTERPRETATION,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,EXACT,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-06,EV-VN-S012-0481,claim,VKM-SRC-012,VKM-SRC-012 p.87 (§3.5),87,MODEL_CHOICE,MODEL_CALIBRATED,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,EXACT,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-06,EV-VN-S012-0492,conflict_note,VKM-SRC-012,VKM-SRC-012 p.90 (Рис. 3.21–3.24),90,UNKNOWN,INTERPRETATION,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VISUAL_READ,EXACT,SUPPORT,Matters for any re-use of these fields in a WorldSpec: overburden properties are not supported by the lab dataset.,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-06,EV-VN-S012-0500,claim,VKM-SRC-012,VKM-SRC-012 p.94 (§4.1),94,MODEL_CHOICE,MODEL_CALIBRATED,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,FUZZY_83,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-06,EV-VN-S025-0665,parameter,VKM-SRC-025,VKM-SRC-025 p.121 (§4.5 pp.121-122 cites [37]),121,FACT,LITERATURE_CITED,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,cited_ref [37]; existing EV-AUD-0009 on p.122 covers ν part. Quantitative moisture effects differ strongly between authors (source's own statement).,
PC-07,EV-VN-S029-0155,formula,VKM-SRC-029,VKM-SRC-029 p.90 (Рис. 3.1),90,MODEL_CHOICE,CALCULATED_BY_AUTHOR,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,VISUAL_READ,FUZZY_81,KEY,"Breakpoints (10 MPa, 20 MPa, 0.4 %, 1.4 %, 2.4 %) read visually from Fig. 3.1; not stated numerically in text.",
PC-07,EV-VN-S025-0276,formula,VKM-SRC-025,VKM-SRC-025 p.52 (формула (2.9)),52,FACT,NORMATIVE,GENERAL_METHOD,LAB,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,"Distinction E (unloading, elastic) vs D (loading, deformation modulus) essential: Табл. 2.2 E ~13.8 ГПа vs Dу ~2.3 ГПа for red sylvinite (existing EV-RMR-0013/0014).",
PC-07,EV-VN-S029-0173,process_mechanism,VKM-SRC-029,"VKM-SRC-029 p.99 (§3.2.2, Рис. 3.8 в,г)",99,DERIVATION,CALCULATED_BY_AUTHOR,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,EXACT,SUPPORT,"Stage-3 stresses: jack along σ1 restores σr and σz while σθ concentration persists; along σ3 σr restores, σθ and σz concentrations unchanged (Fig. 3.8 а,б).","status FACT→DERIVATION (model/calculated product, not an observation)"
PC-08,EV-VN-S025-0703,process_mechanism,VKM-SRC-025,VKM-SRC-025 p.129 (§4.6 p.129),129,FACT,INTERPRETATION,SOLIKAMSK_GROUP,LAB,MEDIUM,OCR_VISUALLY_CONFIRMED,EXACT,KEY,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-08,EV-VN-S025-0688,formula,VKM-SRC-025,VKM-SRC-025 p.126 (§4.6 формула (4.13)),126,FACT,LAB_TEST,SOLIKAMSK_GROUP,LAB,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,"Visually confirmed at 250 dpi. Links stratigraphic geometry (roof elevation, thickness) to strength → spatially variable material field. Height system of Zкр not stated (absolute elevation, presumably Baltic).",scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-08,EV-VN-S012-0155,claim,VKM-SRC-012,"VKM-SRC-012 p.33 (§1.4.2, [42])",33,FACT,LITERATURE_CITED,SKRU1_SKRU2_PILLAR,FIELD,HIGH,TEXT_LAYER,FUZZY_96,SUPPORT,,scope SKRU1_SKRU2→SKRU1_SKRU2_PILLAR (D-17)
PC-08,EV-VN-S023-0198,process_mechanism,VKM-SRC-023,"VKM-SRC-023 p.39 (Выводы по гл.2, rendered p.39)",39,UNKNOWN,INTERPRETATION,SKRU1,NOT_APPLICABLE,MEDIUM,DOCX_TEXT,EXACT,SUPPORT,Fold/replacement-zone mechanism partly new vs EV-GEO-0259 digest (digest truncated). Relevant for 3D heterogeneity of stiffness (replacement zones are mapped in Fig.25 layers).,
PC-08,EV-VN-S012-0470,claim,VKM-SRC-012,VKM-SRC-012 p.84 (§3.5),84,MODEL_CHOICE,INTERPRETATION,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,EXACT,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-08,EV-VN-S005-0011,seismic,VKM-SRC-005,VKM-SRC-005 p.2 (§Постановка задачи; Рис.1 легенда),2,FACT,INTERPRETATION,OTHER_POTASH_SITE,FIELD,HIGH,VISUAL_READ,EXACT,SUPPORT,"Год сейсморазведки (2014) виден только на рисунке (легенда), в тексте его нет — новое.",
PC-08,EV-VN-S011-1055,process_mechanism,VKM-SRC-011,VKM-SRC-011 p.53 (текст стр. 105),53,DERIVATION,INTERPRETATION,VKM_REGIONAL,FIELD,HIGH,TEXT_LAYER,EXACT,SUPPORT,"Geomechanical implication is reader inference, not the author's claim.",
PC-09,EV-VN-S025-0590,parameter,VKM-SRC-025,VKM-SRC-025 p.111 (§4.3 p.111 cites [24]),111,FACT,LITERATURE_CITED,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,KEY,cited_ref [24]; long-term strength anisotropy relevant to rheology.,
PC-09,EV-VN-S025-0595,claim,VKM-SRC-025,VKM-SRC-025 p.111 (§4.3 p.111),111,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_76,SUPPORT,,
PC-09,EV-VN-S025-0596,parameter,VKM-SRC-025,VKM-SRC-025 p.112 (§4.3 p.112 text),112,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_81,SUPPORT,Explanation references [40] (ordered microfracturing). Text ranges differ from Табл. 4.4 values (see conflict_note).,
PC-09,EV-VN-S025-0597,parameter,VKM-SRC-025,VKM-SRC-025 p.112 (Табл. 4.4),112,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,Visually confirmed at 220 dpi. New vs digest.,
PC-09,EV-VN-S025-0588,claim,VKM-SRC-025,VKM-SRC-025 p.111 (§4.3 p.111),111,FACT,DESCRIPTIVE,VKM_REGIONAL,MASSIF,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,,
PC-09,EV-VN-S041-0006,process_mechanism,VKM-SRC-041,VKM-SRC-041 p.2 (Введение),2,FACT,INTERPRETATION,VKM_REGIONAL,LAB,HIGH,TEXT_LAYER,EXACT,SUPPORT,,
PC-09,EV-VN-S014-0309,claim,VKM-SRC-014,VKM-SRC-014 p.24 (§1.5),24,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,SUPPORT,,
PC-10,EV-VN-S012-0524,process_mechanism,VKM-SRC-012,VKM-SRC-012 p.99 (§4.2),99,DERIVATION,INTERPRETATION,GENERAL_METHOD,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,KEY,,status INTERPRETATION→DERIVATION (author's interpretation of data; status vocabulary)
PC-10,EV-VN-S012-0526,subsidence_method,VKM-SRC-012,VKM-SRC-012 p.99 (§4.2),99,FACT,LITERATURE_CITED,GENERAL_METHOD,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,SUPPORT,,
PC-10,EV-VN-S012-0525,claim,VKM-SRC-012,VKM-SRC-012 p.99 (§4.2),99,MODEL_CHOICE,MODEL_CALIBRATED,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,EXACT,SUPPORT,Calibration uses the same survey data later used for comparison -> not an independent validation.,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-10,EV-VN-S025-0373,claim,VKM-SRC-025,"VKM-SRC-025 p.74 (p.74, Рис. 3.5)",74,FACT,LITERATURE_CITED,GENERAL_METHOD,LAB,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,in-text ref [62],
PC-10,EV-VN-S025-0402,claim,VKM-SRC-025,"VKM-SRC-025 p.77 (p.77, Рис. 3.7)",77,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,,
PC-10,EV-VN-S025-0407,parameter,VKM-SRC-025,VKM-SRC-025 p.78 (p.78),78,FACT,LAB_TEST,VKM_REGIONAL,LAB,MEDIUM,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,,
PC-10,EV-VN-S025-0194,parameter,VKM-SRC-025,VKM-SRC-025 p.32 (§2.3),32,FACT,LITERATURE_CITED,GENERAL_METHOD,LAB,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_60,SUPPORT,Scale factor direction for salt: strength increases with size up to stabilization. OCR 'о‹ж' = σсж.,
PC-11,EV-VN-S012-0500,claim,VKM-SRC-012,VKM-SRC-012 p.94 (§4.1),94,MODEL_CHOICE,MODEL_CALIBRATED,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,FUZZY_83,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-11,EV-VN-S012-0511,claim,VKM-SRC-012,VKM-SRC-012 p.96 (§4.1),96,MODEL_CHOICE,INTERPRETATION,SOLIKAMSK_GROUP,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,FUZZY_79,SUPPORT,,scope SKRU1_SKRU2→SOLIKAMSK_GROUP (D-17)
PC-11,EV-VN-S016-0032,rheology_law,VKM-SRC-016,VKM-SRC-016 p.5 (текст p.5; Рис.4; формула (2) p.6; табл.1 [29]),5,MODEL_CHOICE,MODEL_CALIBRATED,BKPRU4,CALIBRATED_EFFECTIVE_MODEL,HIGH,TEXT_LAYER,FUZZY_69,SUPPORT,"Units of A not printed -> A unusable for re-implementation without unit system (MPa & s vs days vs years). Abstract claims lab calibration (conflict_note). Dilation angle, flow potential eccentricity, K (flow stress ratio), hardening curve not given.",
PC-11,EV-VN-S025-0487,process_mechanism,VKM-SRC-025,VKM-SRC-025 p.90 (p.90),90,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,KEY,Relevance: pillar cores under confinement retain residual strength; nonlinear (parabolic) envelope.,
PC-11,EV-VN-S025-0493,process_mechanism,VKM-SRC-025,VKM-SRC-025 p.91 (Рис. 3.17 (interpretation of figure)),91,DERIVATION,INTERPRETATION,VKM_REGIONAL,LAB,MEDIUM,GRAPH_DIGITIZED_APPROX,FUZZY_85,SUPPORT,"Interpretive summary of figure shape, not authors' quantitative statement.",status INTERPRETATION→DERIVATION (author's interpretation of data; status vocabulary)
PC-11,EV-VN-S036-0044,rheology_law,VKM-SRC-036,VKM-SRC-036 p.6 (Table 1: “Mohr-Coulomb + Bingham” model parameters),6,DERIVATION,MODEL_CALIBRATED,UNSTATED,CALIBRATED_EFFECTIVE_MODEL,HIGH,VISUAL_READ,NOT_FOUND,SUPPORT,Table values visually confirmed at 130 dpi. Separate eta per load level = stress-dependent viscosity not captured by the law itself; eta decreases with p.,status FACT→DERIVATION (D-01: calibrated value)
PC-11,EV-VN-S037-0551,process_mechanism,VKM-SRC-037,VKM-SRC-037 p.87 (§6.1 (с.173)),87,FACT,NORMATIVE,VKM_REGIONAL,MASSIF,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,,
PC-11,EV-VN-S037-0707,parameter,VKM-SRC-037,"VKM-SRC-037 p.118 (§6.10.4, с. 234)",118,FACT,NORMATIVE,VKM_REGIONAL,MASSIF,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,Важный региональный порог: H∞=300 м для ВКМ. Сопоставить с диапазоном глубин выработок 270–410 м (табл. 6.17 — среднее 340 м): большинство выработок ВКМ глубже порога → неупругая зона с затухающим ростом.,
PC-12,EV-VN-S025-0363,process_mechanism,VKM-SRC-025,"VKM-SRC-025 p.72 (p.72, Рис. 3.4 г)",72,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_77,SUPPORT,Relevance: slender pillars / high h/d elements may fail dynamically (link to Ch. VII brittleness).,
PC-12,EV-VN-S025-0474,process_mechanism,VKM-SRC-025,VKM-SRC-025 p.86 (p.86),86,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_76,KEY,"Key rheology-relevant mechanism: rate effects concentrate in post-peak (softening) stage rather than pre-peak; implication for wide (low h/d) pillars — ductile post-peak flow at slow loading. OCR shows 'h/d < 1', visual 'h/d ≤ 1'. Full quote continues: 'Особенно существенные изменения характера дефо",
PC-12,EV-VN-S025-0477,process_mechanism,VKM-SRC-025,VKM-SRC-025 p.87 (p.87),87,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,,
PC-12,EV-VN-S025-0487,process_mechanism,VKM-SRC-025,VKM-SRC-025 p.90 (p.90),90,FACT,LAB_TEST,VKM_REGIONAL,LAB,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,SUPPORT,Relevance: pillar cores under confinement retain residual strength; nonlinear (parabolic) envelope.,
PC-12,EV-VN-S025-0233,formula,VKM-SRC-025,"VKM-SRC-025 p.40 (формула (2.3), §2.6)",40,FACT,LITERATURE_CITED,GENERAL_METHOD,LAB,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_76,SUPPORT,OCR 'С>М-ЕЛ' garbled; visual: G ≥ M·F/h. OCR also used 'С' for G and 'Е' for F.,
